2343,r???b402.7344,748.7632
80348619,0.2375,4047.8516,961.5356
80348656,0.2375,4047.8516,961.5356
80348694,0.2111,4057.6172,856.7604
80348732,0.2111,4052.7344,855.7294
80348769,0.1584,4052.7344,641.7970
80348807,0.1848,4052.7344,748.7632
80348844,0.2111,4052.7344,855.7294
80348881,0.1848,4052.7344,748.7632
80348918,0.3431,4047.8516,1388.8849
80348957,0.1848,4038.0859,746.0569
80348994,0.2111,4052.7344,855.7294
80349032,0.1584,4052.7344,641.7970
80349070,0.2903,4052.7344,1176.6279
80349108,0.2111,4038.0859,852.6364
80349146,0.2111,4057.6172,856.7604
80349182,0.2375,4052.7344,962.6956
80349220,0.1848,4042.9688,746.9590
80349257,0.3167,4042.9688,1280.5010
80349296,1.5308,3881.8359,5942.4224
80349335,1.5836,3920.8984,6209.1929
80349373,1.4253,3881.8359,5532.5996
80349412,1.5308,3935.5469,6024.6445
80349450,1.2669,3916.0156,4961.1685
80349489,1.1877,3950.1953,4691.6909
80349527,1.2405,3916.0156,4857.8105
80349565,1.1613,3959.9609,4598.7725
80349604,1.1877,3916.0156,4651.0952
80349642,1.1877,3945.3125,4685.8916
80349681,1.1613,3935.5469,4570.4199
80349719,1.2405,3945.3125,4894.1533
80349758,1.1085,3925.7813,4351.8477
80349797,1.1085,3945.3125,4373.4990
80349835,1.1349,3935.5469,4466.5464
80349874,1.1613,3950.1953,4587.4312
80349912,1.0557,3950.1953,4170.3921
80349950,1.1085,3945.3125,4373.4990
80349988,1.0821,3935.5469,4258.8003
80350027,1.0557,3950.1953,4170.3921
80350066,1.1085,3925.7813,4351.8477
80350104,1.1085,3945.3125,4373.4990
80350143,1.1085,3940.4297,4368.0859
80350181,1.1877,3940.4297,4680.0923
80350220,1.0821,3945.3125,4269.3682
80350258,1.1085,3945.3125,4373.4990
80350297,1.0821,3950.1953,4274.6519
80350336,1.1349,3935.5469,4466.5464
80350373,1.1349,3930.6641,4461.0049
80350412,1.1877,3940.4297,4680.0923
80350450,1.1877,3945.3125,4685.8916
80350489,1.1085,3920.8984,4346.4351
80350528,1.0821,3945.3125,4269.3682
80350566,1.2141,3935.5469,4778.1660
80350605,1.2405,3950.1953,4900.2104
80350643,1.0821,3935.5469,4258.8003
80350682,1.1349,3940.4297,4472.0879
80350720,1.1349,3930.6641,4461.0049
80350758,1.1085,3945.3125,4373.4990
80350797,1.1613,3935.5469,4570.4199
80350835,1.1085,3945.3125,4373.4990
80350874,1.1349,3935.5469,4466.5464
80350912,1.0821,3945.3125,4269.3682
80350951,1.1349,3940.4297,4472.0879
80350989,1.1349,3945.3125,4477.6294
80351028,1.1613,3925.7813,4559.0786
80351067,1.0557,3945.3125,4165.2368
80351105,1.1085,3920.8984,4346.4351
80351143,1.1613,3940.4297,4576.0903
80351181,1.2405,3935.5469,4882.0391
80351220,1.1085,3950.1953,4378.9116
80351258,1.0821,3935.5469,4258.8003
80351297,1.1085,3945.3125,4373.4990
80351336,1.0821,3930.6641,4253.5166
80351374,1.1877,3935.5469,4674.2930
80351413,1.2405,3925.7813,4869.9248
80351451,1.1877,3925.7813,4662.6938
80351490,1.1085,3916.0156,4341.0225
80351528,1.1085,3950.1953,4378.9116
80351566,1.1613,3920.8984,4553.4082
80351605,1.1349,3940.4297,4472.0879
80351643,1.1349,3925.7813,4455.4629
80351682,1.1349,3950.1953,4483.1714
80351720,1.1613,3916.0156,4547.7378
80351759,1.0821,3945.3125,4269.3682
80351798,1.1613,3916.0156,4547.7378
80351836,1.1613,3945.3125,4581.7607
80351875,1.1349,3916.0156,4444.3799
80351912,1.1613,3935.5469,4570.4199
80351951,1.2933,3911.1328,5058.2114
80351989,1.1877,3925.7813,4662.6938
80352028,1.2405,3906.2500,4845.6963
80352067,1.2669,3935.5469,4985.9121
80352105,1.1613,3901.3672,4530.7266
80352144,1.1877,3940.4297,4680.0923
80352182,1.1613,3896.4844,4525.0557
80352221,1.2933,3920.8984,5070.8408
80352260,1.3197,3896.4844,5142.1089
80352297,1.3725,3920.8984,5381.3008
80352336,1.3197,3896.4844,5142.1089
80352374,1.3197,3945.3125,5206.5459
80352413,1.2669,3896.4844,4936.4243
80352451,1.2933,3950.1953,5108.7305
80352490,1.2405,3911.1328,4851.7534
80352529,1.3461,3945.3125,5310.6772
80352567,1.2405,3891.6016,4827.5249
80352606,1.2933,3945.3125,5102.4155
80352644,1.1877,3920.8984,4656.8945
80352683,1.1613,3950.1953,4587.4312
80352720,1.2405,3901.3672,4839.6392
80352759,1.2669,3950.1953,5004.4702
80352798,1.2669,3916.0156,4961.1685
80352836,1.0821,3945.3125,4269.3682
80352875,1.2669,3916.0156,4961.1685
80352913,1.4253,3925.7813,5595.2329
80352952,1.3725,3911.1328,5367.8975
80352991,1.2933,3911.1328,5058.2114
80353029,1.3725,3916.0156,5374.5991
80353068,1.4253,3896.4844,5553.4775
80353105,1.4253,3911.1328,5574.3555
80353144,1.3461,3906.2500,5258.0962
80353182,1.3197,3911.1328,5161.4399
80353221,1.4253,3896.4844,5553.4775
80353260,1.4253,3916.0156,5581.3145
80353298,1.4780,3891.6016,5751.9448
80353337,1.4516,3901.3672,5663.4077
80353375,1.4253,3876.9531,5525.6406
80353414,1.3989,3911.1328,5471.1265
80353452,1.5044,3867.1875,5817.9287
80353490,1.5308,3920.8984,6002.2202
80353529,1.3989,3881.8359,5430.1440
80353567,1.5044,3911.1328,5884.0415
80353606,1.4780,3872.0703,5723.0771
80353644,1.4253,3920.8984,5588.2739
80353683,1.4253,3881.8359,5532.5996
80353721,1.3989,3916.0156,5477.9565
80353760,1.5044,3886.7188,5847.3125
80353799,1.4516,3916.0156,5684.6719
80353837,1.5308,3886.7188,5949.8970
80353875,1.5572,3906.2500,6082.8955
80353913,1.5572,3886.7188,6052.4810
80353952,1.4516,3896.4844,5656.3193
80353991,1.5044,3886.7188,5847.3125
80354029,1.6100,3891.6016,6265.5117
80354068,1.6364,3872.0703,6336.2637
80354106,1.5308,3886.7188,5949.8970
80354145,1.5572,3891.6016,6060.0850
80354183,1.4516,3891.6016,5649.2314
80354222,1.5044,3896.4844,5862.0039
80354260,1.5308,3876.9531,5934.9473
80354298,1.6100,3886.7188,6257.6499
80354337,1.6628,3872.0703,6438.4619
80354375,1.6892,3886.7188,6565.4033
80354414,1.6100,3872.0703,6234.0659
80354452,1.6628,3891.6016,6470.9380
80354491,1.6892,3852.5391,6507.6675
80354530,1.7156,3872.0703,6642.8569
80354568,1.7948,3837.8906,6888.1064
80354607,1.8739,3862.3047,7237.7437
80354644,1.8739,3837.8906,7191.9932
80354683,1.7684,3881.8359,6864.5220
80354722,1.6892,3847.6563,6499.4194
80354760,1.7156,3881.8359,6659.6108
80354799,1.7684,3833.0078,6778.1758
80354837,1.6892,3881.8359,6557.1553
80354876,1.6892,3842.7734,6491.1714
80354914,1.7156,3881.8359,6659.6108
80354953,1.7684,3833.0078,6778.1758
80354992,1.7156,3876.9531,6651.2339
80355030,1.7420,3823.2422,6659.9976
80355068,1.6892,3862.3047,6524.1636
80355106,1.7684,3833.0078,6778.1758
80355145,1.7420,3872.0703,6745.0552
80355183,1.8212,3828.1250,6971.6172
80355222,1.7684,3862.3047,6829.9834
80355261,1.7420,3833.0078,6677.0093
80355299,1.7948,3872.0703,6949.4507
80355338,1.8212,3837.8906,6989.4019
80355376,1.7948,3847.6563,6905.6333
80355415,1.8476,3818.3594,7054.6123
80355453,1.8476,3857.4219,7126.7822
80355491,1.8212,3837.8906,6989.4019
80355530,1.9003,3862.3047,7339.6836
80355568,1.8739,3828.1250,7173.6929
80355607,1.9003,3842.7734,7302.5679
80355645,1.9267,3833.0078,7385.1768
80355684,1.8212,3852.5391,7016.0791
80355723,1.9003,3842.7734,7302.5679
80355761,2.0059,3828.1250,7678.8823
80355800,1.9267,3837.8906,7394.5845
80355837,2.0323,3842.7734,7809.6904
80355876,1.9267,3842.7734,7403.9927
80355914,2.0323,3833.0078,7789.8438
80355953,2.0059,3842.7734,7708.2656
80355992,1.9795,3823.2422,7568.1787
80356030,1.9795,3828.1250,7577.8442
80356069,2.0059,3823.2422,7669.0874
80356107,2.0587,3837.8906,7901.0630
80356146,2.1115,3813.4766,8052.1040
80356184,2.1115,3837.8906,8103.6538
80356222,2.1643,3808.5938,8242.8398
80356261,2.0587,3837.8906,7901.0630
80356299,2.1115,3808.5938,8041.7939
80356338,2.1907,3842.7734,8418.2373
80356376,2.0587,3833.0078,7891.0107
80356415,2.2171,3837.8906,8508.8369
80356454,2.0323,3808.5938,7740.2271
80356492,2.1379,3828.1250,8184.0723
80356531,2.1379,3808.5938,8142.3169
80356569,2.1643,3823.2422,8274.5430
80356608,2.2435,3798.8281,8522.4980
80356645,2.1643,3828.1250,8285.1104
80356684,2.2698,3789.0625,8600.5957
80356723,2.1643,3818.3594,8263.9746
80356761,2.1643,3798.8281,8221.7041
80356800,2.1907,3808.5938,8343.3613
80356838,2.2698,3789.0625,8600.5957
80356877,2.1379,3818.3594,8163.1943
80356915,2.1907,3793.9453,8311.2715
80356954,2.2962,3818.3594,8767.8750
80356993,2.1907,3784.1797,8289.8779
80357030,2.2962,3818.3594,8767.8750
80357069,2.2698,3784.1797,8589.5117
80357107,2.2435,3823.2422,8577.2695
80357146,2.2698,3784.1797,8589.5117
80357185,2.2171,3818.3594,8465.5352
80357223,2.1379,3784.1797,8090.1226
80357262,2.1115,3828.1250,8083.0342
80357300,2.2171,3784.1797,8389.7568
80357339,2.1643,3808.5938,8242.8398
80357377,2.3490,3779.2969,8877.6777
80357415,2.2435,3803.7109,8533.4521
80357454,2.2435,3774.4141,8467.7256
80357492,2.2435,3818.3594,8566.3154
80357531,2.3226,3769.5313,8755.2461
80357569,2.3226,3803.7109,8834.6328
80357608,2.3754,3769.5313,8954.2285
80357646,2.1907,3808.5938,8343.3613
80357685,2.2962,3774.4141,8666.9658
80357724,2.2171,3813.4766,8454.7090
80357762,2.3226,3779.2969,8777.9277
80357800,2.2962,3808.5938,8745.4512
80357838,2.2171,3779.2969,8378.9307
80357877,2.2171,3813.4766,8454.7090
80357916,2.2435,3774.4141,8467.7256
80357954,2.2171,3808.5938,8443.8838
80357993,2.1907,3779.2969,8279.1816
80358031,2.2962,3803.7109,8734.2393
80358070,2.2171,3779.2969,8378.9307
80358108,2.3226,3813.4766,8857.3145
80358147,2.2435,3793.9453,8511.5439
80358185,2.2171,3803.7109,8433.0586
80358223,2.2435,3789.0625,8500.5889
80358262,2.2962,3803.7109,8734.2393
80358300,2.2962,3774.4141,8666.9658
80358339,2.3490,3793.9453,8912.0869
80358377,2.3490,3789.0625,8900.6172
80358416,2.2962,3784.1797,8689.3906
80358455,2.2962,3793.9453,8711.8145
80358493,2.2171,3793.9453,8411.4072
80358532,2.2698,3808.5938,8644.9287
80358569,2.1907,3798.8281,8321.9678
80358608,2.1907,3798.8281,8321.9678
80358646,2.2962,3798.8281,8723.0273
80358685,2.2698,3789.0625,8600.5957
80358724,2.2962,3798.8281,8723.0273
80358762,2.3490,3798.8281,8923.5566
80358801,2.3490,3798.8281,8923.5566
80358839,2.2962,3764.6484,8644.5420
80358878,2.2435,3789.0625,8500.5889
80358917,2.2962,3813.4766,8756.6631
80358955,2.2171,3793.9453,8411.4072
80358993,2.2435,3803.7109,8533.4521
80359031,2.2435,3779.2969,8478.6807
80359070,2.4282,3808.5938,9248.0635
80359108,2.3226,3759.7656,8732.5635
80359147,2.2698,3803.7109,8633.8447
80359186,2.3226,3784.1797,8789.2686
80359224,2.2435,3813.4766,8555.3613
80359263,2.2435,3774.4141,8467.7256
80359301,2.2171,3803.7109,8433.0586
80359340,2.2698,3769.5313,8556.2627
80359377,2.2962,3803.7109,8734.2393
80359416,2.2962,3764.6484,8644.5420
80359455,2.3490,3793.9453,8912.0869
80359493,2.3490,3759.7656,8831.7979
80359532,2.2435,3793.9453,8511.5439
80359570,2.2698,3764.6484,8545.1797
80359609,2.3490,3808.5938,8946.4961
80359648,2.2171,3769.5313,8357.2803
80359686,2.1643,3813.4766,8253.4072
80359725,2.2435,3779.2969,8478.6807
80359762,2.3490,3813.4766,8957.9668
80359801,2.2962,3759.7656,8633.3301
80359839,2.2435,3779.2969,8478.6807
80359878,2.2698,3759.7656,8534.0957
