2343,r???b402.7344,748.7632
80367997,2.1643,3789.0625,8200.5684
80368036,2.2435,3784.1797,8489.6348
80368074,2.4018,3793.9453,9112.3584
80368113,2.3226,3784.1797,8789.2686
80368151,2.3490,3784.1797,8889.1475
80368190,2.3754,3784.1797,8989.0244
80368228,2.4546,3774.4141,9264.6875
80368267,2.3754,3759.7656,8931.0313
80368306,2.3754,3779.2969,8977.4258
80368344,2.3754,3774.4141,8965.8271
80368382,2.3226,3774.4141,8766.5869
80368420,2.4018,3779.2969,9077.1748
80368459,2.2698,3769.5313,8556.2627
80368497,2.2962,3779.2969,8678.1787
80368536,2.2435,3774.4141,8467.7256
80368575,2.3226,3769.5313,8755.2461
80368613,2.3226,3779.2969,8777.9277
80368652,2.2171,3784.1797,8389.7568
80368690,2.2962,3808.5938,8745.4512
80368729,2.2698,3784.1797,8589.5117
80368768,2.2435,3784.1797,8489.6348
80368805,2.3226,3808.5938,8845.9736
80368844,2.3490,3784.1797,8889.1475
80368882,2.3490,3784.1797,8889.1475
80368921,2.1907,3779.2969,8279.1816
80368959,2.1907,3793.9453,8311.2715
80368998,2.2435,3779.2969,8478.6807
80369037,2.2698,3793.9453,8611.6787
80369075,2.3490,3769.5313,8854.7373
80369114,2.2171,3793.9453,8411.4072
80369152,2.3226,3774.4141,8766.5869
80369190,2.3226,3803.7109,8834.6328
80369228,2.3490,3774.4141,8866.2070
80369267,2.4018,3789.0625,9100.6309
80369306,2.3754,3764.6484,8942.6299
80369344,2.2962,3798.8281,8723.0273
80369383,2.2698,3750.0000,8511.9297
80369421,2.2962,3798.8281,8723.0273
80369460,2.3754,3750.0000,8907.8330
80369499,2.3490,3798.8281,8923.5566
80369537,2.1907,3750.0000,8215.0020
80369575,2.2962,3793.9453,8711.8145
80369613,2.2435,3764.6484,8445.8174
80369652,2.2698,3798.8281,8622.7617
80369690,2.2171,3769.5313,8357.2803
80369729,2.2171,3803.7109,8433.0586
80369768,2.2171,3769.5313,8357.2803
80369806,2.2962,3798.8281,8723.0273
80369845,2.4546,3754.8828,9216.7461
80369883,2.3754,3779.2969,8977.4258
80369922,2.3226,3754.8828,8721.2227
80369959,2.2698,3803.7109,8633.8447
80369998,2.3490,3750.0000,8808.8584
80370037,2.3490,3793.9453,8912.0869
80370075,2.2435,3764.6484,8445.8174
80370114,2.3490,3784.1797,8889.1475
80370152,2.3490,3764.6484,8843.2676
80370191,2.2962,3793.9453,8711.8145
80370230,2.2962,3769.5313,8655.7539
80370268,2.3490,3789.0625,8900.6172
80370307,2.2171,3774.4141,8368.1055
80370344,2.2435,3793.9453,8511.5439
80370383,2.1643,3779.2969,8179.4331
80370421,2.2435,3798.8281,8522.4980
80370460,2.2698,3764.6484,8545.1797
80370499,2.2698,3793.9453,8611.6787
80370537,2.2171,3759.7656,8335.6289
80370576,2.2171,3798.8281,8422.2334
80370614,2.2962,3754.8828,8622.1182
80370653,2.3490,3784.1797,8889.1475
80370691,2.3226,3759.7656,8732.5635
80370729,2.2698,3808.5938,8644.9287
80370768,2.2435,3774.4141,8467.7256
80370806,2.2962,3798.8281,8723.0273
80370845,2.2435,3759.7656,8434.8633
80370883,2.2698,3803.7109,8633.8447
80370922,2.2435,3774.4141,8467.7256
80370960,2.2962,3789.0625,8700.6025
80370999,2.3490,3764.6484,8843.2676
80371038,2.2435,3784.1797,8489.6348
80371076,2.2171,3745.1172,8303.1523
80371115,2.2962,3793.9453,8711.8145
80371152,2.1907,3793.9453,8311.2715
80371191,2.2171,3803.7109,8433.0586
80371230,2.1379,3764.6484,8048.3667
80371268,2.1379,3793.9453,8111.0000
80371307,2.1907,3769.5313,8257.7881
80371345,2.2171,3793.9453,8411.4072
80371384,2.1643,3779.2969,8179.4331
80371422,2.3226,3798.8281,8823.2920
80371461,2.1907,3759.7656,8236.3955
80371500,2.2698,3784.1797,8589.5117
80371537,2.2435,3759.7656,8434.8633
80371576,2.3490,3798.8281,8923.5566
80371614,2.2171,3769.5313,8357.2803
80371653,2.2698,3808.5938,8644.9287
80371691,2.3226,3769.5313,8755.2461
80371730,2.2171,3793.9453,8411.4072
80371769,2.1643,3769.5313,8158.2974
80371807,2.2962,3798.8281,8723.0273
80371846,2.2171,3759.7656,8335.6289
80371884,2.2435,3803.7109,8533.4521
80371922,2.2698,3774.4141,8567.3457
80371961,2.1643,3793.9453,8211.1357
80371999,2.2435,3769.5313,8456.7715
80372038,2.2435,3798.8281,8522.4980
80372076,2.1907,3774.4141,8268.4854
80372115,2.2435,3798.8281,8522.4980
80372153,2.2435,3784.1797,8489.6348
80372192,2.2435,3793.9453,8511.5439
80372231,2.1643,3789.0625,8200.5684
80372269,2.1115,3798.8281,8021.1738
80372307,2.2698,3779.2969,8578.4287
80372345,2.2962,3779.2969,8678.1787
80372384,2.2435,3779.2969,8478.6807
80372422,2.2698,3779.2969,8578.4287
80372461,2.3490,3779.2969,8877.6777
80372500,2.2698,3774.4141,8567.3457
80372538,2.2171,3784.1797,8389.7568
80372577,2.2435,3793.9453,8511.5439
80372615,2.2435,3789.0625,8500.5889
80372654,2.2171,3779.2969,8378.9307
80372692,2.1379,3798.8281,8121.4390
80372730,2.1115,3789.0625,8000.5542
80372769,2.1115,3793.9453,8010.8643
80372807,2.1115,3798.8281,8021.1738
80372846,2.1379,3808.5938,8142.3169
80372884,2.1907,3764.6484,8247.0918
80372923,2.2698,3789.0625,8600.5957
80372962,2.2962,3764.6484,8644.5420
80373000,2.3226,3774.4141,8766.5869
80373039,2.3490,3754.8828,8820.3281
80373076,2.2435,3784.1797,8489.6348
80373115,2.3490,3759.7656,8831.7979
80373153,2.4018,3779.2969,9077.1748
80373192,2.3226,3759.7656,8732.5635
80373231,2.2435,3793.9453,8511.5439
80373269,2.2962,3750.0000,8610.9053
80373308,2.2435,3803.7109,8533.4521
80373346,2.2171,3769.5313,8357.2803
80373385,2.2435,3789.0625,8500.5889
80373423,2.2962,3745.1172,8599.6934
80373462,2.2962,3793.9453,8711.8145
80373500,2.1907,3764.6484,8247.0918
80373538,2.1907,3784.1797,8289.8779
80373577,2.2171,3764.6484,8346.4541
80373615,2.2962,3759.7656,8633.3301
80373654,2.2171,3774.4141,8368.1055
80373693,2.2698,3798.8281,8622.7617
80373731,2.2435,3774.4141,8467.7256
80373770,2.2698,3793.9453,8611.6787
80373808,2.1643,3779.2969,8179.4331
80373847,2.0851,3813.4766,7951.4531
80373884,2.0851,3803.7109,7931.0913
80373923,2.1643,3798.8281,8221.7041
80373962,2.1115,3793.9453,8010.8643
80374000,2.2171,3789.0625,8400.5820
80374039,2.1115,3793.9453,8010.8643
80374077,2.2171,3769.5313,8357.2803
80374116,2.2698,3784.1797,8589.5117
80374154,2.2962,3769.5313,8655.7539
80374193,2.2698,3774.4141,8567.3457
80374232,2.2698,3769.5313,8556.2627
80374269,2.2698,3789.0625,8600.5957
80374308,2.2698,3769.5313,8556.2627
80374346,2.2698,3789.0625,8600.5957
80374385,2.2962,3754.8828,8622.1182
80374424,2.2962,3798.8281,8723.0273
80374462,2.2962,3779.2969,8678.1787
80374501,2.1379,3813.4766,8152.7554
80374539,2.1907,3774.4141,8268.4854
80374578,2.1115,3808.5938,8041.7939
80374616,2.1643,3779.2969,8179.4331
80374654,2.1907,3803.7109,8332.6650
80374693,2.2435,3750.0000,8412.9541
80374731,2.2435,3813.4766,8555.3613
80374770,2.2171,3769.5313,8357.2803
80374808,2.3226,3793.9453,8811.9512
80374847,2.2962,3764.6484,8644.5420
80374885,2.2435,3779.2969,8478.6807
80374924,2.2962,3759.7656,8633.3301
80374963,2.2698,3793.9453,8611.6787
80375001,2.2962,3759.7656,8633.3301
80375040,2.2435,3793.9453,8511.5439
80375077,2.3490,3784.1797,8889.1475
80375116,2.2962,3793.9453,8711.8145
80375155,2.2435,3784.1797,8489.6348
80375193,2.2171,3784.1797,8389.7568
80375232,2.2435,3784.1797,8489.6348
80375270,2.3226,3779.2969,8777.9277
80375309,2.1907,3789.0625,8300.5752
80375347,2.2171,3779.2969,8378.9307
80375386,2.1379,3789.0625,8100.5610
80375425,2.2171,3754.8828,8324.8037
80375462,2.3226,3784.1797,8789.2686
80375501,2.2171,3759.7656,8335.6289
80375539,2.2962,3798.8281,8723.0273
80375578,2.1907,3759.7656,8236.3955
80375616,2.1907,3793.9453,8311.2715
80375655,2.2435,3769.5313,8456.7715
80375694,2.4018,3789.0625,9100.6309
80375732,2.3226,3759.7656,8732.5635
80375771,2.2698,3793.9453,8611.6787
80375809,2.3226,3764.6484,8743.9053
80375847,2.2962,3784.1797,8689.3906
80375885,2.2962,3754.8828,8622.1182
80375924,2.2962,3789.0625,8700.6025
80375963,2.3226,3769.5313,8755.2461
80376001,2.2698,3774.4141,8567.3457
80376040,2.2962,3774.4141,8666.9658
80376078,2.2698,3750.0000,8511.9297
80376117,2.2962,3754.8828,8622.1182
80376156,2.2435,3798.8281,8522.4980
80376194,2.1643,3789.0625,8200.5684
80376232,2.2435,3793.9453,8511.5439
80376270,2.2698,3764.6484,8545.1797
80376309,2.2435,3813.4766,8555.3613
80376347,2.1643,3793.9453,8211.1357
80376386,2.3490,3793.9453,8912.0869
80376425,2.2171,3779.2969,8378.9307
80376463,2.2171,3793.9453,8411.4072
80376502,2.2698,3779.2969,8578.4287
80376540,2.4282,3774.4141,9165.0684
80376579,2.3754,3754.8828,8919.4326
80376616,2.3754,3784.1797,8989.0244
80376655,2.2698,3774.4141,8567.3457
80376694,2.3490,3774.4141,8866.2070
80376732,2.2435,3779.2969,8478.6807
80376771,2.4282,3793.9453,9212.4941
80376809,2.2435,3784.1797,8489.6348
80376848,2.2171,3793.9453,8411.4072
80376887,2.2171,3779.2969,8378.9307
80376925,2.1379,3789.0625,8100.5610
80376964,2.1379,3793.9453,8111.0000
80377001,2.2435,3779.2969,8478.6807
80377040,2.2435,3779.2969,8478.6807
80377078,2.2962,3779.2969,8678.1787
80377117,2.2698,3789.0625,8600.5957
80377156,2.2435,3779.2969,8478.6807
80377194,2.3226,3784.1797,8789.2686
80377233,2.3226,3764.6484,8743.9053
80377271,2.3754,3784.1797,8989.0244
80377310,2.3226,3745.1172,8698.5410
80377348,2.4810,3769.5313,9352.1943
80377387,2.4018,3754.8828,9018.5371
80377425,2.4810,3759.7656,9327.9658
80377463,2.4282,3754.8828,9117.6426
80377502,2.3754,3769.5313,8954.2285
80377540,2.3226,3764.6484,8743.9053
80377579,2.1907,3789.0625,8300.5752
80377618,2.1907,3769.5313,8257.7881
80377656,2.2171,3803.7109,8433.0586
80377695,2.1643,3774.4141,8168.8652
80377733,2.1643,3818.3594,8263.9746
80377772,2.2171,3774.4141,8368.1055
80377809,2.1643,3803.7109,8232.2715
80377848,2.1907,3759.7656,8236.3955
80377887,2.2171,3803.7109,8433.0586
80377925,2.2698,3754.8828,8523.0127
80377964,2.2698,3789.0625,8600.5957
80378002,2.2962,3764.6484,8644.5420
80378041,2.3754,3779.2969,8977.4258
80378079,2.3490,3769.5313,8854.7373
80378118,2.3490,3789.0625,8900.6172
80378157,2.2698,3769.5313,8556.2627
80378194,2.2962,3793.9453,8711.8145
80378233,2.2435,3774.4141,8467.7256
80378271,2.2435,3793.9453,8511.5439
80378310,2.2962,3789.0625,8700.6025
80378348,2.2171,3774.4141,8368.1055
80378387,2.1907,3789.0625,8300.5752
80378426,2.2171,3784.1797,8389.7568
80378464,2.2171,3774.4141,8368.1055
80378503,2.4282,3759.7656,9129.4990
80378541,2.2962,3784.1797,8689.3906
80378579,2.2698,3764.6484,8545.1797
80378618,2.2171,3798.8281,8422.2334
80378656,2.2698,3769.5313,8556.2627
80378695,2.2171,3803.7109,8433.0586
80378733,2.2171,3764.6484,8346.4541
80378772,2.2171,3808.5938,8443.8838
80378810,2.2435,3759.7656,8434.8633
80378849,2.2698,3789.0625,8600.5957
80378888,2.2435,3759.7656,8434.8633
80378926,2.3490,3803.7109,8935.0264
80378964,2.3226,3754.8828,8721.2227
80379002,2.1907,3793.9453,8311.2715
80379041,2.4018,3750.0000,9006.8096
80379079,2.3490,3789.0625,8900.6172
80379118,2.2962,3764.6484,8644.5420
80379157,2.3754,3793.9453,9012.2217
80379195,2.2962,3779.2969,8678.1787
80379234,2.3226,3789.0625,8800.6094
80379272,2.3490,3779.2969,8877.6777
80379311,2.2962,3769.5313,8655.7539
80379350,2.2962,3764.6484,8644.5420
80379387,2.2698,3779.2969,8578.4287
80379426,2.2962,3789.0625,8700.6025
80379464,2.3490,3769.5313,8854.7373
80379503,2.2698,3793.9453,8611.6787
80379541,2.2171,3779.2969,8378.9307
80379580,2.3226,3798.8281,8823.2920
80379619,2.2698,3754.8828,8523.0127
80379657,2.3226,3784.1797,8789.2686
80379696,2.2962,3745.1172,8599.6934
80379734,2.4018,3789.0625,9100.6309
80379772,2.4282,3754.8828,9117.6426
80379810,2.4282,3779.2969,9176.9248
80379849,2.4546,3735.3516,9168.8047
80379888,2.4282,3769.5313,9153.2119
80379926,2.3226,3740.2344,8687.2002
80379965,2.2962,3779.2969,8678.1787
80380003,2.2698,3754.8828,8523.0127
80380042,2.3754,3774.4141,8965.8271
80380081,2.2962,3745.1172,8599.6934
80380119,2.2962,3798.8281,8723.0273
80380157,2.2962,3759.7656,8633.3301
80380195,2.2962,3789.0625,8700.6025
80380234,2.1907,3774.4141,8268.4854
80380272,2.2435,3803.7109,8533.4521
80380311,2.2962,3769.5313,8655.7539
80380350,2.2435,3798.8281,8522.4980
80380388,2.2435,3774.4141,8467.7256
80380427,2.2698,3798.8281,8622.7617
80380465,2.3490,3759.7656,8831.7979
80380504,2.3226,3779.2969,8777.9277
80380541,2.1907,3774.4141,8268.4854
80380580,2.2171,3789.0625,8400.5820
80380619,2.1379,3784.1797,8090.1226
80380657,2.1907,3779.2969,8279.1816
80380696,2.2435,3789.0625,8500.5889
80380734,2.3754,3759.7656,8931.0313
80380773,2.3490,3769.5313,8854.7373
80380811,2.3490,3774.4141,8866.2070
80380850,2.4282,3769.5313,9153.2119
80380889,2.3754,3764.6484,8942.6299
80380926,2.3490,3779.2969,8877.6777
80380965,2.2962,3764.6484,8644.5420
80381003,2.2698,3793.9453,8611.6787
80381042,2.2698,3759.7656,8534.0957
80381081,2.3226,3793.9453,8811.9512
80381119,2.2962,3774.4141,8666.9658
80381158,2.3226,3784.1797,8789.2686
80381196,2.3226,3769.5313,8755.2461
80381235,2.2698,3769.5313,8556.2627
80381273,2.2698,3750.0000,8511.9297
80381312,2.2962,3769.5313,8655.7539
80381350,2.3226,3764.6484,8743.9053
80381388,2.2962,3784.1797,8689.3906
80381427,2.2962,3754.8828,8622.1182
80381465,2.2962,3793.9453,8711.8145
80381504,2.1643,3769.5313,8158.2974
80381542,2.2171,3798.8281,8422.2334
80381581,2.2435,3754.8828,8423.9082
80381620,2.2698,3793.9453,8611.6787
80381658,2.2435,3769.5313,8456.7715
80381697,2.3490,3803.7109,8935.0264
80381734,2.2171,3769.5313,8357.2803
80381773,2.2171,3793.9453,8411.4072
80381812,2.3226,3750.0000,8709.8818
80381850,2.2435,3793.9453,8511.5439
80381889,2.2698,3769.5313,8556.2627
80381927,2.2435,3803.7109,8533.4521
80381966,2.2962,3769.5313,8655.7539
80382004,2.2435,3798.8281,8522.4980
80382043,2.3226,3764.6484,8743.9053
80382082,2.3490,3784.1797,8889.1475
80382119,2.3754,3764.6484,8942.6299
80382158,2.4282,3774.4141,9165.0684
80382196,2.4018,3774.4141,9065.4473
80382235,2.3490,3769.5313,8854.7373
80382273,2.3226,3789.0625,8800.6094
80382312,2.2698,3759.7656,8534.0957
80382351,2.2962,3774.4141,8666.9658
80382389,2.2962,3750.0000,8610.9053
80382428,2.2171,3803.7109,8433.0586
80382466,2.1379,3759.7656,8037.9282
80382504,2.1643,3793.9453,8211.1357
80382543,2.1379,3769.5313,8058.8057
80382581,2.2435,3803.7109,8533.4521
80382620,2.1907,3759.7656,8236.3955
80382658,2.2171,3793.9453,8411.4072
80382697,2.3226,3769.5313,8755.2461
80382735,2.3226,3789.0625,8800.6094
80382774,2.2962,3759.7656,8633.3301
80382813,2.3490,3793.9453,8912.0869
80382851,2.2962,3769.5313,8655.7539
80382889,2.2698,3789.0625,8600.5957
80382927,2.2435,3784.1797,8489.6348
80382966,2.1907,3798.8281,8321.9678
80383004,2.3226,3769.5313,8755.2461
80383043,2.4018,3784.1797,9088.9033
80383082,2.2698,3784.1797,8589.5117
80383120,2.2435,3769.5313,8456.7715
80383159,2.2171,3769.5313,8357.2803
80383197,2.3226,3779.2969,8777.9277
80383236,2.2435,3774.4141,8467.7256
80383273,2.2962,3779.2969,8678.1787
80383312,2.3226,3779.2969,8777.9277
80383351,2.3754,3754.8828,8919.4326
80383389,2.2962,3784.1797,8689.3906
80383428,2.2435,3750.0000,8412.9541
80383466,2.3490,3784.1797,8889.1475
80383505,2.2435,3769.5313,8456.7715
80383544,2.2435,3784.1797,8489.6348
80383582,2.2698,3764.6484,8545.1797
80383621,2.2962,3789.0625,8700.6025
80383659,2.2698,3750.0000,8511.9297
80383697,2.3226,3789.0625,8800.6094
80383735,2.2962,3754.8828,8622.1182
80383774,2.2962,3779.2969,8678.1787
80383813,2.3490,3745.1172,8797.3887
80383851,2.3490,3784.1797,8889.1475
80383890,2.3490,3750.0000,8808.8584
80383928,2.3490,3793.9453,8912.0869
80383967,2.2435,3754.8828,8423.9082
80384005,2.4018,3784.1797,9088.9033
80384044,2.1907,3784.1797,8289.8779
80384082,2.2435,3789.0625,8500.5889
80384120,2.2171,3784.1797,8389.7568
80384159,2.1379,3793.9453,8111.0000
80384197,2.1907,3769.5313,8257.7881
80384236,2.3226,3784.1797,8789.2686
80384275,2.2962,3779.2969,8678.1787
80384313,2.4018,3769.5313,9053.7197
80384352,2.3226,3774.4141,8766.5869
80384390,2.2962,3750.0000,8610.9053
80384429,2.3226,3774.4141,8766.5869
80384466,2.2435,3754.8828,8423.9082
80384505,2.2171,3779.2969,8378.9307
80384544,2.2435,3769.5313,8456.7715
80384582,2.3226,3803.7109,8834.6328
80384621,2.2171,3764.6484,8346.4541
80384659,2.2962,3784.1797,8689.3906
80384698,2.2962,3784.1797,8689.3906
80384736,2.3490,3784.1797,8889.1475
80384775,2.3754,3769.5313,8954.2285
80384814,2.4018,3745.1172,8995.0820
80384851,2.3754,3759.7656,8931.0313
80384890,2.3226,3754.8828,8721.2227
80384928,2.4018,3764.6484,9041.9922
80384967,2.3226,3769.5313,8755.2461
80385006,2.3490,3789.0625,8900.6172
80385044,2.2435,3759.7656,8434.8633
80385083,2.1643,3798.8281,8221.7041
80385121,2.2435,3754.8828,8423.9082
80385160,2.2171,3803.7109,8433.0586
80385198,2.2435,3769.5313,8456.7715
80385236,2.1907,3793.9453,8311.2715
80385275,2.3226,3759.7656,8732.5635
80385313,2.2962,3793.9453,8711.8145
80385352,2.2698,3764.6484,8545.1797
80385390,2.3490,3789.0625,8900.6172
80385429,2.2435,3779.2969,8478.6807
80385467,2.2962,3793.9453,8711.8145
80385506,2.1643,3779.2969,8179.4331
80385545,2.2171,3774.4141,8368.1055
80385583,2.2435,3774.4141,8467.7256
80385622,2.3226,3764.6484,8743.9053
80385659,2.1907,3793.9453,8311.2715
80385698,2.3490,3754.8828,8820.3281
80385736,2.2698,3789.0625,8600.5957
80385775,2.3226,3750.0000,8709.8818
80385814,2.2962,3779.2969,8678.1787
80385852,2.2962,3735.3516,8577.2695
80385891,2.2962,3793.9453,8711.8145
80385929,2.3754,3774.4141,8965.8271
80385968,2.4018,3784.1797,9088.9033
80386007,2.2962,3754.8828,8622.1182
80386044,2.2962,3793.9453,8711.8145
80386083,2.2171,3769.5313,8357.2803
80386121,2.2698,3784.1797,8589.5117
80386160,2.2698,3774.4141,8567.3457
80386198,2.2171,3793.9453,8411.4072
80386237,2.2435,3769.5313,8456.7715
80386276,2.2698,3769.5313,8556.2627
80386314,2.2435,3774.4141,8467.7256
80386353,2.2698,3774.4141,8567.3457
80386391,2.3226,3779.2969,8777.9277
80386429,2.3226,3754.8828,8721.2227
80386467,2.3754,3769.5313,8954.2285
80386506,2.3490,3769.5313,8854.7373
80386545,2.2171,3779.2969,8378.9307
80386583,2.2171,3750.0000,8313.9775
80386622,2.2698,3789.0625,8600.5957
80386660,2.2698,3754.8828,8523.0127
80386699,2.2171,3789.0625,8400.5820
80386738,2.2698,3764.6484,8545.1797
80386776,2.3226,3793.9453,8811.9512
80386814,2.2698,3774.4141,8567.3457
80386852,2.2435,3789.0625,8500.5889
80386891,2.1907,3784.1797,8289.8779
80386929,2.2435,3789.0625,8500.5889
80386968,2.2171,3784.1797,8389.7568
80387007,2.2698,3769.5313,8556.2627
80387045,2.2698,3779.2969,8578.4287
80387084,2.3754,3764.6484,8942.6299
80387122,2.1907,3793.9453,8311.2715
80387161,2.2435,3759.7656,8434.8633
80387198,2.3226,3798.8281,8823.2920
80387237,2.2435,3764.6484,8445.8174
80387276,2.2962,3798.8281,8723.0273
80387314,2.4018,3759.7656,9030.2646
80387353,2.1907,3798.8281,8321.9678
80387391,2.2435,3774.4141,8467.7256
80387430,2.2435,3793.9453,8511.5439
80387469,2.1907,3789.0625,8300.5752
80387507,2.3226,3784.1797,8789.2686
80387546,2.2698,3769.5313,8556.2627
80387584,2.2698,3759.7656,8534.0957
80387622,2.3490,3789.0625,8900.6172
80387660,2.3226,3759.7656,8732.5635
80387699,2.2962,3789.0625,8700.6025
80387738,2.2962,3759.7656,8633.3301
80387776,2.3490,3798.8281,8923.5566
80387815,2.2435,3750.0000,8412.9541
80387853,2.2171,3793.9453,8411.4072
80387892,2.2435,3774.4141,8467.7256
80387930,2.2962,3798.8281,8723.0273
80387969,2.1115,3779.2969,7979.9341
80388007,2.2435,3798.8281,8522.4980
80388045,2.1643,3789.0625,8200.5684
80388084,2.1643,3784.1797,8190.0005
80388122,2.1643,3789.0625,8200.5684
80388161,2.2698,3779.2969,8578.4287
80388199,2.2435,3789.0625,8500.5889
80388238,2.3226,3769.5313,8755.2461
80388277,2.3754,3779.2969,8977.4258
80388315,2.3490,3740.2344,8785.9180
80388354,2.3490,3779.2969,8877.6777
80388391,2.4282,3779.2969,9176.9248
80388430,2.4546,3764.6484,9240.7168
80388469,2.4018,3750.0000,9006.8096
80388507,2.3754,3779.2969,8977.4258
80388546,2.2962,3759.7656,8633.3301
80388584,2.4282,3793.9453,9212.4941
80388623,2.2962,3750.0000,8610.9053
80388661,2.2698,3784.1797,8589.5117
80388700,2.2698,3769.5313,8556.2627
80388739,2.1907,3789.0625,8300.5752
80388776,2.2171,3789.0625,8400.5820
80388815,2.1379,3793.9453,8111.0000
80388853,2.2171,3798.8281,8422.2334
80388892,2.2435,3779.2969,8478.6807
80388930,2.2435,3803.7109,8533.4521
80388969,2.2698,3754.8828,8523.0127
80389008,2.2698,3793.9453,8611.6787
80389046,2.2171,3759.7656,8335.6289
80389085,2.2171,3793.9453,8411.4072
80389123,2.2698,3769.5313,8556.2627
80389161,2.3226,3789.0625,8800.6094
80389200,2.2435,3774.4141,8467.7256
80389238,2.2435,3789.0625,8500.5889
80389277,2.2698,3754.8828,8523.0127
80389315,2.2962,3769.5313,8655.7539
80389354,2.4018,3774.4141,9065.4473
80389392,2.2962,3750.0000,8610.9053
80389431,2.3226,3769.5313,8755.2461
80389470,2.3226,3750.0000,8709.8818
80389508,2.3754,3774.4141,8965.8271
80389547,2.3754,3754.8828,8919.4326
80389584,2.3490,3793.9453,8912.0869
80389623,2.3226,3769.5313,8755.2461
80389661,2.3226,3789.0625,8800.6094
80389700,2.3226,3774.4141,8766.5869
80389739,2.2698,3784.1797,8589.5117
80389777,2.2171,3789.0625,8400.5820
80389816,2.3754,3769.5313,8954.2285
80389854,2.2962,3784.1797,8689.3906
80389893,2.2698,3754.8828,8523.0127
80389932,2.2698,3793.9453,8611.6787
80389969,2.2171,3769.5313,8357.2803
80390008,2.2171,3803.7109,8433.0586
80390046,2.2171,3774.4141,8368.1055
80390085,2.1907,3798.8281,8321.9678
80390123,2.1907,3774.4141,8268.4854
80390162,2.3490,3798.8281,8923.5566
80390201,2.1907,3784.1797,8289.8779
80390239,2.2435,3774.4141,8467.7256
80390278,2.2435,3798.8281,8522.4980
80390316,2.3226,3759.7656,8732.5635
80390354,2.2435,3789.0625,8500.5889
80390392,2.3490,3754.8828,8820.3281
80390431,2.3226,3798.8281,8823.2920
80390470,2.4282,3759.7656,9129.4990
80390508,2.3754,3784.1797,8989.0244
80390547,2.3754,3774.4141,8965.8271
80390585,2.2962,3789.0625,8700.6025
80390624,2.2962,3789.0625,8700.6025
80390662,2.2171,3784.1797,8389.7568
80390701,2.4018,3789.0625,9100.6309
80390739,2.2698,3745.1172,8500.8467
80390777,2.3226,3784.1797,8789.2686
80390816,2.3490,3750.0000,8808.8584
80390854,2.3226,3754.8828,8721.2227
80390893,2.3226,3750.0000,8709.8818
80390932,2.3754,3774.4141,8965.8271
80390970,2.2698,3750.0000,8511.9297
80391009,2.3754,3784.1797,8989.0244
80391047,2.4018,3774.4141,9065.4473
80391086,2.4546,3774.4141,9264.6875
80391123,2.2962,3769.5313,8655.7539
80391162,2.2435,3769.5313,8456.7715
80391201,2.2435,3793.9453,8511.5439
80391239,2.1379,3779.2969,8079.6836
80391278,2.2435,3808.5938,8544.4063
80391316,2.1907,3759.7656,8236.3955
80391355,2.1907,3803.7109,8332.6650
80391393,2.1379,3798.8281,8121.4390
80391432,2.1379,3808.5938,8142.3169
80391471,2.1907,3798.8281,8321.9678
80391508,2.2435,3779.2969,8478.6807
80391547,2.2435,3779.2969,8478.6807
80391585,2.3490,3759.7656,8831.7979
80391624,2.2698,3798.8281,8622.7617
80391663,2.3754,3754.8828,8919.4326
80391701,2.3754,3789.0625,9000.6230
80391740,2.2698,3769.5313,8556.2627
80391778,2.3490,3784.1797,8889.1475
80391817,2.4018,3774.4141,9065.4473
80391855,2.4810,3759.7656,9327.9658
80391894,2.2698,3769.5313,8556.2627
80391932,2.3754,3750.0000,8907.8330
80391970,2.2962,3779.2969,8678.1787
80392009,2.2962,3759.7656,8633.3301
80392047,2.1907,3793.9453,8311.2715
80392086,2.1379,3779.2969,8079.6836
80392124,2.2698,3798.8281,8622.7617
80392163,2.2698,3784.1797,8589.5117
80392202,2.3754,3774.4141,8965.8271
80392240,2.2435,3789.0625,8500.5889
80392279,2.2962,3759.7656,8633.3301
80392316,2.4282,3789.0625,9200.6377
80392355,2.2962,3774.4141,8666.9658
80392394,2.2435,3784.1797,8489.6348
80392432,2.3754,3759.7656,8931.0313
80392471,2.2698,3789.0625,8600.5957
80392509,2.4018,3764.6484,9041.9922
80392548,2.3754,3798.8281,9023.8213
80392586,2.2435,3784.1797,8489.6348
80392625,2.3226,3774.4141,8766.5869
80392664,2.2698,3784.1797,8589.5117
80392701,2.2698,3759.7656,8534.0957
80392740,2.2435,3779.2969,8478.6807
80392778,2.3226,3754.8828,8721.2227
80392817,2.4018,3779.2969,9077.1748
80392855,2.4018,3754.8828,9018.5371
80392894,2.3754,3789.0625,9000.6230
80392933,2.3490,3764.6484,8843.2676
80392971,2.3226,3779.2969,8777.9277
80393010,2.3226,3774.4141,8766.5869
80393048,2.2171,3774.4141,8368.1055
80393086,2.2435,3789.0625,8500.5889
80393124,2.2171,3769.5313,8357.2803
80393163,2.1907,3793.9453,8311.2715
80393202,2.2962,3754.8828,8622.1182
80393240,2.3226,3789.0625,8800.6094
80393279,2.2171,3754.8828,8324.8037
80393317,2.3754,3750.0000,8907.8330
80393356,2.3490,3774.4141,8866.2070
80393395,2.3226,3793.9453,8811.9512
80393433,2.3226,3769.5313,8755.2461
80393472,2.3490,3774.4141,8866.2070
80393509,2.2698,3784.1797,8589.5117
80393548,2.2962,3764.6484,8644.5420
