9172196,0i???01.5547,1272.7686
289198359,2.4282,3720.7031,9034.6465
289198399,2.3226,3715.8203,8630.4951
289198438,2.2962,3725.5859,8554.8447
289198478,2.3226,3701.1719,8596.4717
289198517,2.4282,3710.9375,9010.9336
289198557,2.2962,3681.6406,8453.9365
289198597,2.3754,3725.5859,8849.8398
289198636,2.4282,3691.4063,8963.5078
289198675,2.3754,3725.5859,8849.8398
289198714,2.3226,3710.9375,8619.1543
289198754,2.3226,3745.1172,8698.5410
289198794,2.3490,3715.8203,8728.5693
289198833,2.3754,3740.2344,8884.6357
289198873,2.2698,3647.4609,8279.1816
289198912,2.2962,3750.0000,8610.9053
289198952,2.4018,3696.2891,8877.8057
289198992,2.4810,3706.0547,9194.7090
289199031,2.4018,3696.2891,8877.8057
289199071,2.4282,3745.1172,9093.9297
289199110,2.3226,3715.8203,8630.4951
289199150,2.3754,3730.4688,8861.4385
289199188,2.3754,3706.0547,8803.4443
289199228,2.4282,3710.9375,9010.9336
289199268,2.2435,3740.2344,8391.0459
289199307,2.3226,3725.5859,8653.1768
289199347,2.4810,3720.7031,9231.0518
289199386,2.5338,3642.5781,9229.5049
289199426,2.2962,3740.2344,8588.4814
289199466,2.3226,3710.9375,8619.1543
289199505,2.3226,3720.7031,8641.8359
289199545,2.4018,3676.7578,8830.8955
289199584,2.4018,3750.0000,9006.8096
289199624,2.5602,3681.6406,9425.6533
289199664,2.5866,3715.8203,9611.2334
289199703,2.6921,3681.6406,9911.5117
289199742,2.3754,3701.1719,8791.8457
289199781,2.4810,3701.1719,9182.5947
289199821,2.4282,3686.5234,8951.6514
289199861,2.4810,3710.9375,9206.8232
289199900,2.3754,3789.0625,9000.6230
289199940,2.1643,3750.0000,8116.0264
289199979,2.2171,3715.8203,8238.1992
289200019,2.2698,3730.4688,8467.5967
289200059,2.3226,3706.0547,8607.8125
289200098,2.3754,3740.2344,8884.6357
289200138,2.2171,3706.0547,8216.5488
289200177,2.3754,3735.3516,8873.0371
289200217,2.5338,3691.4063,9353.2246
289200257,2.4018,3710.9375,8912.9883
289200295,2.4018,3706.0547,8901.2607
289200335,2.3754,3701.1719,8791.8457
289200374,2.4810,3696.2891,9170.4805
289200414,2.4282,3774.4141,9165.0684
289200453,2.4282,3696.2891,8975.3643
289200493,2.3226,3710.9375,8619.1543
289200533,2.4546,3740.2344,9180.7900
289200572,2.4810,3671.8750,9109.9092
289200612,2.3754,3710.9375,8815.0439
289200651,2.2962,3725.5859,8554.8447
289200691,2.2171,3740.2344,8292.3271
289200731,2.3754,3686.5234,8757.0498
289200770,2.5602,3696.2891,9463.1553
289200809,2.5338,3691.4063,9353.2246
289200848,2.4546,3686.5234,9048.9512
289200888,2.3754,3710.9375,8815.0439
289200928,2.4282,3657.2266,8880.5127
289200967,2.5074,3686.5234,9243.5527
289201007,2.4018,3686.5234,8854.3506
289201046,2.4282,3720.7031,9034.6465
289201086,2.4810,3696.2891,9170.4805
289201126,2.4546,3701.1719,9084.9072
289201165,2.2698,3715.8203,8434.3467
289201205,2.1379,3750.0000,8017.0503
289201244,2.1907,3730.4688,8172.2153
289201284,2.3226,3725.5859,8653.1768
289201324,2.2962,3710.9375,8521.2090
289201362,2.2698,3735.3516,8478.6797
289201402,2.3754,3720.7031,8838.2412
289201441,2.4018,3813.4766,9159.2686
289201481,2.5866,3681.6406,9522.8252
289201521,2.4810,3676.7578,9122.0234
289201560,2.6921,3671.8750,9885.2217
289201600,2.5338,3666.9922,9291.3652
289201639,2.5866,3662.1094,9472.3057
289201679,2.4546,3725.5859,9144.8340
289201718,2.4282,3720.7031,9034.6465
289201758,2.2962,3735.3516,8577.2695
289201798,2.3490,3715.8203,8728.5693
289201837,2.4018,3735.3516,8971.6270
289201876,2.1643,3735.3516,8084.3232
289201915,2.0851,3759.7656,7839.4609
289201955,2.2435,3710.9375,8325.3193
289201995,2.2962,3715.8203,8532.4209
289202034,2.5338,3691.4063,9353.2246
289202074,2.4282,3710.9375,9010.9336
289202113,2.4018,3686.5234,8854.3506
289202153,2.5866,3696.2891,9560.7139
289202193,2.5602,3681.6406,9425.6533
289202232,2.5074,3676.7578,9219.0664
289202272,2.5602,3701.1719,9475.6563
289202311,2.4282,3686.5234,8951.6514
289202351,2.5338,3696.2891,9365.5967
289202391,2.5074,3691.4063,9255.7959
289202429,2.3754,3706.0547,8803.4443
289202469,2.3226,3725.5859,8653.1768
289202508,2.3754,3701.1719,8791.8457
289202548,2.3226,3720.7031,8641.8359
289202588,2.2698,3701.1719,8401.0967
289202627,2.2171,3750.0000,8313.9775
289202667,2.2435,3725.5859,8358.1826
289202706,2.3490,3730.4688,8762.9785
289202746,2.3490,3696.2891,8682.6895
289202786,2.2171,3725.5859,8259.8506
289202825,2.3754,3691.4063,8768.6484
289202865,2.4282,3710.9375,9010.9336
289202904,2.4546,3691.4063,9060.9365
289202944,2.2435,3750.0000,8412.9541
289202982,2.1379,3740.2344,7996.1724
289203022,2.5074,3730.4688,9353.7412
289203062,2.4282,3701.1719,8987.2207
289203101,2.4018,3706.0547,8901.2607
289203141,2.4018,3710.9375,8912.9883
289203180,2.4282,3710.9375,9010.9336
289203220,2.3490,3725.5859,8751.5088
289203260,2.4546,3676.7578,9024.9805
289203299,2.4282,3720.7031,9034.6465
289203339,2.4282,3691.4063,8963.5078
289203378,2.5074,3720.7031,9329.2549
289203418,2.4282,3691.4063,8963.5078
289203458,2.6394,3701.1719,9768.7178
289203496,2.2435,3710.9375,8325.3193
289203536,2.2962,3715.8203,8532.4209
289203575,2.4282,3696.2891,8975.3643
289203615,2.4282,3691.4063,8963.5078
289203655,2.3226,3725.5859,8653.1768
289203694,2.3754,3710.9375,8815.0439
289203734,2.4018,3715.8203,8924.7158
289203773,2.4282,3691.4063,8963.5078
289203813,2.2698,3730.4688,8467.5967
289203853,2.1907,3715.8203,8140.1255
289203892,2.2435,3735.3516,8380.0908
289203932,2.3226,3710.9375,8619.1543
289203971,2.2962,3730.4688,8566.0576
289204011,2.2171,3715.8203,8238.1992
289204050,2.2698,3735.3516,8478.6797
289204089,2.3490,3696.2891,8682.6895
289204129,2.4282,3730.4688,9058.3594
289204168,2.3754,3701.1719,8791.8457
289204208,2.3490,3730.4688,8762.9785
289204247,2.5074,3701.1719,9280.2822
289204287,2.5602,3686.5234,9438.1533
289204327,2.4282,3706.0547,8999.0771
289204366,2.3754,3701.1719,8791.8457
289204406,2.4018,3725.5859,8948.1719
289204445,2.3490,3706.0547,8705.6289
289204485,2.2435,3725.5859,8358.1826
289204525,2.0851,3735.3516,7788.5557
289204563,2.0587,3764.6484,7750.2793
289204603,2.1907,3735.3516,8182.9121
289204642,2.4282,3730.4688,9058.3594
289204682,2.2698,3710.9375,8423.2637
289204722,2.3490,3710.9375,8717.0996
289204761,2.4018,3691.4063,8866.0781
289204801,2.6130,3691.4063,9645.5137
289204840,2.6130,3666.9922,9581.7207
289204880,2.6394,3666.9922,9678.5049
289204920,2.4546,3706.0547,9096.8926
289204959,2.3754,3701.1719,8791.8457
289204999,2.2962,3735.3516,8577.2695
289205038,2.3490,3725.5859,8751.5088
289205078,2.2698,3740.2344,8489.7627
289205117,2.3490,3701.1719,8694.1592
289205156,2.6130,3696.2891,9658.2725
289205196,2.4546,3681.6406,9036.9658
289205235,2.4546,3720.7031,9132.8486
289205275,2.3490,3691.4063,8671.2197
289205315,2.4546,3696.2891,9072.9219
289205354,2.4810,3696.2891,9170.4805
289205394,2.2435,3740.2344,8391.0459
289205433,2.1643,3730.4688,8073.7554
289205473,2.1643,3750.0000,8116.0264
289205512,2.5074,3706.0547,9292.5254
289205552,2.5074,3696.2891,9268.0391
289205592,2.4018,3872.0703,9300.0000
289205630,2.4282,3706.0547,8999.0771
289205670,2.6130,3701.1719,9671.0313
289205709,2.5866,3671.8750,9497.5654
289205749,2.5602,3696.2891,9463.1553
289205789,2.4018,3686.5234,8854.3506
289205828,2.3754,3720.7031,8838.2412
289205868,2.4810,3681.6406,9134.1377
289205907,2.2698,3730.4688,8467.5967
289205947,2.2962,3754.8828,8622.1182
289205987,2.1379,3745.1172,8006.6113
289206026,2.3490,3710.9375,8717.0996
289206066,2.2171,3745.1172,8303.1523
289206105,2.3226,3715.8203,8630.4951
289206145,2.3490,3725.5859,8751.5088
289206184,2.4018,3706.0547,8901.2607
289206223,2.4546,3706.0547,9096.8926
289206263,2.4810,3706.0547,9194.7090
289206302,2.4018,3691.4063,8866.0781
289206342,2.5074,3725.5859,9341.4980
289206382,2.5338,3666.9922,9291.3652
289206421,2.6658,3681.6406,9814.3398
289206461,2.4546,3706.0547,9096.8926
289206500,2.4810,3696.2891,9170.4805
289206540,2.5866,3691.4063,9548.0840
289206580,2.4546,3686.5234,9048.9512
289206619,2.2171,3745.1172,8303.1523
289206659,2.3754,3706.0547,8803.4443
289206697,2.3226,3730.4688,8664.5176
289206737,2.4018,3691.4063,8866.0781
289206776,2.3754,3696.2891,8780.2471
289206816,2.4018,3691.4063,8866.0781
289206856,2.4282,3696.2891,8975.3643
289206895,2.5074,3681.6406,9231.3096
289206935,2.5602,3691.4063,9450.6543
289206974,2.5338,3701.1719,9377.9688
289207014,2.4282,3691.4063,8963.5078
289207054,2.4018,3725.5859,8948.1719
289207093,2.4546,3691.4063,9060.9365
289207133,2.3226,3720.7031,8641.8359
289207172,2.2171,3725.5859,8259.8506
289207212,2.3754,3735.3516,8873.0371
289207251,2.1907,3735.3516,8182.9121
289207290,2.1907,3730.4688,8172.2153
289207330,2.1115,3730.4688,7876.8340
289207369,2.2171,3764.6484,8346.4541
289207409,2.2171,3701.1719,8205.7227
289207449,2.4810,3720.7031,9231.0518
289207488,2.4018,3681.6406,8842.6230
289207528,2.4810,3706.0547,9194.7090
289207567,2.5602,3662.1094,9375.6494
289207607,2.6658,3676.7578,9801.3232
289207647,2.6921,3666.9922,9872.0762
289207686,2.5074,3686.5234,9243.5527
289207726,2.5074,3681.6406,9231.3096
289207764,2.4546,3701.1719,9084.9072
289207804,2.6130,3681.6406,9619.9971
289207844,2.4282,3720.7031,9034.6465
289207883,2.4546,3676.7578,9024.9805
289207923,2.3226,3710.9375,8619.1543
289207962,2.5338,3696.2891,9365.5967
289208002,2.4546,3715.8203,9120.8633
289208041,2.4810,3701.1719,9182.5947
289208081,2.3754,3696.2891,8780.2471
289208121,2.5074,3710.9375,9304.7686
289208160,2.5338,3671.8750,9303.7373
289208200,2.4282,3715.8203,9022.7900
289208239,2.3754,3696.2891,8780.2471
289208279,2.3226,3715.8203,8630.4951
289208318,2.3226,3696.2891,8585.1309
289208357,2.2698,3720.7031,8445.4297
289208397,2.2435,3720.7031,8347.2275
289208436,2.2435,3735.3516,8380.0908
289208476,2.3226,3706.0547,8607.8125
289208516,2.3226,3730.4688,8664.5176
289208555,2.2171,3720.7031,8249.0254
289208595,2.3490,3701.1719,8694.1592
289208634,2.4018,3671.8750,8819.1680
289208674,2.5074,3681.6406,9231.3096
289208714,2.5074,3696.2891,9268.0391
289208753,2.4546,3662.1094,8989.0244
289208793,2.5338,3710.9375,9402.7129
289208832,2.4810,3701.1719,9182.5947
289208871,2.3754,3706.0547,8803.4443
289208911,2.3226,3725.5859,8653.1768
289208950,2.1907,3725.5859,8161.5186
289208990,2.2171,3715.8203,8238.1992
289209029,2.4282,3696.2891,8975.3643
289209069,2.4546,3710.9375,9108.8779
289209109,2.3226,3686.5234,8562.4492
289209148,2.4282,3735.3516,9070.2168
289209188,2.5074,3686.5234,9243.5527
289209227,2.4282,3715.8203,9022.7900
289209267,2.3754,3691.4063,8768.6484
289209306,2.3226,3715.8203,8630.4951
289209346,2.4018,3706.0547,8901.2607
289209385,2.3754,3701.1719,8791.8457
289209424,2.3754,3710.9375,8815.0439
289209464,2.4546,3735.3516,9168.8047
289209503,2.3754,3706.0547,8803.4443
289209543,2.4546,3696.2891,9072.9219
289209583,2.5074,3706.0547,9292.5254
289209622,2.4018,3691.4063,8866.0781
289209662,2.4018,3740.2344,8983.3545
289209701,2.4546,3681.6406,9036.9658
289209741,2.4546,3710.9375,9108.8779
289209781,2.5074,3691.4063,9255.7959
289209820,2.3490,3696.2891,8682.6895
289209860,2.3226,3725.5859,8653.1768
289209899,2.4018,3701.1719,8889.5332
289209938,2.2698,3720.7031,8445.4297
289209978,2.2171,3706.0547,8216.5488
289210017,2.2698,3725.5859,8456.5137
289210057,2.2698,3706.0547,8412.1807
289210096,2.3754,3725.5859,8849.8398
289210136,2.5074,3696.2891,9268.0391
289210176,2.3226,3730.4688,8664.5176
289210215,2.2962,3710.9375,8521.2090
289210255,2.3490,3710.9375,8717.0996
289210294,2.5338,3681.6406,9328.4805
289210334,2.4810,3696.2891,9170.4805
289210374,2.3754,3691.4063,8768.6484
289210413,2.4282,3691.4063,8963.5078
289210452,2.3490,3701.1719,8694.1592
289210491,2.4018,3784.1797,9088.9033
289210531,2.3754,3691.4063,8768.6484
289210570,2.3754,3735.3516,8873.0371
289210610,2.2962,3720.7031,8543.6328
289210650,2.4282,3706.0547,8999.0771
289210689,2.5602,3686.5234,9438.1533
289210729,2.4810,3681.6406,9134.1377
289210768,2.3754,3730.4688,8861.4385
289210808,2.2698,3706.0547,8412.1807
289210848,2.4018,3706.0547,8901.2607
289210887,2.5074,3666.9922,9194.5801
289210927,2.4282,3715.8203,9022.7900
289210966,2.3226,3706.0547,8607.8125
289211005,2.4018,3784.1797,9088.9033
289211045,2.5074,3686.5234,9243.5527
289211084,2.4018,3710.9375,8912.9883
289211124,2.3754,3715.8203,8826.6426
289211163,2.2435,3701.1719,8303.4102
289211203,2.2962,3720.7031,8543.6328
289211243,2.3490,3715.8203,8728.5693
289211282,2.3754,3710.9375,8815.0439
289211322,2.4282,3696.2891,8975.3643
289211361,2.2171,3759.7656,8335.6289
289211401,2.3226,3701.1719,8596.4717
289211441,2.3490,3730.4688,8762.9785
289211480,2.4018,3701.1719,8889.5332
289211520,2.2698,3759.7656,8534.0957
289211558,2.4810,3681.6406,9134.1377
289211598,2.4546,3710.9375,9108.8779
289211638,2.5074,3666.9922,9194.5801
289211677,2.5074,3686.5234,9243.5527
289211717,2.5338,3671.8750,9303.7373
289211756,2.4018,3706.0547,8901.2607
289211796,2.4282,3691.4063,8963.5078
289211835,2.5338,3686.5234,9340.8525
289211875,2.4018,3715.8203,8924.7158
289211915,2.4018,3701.1719,8889.5332
289211954,2.5338,3710.9375,9402.7129
289211994,2.3226,3710.9375,8619.1543
289212033,2.1379,3745.1172,8006.6113
289212072,2.0323,3720.7031,7561.6064
289212112,2.1379,3735.3516,7985.7339
289212151,2.2171,3720.7031,8249.0254
289212191,2.1643,3750.0000,8116.0264
289212230,2.1379,3706.0547,7923.1006
289212270,2.3226,3745.1172,8698.5410
289212310,2.4018,3686.5234,8854.3506
289212349,2.4810,3701.1719,9182.5947
289212389,2.4546,3701.1719,9084.9072
289212428,2.5074,3691.4063,9255.7959
289212468,2.3754,3701.1719,8791.8457
289212508,2.6130,3720.7031,9722.0654
289212547,2.4546,3715.8203,9120.8633
289212587,2.3754,3686.5234,8757.0498
289212625,2.3226,3715.8203,8630.4951
289212665,2.4546,3681.6406,9036.9658
289212705,2.4018,3710.9375,8912.9883
289212744,2.3754,3701.1719,8791.8457
289212784,2.3490,3710.9375,8717.0996
289212823,2.4810,3696.2891,9170.4805
289212863,2.4810,3696.2891,9170.4805
289212903,2.2962,3730.4688,8566.0576
289212942,2.3226,3706.0547,8607.8125
289212982,2.4546,3725.5859,9144.8340
289213021,2.3226,3872.0703,8993.4063
289213061,2.2171,3750.0000,8313.9775
289213100,2.2698,3735.3516,8478.6797
289213139,2.2435,3740.2344,8391.0459
289213179,2.4018,3691.4063,8866.0781
289213218,2.4018,3710.9375,8912.9883
289213258,2.4546,3691.4063,9060.9365
289213297,2.4810,3706.0547,9194.7090
289213337,2.4546,3681.6406,9036.9658
289213377,2.4810,3696.2891,9170.4805
289213416,2.4282,3706.0547,8999.0771
289213456,2.3490,3710.9375,8717.0996
289213495,2.3226,3720.7031,8641.8359
289213535,2.4282,3793.9453,9212.4941
289213575,2.4546,3725.5859,9144.8340
289213614,2.2435,3710.9375,8325.3193
289213654,2.2171,3735.3516,8281.5020
289213692,2.5074,3681.6406,9231.3096
289213732,2.4282,3710.9375,9010.9336
289213772,2.2962,3701.1719,8498.7842
289213811,2.2698,3750.0000,8511.9297
289213851,2.3754,3681.6406,8745.4512
289213890,2.5338,3691.4063,9353.2246
289213930,2.6921,3666.9922,9872.0762
289213970,2.4546,3691.4063,9060.9365
289214009,2.4018,3686.5234,8854.3506
289214049,2.4546,3715.8203,9120.8633
289214088,2.4546,3706.0547,9096.8926
289214128,2.4282,3691.4063,8963.5078
289214168,2.5338,3706.0547,9390.3408
289214206,2.4018,3681.6406,8842.6230
289214246,2.4018,3706.0547,8901.2607
289214285,2.4018,3686.5234,8854.3506
289214325,2.6658,3691.4063,9840.3721
289214364,2.5338,3676.7578,9316.1094
289214404,2.5338,3676.7578,9316.1094
289214444,2.5602,3701.1719,9475.6563
289214483,2.5602,3691.4063,9450.6543
289214523,2.3754,3725.5859,8849.8398
289214562,2.1907,3750.0000,8215.0020
289214602,2.2171,3759.7656,8335.6289
289214642,2.2698,3706.0547,8412.1807
289214681,2.3754,3730.4688,8861.4385
289214721,2.2698,3706.0547,8412.1807
289214759,2.3754,3715.8203,8826.6426
289214799,2.5074,3676.7578,9219.0664
289214839,2.5074,3686.5234,9243.5527
289214878,2.4546,3696.2891,9072.9219
289214918,2.4546,3691.4063,9060.9365
289214957,2.4018,3720.7031,8936.4443
289214997,2.4282,3676.7578,8927.9385
289215037,2.4018,3725.5859,8948.1719
289215076,2.2435,3710.9375,8325.3193
289215116,2.2962,3730.4688,8566.0576
289215155,2.2962,3696.2891,8487.5723
289215195,2.4018,3735.3516,8971.6270
289215235,2.5338,3681.6406,9328.4805
289215273,2.4018,3706.0547,8901.2607
289215313,2.4546,3681.6406,9036.9658
289215352,2.5602,3686.5234,9438.1533
289215392,2.5074,3750.0000,9402.7139
289215432,2.4018,3686.5234,8854.3506
289215471,2.3490,3725.5859,8751.5088
289215511,2.3490,3691.4063,8671.2197
289215550,2.4018,3701.1719,8889.5332
289215590,2.3490,3696.2891,8682.6895
289215630,2.4018,3706.0547,8901.2607
289215669,2.6658,3676.7578,9801.3232
289215709,2.6130,3671.8750,9594.4795
289215748,2.3490,3720.7031,8740.0391
289215788,2.1907,3706.0547,8118.7324
289215826,2.3754,3730.4688,8861.4385
289215866,2.3754,3691.4063,8768.6484
289215906,2.4018,3740.2344,8983.3545
289215945,2.4018,3691.4063,8866.0781
289215985,2.4018,3725.5859,8948.1719
289216024,2.3754,3691.4063,8768.6484
289216064,2.4546,3691.4063,9060.9365
289216104,2.4546,3691.4063,9060.9365
289216143,2.3226,3696.2891,8585.1309
289216183,2.2962,3730.4688,8566.0576
289216222,2.2962,3706.0547,8509.9971
289216262,2.4282,3706.0547,8999.0771
289216302,2.4810,3686.5234,9146.2520
289216340,2.4810,3710.9375,9206.8232
289216380,2.4546,3681.6406,9036.9658
289216419,2.6394,3779.2969,9974.9180
289216459,2.5338,3701.1719,9377.9688
289216499,2.4282,3691.4063,8963.5078
289216538,2.2962,3735.3516,8577.2695
289216578,2.5074,3696.2891,9268.0391
289216617,2.5074,3706.0547,9292.5254
289216657,2.4282,3676.7578,8927.9385
289216697,2.3490,3725.5859,8751.5088
289216736,2.4018,3710.9375,8912.9883
289216776,2.2435,3754.8828,8423.9082
289216815,2.2171,3720.7031,8249.0254
289216855,2.2435,3754.8828,8423.9082
289216893,2.1643,3740.2344,8094.8911
289216933,2.1643,3681.6406,7968.0781
289216973,2.4018,3696.2891,8877.8057
289217012,2.4282,3706.0547,8999.0771
289217052,2.3490,3701.1719,8694.1592
289217091,2.5074,3720.7031,9329.2549
289217131,2.6394,3666.9922,9678.5049
289217171,2.8505,3642.5781,10383.1930
289217211,2.6130,3676.7578,9607.2383
289217251,2.5866,3696.2891,9560.7139
289217290,2.5602,3666.9922,9388.1504
289217330,2.5866,3657.2266,9459.6758
289217370,2.4546,3696.2891,9072.9219
289217409,2.3754,3706.0547,8803.4443
289217448,2.2171,3730.4688,8270.6758
289217487,2.2698,3706.0547,8412.1807
289217527,2.5338,3710.9375,9402.7129
289217567,2.2698,3725.5859,8456.5137
289217606,2.0323,3769.5313,7660.8398
289217646,2.0851,3730.4688,7778.3745
289217685,2.2435,3720.7031,8347.2275
289217725,2.2698,3701.1719,8401.0967
289217765,2.2698,3740.2344,8489.7627
289217804,2.2435,3701.1719,8303.4102
289217844,2.4018,3720.7031,8936.4443
289217883,2.5866,3657.2266,9459.6758
289217923,2.7713,3642.5781,10094.7710
289217964,2.5866,3671.8750,9497.5654
289218002,2.6658,3671.8750,9788.3066
289218042,2.7713,3642.5781,10094.7710
289218082,2.6921,3627.9297,9766.9141
289218122,2.5866,3681.6406,9522.8252
289218162,2.4546,3701.1719,9084.9072
289218201,2.3490,3701.1719,8694.1592
289218241,2.2962,3740.2344,8588.4814
289218280,2.2435,3730.4688,8369.1367
289218320,2.1907,3750.0000,8215.0020
289218360,2.1115,3764.6484,7949.0039
289218399,2.3754,3730.4688,8861.4385
289218439,2.3490,3710.9375,8717.0996
289218478,2.2171,3725.5859,8259.8506
289218518,2.4810,3696.2891,9170.4805
289218556,2.5074,3696.2891,9268.0391
289218596,2.5602,3657.2266,9363.1484
289218636,2.4546,3701.1719,9084.9072
289218675,2.4810,3681.6406,9134.1377
289218715,2.5866,3666.9922,9484.9355
289218754,2.5866,3681.6406,9522.8252
289218794,2.5338,3657.2266,9266.6211
289218834,2.5866,3632.8125,9396.5273
289218873,2.5602,3696.2891,9463.1553
289218913,2.4282,3691.4063,8963.5078
289218952,2.2698,3740.2344,8489.7627
289218992,2.3226,3715.8203,8630.4951
289219032,2.2171,3745.1172,8303.1523
289219070,2.3226,3706.0547,8607.8125
289219110,2.1379,3764.6484,8048.3667
289219149,2.0851,3642.5781,7595.1143
289219189,2.3226,3730.4688,8664.5176
289219229,2.4282,3671.8750,8916.0820
289219268,2.4546,3691.4063,9060.9365
289219308,2.4810,3696.2891,9170.4805
289219347,2.4546,3637.6953,8929.0977
289219387,2.4546,3691.4063,9060.9365
289219427,2.5074,3691.4063,9255.7959
289219466,2.5074,3715.8203,9317.0117
289219506,2.3490,3696.2891,8682.6895
289219545,2.5074,3715.8203,9317.0117
289219585,2.5074,3662.1094,9182.3369
289219624,2.3754,3676.7578,8733.8525
289219663,2.2962,3691.4063,8476.3604
289219703,2.2962,3725.5859,8554.8447
289219742,2.3490,3691.4063,8671.2197
289219782,2.3754,3706.0547,8803.4443
289219821,2.3754,3696.2891,8780.2471
289219861,2.3754,3725.5859,8849.8398
289219901,2.2698,3706.0547,8412.1807
289219940,2.5338,3701.1719,9377.9688
289219980,2.4810,3686.5234,9146.2520
289220019,2.3490,3710.9375,8717.0996
289220059,2.2698,3730.4688,8467.5967
289220099,2.4018,3706.0547,8901.2607
289220137,2.4810,3730.4688,9255.2803
289220177,2.3490,3710.9375,8717.0996
289220216,2.3490,3725.5859,8751.5088
289220256,2.3754,3696.2891,8780.2471
289220296,2.3754,3710.9375,8815.0439
289220335,2.4546,3686.5234,9048.9512
289220375,2.3226,3696.2891,8585.1309
289220414,2.3226,3701.1719,8596.4717
289220454,2.5602,3701.1719,9475.6563
289220494,2.5602,3696.2891,9463.1553
289220533,2.4282,3671.8750,8916.0820
289220573,2.4018,3725.5859,8948.1719
289220612,2.1907,3715.8203,8140.1255
289220652,2.2171,3740.2344,8292.3271
289220691,2.2962,3676.7578,8442.7236
289220730,2.3490,3701.1719,8694.1592
289220770,2.2962,3691.4063,8476.3604
289220809,2.2962,3730.4688,8566.0576
289220849,2.2171,3696.2891,8194.8975
289220889,2.3754,3706.0547,8803.4443
289220928,2.4282,3686.5234,8951.6514
289220968,2.3226,3720.7031,8641.8359
289221007,2.3754,3720.7031,8838.2412
289221047,2.3754,3710.9375,8815.0439
289221086,2.4546,3686.5234,9048.9512
289221126,2.5866,3666.9922,9484.9355
289221166,2.6658,3666.9922,9775.2910
289221204,2.6921,3691.4063,9937.8018
289221244,2.4810,3671.8750,9109.9092
289221283,2.4810,3710.9375,9206.8232
289221323,2.5866,3662.1094,9472.3057
289221363,2.4546,3701.1719,9084.9072
289221402,2.2171,3740.2344,8292.3271
289221442,2.0587,3740.2344,7700.0181
289221481,2.1643,3730.4688,8073.7554
289221521,2.3226,3735.3516,8675.8594
289221561,2.2962,3715.8203,8532.4209
289221600,2.2962,3720.7031,8543.6328
289221640,2.3226,3701.1719,8596.4717
289221679,2.4018,3706.0547,8901.2607
289221719,2.4018,3740.2344,8983.3545
289221758,2.7449,3662.1094,10052.2430
289221798,2.6130,3662.1094,9568.9619
289221838,2.4546,3715.8203,9120.8633
289221877,2.3226,3696.2891,8585.1309
289221917,2.3754,3710.9375,8815.0439
289221957,2.3490,3696.2891,8682.6895
289221996,2.2171,3740.2344,8292.3271
289222036,2.1643,3710.9375,8031.4844
289222075,2.1907,3740.2344,8193.6084
289222115,2.3490,3706.0547,8705.6289
289222155,2.3490,3715.8203,8728.5693
289222194,2.4018,3681.6406,8842.6230
289222234,2.4282,3696.2891,8975.3643
289222273,2.5338,3666.9922,9291.3652
289222312,2.5602,3686.5234,9438.1533
289222351,2.4282,3666.9922,8904.2256
289222391,2.4018,3696.2891,8877.8057
289222431,2.1643,3745.1172,8105.4590
289222470,2.2698,3710.9375,8423.2637
289222510,2.3490,3720.7031,8740.0391
289222549,2.5074,3691.4063,9255.7959
289222589,2.4546,3715.8203,9120.8633
289222629,2.4810,3666.9922,9097.7949
289222668,2.4810,3691.4063,9158.3662
289222708,2.4810,3681.6406,9134.1377
289222747,2.4546,3686.5234,9048.9512
289222787,2.3226,3725.5859,8653.1768
289222827,2.4282,3681.6406,8939.7949
289222865,2.4546,3681.6406,9036.9658
289222905,2.4282,3686.5234,8951.6514
289222944,2.3754,3725.5859,8849.8398
289222984,2.3226,3691.4063,8573.7900
289223024,2.2698,3715.8203,8434.3467
289223063,2.2171,3730.4688,8270.6758
289223103,2.2698,3740.2344,8489.7627
289223142,2.2171,3701.1719,8205.7227
289223182,2.3226,3720.7031,8641.8359
289223222,2.3490,3706.0547,8705.6289
289223261,2.3754,3706.0547,8803.4443
289223301,2.4546,3706.0547,9096.8926
289223340,2.5602,3691.4063,9450.6543
289223379,2.5866,3706.0547,9585.9736
289223419,2.5338,3681.6406,9328.4805
289223458,2.5074,3676.7578,9219.0664
289223498,2.4546,3691.4063,9060.9365
289223537,2.4810,3686.5234,9146.2520
289223577,2.5074,3686.5234,9243.5527
289223616,2.2698,3735.3516,8478.6797
289223656,2.2962,3715.8203,8532.4209
289223696,2.4282,3706.0547,8999.0771
289223735,2.4018,3730.4688,8959.8994
289223775,2.1379,3710.9375,7933.5396
289223814,2.1643,3754.8828,8126.5942
289223854,2.2435,3720.7031,8347.2275
289223894,2.2435,3725.5859,8358.1826
289223932,2.4018,3696.2891,8877.8057
289223972,2.3490,3730.4688,8762.9785
289224011,2.4546,3676.7578,9024.9805
289224051,2.7185,3676.7578,9995.4082
289224091,2.7185,3666.9922,9968.8604
289224130,2.5074,3676.7578,9219.0664
289224170,2.4018,3706.0547,8901.2607
289224209,2.5074,3657.2266,9170.0947
289224249,2.4810,3696.2891,9170.4805
289224289,2.4546,3691.4063,9060.9365
289224328,2.2962,3720.7031,8543.6328
289224368,2.4546,3706.0547,9096.8926
289224407,2.3490,3710.9375,8717.0996
289224446,2.2962,3720.7031,8543.6328
289224486,2.2962,3710.9375,8521.2090
289224525,2.3226,3720.7031,8641.8359
289224565,2.2962,3710.9375,8521.2090
289224604,2.4546,3701.1719,9084.9072
