9172196,0i???01.5547,1272.7686
289178519,0.3959,4121.0938,1631.5563
289178559,0.3431,4018.5547,1378.8326
289178598,0.4223,4018.5547,1697.0248
289178638,0.3959,4023.4375,1592.8938
289178677,0.4751,4018.5547,1909.1528
289178717,0.3167,3974.6094,1258.8501
289178757,0.3695,4023.4375,1486.7009
289178796,0.4751,4018.5547,1909.1528
289178835,0.3959,4018.5547,1590.9607
289178874,0.3695,4018.5547,1484.8967
289178914,0.3695,4023.4375,1486.7009
289178953,0.3167,4023.4375,1274.3151
289178993,0.3695,4023.4375,1486.7009
289179033,0.4223,4101.5625,1732.0787
289179072,0.3695,4018.5547,1484.8967
289179112,0.2903,4018.5547,1166.7046
289179151,0.3695,4023.4375,1486.7009
289179191,0.3167,4018.5547,1272.7686
289179231,0.4487,4165.0391,1868.8151
289179270,0.3695,4018.5547,1484.8967
289179310,0.3959,4003.9063,1585.1614
289179348,0.3695,4018.5547,1484.8967
289179388,0.3695,4003.9063,1479.4840
289179428,1.6364,3862.3047,6320.2832
289179467,1.6892,3808.5938,6433.4355
289179507,1.9267,3823.2422,7366.3608
289179546,1.9531,3813.4766,7448.1963
289179586,1.5572,3867.1875,6022.0669
289179626,1.7420,3808.5938,6634.4805
289179665,1.4253,3901.3672,5560.4370
289179705,1.5308,3847.6563,5890.0991
289179744,1.3197,3911.1328,5161.4399
289179784,1.3725,3857.4219,5294.1812
289179824,1.3197,3896.4844,5142.1089
289179863,1.4780,3862.3047,5708.6431
289179902,1.4516,3876.9531,5627.9673
289179941,1.2933,3872.0703,5007.6924
289179981,1.4516,3876.9531,5627.9673
289180021,1.3197,3896.4844,5142.1089
289180060,1.4780,3808.5938,5629.2559
289180100,1.2669,3867.1875,4899.3081
289180139,1.4253,3886.7188,5539.5591
289180179,1.3989,3876.9531,5423.3135
289180218,1.4516,3847.6563,5585.4385
289180258,1.2933,3857.4219,4988.7476
289180298,1.2933,3876.9531,5014.0073
289180337,1.2933,3891.6016,5032.9517
289180377,1.4516,3857.4219,5599.6147
289180416,1.4253,3881.8359,5532.5996
289180455,1.3989,3847.6563,5382.3315
289180495,1.5572,3857.4219,6006.8594
289180534,1.9795,3784.1797,7490.8540
289180574,1.7684,3828.1250,6769.5410
289180613,1.5836,3837.8906,6077.7407
289180653,1.8212,3833.0078,6980.5093
289180693,1.5572,3837.8906,5976.4448
289180732,1.7156,3833.0078,6575.8418
289180772,1.4780,3857.4219,5701.4263
289180811,1.6364,3842.7734,6288.3223
289180851,1.7420,3828.1250,6668.5034
289180891,1.6100,3828.1250,6163.3135
289180930,1.5572,3862.3047,6014.4629
289180969,1.3461,3857.4219,5192.3701
289181008,1.6628,3842.7734,6389.7471
289181048,1.5308,3823.2422,5852.7251
289181088,1.7684,3833.0078,6778.1758
289181127,1.5044,3837.8906,5773.8535
289181167,1.3989,3891.6016,5443.8047
289181206,1.5836,3857.4219,6108.6704
289181246,1.4780,3857.4219,5701.4263
289181286,1.8212,3798.8281,6918.2627
289181325,1.6892,3823.2422,6458.1792
289181365,1.5836,3872.0703,6131.8682
289181404,1.5044,3833.0078,5766.5078
289181444,1.6364,3867.1875,6328.2734
289181483,1.7684,3808.5938,6735.0024
289181522,1.5572,3862.3047,6014.4629
289181562,1.6892,3823.2422,6458.1792
289181601,1.5308,3852.5391,5897.5737
289181641,1.7156,3808.5938,6533.9575
289181680,1.5044,3847.6563,5788.5454
289181720,1.4253,3852.5391,5490.8442
289181760,1.7156,3828.1250,6567.4653
289181799,1.4780,3867.1875,5715.8599
289181839,1.6628,3842.7734,6389.7471
289181878,1.5044,3867.1875,5817.9287
289181918,1.4780,3852.5391,5694.2090
289181958,1.4253,3886.7188,5539.5591
289181997,1.5836,3837.8906,6077.7407
289182036,1.7156,3842.7734,6592.5957
289182075,1.3197,3896.4844,5142.1089
289182115,1.5836,3833.0078,6070.0078
289182155,1.5308,3867.1875,5919.9980
289182194,1.6892,3803.7109,6425.1875
289182234,1.5572,3847.6563,5991.6523
289182273,1.3725,3867.1875,5307.5840
289182313,1.5572,3847.6563,5991.6523
289182353,1.3989,3842.7734,5375.5010
289182392,1.4780,3867.1875,5715.8599
289182432,1.3725,3872.0703,5314.2856
289182471,1.5044,3852.5391,5795.8911
289182511,1.5572,3837.8906,5976.4448
289182551,1.6628,3842.7734,6389.7471
289182589,1.4253,3867.1875,5511.7222
289182629,1.6100,3813.4766,6139.7295
289182668,1.5572,3857.4219,6006.8594
289182708,1.6628,3823.2422,6357.2705
289182747,1.6892,3842.7734,6491.1714
289182787,1.4780,3828.1250,5658.1240
289182827,1.6100,3852.5391,6202.6206
289182866,1.6364,3828.1250,6264.3516
289182906,1.6628,3818.3594,6349.1514
289182945,1.5572,3862.3047,6014.4629
289182985,1.5836,3833.0078,6070.0078
289183025,1.5308,3857.4219,5905.0483
289183064,1.6628,3823.2422,6357.2705
289183104,1.3725,3911.1328,5367.8975
289183142,1.5836,3818.3594,6046.8105
289183182,1.4780,3876.9531,5730.2939
289183222,1.6100,3837.8906,6179.0366
289183261,1.4516,3857.4219,5599.6147
289183301,1.2933,3872.0703,5007.6924
289183340,1.5572,3842.7734,5984.0488
289183380,1.3461,3862.3047,5198.9429
289183420,1.3989,3842.7734,5375.5010
289183459,1.4253,3886.7188,5539.5591
289183499,1.5836,3837.8906,6077.7407
289183538,1.5308,3862.3047,5912.5234
289183578,1.6100,3828.1250,6163.3135
289183618,1.4780,3896.4844,5759.1621
289183656,1.3197,3847.6563,5077.6714
289183696,1.3725,3886.7188,5334.3901
289183735,1.5308,3876.9531,5934.9473
289183775,1.4253,3876.9531,5525.6406
289183815,1.3461,3891.6016,5238.3784
289183854,1.4780,3862.3047,5708.6431
289183894,1.3725,3872.0703,5314.2856
289183933,1.4516,3818.3594,5542.9097
289183973,1.3197,3857.4219,5090.5586
289184012,1.4780,3828.1250,5658.1240
289184052,1.4780,3862.3047,5708.6431
289184092,1.4253,3813.4766,5435.1704
289184131,1.2141,3872.0703,4701.0991
289184171,1.4516,3857.4219,5599.6147
289184209,1.4253,3891.6016,5546.5186
289184249,1.5308,3847.6563,5890.0991
289184289,1.4780,3876.9531,5730.2939
289184328,1.3989,3857.4219,5395.9922
289184368,1.3725,3867.1875,5307.5840
