.2159
3S?8795L	.2111,4023.4375,849.5434
349494308,0.2903,4023.4375,1168.1222
349494347,0.3167,4018.5547,1272.7686
349494387,0.2639,4028.3203,1063.2180
349494426,0.2639,4023.4375,1061.9292
349494466,0.2639,4018.5547,1060.6405
349494506,0.2903,3989.2578,1158.1989
349494545,0.3959,4028.3203,1594.8269
349494585,0.2375,4028.3203,956.8962
349494623,0.3695,4023.4375,1486.7009
349494663,0.2639,4033.2031,1064.5067
349494703,0.2639,4028.3203,1063.2180
349494742,0.2111,4008.7891,846.4504
349494780,0.2375,4028.3203,956.8962
349494818,2.1115,3779.2969,7979.9341
349494858,2.4282,3554.6875,8631.5264
349494898,2.1115,3823.2422,8072.7241
349494937,2.0059,3769.5313,7561.3481
349494977,1.6628,3837.8906,6381.6279
349495016,1.4780,3837.8906,5672.5581
349495056,1.5836,3847.6563,6093.2056
349495096,1.5308,3852.5391,5897.5737
349495135,1.6364,3828.1250,6264.3516
349495175,1.6628,3842.7734,6389.7471
349495214,1.6100,3808.5938,6131.8682
349495254,1.6100,3852.5391,6202.6206
349495292,1.6100,3828.1250,6163.3135
349495332,1.6628,3818.3594,6349.1514
349495372,1.6100,3857.4219,6210.4819
349495411,1.8476,3774.4141,6973.4209
349495451,1.6100,3842.7734,6186.8979
349495490,1.5836,3828.1250,6062.2754
349495530,1.5836,3837.8906,6077.7407
349495570,1.5572,3852.5391,5999.2559
349495609,1.6892,3735.3516,6309.7153
349495649,2.0323,3779.2969,7680.6865
349495688,1.8476,3789.0625,7000.4849
349495728,1.6364,3837.8906,6280.3320
349495768,1.7420,3823.2422,6659.9976
349495806,1.7156,3798.8281,6517.2041
349495846,1.7948,3818.3594,6853.0522
349495885,1.9531,3808.5938,7438.6597
349495925,1.8476,3789.0625,7000.4849
349495965,1.7948,3828.1250,6870.5791
349496004,1.6628,3793.9453,6308.5557
349496044,1.6892,3818.3594,6449.9316
349496083,1.8212,3808.5938,6936.0474
349496123,1.9267,3789.0625,7300.5059
