289224&?	r?84,4028.3203,744.2526
289250563,2.1907,3725.5859,8161.5186
289250601,2.1907,3725.5859,8161.5186
289250641,2.1115,3769.5313,7959.3140
289250681,2.2171,3720.7031,8249.0254
289250720,2.1907,3759.7656,8236.3955
289250760,2.2698,3710.9375,8423.2637
289250799,2.3490,3735.3516,8774.4482
289250839,2.2171,3710.9375,8227.3740
289250879,2.1379,3745.1172,8006.6113
289250918,2.1643,3735.3516,8084.3232
289250958,2.1115,3759.7656,7938.6943
289250997,2.0587,3750.0000,7720.1226
289251037,2.1379,3754.8828,8027.4893
289251077,2.2171,3759.7656,8335.6289
289251116,2.2171,3740.2344,8292.3271
289251155,2.3754,3754.8828,8919.4326
289251194,2.1643,3725.5859,8063.1880
289251234,2.2435,3754.8828,8423.9082
289251274,2.2698,3715.8203,8434.3467
289251313,2.1907,3740.2344,8193.6084
289251353,2.2962,3720.7031,8543.6328
289251392,2.3490,3740.2344,8785.9180
289251432,2.2171,3745.1172,8303.1523
289251472,2.2171,3730.4688,8270.6758
289251511,2.0851,3730.4688,7778.3745
289251551,2.1907,3764.6484,8247.0918
289251590,2.0059,3750.0000,7522.1704
289251630,2.0323,3764.6484,7650.9165
289251668,2.1907,3750.0000,8215.0020
289251708,2.1379,3740.2344,7996.1724
289251748,2.2698,3740.2344,8489.7627
289251787,2.2698,3740.2344,8489.7627
289251827,2.2435,3735.3516,8380.0908
289251866,2.3226,3710.9375,8619.1543
289251906,2.2698,3735.3516,8478.6797
289251946,2.4546,3715.8203,9120.8633
289251985,2.3490,3701.1719,8694.1592
289252025,2.2698,3735.3516,8478.6797
289252064,2.2171,3720.7031,8249.0254
289252104,2.3226,3740.2344,8687.2002
289252144,2.1643,3750.0000,8116.0264
289252183,2.1115,3720.7031,7856.2144
289252222,2.1379,3730.4688,7975.2949
289252261,2.1115,3745.1172,7907.7642
289252301,2.0851,3750.0000,7819.0986
289252341,2.1115,3750.0000,7918.0742
289252380,2.0587,3774.4141,7770.3838
289252420,2.2171,3750.0000,8313.9775
289252459,2.2171,3769.5313,8357.2803
289252499,2.1115,3740.2344,7897.4541
289252539,2.1907,3759.7656,8236.3955
289252578,2.1643,3725.5859,8063.1880
289252618,2.2698,3740.2344,8489.7627
289252657,2.2962,3730.4688,8566.0576
289252697,2.2698,3725.5859,8456.5137
289252737,2.3226,3750.0000,8709.8818
289252775,2.3226,3720.7031,8641.8359
289252815,2.2435,3715.8203,8336.2734
289252854,2.2962,3745.1172,8599.6934
289252894,2.3490,3730.4688,8762.9785
289252933,2.2435,3745.1172,8402.0000
289252973,2.1643,3735.3516,8084.3232
289253013,2.2171,3750.0000,8313.9775
289253052,2.2435,3730.4688,8369.1367
289253092,2.1115,3735.3516,7887.1440
289253131,2.2171,3754.8828,8324.8037
289253171,2.1643,3725.5859,8063.1880
289253211,2.2435,3720.7031,8347.2275
289253250,2.2171,3720.7031,8249.0254
289253289,2.2171,3662.1094,8119.1191
289253328,2.2698,3725.5859,8456.5137
289253368,2.1907,3754.8828,8225.6982
289253408,2.0323,3745.1172,7611.2231
289253447,2.1379,3774.4141,8069.2446
289253487,2.1115,3750.0000,7918.0742
289253526,2.1379,3764.6484,8048.3667
289253566,2.1379,3735.3516,7985.7339
289253606,2.0851,3745.1172,7808.9175
289253645,2.1643,3730.4688,8073.7554
289253685,2.1907,3735.3516,8182.9121
289253724,2.2435,3764.6484,8445.8174
289253764,2.2435,3735.3516,8380.0908
289253804,2.2171,3798.8281,8422.2334
289253842,2.2698,3706.0547,8412.1807
289253882,2.2435,3754.8828,8423.9082
289253921,2.1379,3730.4688,7975.2949
289253961,2.1379,3750.0000,8017.0503
289254001,2.1643,3754.8828,8126.5942
289254040,2.0059,3764.6484,7551.5537
289254080,2.1115,3745.1172,7907.7642
289254119,2.0851,3764.6484,7849.6421
289254159,2.1379,3740.2344,7996.1724
289254198,2.1379,3735.3516,7985.7339
289254238,2.2435,3735.3516,8380.0908
289254278,2.2171,3701.1719,8205.7227
289254317,2.3226,3725.5859,8653.1768
289254356,2.3754,3715.8203,8826.6426
289254395,2.2962,3725.5859,8554.8447
289254435,2.2962,3725.5859,8554.8447
289254475,2.2962,3720.7031,8543.6328
289254514,2.2435,3730.4688,8369.1367
289254554,2.1379,3735.3516,7985.7339
289254593,2.2171,3750.0000,8313.9775
289254633,2.0587,3750.0000,7720.1226
289254673,2.1115,3730.4688,7876.8340
289254712,2.1643,3769.5313,8158.2974
289254752,2.1115,3740.2344,7897.4541
289254791,2.1115,3754.8828,7928.3843
289254831,2.2171,3730.4688,8270.6758
289254871,2.1643,3745.1172,8105.4590
289254909,2.2698,3715.8203,8434.3467
289254949,2.2962,3740.2344,8588.4814
289254988,2.2962,3710.9375,8521.2090
289255028,2.2435,3730.4688,8369.1367
289255068,2.1379,3725.5859,7964.8560
289255107,2.1643,3764.6484,8147.7300
289255147,2.1643,3735.3516,8084.3232
289255186,2.1643,3740.2344,8094.8911
289255226,2.1907,3740.2344,8193.6084
289255266,2.1643,3720.7031,8052.6201
289255305,2.1643,3750.0000,8116.0264
289255345,2.1907,3735.3516,8182.9121
289255384,2.1115,3837.8906,8103.6538
289255424,2.1907,3710.9375,8129.4287
289255462,2.1907,3745.1172,8204.3057
289255502,2.2698,3725.5859,8456.5137
289255542,2.1643,3750.0000,8116.0264
289255581,2.2171,3715.8203,8238.1992
289255621,2.2171,3745.1172,8303.1523
289255660,2.1643,3740.2344,8094.8911
289255700,2.2435,3759.7656,8434.8633
289255740,2.2171,3730.4688,8270.6758
289255779,2.0851,3764.6484,7849.6421
289255819,2.1379,3745.1172,8006.6113
289255858,2.1115,3764.6484,7949.0039
289255898,2.1115,3730.4688,7876.8340
289255938,2.1643,3735.3516,8084.3232
289255976,2.2698,3745.1172,8500.8467
289256016,2.1907,3725.5859,8161.5186
289256055,2.3226,3730.4688,8664.5176
289256095,2.2435,3706.0547,8314.3652
289256135,2.1907,3725.5859,8161.5186
289256174,2.1379,3701.1719,7912.6616
289256214,2.1643,3754.8828,8126.5942
289256253,2.2171,3715.8203,8238.1992
289256293,2.2698,3759.7656,8534.0957
289256333,2.1115,3745.1172,7907.7642
289256372,2.0851,3769.5313,7859.8232
289256412,2.1379,3754.8828,8027.4893
289256451,2.0851,3754.8828,7829.2798
289256491,2.1643,3735.3516,8084.3232
289256530,2.2435,3730.4688,8369.1367
289256569,2.2171,3730.4688,8270.6758
289256609,2.2962,3710.9375,8521.2090
289256648,2.4018,3706.0547,8901.2607
289256688,2.4018,3720.7031,8936.4443
289256727,2.5074,3696.2891,9268.0391
289256767,2.2962,3735.3516,8577.2695
289256807,2.4018,3720.7031,8936.4443
289256846,2.2435,3759.7656,8434.8633
289256886,2.1907,3725.5859,8161.5186
289256925,2.0323,3764.6484,7650.9165
289256965,2.1379,3764.6484,8048.3667
289257005,1.9795,3769.5313,7461.8569
289257043,2.2435,3769.5313,8456.7715
289257083,2.2171,3750.0000,8313.9775
289257122,2.1907,3750.0000,8215.0020
289257162,2.1907,3681.6406,8065.2490
289257202,2.1379,3725.5859,7964.8560
289257241,2.2698,3706.0547,8412.1807
289257281,2.2698,3740.2344,8489.7627
289257320,2.2962,3730.4688,8566.0576
289257360,2.3754,3754.8828,8919.4326
289257400,2.3754,3745.1172,8896.2344
289257439,2.3226,3740.2344,8687.2002
289257479,2.2171,3696.2891,8194.8975
289257518,2.2435,3725.5859,8358.1826
289257558,2.2171,3725.5859,8259.8506
289257597,2.2171,3745.1172,8303.1523
289257636,2.3226,3710.9375,8619.1543
289257676,2.3490,3720.7031,8740.0391
289257715,2.3226,3696.2891,8585.1309
289257755,2.1643,3745.1172,8105.4590
289257795,2.1115,3764.6484,7949.0039
289257834,2.1115,3769.5313,7959.3140
289257874,2.1643,3754.8828,8126.5942
289257913,1.9795,3754.8828,7432.8604
289257953,2.0059,3754.8828,7531.9648
289257992,2.1115,3745.1172,7907.7642
289258032,2.1907,3740.2344,8193.6084
289258072,2.3226,3706.0547,8607.8125
289258110,2.2962,3725.5859,8554.8447
289258150,2.4018,3715.8203,8924.7158
289258189,2.2962,3725.5859,8554.8447
289258229,2.2962,3701.1719,8498.7842
289258269,2.2171,3730.4688,8270.6758
289258308,2.1643,3725.5859,8063.1880
289258348,2.2962,3754.8828,8622.1182
289258387,2.1907,3730.4688,8172.2153
289258427,2.2698,3730.4688,8467.5967
289258467,2.2962,3715.8203,8532.4209
289258506,2.3490,3720.7031,8740.0391
289258546,2.4018,3710.9375,8912.9883
289258585,2.3226,3735.3516,8675.8594
289258625,2.2171,3691.4063,8184.0723
289258664,2.1907,3769.5313,8257.7881
289258703,2.0587,3745.1172,7710.0703
289258743,2.1115,3750.0000,7918.0742
289258782,2.1379,3745.1172,8006.6113
289258822,2.0587,3754.8828,7730.1748
289258862,2.1907,3730.4688,8172.2153
289258901,2.2698,3754.8828,8523.0127
289258941,2.2435,3715.8203,8336.2734
289258980,2.2962,3740.2344,8588.4814
289259020,2.3226,3710.9375,8619.1543
289259060,2.3754,3710.9375,8815.0439
289259099,2.2171,3735.3516,8281.5020
289259139,2.2171,3759.7656,8335.6289
289259177,2.1643,3725.5859,8063.1880
289259217,2.1643,3754.8828,8126.5942
289259256,2.1379,3730.4688,7975.2949
289259296,2.2435,3730.4688,8369.1367
289259336,2.3226,3725.5859,8653.1768
289259375,2.4018,3735.3516,8971.6270
289259415,2.2171,3696.2891,8194.8975
289259454,2.2171,3735.3516,8281.5020
289259494,2.2435,3730.4688,8369.1367
289259534,2.2171,3735.3516,8281.5020
289259573,2.1379,3750.0000,8017.0503
289259613,2.0851,3735.3516,7788.5557
289259652,2.0587,3750.0000,7720.1226
289259692,2.0587,3730.4688,7679.9136
289259731,2.1907,3764.6484,8247.0918
289259770,2.1115,3735.3516,7887.1440
289259810,2.3490,3754.8828,8820.3281
289259849,2.1907,3715.8203,8140.1255
289259889,2.2171,3735.3516,8281.5020
289259929,2.3226,3706.0547,8607.8125
289259968,2.2171,3740.2344,8292.3271
289260008,2.2698,3725.5859,8456.5137
289260047,2.2435,3750.0000,8412.9541
289260087,2.0851,3745.1172,7808.9175
289260127,2.1115,3759.7656,7938.6943
289260166,2.0851,3740.2344,7798.7368
289260206,2.1379,3720.7031,7954.4170
289260244,2.3226,3725.5859,8653.1768
289260284,2.3226,3725.5859,8653.1768
289260324,2.3226,3735.3516,8675.8594
289260363,2.4018,3603.5156,8654.9814
289260403,2.4018,3710.9375,8912.9883
289260442,2.3490,3715.8203,8728.5693
289260482,2.2435,3706.0547,8314.3652
289260521,2.1643,3759.7656,8137.1621
289260561,2.0323,3754.8828,7631.0698
289260601,2.1379,3754.8828,8027.4893
289260640,2.1115,3759.7656,7938.6943
289260680,2.1379,3735.3516,7985.7339
289260719,2.3226,3759.7656,8732.5635
289260759,2.1907,3730.4688,8172.2153
289260798,2.2171,3735.3516,8281.5020
289260837,2.1643,3725.5859,8063.1880
289260877,2.2435,3725.5859,8358.1826
289260916,2.2962,3706.0547,8509.9971
289260956,2.2171,3735.3516,8281.5020
289260996,2.2698,3710.9375,8423.2637
289261035,2.2962,3745.1172,8599.6934
289261075,2.2435,3720.7031,8347.2275
289261114,2.2435,3735.3516,8380.0908
289261154,2.1907,3720.7031,8150.8223
289261194,2.0851,3759.7656,7839.4609
289261233,2.0059,3730.4688,7482.9922
289261273,2.1379,3769.5313,8058.8057
289261312,2.1379,3764.6484,8048.3667
289261351,2.0851,3750.0000,7819.0986
289261391,2.1379,3754.8828,8027.4893
289261430,2.2435,3730.4688,8369.1367
289261470,2.1643,3740.2344,8094.8911
289261509,2.2435,3725.5859,8358.1826
289261549,2.4018,3740.2344,8983.3545
289261589,2.2435,3720.7031,8347.2275
289261628,2.2962,3745.1172,8599.6934
289261668,2.3754,3710.9375,8815.0439
289261707,2.2698,3730.4688,8467.5967
289261747,2.2962,3715.8203,8532.4209
289261786,2.1907,3750.0000,8215.0020
289261826,2.3490,3710.9375,8717.0996
289261865,2.2435,3754.8828,8423.9082
289261904,2.3226,3701.1719,8596.4717
289261944,2.2171,3745.1172,8303.1523
289261983,2.2698,3725.5859,8456.5137
289262023,2.1379,3764.6484,8048.3667
289262063,1.9795,3745.1172,7413.5288
289262102,2.1115,3754.8828,7928.3843
289262142,2.1115,3789.0625,8000.5542
289262181,2.2435,3745.1172,8402.0000
289262221,2.2171,3730.4688,8270.6758
289262261,2.1643,3750.0000,8116.0264
289262300,2.2435,3725.5859,8358.1826
289262340,2.1379,3715.8203,7943.9780
289262379,2.1907,3725.5859,8161.5186
289262418,2.2171,3725.5859,8259.8506
289262458,2.1643,3793.9453,8211.1357
289262497,2.2435,3715.8203,8336.2734
289262537,2.2171,3725.5859,8259.8506
289262576,2.2698,3720.7031,8445.4297
289262616,2.2962,3740.2344,8588.4814
289262656,2.2435,3666.9922,8226.7295
289262695,2.2435,3745.1172,8402.0000
289262735,2.2698,3710.9375,8423.2637
289262774,2.1379,3754.8828,8027.4893
289262814,2.1115,3720.7031,7856.2144
289262854,2.2171,3715.8203,8238.1992
289262893,2.1643,3730.4688,8073.7554
289262932,2.3226,3745.1172,8698.5410
289262971,2.2698,3710.9375,8423.2637
289263011,2.2435,3750.0000,8412.9541
289263050,2.2171,3720.7031,8249.0254
289263090,2.1907,3750.0000,8215.0020
289263130,2.2171,3720.7031,8249.0254
289263169,2.2171,3735.3516,8281.5020
289263209,2.2435,3740.2344,8391.0459
289263248,2.3226,3740.2344,8687.2002
289263288,2.1379,3740.2344,7996.1724
289263328,2.1907,3735.3516,8182.9121
289263367,2.1907,3735.3516,8182.9121
289263407,2.2171,3730.4688,8270.6758
289263446,2.1907,3740.2344,8193.6084
289263485,2.2171,3725.5859,8259.8506
289263525,2.1379,3730.4688,7975.2949
289263564,2.1643,3735.3516,8084.3232
289263604,2.2435,3745.1172,8402.0000
289263643,2.2171,3715.8203,8238.1992
289263683,2.1907,3750.0000,8215.0020
289263723,2.1115,3725.5859,7866.5239
289263762,2.2435,3696.2891,8292.4561
289263802,2.1115,3740.2344,7897.4541
289263841,2.1379,3750.0000,8017.0503
289263881,2.1115,3745.1172,7907.7642
289263921,2.0587,3750.0000,7720.1226
289263960,2.1379,3750.0000,8017.0503
289264000,2.1907,3740.2344,8193.6084
289264038,2.2171,3735.3516,8281.5020
289264078,2.1907,3730.4688,8172.2153
289264118,2.2698,3730.4688,8467.5967
289264157,2.1907,3720.7031,8150.8223
289264197,2.1643,3750.0000,8116.0264
289264236,2.1643,3725.5859,8063.1880
289264276,2.3490,3759.7656,8831.7979
289264315,2.2435,3710.9375,8325.3193
289264355,2.1379,3754.8828,8027.4893
289264395,2.2962,3715.8203,8532.4209
289264434,2.0851,3764.6484,7849.6421
289264474,2.1643,3720.7031,8052.6201
289264513,2.2435,3750.0000,8412.9541
289264552,2.1643,3720.7031,8052.6201
289264592,2.2435,3759.7656,8434.8633
289264631,2.1115,3735.3516,7887.1440
289264671,2.1379,3750.0000,8017.0503
289264710,2.2435,3745.1172,8402.0000
289264750,2.2698,3715.8203,8434.3467
289264790,2.3490,3725.5859,8751.5088
289264829,2.2698,3720.7031,8445.4297
289264869,2.2962,3701.1719,8498.7842
289264908,2.3490,3710.9375,8717.0996
289264948,2.3490,3745.1172,8797.3887
289264988,2.2698,3735.3516,8478.6797
289265027,2.1907,3754.8828,8225.6982
289265067,2.1379,3715.8203,7943.9780
289265105,2.2171,3745.1172,8303.1523
289265145,2.1115,3735.3516,7887.1440
289265185,2.1907,3759.7656,8236.3955
289265224,2.2171,3730.4688,8270.6758
289265264,2.1115,3750.0000,7918.0742
289265303,2.1907,3725.5859,8161.5186
289265343,2.1643,3798.8281,8221.7041
289265383,2.2962,3745.1172,8599.6934
289265422,2.4018,3730.4688,8959.8994
289265462,2.1907,3720.7031,8150.8223
289265501,2.1643,3745.1172,8105.4590
289265541,2.2698,3725.5859,8456.5137
289265580,2.2435,3750.0000,8412.9541
289265619,2.1907,3735.3516,8182.9121
289265659,2.0587,3754.8828,7730.1748
289265698,2.1379,3745.1172,8006.6113
289265738,2.0587,3735.3516,7689.9658
289265777,2.2435,3784.1797,8489.6348
289265817,2.1907,3730.4688,8172.2153
289265857,2.2435,3730.4688,8369.1367
289265896,2.2962,3725.5859,8554.8447
289265936,2.2435,3740.2344,8391.0459
289265975,2.3490,3715.8203,8728.5693
289266015,2.3226,3725.5859,8653.1768
289266055,2.2962,3715.8203,8532.4209
289266094,2.2435,3754.8828,8423.9082
289266134,2.1643,3735.3516,8084.3232
289266172,2.1379,3750.0000,8017.0503
289266212,2.1379,3745.1172,8006.6113
289266252,2.1907,3750.0000,8215.0020
289266291,2.1115,3759.7656,7938.6943
289266331,2.1643,3740.2344,8094.8911
289266370,2.1907,3730.4688,8172.2153
289266410,2.3226,3720.7031,8641.8359
289266450,2.2435,3745.1172,8402.0000
289266489,2.1907,3735.3516,8182.9121
289266529,2.1115,3745.1172,7907.7642
289266568,2.1907,3720.7031,8150.8223
289266608,2.1379,3764.6484,8048.3667
289266648,2.3226,3740.2344,8687.2002
289266686,2.2698,3725.5859,8456.5137
289266726,2.2962,3706.0547,8509.9971
289266765,2.2698,3735.3516,8478.6797
289266805,2.2962,3701.1719,8498.7842
289266844,2.3226,3740.2344,8687.2002
289266884,2.2962,3710.9375,8521.2090
289266924,2.1643,3740.2344,8094.8911
289266963,2.2171,3710.9375,8227.3740
289267003,2.2698,3754.8828,8523.0127
289267042,2.2435,3715.8203,8336.2734
289267082,2.2698,3735.3516,8478.6797
289267122,2.1907,3847.6563,8428.9346
289267161,2.2962,3750.0000,8610.9053
289267201,2.1907,3725.5859,8161.5186
289267239,2.2698,3754.8828,8523.0127
289267279,2.0323,3745.1172,7611.2231
289267319,2.0323,3759.7656,7640.9932
289267358,2.1379,3745.1172,8006.6113
289267398,2.0323,3740.2344,7601.2998
289267437,2.1115,3764.6484,7949.0039
289267477,2.1115,3740.2344,7897.4541
289267517,2.1379,3764.6484,8048.3667
289267556,2.1643,3725.5859,8063.1880
289267596,2.2698,3725.5859,8456.5137
289267635,2.3226,3671.8750,8528.4258
289267675,2.2435,3740.2344,8391.0459
289267715,2.1907,3720.7031,8150.8223
289267753,2.2698,3750.0000,8511.9297
289267793,2.2962,3725.5859,8554.8447
289267832,2.3226,3750.0000,8709.8818
289267872,2.4282,3706.0547,8999.0771
289267912,2.2698,3706.0547,8412.1807
289267951,2.2435,3706.0547,8314.3652
289267991,2.2698,3754.8828,8523.0127
289268030,2.2435,3730.4688,8369.1367
289268070,2.2171,3759.7656,8335.6289
289268109,2.2698,3745.1172,8500.8467
289268149,2.1643,3745.1172,8105.4590
289268189,2.1907,3750.0000,8215.0020
289268228,2.0851,3745.1172,7808.9175
289268268,2.0059,3759.7656,7541.7593
289268306,2.0851,3745.1172,7808.9175
289268346,2.1643,3750.0000,8116.0264
289268386,2.2435,3730.4688,8369.1367
289268425,2.2698,3725.5859,8456.5137
289268465,2.3226,3720.7031,8641.8359
289268504,2.2698,3745.1172,8500.8467
289268544,2.2962,3706.0547,8509.9971
289268584,2.3490,3740.2344,8785.9180
289268623,2.2171,3710.9375,8227.3740
289268663,2.1907,3769.5313,8257.7881
289268702,2.1115,3730.4688,7876.8340
289268742,2.0587,3618.1641,7448.7119
289268782,2.2171,3735.3516,8281.5020
289268820,2.1379,3735.3516,7985.7339
289268860,2.1643,3725.5859,8063.1880
289268899,2.1907,3735.3516,8182.9121
289268939,2.2171,3725.5859,8259.8506
289268979,2.1643,3740.2344,8094.8911
289269018,2.2962,3735.3516,8577.2695
289269058,2.2435,3720.7031,8347.2275
289269097,2.1907,3740.2344,8193.6084
289269137,2.2698,3706.0547,8412.1807
289269177,2.2698,3735.3516,8478.6797
289269216,2.1907,3715.8203,8140.1255
289269256,2.2171,3750.0000,8313.9775
289269295,2.1643,3725.5859,8063.1880
289269335,2.2962,3759.7656,8633.3301
289269373,2.1379,3725.5859,7964.8560
289269413,2.2435,3754.8828,8423.9082
289269453,2.2435,3710.9375,8325.3193
289269492,2.1643,3750.0000,8116.0264
289269532,2.1115,3720.7031,7856.2144
289269571,2.1379,3754.8828,8027.4893
289269611,2.1643,3745.1172,8105.4590
289269651,2.2171,3735.3516,8281.5020
289269690,2.1379,3745.1172,8006.6113
289269730,2.1907,3740.2344,8193.6084
289269769,2.1115,3754.8828,7928.3843
289269809,2.1643,3706.0547,8020.9170
289269849,2.1907,3750.0000,8215.0020
289269888,2.2171,3710.9375,8227.3740
289269927,2.1907,3745.1172,8204.3057
289269966,2.2435,3710.9375,8325.3193
289270006,2.1643,3745.1172,8105.4590
289270046,2.2435,3706.0547,8314.3652
289270085,2.2171,3754.8828,8324.8037
289270125,2.1907,3735.3516,8182.9121
289270164,2.1907,3750.0000,8215.0020
289270204,2.1115,3745.1172,7907.7642
289270244,2.1643,3750.0000,8116.0264
289270283,2.2435,3725.5859,8358.1826
289270323,2.1907,3696.2891,8097.3389
289270362,2.2171,3730.4688,8270.6758
289270402,2.2962,3725.5859,8554.8447
289270441,2.1643,3750.0000,8116.0264
289270480,2.1643,3730.4688,8073.7554
289270520,2.2698,3730.4688,8467.5967
289270559,2.3226,3706.0547,8607.8125
289270599,2.2962,3735.3516,8577.2695
289270638,2.2171,3715.8203,8238.1992
289270678,2.1115,3735.3516,7887.1440
289270718,2.1907,3706.0547,8118.7324
289270757,2.1115,3740.2344,7897.4541
289270797,2.3226,3725.5859,8653.1768
289270836,2.2435,3745.1172,8402.0000
289270876,2.2698,3715.8203,8434.3467
289270916,2.2698,3735.3516,8478.6797
289270955,2.1379,3710.9375,7933.5396
289270994,2.1907,3745.1172,8204.3057
289271033,2.2435,3710.9375,8325.3193
289271073,2.2171,3745.1172,8303.1523
289271113,2.2435,3725.5859,8358.1826
289271152,2.2435,3725.5859,8358.1826
289271192,2.2171,3720.7031,8249.0254
289271231,2.1379,3759.7656,8037.9282
289271271,2.1643,3754.8828,8126.5942
289271311,2.0851,3745.1172,7808.9175
289271350,2.0587,3745.1172,7710.0703
289271390,2.0851,3725.5859,7768.1934
289271429,2.1643,3750.0000,8116.0264
289271469,2.2435,3725.5859,8358.1826
289271508,2.2962,3735.3516,8577.2695
289271547,2.2435,3706.0547,8314.3652
289271587,2.2171,3750.0000,8313.9775
289271626,2.2698,3715.8203,8434.3467
289271666,2.2171,3720.7031,8249.0254
289271706,2.2435,3725.5859,8358.1826
289271745,2.3490,3735.3516,8774.4482
289271785,2.2962,3720.7031,8543.6328
289271824,2.2962,3750.0000,8610.9053
289271864,2.2435,3715.8203,8336.2734
289271903,2.1907,3740.2344,8193.6084
289271943,2.1907,3720.7031,8150.8223
289271983,2.2171,3740.2344,8292.3271
289272022,2.2171,3706.0547,8216.5488
289272061,2.2171,3740.2344,8292.3271
289272100,2.2962,3730.4688,8566.0576
289272140,2.3490,3740.2344,8785.9180
289272180,2.2171,3701.1719,8205.7227
289272219,2.1907,3754.8828,8225.6982
289272259,2.1907,3710.9375,8129.4287
289272298,2.0587,3750.0000,7720.1226
289272338,2.0587,3745.1172,7710.0703
289272378,2.0587,3789.0625,7800.5405
289272417,2.2435,3740.2344,8391.0459
289272457,2.1907,3740.2344,8193.6084
289272496,2.1379,3745.1172,8006.6113
289272536,2.1907,3725.5859,8161.5186
289272576,2.2435,3740.2344,8391.0459
289272614,2.3226,3725.5859,8653.1768
289272654,2.3490,3740.2344,8785.9180
289272693,2.1907,3706.0547,8118.7324
289272733,2.2698,3735.3516,8478.6797
289272773,2.2698,3710.9375,8423.2637
289272812,2.3490,3745.1172,8797.3887
289272852,2.2171,3720.7031,8249.0254
289272891,2.2435,3740.2344,8391.0459
289272931,2.1643,3715.8203,8042.0522
289272971,2.1115,3725.5859,7866.5239
289273010,2.1115,3725.5859,7866.5239
289273050,2.1643,3764.6484,8147.7300
289273089,2.1379,3740.2344,7996.1724
289273128,2.1907,3769.5313,8257.7881
289273167,2.2435,3725.5859,8358.1826
289273207,2.3490,3720.7031,8740.0391
289273247,2.2962,3706.0547,8509.9971
289273286,2.4018,3725.5859,8948.1719
289273326,2.2698,3715.8203,8434.3467
289273365,2.2171,3745.1172,8303.1523
289273405,2.1643,3720.7031,8052.6201
289273445,2.2435,3745.1172,8402.0000
289273484,2.1643,3725.5859,8063.1880
289273524,2.2435,3754.8828,8423.9082
289273563,2.2698,3725.5859,8456.5137
289273603,2.2698,3745.1172,8500.8467
289273643,2.1379,3730.4688,7975.2949
289273681,2.0851,3725.5859,7768.1934
289273721,2.1115,3793.9453,8010.8643
289273760,2.1379,3725.5859,7964.8560
289273800,2.1643,3735.3516,8084.3232
289273840,2.1379,3720.7031,7954.4170
289273879,2.1907,3745.1172,8204.3057
289273919,2.2698,3720.7031,8445.4297
289273958,2.1643,3754.8828,8126.5942
289273998,2.1643,3710.9375,8031.4844
289274038,2.2698,3759.7656,8534.0957
289274077,2.1907,3730.4688,8172.2153
289274117,2.1115,3745.1172,7907.7642
289274156,2.0851,3745.1172,7808.9175
289274195,2.1115,3754.8828,7928.3843
289274235,2.1379,3759.7656,8037.9282
289274274,2.2171,3740.2344,8292.3271
289274314,2.1643,3735.3516,8084.3232
289274353,2.1379,3735.3516,7985.7339
289274393,2.1643,3740.2344,8094.8911
289274432,2.2698,3730.4688,8467.5967
289274472,2.2435,3725.5859,8358.1826
289274512,2.3226,3720.7031,8641.8359
289274551,2.4018,3701.1719,8889.5332
289274591,2.3754,3696.2891,8780.2471
289274630,2.3226,3730.4688,8664.5176
289274670,2.2435,3730.4688,8369.1367
289274710,2.0851,3754.8828,7829.2798
289274748,2.0587,3740.2344,7700.0181
289274788,2.0323,3740.2344,7601.2998
289274827,2.2698,3725.5859,8456.5137
289274867,2.2435,3745.1172,8402.0000
289274907,2.2962,3710.9375,8521.2090
289274946,2.1907,3745.1172,8204.3057
289274986,2.2962,3720.7031,8543.6328
289275025,2.1907,3740.2344,8193.6084
289275065,2.2171,3740.2344,8292.3271
289275105,2.1643,3750.0000,8116.0264
289275144,2.1643,3740.2344,8094.8911
289275184,2.0851,3750.0000,7819.0986
289275223,2.1907,3745.1172,8204.3057
289275262,2.1643,3725.5859,8063.1880
289275302,2.3226,3813.4766,8857.3145
289275341,2.3754,3720.7031,8838.2412
289275381,2.2962,3715.8203,8532.4209
289275420,2.2698,3715.8203,8434.3467
289275460,2.2171,3710.9375,8227.3740
289275500,2.2435,3715.8203,8336.2734
289275539,2.3226,3720.7031,8641.8359
289275579,2.1643,3725.5859,8063.1880
289275618,2.2171,3735.3516,8281.5020
289275658,2.1379,3740.2344,7996.1724
289275697,2.1379,3745.1172,8006.6113
289275737,2.1115,3740.2344,7897.4541
289275777,2.1379,3759.7656,8037.9282
289275815,2.1379,3696.2891,7902.2227
289275855,2.2171,3750.0000,8313.9775
289275894,2.1643,3730.4688,8073.7554
289275934,2.1643,3759.7656,8137.1621
289275974,2.0587,3745.1172,7710.0703
289276013,2.1379,3769.5313,8058.8057
289276053,2.1907,3730.4688,8172.2153
289276092,2.2435,3735.3516,8380.0908
289276132,2.1907,3740.2344,8193.6084
289276172,2.2171,3740.2344,8292.3271
289276211,2.1907,3730.4688,8172.2153
289276251,2.2962,3720.7031,8543.6328
289276290,2.3226,3730.4688,8664.5176
289276329,2.2171,3740.2344,8292.3271
289276369,2.1379,3754.8828,8027.4893
289276408,2.1643,3740.2344,8094.8911
289276448,2.0851,3750.0000,7819.0986
289276487,2.1643,3730.4688,8073.7554
289276527,2.2171,3759.7656,8335.6289
289276567,2.1379,3818.3594,8163.1943
289276606,2.2962,3759.7656,8633.3301
289276646,2.2435,3710.9375,8325.3193
289276685,2.1907,3735.3516,8182.9121
289276725,2.2962,3725.5859,8554.8447
289276765,2.2962,3710.9375,8521.2090
289276804,2.2435,3706.0547,8314.3652
