
288383??	r?90,4072.2656,1182.2985
288389447,1.8739,3881.8359,7274.3442
288389487,1.9795,3818.3594,7558.5132
288389527,1.8739,3842.7734,7201.1436
288389566,2.0851,3828.1250,7981.9966
288389606,1.9267,3847.6563,7413.4004
288389645,1.9267,3857.4219,7432.2163
288389685,1.8739,3857.4219,7228.5938
288389725,1.7948,3852.5391,6914.3970
288389764,1.8476,3852.5391,7117.7607
288389804,1.7420,3867.1875,6736.5493
288389842,1.7156,3847.6563,6600.9727
288389882,1.7684,3881.8359,6864.5220
288389922,1.8476,3852.5391,7117.7607
288389961,1.8212,3876.9531,7060.5405
288390001,1.9003,3833.0078,7284.0098
288390040,1.8212,3847.6563,7007.1865
288390080,2.0059,3842.7734,7708.2656
288390120,1.8476,3833.0078,7081.6758
288390159,1.8476,3847.6563,7108.7397
288390199,1.7948,3833.0078,6879.3428
288390238,1.7420,3867.1875,6736.5493
288390278,1.7156,3837.8906,6584.2188
288390317,1.7156,3876.9531,6651.2339
288390356,1.6892,3837.8906,6482.9233
288390396,1.8212,3881.8359,7069.4331
288390435,1.7156,3852.5391,6609.3496
288390475,1.7156,3867.1875,6634.4800
288390514,1.7420,3857.4219,6719.5376
288390554,1.7684,3837.8906,6786.8105
288390594,1.7948,3852.5391,6914.3970
288390633,1.8212,3837.8906,6989.4019
288390673,1.8212,3857.4219,7024.9712
288390712,1.7684,3837.8906,6786.8105
288390752,1.7420,3881.8359,6762.0664
288390792,1.7948,3842.7734,6896.8696
288390831,1.7948,3872.0703,6949.4507
288390871,1.7948,3818.3594,6853.0522
288390909,1.8476,3833.0078,7081.6758
288390949,1.7684,3852.5391,6812.7144
288390989,1.8739,3857.4219,7228.5938
288391028,1.7684,3862.3047,6829.9834
288391068,1.7684,3852.5391,6812.7144
288391107,1.8212,3862.3047,7033.8638
288391147,1.7948,3842.7734,6896.8696
288391187,1.7684,3901.3672,6899.0605
288391226,1.8212,3808.5938,6936.0474
288391266,1.7420,3876.9531,6753.5605
288391305,1.8212,3828.1250,6971.6172
288391345,1.8212,3867.1875,7042.7559
288391385,1.7948,3881.8359,6966.9775
288391424,1.7948,3881.8359,6966.9775
288391463,1.7156,3852.5391,6609.3496
288391502,1.7420,3872.0703,6745.0552
288391542,1.6628,3852.5391,6405.9854
288391581,1.7156,3857.4219,6617.7266
288391621,1.8212,3867.1875,7042.7559
288391661,1.9531,3818.3594,7457.7334
288391700,2.0587,3833.0078,7891.0107
288391740,2.1115,3789.0625,8000.5542
288391779,2.2435,3813.4766,8555.3613
288391819,2.1379,3784.1797,8090.1226
288391859,2.2171,3789.0625,8400.5820
288391898,2.2171,3798.8281,8422.2334
288391938,2.1115,3798.8281,8021.1738
288391976,2.1115,3818.3594,8062.4141
288392016,2.0587,3798.8281,7820.6450
288392056,2.2962,3798.8281,8723.0273
288392095,2.3226,3779.2969,8777.9277
