39,4?????4,069.6617
346694154,0.2375,4042.9688,960.3758
346694193,0.3959,4047.8516,1602.5594
346694232,0.1848,4042.9688,746.9590
346694270,0.2375,4042.9688,960.3758
346694308,0.2375,4057.6172,963.8554
346694347,0.2903,4047.8516,1175.2103
346694387,0.3695,4042.9688,1493.9180
346694426,0.2903,4038.0859,1172.3750
346694466,0.2375,4052.7344,962.6956
346694504,0.2639,4052.7344,1069.6617
346694544,0.2375,4047.8516,961.5356
346694582,0.2111,4057.6172,856.7604
346694621,0.2903,4052.7344,1176.6279
346694661,0.2111,4057.6172,856.7604
346694699,0.3431,4047.8516,1388.8849
346694738,0.2375,4042.9688,960.3758
346694776,0.2639,4047.8516,1068.3729
346694816,0.2639,4047.8516,1068.3729
346694856,0.2375,4047.8516,961.5356
346694894,0.2639,4047.8516,1068.3729
346694934,0.2375,4028.3203,956.8962
346694972,0.2375,4033.2031,958.0560
346695011,0.2375,4023.4375,955.7363
346695050,2.6658,3710.9375,9892.4375
346695089,2.9033,3652.3438,10603.8270
346695130,3.0617,3637.6953,11137.3700
346695170,2.6394,3701.1719,9768.7178
346695209,2.1115,3779.2969,7979.9341
346695249,1.9795,3798.8281,7519.8506
346695288,1.8739,3847.6563,7210.2935
346695328,1.8476,3803.7109,7027.5483
346695367,1.9003,3828.1250,7274.7305
346695407,1.8476,3808.5938,7036.5698
346695446,1.6892,3857.4219,6515.9155
346695486,1.6628,3842.7734,6389.7471
346695526,1.7684,3833.0078,6778.1758
346695565,1.9267,3789.0625,7300.5059
346695605,2.0587,3823.2422,7870.9063
346695644,1.7948,3813.4766,6844.2886
346695684,1.8212,3837.8906,6989.4019
346695724,1.9267,3813.4766,7347.5454
346695762,1.9795,3784.1797,7490.8540
346695802,1.9795,3823.2422,7568.1787
346695841,1.9267,3803.7109,7328.7295
346695881,1.7156,3847.6563,6600.9727
346695921,1.6364,3833.0078,6272.3418
346695960,1.6364,3867.1875,6328.2734
346696000,1.7420,3779.2969,6583.4458
346696039,1.8476,3789.0625,7000.4849
346696079,2.0059,3808.5938,7639.7041
346696119,1.8212,3798.8281,6918.2627
346696158,1.7948,3852.5391,6914.3970
346696198,1.7948,3813.4766,6844.2886
346696237,1.7684,3842.7734,6795.4448
346696276,1.9003,3798.8281,7219.0566
346696316,2.0059,3793.9453,7610.3208
346696355,1.9003,3808.5938,7237.6147
346696395,1.8739,3808.5938,7137.0923
346696434,1.8212,3852.5391,7016.0791
346696474,1.6364,3833.0078,6272.3418
346696514,1.7420,3803.7109,6625.9746
346696553,1.7684,3823.2422,6760.9063
346696593,1.9003,3808.5938,7237.6147
346696632,1.7420,3837.8906,6685.5146
346696672,1.8739,3789.0625,7100.4922
346696711,1.8739,3862.3047,7237.7437
346696751,1.8212,3754.8828,6838.2314
346696791,1.8476,3754.8828,6937.3359
346696829,1.9267,3833.0078,7385.1768
346696869,1.7156,3823.2422,6559.0884
346696908,1.7420,3847.6563,6702.5264
346696948,1.7420,3823.2422,6659.9976
346696988,1.8739,3842.7734,7201.1436
346697027,1.9003,3793.9453,7209.7778
346697067,1.9795,3793.9453,7510.1851
346697106,1.7420,3828.1250,6668.5034
346697146,1.7948,3828.1250,6870.5791
346697186,1.7156,3862.3047,6626.1030
346697225,1.7948,3813.4766,6844.2886
346697265,1.9531,3803.7109,7429.1230
346697304,1.8739,3818.3594,7155.3926
346697344,1.8212,3808.5938,6936.0474
346697383,1.7684,3837.8906,6786.8105
346697422,1.5836,3828.1250,6062.2754
346697462,1.6892,3852.5391,6507.6675
346697501,1.8476,3803.7109,7027.5483
346697541,1.9795,3818.3594,7558.5132
346697581,1.9795,3808.5938,7539.1821
346697620,1.7684,3818.3594,6752.2720
346697660,1.6100,3872.0703,6234.0659
346697699,1.6628,3828.1250,6365.3896
346697739,1.7156,3837.8906,6584.2188
346697779,1.7948,3837.8906,6888.1064
346697818,1.8212,3784.1797,6891.5859
346697858,1.7420,3857.4219,6719.5376
346697896,1.5836,3813.4766,6039.0781
346697936,1.6892,3828.1250,6466.4272
346697975,1.7948,3818.3594,6853.0522
346698015,1.8212,3833.0078,6980.5093
346698055,1.9795,3793.9453,7510.1851
346698094,1.9003,3803.7109,7228.3359
346698134,1.6892,3852.5391,6507.6675
346698173,1.6892,3813.4766,6441.6836
346698213,1.6100,3862.3047,6218.3433
346698253,1.7948,3818.3594,6853.0522
346698292,1.9003,3793.9453,7209.7778
346698332,1.9531,3818.3594,7457.7334
346698371,1.8739,3803.7109,7127.9424
346698411,1.6628,3852.5391,6405.9854
346698450,1.6364,3828.1250,6264.3516
346698489,1.7420,3828.1250,6668.5034
346698529,1.7420,3818.3594,6651.4917
346698568,1.8212,3828.1250,6971.6172
346698608,1.7156,3847.6563,6600.9727
346698648,1.6892,3833.0078,6474.6753
346698687,1.6628,3847.6563,6397.8662
346698727,1.8212,3818.3594,6953.8325
346698766,1.7948,3828.1250,6870.5791
346698806,1.7156,3837.8906,6584.2188
346698846,1.7156,3808.5938,6533.9575
346698885,1.6892,3867.1875,6532.4111
346698925,1.6892,3818.3594,6449.9316
346698963,1.8739,3847.6563,7210.2935
346699003,1.7420,3813.4766,6642.9863
346699043,1.9003,3808.5938,7237.6147
346699082,1.8476,3828.1250,7072.6548
346699122,1.6100,3833.0078,6171.1753
346699161,1.6100,3867.1875,6226.2046
346699201,1.6364,3813.4766,6240.3809
346699240,1.7948,3828.1250,6870.5791
346699280,1.9003,3906.2500,7423.1948
346699320,1.6628,3940.4297,6552.1294
346699359,1.6364,3857.4219,6312.2930
346699399,1.6364,3828.1250,6264.3516
346699438,1.6628,3862.3047,6422.2236
346699478,1.9003,3808.5938,7237.6147
346699517,1.8212,3833.0078,6980.5093
346699556,1.6892,3828.1250,6466.4272
346699596,1.6364,3847.6563,6296.3125
346699635,1.6364,3862.3047,6320.2832
346699675,1.7684,3813.4766,6743.6372
346699715,1.8476,3828.1250,7072.6548
