45625,866.0394
9971348,0.1848,4091.7969,755.9802
9971385,0.2639,4086.9141,1078.6830
9971422,0.1848,4096.6797,756.8823
9971459,0.1848,4091.7969,755.9802
9971494,0.1320,4091.7969,539.9858
9971531,0.1056,4096.6797,432.5042
9971567,0.1320,4096.6797,540.6302
9971604,0.1320,4101.5625,541.2746
9971640,0.2111,4121.0938,870.1634
9971677,0.2111,4096.6797,865.0084
9971714,0.1056,4057.6172,428.3802
9971749,0.1584,4091.7969,647.9830
9971786,0.1848,4091.7969,755.9802
9971822,0.1320,4096.6797,540.6302
9971859,0.1848,4091.7969,755.9802
9971895,0.1848,4233.3984,782.1418
9971932,0.2903,4101.5625,1190.8042
9971969,0.2903,4091.7969,1187.9689
9972006,0.2111,4096.6797,865.0084
9972042,0.1320,4062.5000,536.1196
9972079,0.1584,4101.5625,649.5295
9972116,0.1584,4091.7969,647.9830
9972152,0.1584,4082.0313,646.4365
9972189,0.2375,4082.0313,969.6548
9972225,0.1848,4062.5000,750.5675
9972261,0.2111,4101.5625,866.0394
9972297,0.1320,4101.5625,541.2746
9972334,0.1584,4072.2656,644.8900
9972370,0.1320,4057.6172,535.4752
9972407,0.1584,4091.7969,647.9830
9972444,0.1320,4086.9141,539.3415
9972480,0.2639,4047.8516,1068.3729
9972517,0.1320,4062.5000,536.1196
9972553,0.1320,4057.6172,535.4752
9972590,0.1584,4062.5000,643.3435
9972626,0.1320,4091.7969,539.9858
9972663,0.1584,4091.7969,647.9830
9972699,0.2639,4101.5625,1082.5492
9972737,0.2639,4096.6797,1081.2605
9972773,0.3167,4091.7969,1295.9661
9972811,0.1848,4096.6797,756.8823
9972848,0.1848,4135.7422,764.0994
9972884,0.1584,4082.0313,646.4365
9972921,0.1320,4096.6797,540.6302
9972957,0.1584,4233.3984,670.4072
9972994,0.1320,4067.3828,536.7640
9973029,0.1320,4077.1484,538.0527
9973066,0.2375,4086.9141,970.8147
9973102,0.1848,4086.9141,755.0781
9973139,0.2375,4140.6250,983.5733
9973176,0.2111,4106.4453,867.0704
9973212,0.1584,4096.6797,648.7563
9973249,0.1848,4116.2109,760.4908
9973284,0.1584,4116.2109,651.8492
9973321,0.1584,4067.3828,644.1168
9973357,0.1320,4101.5625,541.2746
9973394,0.1584,4101.5625,649.5295
9973430,0.1848,4096.6797,756.8823
9973467,0.1320,4096.6797,540.6302
9973502,0.1848,4091.7969,755.9802
9973539,0.2903,4091.7969,1187.9689
9973577,0.1320,4091.7969,539.9858
9973613,0.1320,4086.9141,539.3415
9973650,0.2639,4091.7969,1079.9717
9973687,0.1056,4096.6797,432.5042
9973724,0.1584,4101.5625,649.5295
9973760,0.1320,4072.2656,537.4083
9973796,0.1584,4096.6797,648.7563
9973832,0.1848,4091.7969,755.9802
9973869,0.1848,4096.6797,756.8823
9973905,0.2639,4091.7969,1079.9717
9973943,0.2375,4086.9141,970.8147
9973980,0.1056,4096.6797,432.5042
9974016,0.1320,4155.2734,548.3627
9974052,0.1584,4101.5625,649.5295
9974088,0.1848,4096.6797,756.8823
9974125,0.1320,4072.2656,537.4083
9974161,0.1320,4096.6797,540.6302
9974198,0.1056,4096.6797,432.5042
9974234,0.2111,4096.6797,865.0084
9974270,0.1848,4091.7969,755.9802
9974307,0.1056,4057.6172,428.3802
9974343,0.2639,4096.6797,1081.2605
9974381,0.2639,4096.6797,1081.2605
9974418,0.1848,4096.6797,756.8823
9974455,0.1584,4003.9063,634.0645
9974491,0.1584,4091.7969,647.9830
9974528,0.1584,4091.7969,647.9830
9974563,0.1056,4101.5625,433.0197
9974600,0.1584,4086.9141,647.2098
9974636,0.1584,4052.7344,641.7970
9974673,0.1848,4169.9219,770.4142
9974710,0.1320,4062.5000,536.1196
9974746,0.1056,4091.7969,431.9887
9974782,0.1848,4223.6328,780.3376
9974818,0.2111,4091.7969,863.9774
9974855,0.1320,4101.5625,541.2746
9974891,0.1584,4096.6797,648.7563
9974928,0.1584,4096.6797,648.7563
9974964,0.1320,4101.5625,541.2746
9975001,0.1320,4101.5625,541.2746
9975036,0.1056,4096.6797,432.5042
9975073,0.1320,4086.9141,539.3415
9975110,0.1584,4086.9141,647.2098
9975146,0.1848,4091.7969,755.9802
9975183,0.2639,4086.9141,1078.6830
9975220,0.2111,4091.7969,863.9774
9975257,0.1584,4096.6797,648.7563
9975292,0.1848,4091.7969,755.9802
9975329,0.2111,4091.7969,863.9774
9975365,0.1584,4062.5000,643.3435
9975402,0.1320,4091.7969,539.9858
9975439,0.1584,4106.4453,650.3027
9975475,0.2375,4003.9063,951.0968
9975512,0.1584,4101.5625,649.5295
9975547,0.1584,4096.6797,648.7563
9975584,0.1848,4091.7969,755.9802
9975620,0.1584,4091.7969,647.9830
9975657,0.2375,4091.7969,971.9745
9975693,0.1320,4106.4453,541.9189
9975730,0.2375,4101.5625,974.2943
9975766,0.1584,4096.6797,648.7563
9975802,0.1320,4077.1484,538.0527
9975839,0.1584,4091.7969,647.9830
9975875,0.1056,4096.6797,432.5042
9975912,0.1584,4096.6797,648.7563
9975948,0.1320,4096.6797,540.6302
9975985,0.1584,4091.7969,647.9830
9976020,0.1584,4101.5625,649.5295
9976057,0.1584,4086.9141,647.2098
9976093,0.1584,3925.7813,621.6925
9976130,0.1320,4052.7344,534.8309
9976166,0.1584,4096.6797,648.7563
9976203,0.1056,4135.7422,436.6282
9976240,0.2111,4101.5625,866.0394
9976275,0.1584,4091.7969,647.9830
9976312,0.1584,4096.6797,648.7563
9976348,0.1848,4096.6797,756.8823
9976385,0.1584,4091.7969,647.9830
9976421,0.1320,4101.5625,541.2746
9976458,0.2639,4091.7969,1079.9717
9976495,0.1584,4072.2656,644.8900
9976531,0.1584,4096.6797,648.7563
9976567,0.1584,4072.2656,644.8900
9976604,0.1584,4091.7969,647.9830
9976641,0.1320,4096.6797,540.6302
9976677,0.1584,4101.5625,649.5295
9976714,1.6100,3779.2969,6084.7002
9976751,1.4253,3867.1875,5511.7222
9976788,1.2933,3925.7813,5077.1558
9976825,1.3197,3906.2500,5154.9961
9976863,1.2141,3862.3047,4689.2427
9976900,1.4516,3813.4766,5535.8213
9976938,1.1613,3862.3047,4485.3623
9976976,1.1877,3920.8984,4656.8945
9977013,1.2669,3940.4297,4992.0981
9977051,1.1085,3930.6641,4357.2607
9977088,1.3989,3867.1875,5409.6528
9977125,1.1349,3852.5391,4372.3389
9977162,1.1613,3886.7188,4513.7148
9977200,1.2405,3901.3672,4839.6392
9977238,1.2141,3974.6094,4825.5923
9977275,1.1877,3891.6016,4622.0986
9977313,1.2405,3852.5391,4779.0684
9977350,1.2669,3852.5391,4880.7505
9977388,1.3461,3862.3047,5198.9429
9977424,1.1877,3950.1953,4691.6909
9977462,1.3989,3881.8359,5430.1440
9977499,1.2669,3872.0703,4905.4941
9977537,1.3461,3852.5391,5185.7974
9977575,1.5572,3793.9453,5908.0122
9977612,1.3197,3896.4844,5142.1089
9977650,1.3725,3911.1328,5367.8975
9977687,1.3461,3896.4844,5244.9512
9977724,1.5572,3833.0078,5968.8413
9977761,1.5044,3813.4766,5737.1240
9977799,1.5836,3798.8281,6015.8804
9977837,1.5572,3852.5391,5999.2559
9977874,1.3725,3842.7734,5274.0767
9977912,1.7420,3842.7734,6694.0205
9977949,1.6628,3823.2422,6357.2705
9977987,1.5044,3774.4141,5678.3574
9978023,1.6100,3740.2344,6021.8091
9978061,1.8212,3808.5938,6936.0474
9978098,1.7420,3872.0703,6745.0552
9978136,1.6364,3833.0078,6272.3418
9978174,1.6628,3789.0625,6300.4365
9978211,1.6100,3740.2344,6021.8091
9978249,1.9003,3774.4141,7172.6616
9978286,1.6892,3813.4766,6441.6836
9978323,1.8212,3823.2422,6962.7246
9978360,1.7420,3837.8906,6685.5146
9978398,1.8212,3750.0000,6829.3394
9978436,1.8212,3725.5859,6784.8774
9978473,1.6892,3740.2344,6317.9634
9978511,2.0323,3715.8203,7551.6831
9978548,1.6892,3803.7109,6425.1875
9978586,1.6892,3823.2422,6458.1792
9978622,1.5836,3803.7109,6023.6128
9978660,1.6892,3769.5313,6367.4517
9978697,1.8739,3725.5859,6981.5405
9978735,1.7684,3793.9453,6709.0986
9978773,2.0851,3803.7109,7931.0913
