timestamp,kalman.stateZ,gyro.x,gyro.xRaw,gyro.xVariance,gyro.y,gyro.yRaw,gyro.yVariance
0,0.2706807553768158,-0.11695455759763718,1,6524.0,4.444826602935791,72,9961.0
10,0.2706763744354248,-0.2287333458662033,-4,6524.0,4.440016746520996,76,9961.0
20,0.27070924639701843,-0.16396121680736542,1,6524.0,4.554255485534668,77,9961.0
30,0.2696518003940582,0.2347685694694519,4,6524.0,4.539382457733154,75,9961.0
40,0.26959341764450073,0.11142340302467346,4,6524.0,4.287715435028076,75,9961.0
50,0.2694937288761139,-0.0985647514462471,5,6524.0,4.285515308380127,75,9961.0
60,0.26980191469192505,-0.03260830417275429,0,6524.0,4.0295939445495605,64,9961.0
70,0.26976361870765686,-0.06301616132259369,4,6524.0,3.75864315032959,59,9961.0
80,0.2697751820087433,0.09261255711317062,7,6524.0,3.3565266132354736,54,9961.0
90,0.2697359025478363,-0.4531201422214508,5,6524.0,2.990034580230713,51,9961.0
100,0.2696952223777771,0.04915139451622963,-2,6524.0,2.6785640716552734,42,9961.0
110,0.269676148891449,-0.07364892214536667,4,6524.0,2.231478452682495,31,9961.0
120,0.27092117071151733,0.1718890517950058,2,6524.0,1.6773172616958618,27,9961.0
130,0.2709496021270752,0.05623803287744522,2,6524.0,1.1940913200378418,13,9961.0
140,0.27097630500793457,-0.10129177570343018,-3,6524.0,0.8132563233375549,7,9961.0
150,0.27100294828414917,0.14112533628940582,1,6524.0,0.335468053817749,8,9961.0
160,0.2705981731414795,0.0450209341943264,3,6524.0,-0.525171160697937,-13,9961.0
170,0.27060478925704956,-0.33104491233825684,-10,6524.0,-0.9819832444190979,-24,9961.0
180,0.2706027030944824,0.16822557151317596,1,6524.0,-2.468332052230835,-44,9961.0
190,0.2706162929534912,1.2219586372375488,22,6524.0,-2.880641222000122,-55,9961.0
200,0.27064165472984314,0.7148424386978149,24,6524.0,-4.074510097503662,-85,9961.0
210,0.27197349071502686,3.6185951232910156,51,6524.0,-7.750243186950684,-123,9961.0
220,0.27207571268081665,3.5126192569732666,116,6524.0,-9.242022514343262,-201,9961.0
230,0.2721824645996094,4.322237968444824,80,6524.0,-9.399364471435547,-201,9961.0
240,0.2722872197628021,7.48522424697876,84,6524.0,-11.377317428588867,-185,9961.0
250,0.2702791094779968,8.00113582611084,81,6524.0,-12.100042343139648,-178,9961.0
260,0.27029988169670105,7.543501853942871,95,6524.0,-11.34091567993164,-196,9961.0
270,0.2702888548374176,6.037269592285156,125,6524.0,-10.19300651550293,-221,9961.0
280,0.2703210115432739,4.04902458190918,108,6524.0,-11.07976245880127,-156,9961.0
290,0.2702680826187134,5.627943515777588,55,6524.0,-5.19447135925293,4,9961.0
300,0.2709999680519104,5.279232025146484,57,6524.0,1.6096268892288208,-38,9961.0
310,0.2710520029067993,1.5030559301376343,84,6524.0,1.7617512941360474,119,9961.0
320,0.2711487114429474,1.8282712697982788,-28,6524.0,6.625146865844727,36,9961.0
