394.3359,2103.367228.5156,1674.0850
37888497,0.4223,4106.4453,1734.1407
37888535,0.4751,4111.3281,1953.2280
37888574,0.3695,4111.3281,1519.1775
37888612,0.5543,4116.2109,2281.4724
37888651,0.4223,4116.2109,1738.2648
37888690,0.4487,4121.0938,1849.0972
37888728,0.4223,4121.0938,1740.3268
37888766,0.3959,4111.3281,1627.6901
37888804,0.4223,4116.2109,1738.2648
37888843,0.4223,4121.0938,1740.3268
37888881,0.4751,4111.3281,1953.2280
37888920,0.4751,4111.3281,1953.2280
37888959,0.4223,4121.0938,1740.3268
37888997,0.5015,4111.3281,2061.7407
37889036,0.3959,4096.6797,1621.8906
37889074,0.4223,4111.3281,1736.2028
37889113,0.3695,4135.7422,1528.1987
37889150,0.4487,4111.3281,1844.7155
37889189,0.3959,4116.2109,1629.6232
37889228,0.5015,4111.3281,2061.7407
37889266,0.3959,4121.0938,1631.5563
37889305,0.4223,4111.3281,1736.2028
37889343,0.4487,4160.1563,1866.6243
37889382,0.3959,4116.2109,1629.6232
37889420,0.4223,4116.2109,1738.2648
37889459,0.3695,4121.0938,1522.7859
37889498,0.3959,4130.8594,1635.4225
37889536,0.3959,4116.2109,1629.6232
37889574,0.3959,4116.2109,1629.6232
37889612,3.2200,3730.4688,12012.1730
37889652,3.2992,3730.4688,12307.5540
37889692,3.1144,3808.5938,11861.6460
37889731,2.5074,3852.5391,9659.8193
37889770,2.3226,3876.9531,9004.7480
37889808,2.0059,3881.8359,7786.6216
37889847,2.0587,3930.6641,8092.0557
37889885,1.8739,3945.3125,7393.2959
37889924,2.0059,3901.3672,7825.7993
37889963,2.0323,3950.1953,8028.0044
37890000,1.7948,3935.5469,7063.3760
37890039,1.7948,3969.7266,7124.7207
37890077,1.7948,3959.9609,7107.1938
37890116,2.2171,3896.4844,8638.7432
37890155,1.8739,3916.0156,7338.3950
37890193,1.9267,3911.1328,7535.7026
37890232,1.9795,3935.5469,7790.4878
37890270,2.0323,3940.4297,8008.1577
37890309,2.2962,3872.0703,8891.2090
37890347,2.0059,3896.4844,7816.0049
37890385,2.0587,3891.6016,8011.6377
37890424,1.9531,3925.7813,7667.5415
37890462,2.1115,3920.8984,8278.9238
37890501,2.3754,3847.6563,9139.8086
37890539,2.0587,3901.3672,8031.7422
37890578,2.1907,3896.4844,8535.9004
37890616,1.9795,3925.7813,7771.1567
37890655,2.1115,3916.0156,8268.6143
37890694,2.1643,3911.1328,8464.7617
37890732,1.9531,3886.7188,7591.2476
37890770,1.9267,3906.2500,7526.2949
37890808,1.8476,3925.7813,7253.0796
37890847,2.2435,3891.6016,8730.6309
37890886,2.1115,3881.8359,8196.4443
37890924,2.2435,3901.3672,8752.5400
37890963,1.9795,3906.2500,7732.4941
37891001,1.9267,3896.4844,7507.4790
37891040,2.2435,3891.6016,8730.6309
37891078,2.1643,3901.3672,8443.6270
37891117,2.0059,3916.0156,7855.1831
37891155,1.8476,3901.3672,7207.9736
37891193,2.1643,3886.7188,8411.9229
37891232,2.0587,3886.7188,8001.5854
37891270,2.0323,3920.8984,7968.4644
37891309,1.8739,3955.0781,7411.5962
37891347,1.8476,3906.2500,7216.9946
37891386,2.1115,3872.0703,8175.8237
37891425,2.1643,3857.4219,8348.5166
37891463,2.0323,3911.1328,7948.6177
37891502,2.0851,3911.1328,8155.0757
37891539,2.1907,3906.2500,8557.2939
37891578,2.1643,3891.6016,8422.4912
37891616,2.0587,3896.4844,8021.6899
37891655,2.0587,3896.4844,8021.6899
37891694,2.0323,3906.2500,7938.6943
37891732,2.2435,3906.2500,8763.4941
37891771,2.0323,3911.1328,7948.6177
37891809,2.1115,3896.4844,8227.3740
37891848,2.1643,3872.0703,8380.2197
37891887,1.9795,3920.8984,7761.4912
37891924,1.9795,3930.6641,7780.8223
37891963,1.8476,3920.8984,7244.0586
37892001,2.2171,3881.8359,8606.2666
37892040,2.0587,3891.6016,8011.6377
37892078,2.0587,3891.6016,8011.6377
37892117,2.0851,3911.1328,8155.0757
37892156,2.1643,3901.3672,8443.6270
37892194,2.1379,3896.4844,8330.2168
37892233,2.2435,3862.3047,8664.9043
37892271,2.1115,3857.4219,8144.8940
37892310,2.0059,3920.8984,7864.9775
37892347,2.0587,3935.5469,8102.1079
37892386,1.9531,3911.1328,7638.9312
37892425,2.0323,3867.1875,7859.3071
37892463,1.9267,3911.1328,7535.7026
37892502,2.1907,3886.7188,8514.5068
37892540,2.0059,3920.8984,7864.9775
37892579,2.0059,3916.0156,7855.1831
37892618,2.0059,3901.3672,7825.7993
37892656,1.9267,3896.4844,7507.4790
37892695,2.1115,3886.7188,8206.7539
37892732,2.0587,3911.1328,8051.8467
37892771,2.0587,3916.0156,8061.8989
37892809,2.0323,3916.0156,7958.5410
37892848,2.2171,3876.9531,8595.4404
37892887,2.0323,3881.8359,7889.0771
37892925,2.1115,3901.3672,8237.6836
37892964,2.0059,3916.0156,7855.1831
37893002,2.0851,3911.1328,8155.0757
37893041,2.0587,3891.6016,8011.6377
37893079,2.1379,3896.4844,8330.2168
37893117,1.9795,3896.4844,7713.1631
37893156,1.9795,3925.7813,7771.1567
37893194,2.0323,3916.0156,7958.5410
37893233,2.1115,3881.8359,8196.4443
37893271,2.2171,3867.1875,8573.7900
37893310,2.0851,3896.4844,8124.5322
37893349,2.1643,3862.3047,8359.0850
37893387,2.2171,3876.9531,8595.4404
37893426,2.1907,3896.4844,8535.9004
37893464,2.1115,3891.6016,8217.0635
37893502,1.9795,3896.4844,7713.1631
37893540,2.1379,3911.1328,8361.5332
37893579,2.0851,3916.0156,8165.2568
37893618,2.0587,3906.2500,8041.7944
37893656,1.9531,3906.2500,7629.3945
37893695,2.0323,3891.6016,7908.9243
37893733,2.1115,3901.3672,8237.6836
37893772,2.0059,3925.7813,7874.7720
37893810,2.0587,3906.2500,8041.7944
37893849,2.1907,3872.0703,8482.4170
37893888,2.2435,3872.0703,8686.8135
37893925,2.1643,3872.0703,8380.2197
37893964,2.0851,3881.8359,8093.9893
37894002,2.1643,3911.1328,8464.7617
