8404,0.2??????	516,1175.2103
356964806,0.3167,4057.6172,1285.1405
356964845,0.2111,4057.6172,856.7604
356964884,0.3167,4018.5547,1272.7686
356964923,0.2639,4062.5000,1072.2393
356964963,0.2639,4057.6172,1070.9504
356965003,0.2639,4042.9688,1067.0842
356965042,0.2111,4057.6172,856.7604
356965081,0.2639,4067.3828,1073.5280
356965120,0.2639,4033.2031,1064.5067
356965159,0.3167,4047.8516,1282.0475
356965199,0.3431,4062.5000,1393.9110
356965238,0.2639,4062.5000,1072.2393
356965278,1.5044,3901.3672,5869.3501
356965317,1.5572,3901.3672,6075.2920
356965357,1.5572,3867.1875,6022.0669
356965397,1.5044,3872.0703,5825.2744
356965436,1.3725,3935.5469,5401.4053
356965476,1.2669,3916.0156,4961.1685
356965515,1.2669,3920.8984,4967.3540
356965555,1.4780,3886.7188,5744.7280
356965595,1.2141,3916.0156,4754.4531
356965634,1.4780,3862.3047,5708.6431
356965673,1.2405,3940.4297,4888.0962
356965712,1.3989,3911.1328,5471.1265
356965752,1.2405,3901.3672,4839.6392
356965792,1.4516,3891.6016,5649.2314
356965831,1.1877,3940.4297,4680.0923
356965871,1.5308,3857.4219,5905.0483
356965910,1.2669,3916.0156,4961.1685
356965950,1.5572,3906.2500,6082.8955
356965990,1.7156,3872.0703,6642.8569
356966029,1.6100,3847.6563,6194.7593
356966069,1.7684,3852.5391,6812.7144
356966108,1.4516,3881.8359,5635.0552
356966148,1.4780,3867.1875,5715.8599
356966187,1.3461,4042.9688,5442.1299
356966226,1.6364,3876.9531,6344.2539
356966266,1.6100,3862.3047,6218.3433
356966305,1.6892,3867.1875,6532.4111
356966345,1.8739,3842.7734,7201.1436
356966384,1.6364,3862.3047,6320.2832
356966424,1.7420,3837.8906,6685.5146
356966464,1.7156,3837.8906,6584.2188
356966503,1.9267,3852.5391,7422.8081
356966543,1.6100,3852.5391,6202.6206
356966582,1.7420,3842.7734,6694.0205
356966622,1.4780,3891.6016,5751.9448
356966662,1.6100,3881.8359,6249.7886
356966701,1.4516,3872.0703,5620.8789
356966740,1.5044,3876.9531,5832.6206
356966779,1.7684,3847.6563,6804.0796
356966819,1.8739,3828.1250,7173.6929
356966859,1.6100,3847.6563,6194.7593
356966898,1.7420,3852.5391,6711.0322
356966938,1.6364,3862.3047,6320.2832
356966977,1.7948,3833.0078,6879.3428
356967017,1.5836,3867.1875,6124.1353
356967057,1.6364,3881.8359,6352.2441
356967096,1.4516,3886.7188,5642.1436
356967136,1.5044,3862.3047,5810.5830
356967175,1.4780,3876.9531,5730.2939
356967215,1.7684,3867.1875,6838.6182
356967255,1.7156,3847.6563,6600.9727
356967293,1.6100,3828.1250,6163.3135
356967333,1.8476,3847.6563,7108.7397
356967372,1.7684,3706.0547,6553.6758
356967412,1.8739,3823.2422,7164.5430
356967451,1.6364,3847.6563,6296.3125
356967491,1.9003,3837.8906,7293.2886
356967531,1.7948,3842.7734,6896.8696
356967570,1.6892,3847.6563,6499.4194
356967610,1.6100,3876.9531,6241.9272
356967649,1.5836,3876.9531,6139.6006
356967689,1.5836,3876.9531,6139.6006
356967729,1.6100,3857.4219,6210.4819
356967768,1.6364,3862.3047,6320.2832
356967808,1.7156,3867.1875,6634.4800
356967846,1.7948,3837.8906,6888.1064
356967886,1.5836,3842.7734,6085.4731
356967926,1.9003,3925.7813,7460.3105
356967965,1.8476,3823.2422,7063.6333
356968005,1.8212,3798.8281,6918.2627
356968044,1.6628,3862.3047,6422.2236
356968084,1.7156,3867.1875,6634.4800
356968124,1.6364,3862.3047,6320.2832
356968163,1.5308,3837.8906,5875.1494
356968203,1.5308,3896.4844,5964.8467
356968242,1.5572,3881.8359,6044.8774
356968282,1.5836,3867.1875,6124.1353
356968322,1.6364,3857.4219,6312.2930
356968360,1.4516,3896.4844,5656.3193
356968400,1.7156,3823.2422,6559.0884
356968439,1.7948,3818.3594,6853.0522
356968479,1.7156,3857.4219,6617.7266
356968519,1.6628,3813.4766,6341.0322
356968558,1.5572,3847.6563,5991.6523
356968598,1.8212,3823.2422,6962.7246
356968637,1.6100,3886.7188,6257.6499
356968677,1.7948,3808.5938,6835.5254
356968716,1.7684,3828.1250,6769.5410
356968756,1.6892,3852.5391,6507.6675
356968796,1.3989,3896.4844,5450.6353
356968835,1.5044,3876.9531,5832.6206
356968875,1.6100,3872.0703,6234.0659
356968913,1.4780,3862.3047,5708.6431
356968953,1.4516,3901.3672,5663.4077
356968993,1.6100,3862.3047,6218.3433
356969032,1.8476,3837.8906,7090.6973
356969072,1.6364,3842.7734,6288.3223
356969111,1.7420,3857.4219,6719.5376
356969151,1.5572,3847.6563,5991.6523
356969191,1.5572,3842.7734,5984.0488
356969230,1.5308,3901.3672,5972.3213
356969270,1.5044,3872.0703,5825.2744
356969309,1.5308,3896.4844,5964.8467
356969349,1.4516,3906.2500,5670.4956
356969389,1.6100,3881.8359,6249.7886
356969427,1.6100,3867.1875,6226.2046
356969467,1.6628,3818.3594,6349.1514
356969506,1.6100,3867.1875,6226.2046
356969546,1.7684,3852.5391,6812.7144
356969586,1.7156,3852.5391,6609.3496
356969625,1.7684,3833.0078,6778.1758
356969665,1.6892,3891.6016,6573.6514
356969704,1.4253,3886.7188,5539.5591
356969744,1.4780,3876.9531,5730.2939
356969784,1.5044,3847.6563,5788.5454
356969823,1.7684,3862.3047,6829.9834
356969863,1.5308,3857.4219,5905.0483
356969902,1.5044,3862.3047,5810.5830
356969942,1.5308,3896.4844,5964.8467
356969980,1.6364,3857.4219,6312.2930
356970020,1.5308,3867.1875,5919.9980
356970060,1.6364,3867.1875,6328.2734
356970099,1.5044,3881.8359,5839.9663
356970139,1.6100,3852.5391,6202.6206
356970178,1.4780,3881.8359,5737.5112
356970218,1.6100,3896.4844,6273.3730
356970258,1.5044,3886.7188,5847.3125
356970297,1.6628,3857.4219,6414.1045
356970337,1.4516,3891.6016,5649.2314
356970376,1.9003,3847.6563,7311.8467
356970416,1.6364,3691.4063,6040.6245
356970456,1.7684,3847.6563,6804.0796
356970494,1.6100,3876.9531,6241.9272
356970534,1.6892,3862.3047,6524.1636
356970573,1.5044,3881.8359,5839.9663
356970613,1.4253,3881.8359,5532.5996
356970653,1.2405,3916.0156,4857.8105
356970692,1.2141,3901.3672,4736.6685
356970732,1.4253,3867.1875,5511.7222
356970771,1.3725,3911.1328,5367.8975
356970811,1.4516,3872.0703,5620.8789
356970851,1.5044,3872.0703,5825.2744
356970890,1.5308,3867.1875,5919.9980
356970930,1.2405,3916.0156,4857.8105
356970969,1.4253,3881.8359,5532.5996
356971009,1.2933,3901.3672,5045.5815
356971048,1.6100,3847.6563,6194.7593
356971087,1.7420,3833.0078,6677.0093
356971127,1.9795,3803.7109,7529.5161
356971166,1.8212,3842.7734,6998.2939
356971206,1.8212,3837.8906,6989.4019
356971245,1.3725,3891.6016,5341.0918
356971285,1.6100,3881.8359,6249.7886
356971325,1.5308,3891.6016,5957.3716
356971364,1.7156,3808.5938,6533.9575
356971404,1.6628,3828.1250,6365.3896
356971443,1.6100,3896.4844,6273.3730
356971483,1.9531,3828.1250,7476.8066
356971523,2.0587,3784.1797,7790.4883
356971561,2.1379,3808.5938,8142.3169
356971601,2.0587,3916.0156,8061.8989
356971640,2.0059,3779.2969,7580.9370
356971680,2.0059,3774.4141,7571.1426
356971720,1.6628,3862.3047,6422.2236
356971759,1.6892,3833.0078,6474.6753
356971799,1.7156,3833.0078,6575.8418
356971838,1.8739,3813.4766,7146.2427
356971878,1.7156,3828.1250,6567.4653
356971918,1.8476,3950.1953,7298.1860
356971957,1.9531,3803.7109,7429.1230
356971997,1.9531,3818.3594,7457.7334
356972036,1.9795,3798.8281,7519.8506
356972076,1.9267,3784.1797,7291.0981
356972115,2.1643,3784.1797,8190.0005
356972154,2.0851,3789.0625,7900.5479
356972194,1.9795,3789.0625,7500.5195
356972233,1.9531,3818.3594,7457.7334
356972273,2.1379,3803.7109,8131.8779
356972313,1.8212,3842.7734,6998.2939
356972352,1.8476,3808.5938,7036.5698
356972392,2.0323,3837.8906,7799.7671
356972431,1.9267,3828.1250,7375.7690
356972471,1.7948,3808.5938,6835.5254
356972510,1.9003,3828.1250,7274.7305
356972550,2.0587,3813.4766,7850.8018
356972590,1.9531,3798.8281,7419.5859
356972628,1.9267,3793.9453,7309.9141
356972668,2.1379,3793.9453,8111.0000
356972707,2.1379,3793.9453,8111.0000
356972747,2.0587,3769.5313,7760.3315
356972787,2.1115,3798.8281,8021.1738
356972826,2.0323,3798.8281,7720.3799
356972866,2.0323,3793.9453,7710.4565
356972905,1.9003,3813.4766,7246.8936
356972945,1.9531,3847.6563,7514.9536
356972985,1.9795,3798.8281,7519.8506
356973024,2.0323,3784.1797,7690.6099
356973064,2.1115,3803.7109,8031.4839
356973103,2.1643,3784.1797,8190.0005
356973143,2.1115,3759.7656,7938.6943
356973182,2.3226,3725.5859,8653.1768
356973221,2.3226,3784.1797,8789.2686
356973261,2.1907,3784.1797,8289.8779
356973300,2.1379,3764.6484,8048.3667
356973340,2.2698,3774.4141,8567.3457
356973380,1.9531,3813.4766,7448.1963
356973419,1.9267,3793.9453,7309.9141
356973459,2.2171,3784.1797,8389.7568
356973498,2.1115,3808.5938,8041.7939
356973538,1.9531,3784.1797,7390.9761
356973578,2.0059,3798.8281,7620.1152
356973617,2.1643,3813.4766,8253.4072
356973657,2.2698,3793.9453,8611.6787
356973696,2.0851,3774.4141,7870.0044
356973735,2.1643,3793.9453,8211.1357
356973774,2.2962,3779.2969,8678.1787
356973814,2.2962,3779.2969,8678.1787
356973854,2.3226,3750.0000,8709.8818
356973893,2.1907,3774.4141,8268.4854
356973933,2.2962,3745.1172,8599.6934
356973972,2.0587,3789.0625,7800.5405
356974012,2.1907,3798.8281,8321.9678
356974052,2.1115,3789.0625,8000.5542
356974091,1.9795,3789.0625,7500.5195
356974131,2.0587,3793.9453,7810.5928
356974170,2.0587,3793.9453,7810.5928
356974210,2.2962,3754.8828,8622.1182
356974249,2.1379,3769.5313,8058.8057
356974288,2.2171,3793.9453,8411.4072
356974328,2.3754,3754.8828,8919.4326
356974367,2.3226,3730.4688,8664.5176
356974407,2.3754,3818.3594,9070.2158
356974447,2.3226,3750.0000,8709.8818
356974486,2.4018,3730.4688,8959.8994
356974526,2.3226,3754.8828,8721.2227
356974565,2.0587,3774.4141,7770.3838
356974605,2.0851,3769.5313,7859.8232
356974645,2.1379,3735.3516,7985.7339
356974684,2.1115,3774.4141,7969.6240
356974724,1.9267,3793.9453,7309.9141
356974763,1.9795,3823.2422,7568.1787
356974802,2.1907,3779.2969,8279.1816
356974842,2.0587,3789.0625,7800.5405
356974881,2.3226,3750.0000,8709.8818
356974921,2.2962,3769.5313,8655.7539
356974960,2.3490,3745.1172,8797.3887
356975000,2.2435,3764.6484,8445.8174
356975039,2.2435,3793.9453,8511.5439
356975079,2.4018,3769.5313,9053.7197
356975119,2.2962,3754.8828,8622.1182
356975158,2.1115,3784.1797,7990.2441
356975198,2.0851,3803.7109,7931.0913
356975237,2.3226,3754.8828,8721.2227
356975277,2.1379,3793.9453,8111.0000
356975316,2.0059,3828.1250,7678.8823
356975355,1.9531,3793.9453,7410.0493
356975395,2.2171,3750.0000,8313.9775
356975434,2.1643,3803.7109,8232.2715
356975474,2.2435,3779.2969,8478.6807
356975514,2.1379,3764.6484,8048.3667
356975553,2.2698,3774.4141,8567.3457
356975593,2.2435,3745.1172,8402.0000
356975632,2.1379,3784.1797,8090.1226
356975672,2.4282,3769.5313,9153.2119
356975712,2.2171,3789.0625,8400.5820
356975751,2.2435,3759.7656,8434.8633
356975791,2.1907,3769.5313,8257.7881
356975830,2.2698,3759.7656,8534.0957
356975869,2.2698,3745.1172,8500.8467
356975909,2.3226,3745.1172,8698.5410
356975948,2.4546,3759.7656,9228.7314
356975988,2.4810,3735.3516,9267.3945
356976027,2.2435,3745.1172,8402.0000
356976067,2.2435,3779.2969,8478.6807
356976107,2.3490,3759.7656,8831.7979
356976146,2.2435,3735.3516,8380.0908
356976186,2.1643,3789.0625,8200.5684
356976225,2.0323,3818.3594,7760.0737
356976265,2.1907,3769.5313,8257.7881
356976304,2.1115,3769.5313,7959.3140
356976344,2.1115,3798.8281,8021.1738
356976384,2.0851,3798.8281,7920.9102
356976422,2.2435,3764.6484,8445.8174
356976462,2.0059,3823.2422,7669.0874
356976501,2.2171,3779.2969,8378.9307
356976541,2.2435,3759.7656,8434.8633
356976581,2.2435,3745.1172,8402.0000
356976620,2.2698,3754.8828,8523.0127
356976660,2.3490,3750.0000,8808.8584
356976699,2.3754,3764.6484,8942.6299
356976739,2.1907,3774.4141,8268.4854
356976779,2.2962,3754.8828,8622.1182
356976818,2.3226,3730.4688,8664.5176
356976858,2.3490,3769.5313,8854.7373
356976897,2.2435,3774.4141,8467.7256
356976936,2.1643,3754.8828,8126.5942
356976976,2.4282,3769.5313,9153.2119
356977015,2.0851,3784.1797,7890.3667
356977055,2.0059,3774.4141,7571.1426
356977094,2.1643,3789.0625,8200.5684
356977134,2.2962,3769.5313,8655.7539
356977174,2.1907,3754.8828,8225.6982
356977213,2.1115,3793.9453,8010.8643
356977253,2.1907,3784.1797,8289.8779
356977292,2.0587,3774.4141,7770.3838
356977332,2.0587,3842.7734,7911.1152
356977372,2.0851,3764.6484,7849.6421
356977411,2.2698,3759.7656,8534.0957
356977451,2.0851,3754.8828,7829.2798
356977489,2.2698,3759.7656,8534.0957
356977529,2.4018,3764.6484,9041.9922
356977568,2.4546,3750.0000,9204.7607
356977608,2.5074,3750.0000,9402.7139
356977648,2.2171,3774.4141,8368.1055
356977687,2.1643,3759.7656,8137.1621
356977727,2.1643,3784.1797,8190.0005
356977766,2.0323,3813.4766,7750.1504
356977806,2.1643,3779.2969,8179.4331
356977846,2.2698,3745.1172,8500.8467
356977885,2.3754,3740.2344,8884.6357
356977925,2.2435,3759.7656,8434.8633
356977964,2.3754,3740.2344,8884.6357
356978003,2.3490,3764.6484,8843.2676
356978043,2.3226,3740.2344,8687.2002
356978082,2.1643,3769.5313,8158.2974
356978122,2.0851,3779.2969,7880.1855
356978161,2.1907,3789.0625,8300.5752
356978201,2.0059,3774.4141,7571.1426
