timestamp,kalman.stateZ,gyro.x,gyro.xRaw,gyro.xVariance,gyro.y,gyro.yRaw,gyro,yVariance
0,0.0,0.2855197489261627,6,7807.0,3.988616466522217,68,9888.0
10,2.562999725341797e-05,0.7887302041053772,8,7807.0,2.9842472076416016,37,9888.0
20,-0.0010197758674621582,0.5071965456008911,7,7807.0,0.7594009041786194,9,9888.0
30,-0.001037001609802246,0.1599721610546112,4,7807.0,-0.7253992557525635,-21,9888.0
40,-0.001067817211151123,0.7994844913482666,17,7807.0,-2.177983045578003,-40,9888.0
50,-0.0010923147201538086,1.305983543395996,26,7807.0,-3.5115244388580322,-61,9888.0
60,-0.0005045533180236816,1.6295055150985718,27,7807.0,-4.254359722137451,-71,9888.0
70,-0.000494539737701416,0.7724859118461609,17,7807.0,-5.006170272827148,-78,9888.0
80,-0.000496983528137207,0.11779160797595978,1,7807.0,-5.783423900604248,-91,9888.0
90,-0.0005074143409729004,-0.6441553235054016,-13,7807.0,-5.71670389175415,-101,9888.0
100,0.0005920529365539551,-1.1754467487335205,-26,7807.0,-5.869629859924316,-93,9888.0
110,0.0006715655326843262,-1.8055106401443481,-30,7807.0,-6.244008541107178,-97,9888.0
120,0.0007264316082000732,-2.0050859451293945,-30,7807.0,-5.467992782592773,-84,9888.0
130,0.0007737576961517334,-1.5887562036514282,-21,7807.0,-4.200231552124023,-59,9888.0
140,0.0008698105812072754,-0.8580036163330078,-12,7807.0,-2.2867281436920166,-23,9888.0
150,-0.00014632940292358398,-0.3504081964492798,-4,7807.0,-0.21287326514720917,16,9888.0
160,-0.0001348555088043213,0.4521753191947937,8,7807.0,3.2249274253845215,81,9888.0
170,-0.0001080632209777832,1.3081097602844238,31,7807.0,6.789897918701172,138,9888.0
180,-8.165836334228516e-05,2.064229726791382,27,7807.0,9.330713272094727,176,9888.0
190,0.0004748404026031494,1.7149364948272705,33,7807.0,11.710006713867188,202,9888.0
200,0.0005204081535339355,1.421042799949646,18,7807.0,12.160683631896973,204,9888.0
210,0.0005541145801544189,0.5422347187995911,-4,7807.0,10.604304313659668,162,9888.0
220,0.0005783140659332275,0.9430533647537231,19,7807.0,6.68487024307251,98,9888.0
230,0.00021404027938842773,1.2664834260940552,18,7807.0,3.4471561908721924,9,9888.0
240,0.00026032328605651855,0.8992516994476318,24,7807.0,-3.9113032817840576,-81,9888.0
250,0.0003032088279724121,0.6826087832450867,5,7807.0,-9.844015121459961,-196,9888.0
260,0.0003472864627838135,0.7217519283294678,11,7807.0,-15.973370552062988,-294,9888.0
270,0.0003879666328430176,-0.36004310846328735,2,7807.0,-21.416215896606445,-370,9888.0
280,0.0007995963096618652,-2.2896716594696045,-36,7807.0,-25.016590118408203,-413,9888.0
290,0.0008016526699066162,-3.187252998352051,-17,7807.0,-26.572994232177734,-451,9888.0
300,0.000877678394317627,-2.914184093475342,24,7807.0,-26.7070255279541,-478,9888.0
310,0.0012409090995788574,1.0275602340698242,13,7807.0,-26.51422691345215,-423,9888.0
320,0.0008952617645263672,-2.1763265132904053,32,7807.0,-20.370256423950195,-292,9888.0
330,0.0008506476879119873,-0.15732380747795105,54,7807.0,-7.825989246368408,-125,9888.0
340,0.001215219497680664,1.6990420818328857,45,7807.0,-6.334185600280762,-105,9888.0
350,0.001318514347076416,1.5991898775100708,51,7807.0,-0.1056583821773529,28,9888.0
360,0.0015095174312591553,1.8080700635910034,48,7807.0,3.5844359397888184,62,9888.0
370,0.0010525882244110107,1.1059023141860962,5,7807.0,7.193865776062012,100,9888.0
380,0.0011987090110778809,1.253210186958313,-15,7807.0,11.252018928527832,263,9888.0
390,0.0012988448143005371,2.6921885013580322,32,7807.0,15.99063777923584,321,9888.0
400,0.0012326836585998535,2.8978233337402344,82,7807.0,19.100738525390625,351,9888.0
410,0.00019446015357971191,3.6120684146881104,128,7807.0,25.541034698486328,437,9888.0
420,0.0002180337905883789,4.549401760101318,92,7807.0,36.54150390625,603,9888.0
430,0.0005058944225311279,2.9089953899383545,72,7807.0,43.11441421508789,680,9888.0
440,0.000757753849029541,2.396106004714966,49,7807.0,50.386878967285156,780,9888.0
450,0.0003154873847961426,1.7099957466125488,8,7807.0,54.7177848815918,832,9888.0
460,0.00035053491592407227,1.0296982526779175,-3,7807.0,49.30830001831055,707,9888.0
470,0.0006559193134307861,1.2880783081054688,9,7807.0,37.956119537353516,596,9888.0
480,0.0008621513843536377,2.4957165718078613,25,7807.0,26.220029830932617,400,9888.0
490,0.0009413957595825195,1.0845108032226562,43,7807.0,10.911641120910645,233,9888.0
500,0.0012142360210418701,-1.7392913103103638,-16,7807.0,-2.537353515625,-36,9888.0
510,0.0013642609119415283,-1.7329753637313843,-42,7807.0,-13.193512916564941,-233,9888.0
520,0.0015205442905426025,-1.8004980087280273,29,7807.0,-27.1917724609375,-345,9888.0
530,0.0016689896583557129,-3.377856969833374,-46,7807.0,-32.044864654541016,-481,9888.0
540,0.0027747750282287598,-3.510288953781128,-46,7807.0,-35.02461242675781,-460,9888.0
550,0.0031658709049224854,-3.531398296356201,-91,7807.0,-29.23859214782715,-301,9888.0
560,0.00365447998046875,-1.150564193725586,-74,7807.0,-24.041812896728516,-299,9888.0
570,0.003912389278411865,1.1683037281036377,-32,7807.0,-15.071269989013672,-146,9888.0
580,0.005744457244873047,1.26297926902771,60,7807.0,-5.030340194702148,-139,9888.0
590,0.006122767925262451,2.0775644779205322,20,7807.0,6.448312759399414,46,9888.0
600,0.006592750549316406,-0.24803850054740906,46,7807.0,10.846370697021484,278,9888.0
