,0.2111,4028.3203,850.5744
261419440,0.2375,4033.2031,958.0560
261419479,0.2111,4008.7891,846.4504
261419517,0.2639,4028.3203,1063.2180
261419556,0.3959,4028.3203,1594.8269
261419596,0.2639,4023.4375,1061.9292
261419635,0.2375,4028.3203,956.8962
261419674,0.2375,4013.6719,953.4166
261419713,0.2375,4028.3203,956.8962
261419751,0.2639,4023.4375,1061.9292
261419791,0.1848,4033.2031,745.1547
261419829,0.3695,4023.4375,1486.7009
261419869,0.3959,4003.9063,1585.1614
261419909,0.2375,4033.2031,958.0560
261419947,0.2639,4033.2031,1064.5067
261419986,0.2639,4023.4375,1061.9292
261420025,0.2639,4033.2031,1064.5067
261420065,0.2111,4023.4375,849.5434
261420103,0.2111,4028.3203,850.5744
261420142,0.2375,4033.2031,958.0560
261420181,0.2639,4033.2031,1064.5067
261420220,2.4810,3740.2344,9279.5088
261420260,2.5866,3676.7578,9510.1953
261420299,2.3226,3745.1172,8698.5410
261420339,1.9267,3793.9453,7309.9141
261420379,1.6892,3769.5313,6367.4517
261420418,1.5836,3818.3594,6046.8105
261420457,1.6100,3852.5391,6202.6206
261420496,1.5308,3833.0078,5867.6748
261420536,1.5836,3842.7734,6085.4731
261420576,1.5572,3828.1250,5961.2378
261420615,1.5572,3837.8906,5976.4448
261420655,1.5308,3862.3047,5912.5234
261420694,1.5836,3808.5938,6031.3457
261420734,1.6892,3852.5391,6507.6675
261420774,1.6100,3842.7734,6186.8979
261420813,1.7156,3823.2422,6559.0884
261420853,1.6892,3833.0078,6474.6753
261420892,1.7420,3823.2422,6659.9976
261420932,1.6628,3847.6563,6397.8662
261420971,1.6364,3813.4766,6240.3809
261421010,1.5836,3852.5391,6100.9380
261421050,1.5836,3837.8906,6077.7407
261421089,1.5572,3847.6563,5991.6523
261421129,1.6100,3837.8906,6179.0366
261421168,1.6100,3793.9453,6108.2842
261421208,1.7156,3837.8906,6584.2188
261421248,1.7156,3808.5938,6533.9575
261421287,1.7684,3793.9453,6709.0986
261421327,1.8476,3857.4219,7126.7822
261421366,1.7684,3789.0625,6700.4644
261421406,1.6628,3837.8906,6381.6279
261421446,1.5572,3828.1250,5961.2378
261421485,1.5572,3823.2422,5953.6343
261421524,1.6364,3837.8906,6280.3320
261421563,1.6892,3828.1250,6466.4272
261421603,1.7156,3823.2422,6559.0884
261421643,1.7684,3793.9453,6709.0986
261421682,1.7684,3793.9453,6709.0986
261421722,1.8212,3833.0078,6980.5093
261421761,1.7948,3793.9453,6809.2349
261421801,1.7948,3813.4766,6844.2886
261421841,1.7420,3881.8359,6762.0664
261421880,1.6892,3798.8281,6416.9395
261421920,1.7156,3837.8906,6584.2188
261421959,1.7420,3798.8281,6617.4688
261421999,1.7420,3808.5938,6634.4805
261422039,1.6628,3823.2422,6357.2705
261422077,1.7948,3798.8281,6817.9985
261422117,1.6892,3842.7734,6491.1714
261422156,1.6892,3984.3750,6730.3633
261422196,1.6628,3828.1250,6365.3896
261422235,1.6892,3833.0078,6474.6753
261422275,1.7156,3789.0625,6500.4502
261422315,1.6364,3833.0078,6272.3418
261422354,1.7420,3823.2422,6659.9976
261422394,1.7156,3808.5938,6533.9575
261422433,1.7156,3828.1250,6567.4653
261422473,1.6628,3813.4766,6341.0322
261422513,1.6364,3837.8906,6280.3320
261422552,1.6628,3823.2422,6357.2705
261422592,1.6892,3789.0625,6400.4434
261422630,1.6892,3847.6563,6499.4194
261422670,1.6892,3828.1250,6466.4272
261422710,1.6364,3833.0078,6272.3418
261422749,1.6628,3818.3594,6349.1514
261422789,1.6628,3808.5938,6332.9131
261422828,1.5836,3813.4766,6039.0781
261422868,1.5836,3823.2422,6054.5430
261422908,1.6100,3818.3594,6147.5908
261422947,1.6100,3847.6563,6194.7593
261422987,1.6100,3803.7109,6124.0068
261423026,1.5836,3847.6563,6093.2056
261423066,1.5836,3823.2422,6054.5430
261423106,1.5836,3876.9531,6139.6006
261423144,1.6364,3823.2422,6256.3613
261423184,1.6892,3808.5938,6433.4355
261423223,1.6892,3823.2422,6458.1792
261423263,1.6892,3818.3594,6449.9316
261423303,1.6892,3813.4766,6441.6836
261423342,1.6892,3818.3594,6449.9316
261423382,1.6100,3813.4766,6139.7295
261423421,1.5836,3901.3672,6178.2627
261423461,1.6892,3818.3594,6449.9316
261423500,1.6628,3828.1250,6365.3896
261423540,1.6892,3842.7734,6491.1714
261423580,1.5572,3808.5938,5930.8232
261423619,1.5572,3920.8984,6105.7065
261423659,1.5572,3837.8906,5976.4448
261423697,1.5308,3837.8906,5875.1494
261423737,1.5044,3847.6563,5788.5454
261423777,1.4253,3818.3594,5442.1299
261423816,1.4780,3852.5391,5694.2090
261423856,1.5572,3818.3594,5946.0308
261423895,1.6100,3813.4766,6139.7295
261423935,1.6100,3964.8438,6383.4321
261423975,1.6100,3798.8281,6116.1455
261424014,1.6100,3842.7734,6186.8979
261424054,1.5572,3823.2422,5953.6343
261424093,1.5308,3823.2422,5852.7251
261424133,1.5308,3847.6563,5890.0991
261424173,1.6364,3813.4766,6240.3809
261424211,1.5836,3852.5391,6100.9380
261424251,1.6364,3818.3594,6248.3711
261424290,1.5572,3833.0078,5968.8413
261424330,1.6100,3842.7734,6186.8979
261424370,1.5572,3808.5938,5930.8232
261424409,1.5572,3847.6563,5991.6523
261424449,1.6100,3813.4766,6139.7295
261424488,1.6100,3823.2422,6155.4521
261424528,1.5836,3833.0078,6070.0078
261424568,1.5836,3842.7734,6085.4731
261424607,1.5572,3852.5391,5999.2559
261424647,1.5836,3823.2422,6054.5430
261424686,1.6100,3833.0078,6171.1753
261424726,1.5044,3842.7734,5781.1992
261424764,1.5308,3823.2422,5852.7251
261424804,1.5044,3837.8906,5773.8535
261424844,1.5572,3813.4766,5938.4268
261424883,1.5044,3867.1875,5817.9287
261424923,1.5044,3862.3047,5810.5830
261424962,1.5044,3818.3594,5744.4702
261425002,1.4516,3867.1875,5613.7910
261425042,1.5308,3837.8906,5875.1494
261425081,1.5044,3857.4219,5803.2368
261425121,1.5836,3857.4219,6108.6704
261425160,1.4780,3837.8906,5672.5581
261425200,1.4780,3920.8984,5795.2471
261425240,1.5836,3818.3594,6046.8105
261425278,1.7156,3813.4766,6542.3345
261425318,1.6364,3813.4766,6240.3809
261425357,1.7420,3823.2422,6659.9976
261425397,1.7684,3818.3594,6752.2720
261425437,1.5836,3818.3594,6046.8105
261425476,1.3725,3872.0703,5314.2856
261425516,1.3461,3847.6563,5179.2251
261425555,1.2405,3872.0703,4803.2969
261425595,1.3461,3876.9531,5218.6606
261425635,1.6628,3818.3594,6349.1514
261425674,1.7684,3813.4766,6743.6372
261425714,1.9531,3925.7813,7667.5415
261425753,1.8739,3779.2969,7082.1919
261425793,1.7684,3823.2422,6760.9063
261425832,1.6100,3833.0078,6171.1753
261425871,1.7684,3823.2422,6760.9063
261425911,1.6892,3798.8281,6416.9395
261425950,1.7156,3793.9453,6508.8271
261425990,1.9003,3793.9453,7209.7778
261426029,1.7948,3784.1797,6791.7080
261426069,1.6364,3837.8906,6280.3320
261426109,1.6100,3813.4766,6139.7295
261426148,1.7156,3808.5938,6533.9575
261426188,1.7684,3823.2422,6760.9063
261426227,1.8476,3779.2969,6982.4424
261426267,1.8739,3798.8281,7118.7925
261426307,2.0587,3769.5313,7760.3315
261426345,2.0323,3754.8828,7631.0698
261426385,1.9267,3774.4141,7272.2822
261426424,1.8739,3769.5313,7063.8916
261426464,1.8739,3798.8281,7118.7925
261426504,1.9267,3774.4141,7272.2822
261426543,1.9531,3793.9453,7410.0493
261426583,1.8212,3798.8281,6918.2627
261426622,1.8476,3798.8281,7018.5273
261426662,1.8739,3833.0078,7182.8433
261426702,1.7948,3784.1797,6791.7080
261426741,1.7948,3808.5938,6835.5254
261426781,1.9795,3774.4141,7471.5225
261426820,2.0059,3774.4141,7571.1426
261426860,2.0059,3774.4141,7571.1426
261426899,1.9531,3764.6484,7352.8291
261426938,1.8476,3813.4766,7045.5908
261426978,1.9531,3813.4766,7448.1963
261427017,2.0323,3745.1172,7611.2231
261427057,2.1643,3774.4141,8168.8652
261427097,2.0851,3764.6484,7849.6421
261427136,1.9795,3779.2969,7481.1880
261427176,2.0851,3793.9453,7910.7290
261427215,2.2171,3798.8281,8422.2334
261427255,2.1643,3759.7656,8137.1621
261427294,1.9003,3745.1172,7116.9878
261427334,2.0059,3789.0625,7600.5264
261427374,1.9795,3759.7656,7442.5259
261427412,1.9267,3793.9453,7309.9141
261427452,1.9267,3759.7656,7244.0586
261427491,2.0851,3671.8750,7656.2012
261427531,2.0587,3759.7656,7740.2271
261427571,2.0323,3740.2344,7601.2998
261427610,2.0587,3769.5313,7760.3315
261427650,2.1379,3730.4688,7975.2949
261427689,2.1115,3774.4141,7969.6240
261427729,1.9531,3769.5313,7362.3657
261427769,1.9795,3774.4141,7471.5225
261427808,2.0059,3784.1797,7590.7319
261427848,2.0059,3769.5313,7561.3481
261427887,2.0059,3740.2344,7502.5811
261427927,2.1115,3730.4688,7876.8340
261427966,2.3226,3740.2344,8687.2002
261428005,2.1643,3754.8828,8126.5942
261428045,2.1379,3740.2344,7996.1724
261428084,2.0323,3769.5313,7660.8398
261428124,2.0323,3754.8828,7631.0698
261428164,2.1643,3769.5313,8158.2974
261428203,2.1643,3735.3516,8084.3232
