99,0.??L??722656,859.8534
80018984,0.2639,4082.0313,1077.3942
80019023,0.2639,4072.2656,1074.8167
80019062,0.1584,4082.0313,646.4365
80019099,0.1584,4077.1484,645.6633
80019137,0.1848,4062.5000,750.5675
80019174,0.1848,4082.0313,754.1760
80019212,0.1320,4082.0313,538.6971
80019249,0.2375,4072.2656,967.3350
80019287,0.2375,4077.1484,968.4949
80019323,0.2375,4082.0313,969.6548
80019361,0.2111,4086.9141,862.9464
80019399,0.2639,4082.0313,1077.3942
80019437,0.3695,4072.2656,1504.7434
80019476,0.1584,4082.0313,646.4365
80019513,0.2111,4082.0313,861.9154
80019551,0.2111,4082.0313,861.9154
80019588,0.2375,4077.1484,968.4949
80019625,0.1584,4072.2656,644.8900
80019663,0.2111,4077.1484,860.8844
80019700,0.1848,4086.9141,755.0781
80019738,0.1848,4067.3828,751.4696
80019775,0.1848,4086.9141,755.0781
80019813,0.3431,4077.1484,1398.9371
80019851,0.2375,4072.2656,967.3350
80019889,0.1848,4072.2656,752.3717
80019927,0.2375,4077.1484,968.4949
80019963,1.6628,3920.8984,6519.6528
80020002,1.5308,3920.8984,6002.2202
80020040,1.2933,3955.0781,5115.0449
80020079,1.2405,3935.5469,4882.0391
80020117,1.2405,3955.0781,4906.2676
80020156,1.2141,3940.4297,4784.0947
80020195,1.2141,3984.3750,4837.4487
80020233,1.1877,3955.0781,4697.4902
80020272,1.1085,3984.3750,4416.8008
80020310,1.1349,3945.3125,4477.6294
80020348,1.1349,3974.6094,4510.8794
80020386,1.0821,3974.6094,4301.0713
80020425,1.1613,3959.9609,4598.7725
80020464,1.0557,3974.6094,4196.1670
80020502,1.1613,3955.0781,4593.1016
80020541,1.1349,3979.4922,4516.4209
80020579,1.1349,3955.0781,4488.7129
80020618,1.1877,3984.3750,4732.2866
80020657,1.1877,3950.1953,4691.6909
80020695,1.1085,3984.3750,4416.8008
80020733,1.1349,3945.3125,4477.6294
80020771,1.0557,3974.6094,4196.1670
80020810,1.1613,3964.8438,4604.4429
80020848,1.1613,3984.3750,4627.1250
80020887,1.1613,3955.0781,4593.1016
80020926,1.1613,3964.8438,4604.4429
80020964,1.2141,3969.7266,4819.6641
80021003,1.1085,3959.9609,4389.7373
80021041,1.1877,3979.4922,4726.4873
80021080,1.1349,3959.9609,4494.2544
80021117,1.1349,3979.4922,4516.4209
80021156,1.1349,3945.3125,4477.6294
80021195,1.1085,3974.6094,4405.9751
80021233,1.0821,3950.1953,4274.6519
80021272,1.0821,3989.2578,4316.9229
80021310,1.1349,3950.1953,4483.1714
80021349,1.0821,3984.3750,4311.6392
80021387,1.1349,3950.1953,4483.1714
80021426,1.1349,3989.2578,4527.5044
80021465,1.1085,3959.9609,4389.7373
80021502,1.1877,3984.3750,4732.2866
80021541,1.1085,3959.9609,4389.7373
80021579,1.1613,3979.4922,4621.4541
80021618,1.1349,3964.8438,4499.7959
80021657,1.1349,3969.7266,4505.3379
80021695,1.1613,3959.9609,4598.7725
80021734,1.1349,3959.9609,4494.2544
80021772,1.1613,3950.1953,4587.4312
80021811,1.2669,3969.7266,5029.2144
80021849,1.1613,3945.3125,4581.7607
80021888,1.3197,3950.1953,5212.9897
80021926,1.2405,3964.8438,4918.3818
80021964,1.2405,3945.3125,4894.1533
80022003,1.1613,3969.7266,4610.1133
80022041,1.1613,3940.4297,4576.0903
80022080,1.1349,3964.8438,4499.7959
80022118,1.2669,3945.3125,4998.2842
80022157,1.2141,3974.6094,4825.5923
80022196,1.2405,3930.6641,4875.9819
80022234,1.2141,3969.7266,4819.6641
80022273,1.1877,3940.4297,4680.0923
80022310,1.2669,3979.4922,5041.5859
80022349,1.2141,3940.4297,4784.0947
80022388,1.2405,3974.6094,4930.4961
80022426,1.3725,3930.6641,5394.7036
80022465,1.2933,3955.0781,5115.0449
80022503,1.2933,3945.3125,5102.4155
80022542,1.2669,3959.9609,5016.8423
80022580,1.3989,3945.3125,5518.9390
80022619,1.3725,3945.3125,5414.8081
80022658,1.3725,3940.4297,5408.1064
80022695,1.3197,3935.5469,5193.6587
80022734,1.3989,3945.3125,5518.9390
80022772,1.3461,3920.8984,5277.8145
80022811,1.5308,3920.8984,6002.2202
80022849,1.3989,3916.0156,5477.9565
80022888,1.4516,3920.8984,5691.7603
80022927,1.4516,3916.0156,5684.6719
80022965,1.4516,3945.3125,5727.2007
80023004,1.4780,3906.2500,5773.5962
80023042,1.3989,3950.1953,5525.7690
80023080,1.4516,3906.2500,5670.4956
80023119,1.3461,3955.0781,5323.8228
80023157,1.3461,3920.8984,5277.8145
80023196,1.3197,3955.0781,5219.4336
80023234,1.3725,3935.5469,5401.4053
80023273,1.3989,3930.6641,5498.4478
80023311,1.3989,3935.5469,5505.2778
80023350,1.4253,3940.4297,5616.1108
80023389,1.4780,3925.7813,5802.4639
80023427,1.5308,3925.7813,6009.6948
80023465,1.3461,3940.4297,5304.1045
80023503,1.4780,3920.8984,5795.2471
80023542,1.5572,3930.6641,6120.9136
80023580,1.5572,3896.4844,6067.6885
80023619,1.5044,3925.7813,5906.0791
80023658,1.5308,3891.6016,5957.3716
80023696,1.5308,3920.8984,6002.2202
80023735,1.6364,3876.9531,6344.2539
80023773,1.6364,3920.8984,6416.1660
80023812,1.6364,3886.7188,6360.2344
80023849,1.5572,3916.0156,6098.1030
80023888,1.5836,3881.8359,6147.3330
80023927,1.7420,3916.0156,6821.6069
80023965,1.6364,3901.3672,6384.2051
80024004,1.5836,3901.3672,6178.2627
80024042,1.6628,3896.4844,6479.0571
80024081,1.6364,3906.2500,6392.1953
80024120,1.6892,3911.1328,6606.6431
80024158,1.7420,3896.4844,6787.5840
80024197,1.7420,3901.3672,6796.0894
80024235,1.7156,3881.8359,6659.6108
80024273,1.8739,3901.3672,7310.9448
80024311,1.7684,3872.0703,6847.2524
80024350,1.8476,3901.3672,7207.9736
80024389,1.8212,3862.3047,7033.8638
80024427,1.7420,3901.3672,6796.0894
80024466,1.8476,3867.1875,7144.8247
80024504,1.7684,3901.3672,6899.0605
80024543,1.8476,3881.8359,7171.8887
80024581,1.8212,3896.4844,7096.1104
80024620,1.8476,3881.8359,7171.8887
80024658,1.7948,3891.6016,6984.5049
80024696,1.8212,3867.1875,7042.7559
80024735,1.8212,3881.8359,7069.4331
80024773,1.7948,3881.8359,6966.9775
80024812,1.7684,3862.3047,6829.9834
80024851,1.8476,3896.4844,7198.9521
80024889,1.9003,3852.5391,7321.1255
80024928,1.8476,3896.4844,7198.9521
80024966,1.8476,3852.5391,7117.7607
80025005,1.8739,3886.7188,7283.4941
80025042,1.9531,3842.7734,7505.4170
80025081,1.9267,3876.9531,7469.8477
80025120,1.9003,3857.4219,7330.4048
80025158,1.9267,3872.0703,7460.4399
