9,4023.4375,1486.7009
293435779,0.3695,4033.2031,1490.3094
293435819,0.3431,4033.2031,1383.8588
293435857,0.4487,4028.3203,1807.4706
293435897,0.3959,4028.3203,1594.8269
293435937,0.3431,4033.2031,1383.8588
293435976,0.4487,4052.7344,1818.4250
293436016,0.3695,4033.2031,1490.3094
293436055,0.3431,4023.4375,1380.5081
293436095,0.5015,4033.2031,2022.5627
293436135,0.3695,4033.2031,1490.3094
293436174,0.3431,4033.2031,1383.8588
293436214,0.3695,4033.2031,1490.3094
293436253,0.3695,4018.5547,1484.8967
293436293,0.4223,4033.2031,1703.2108
293436332,0.3431,4057.6172,1392.2356
293436371,0.3431,4033.2031,1383.8588
293436411,0.3167,4013.6719,1271.2220
293436450,0.3695,4028.3203,1488.5052
293436490,0.3695,3974.6094,1468.6584
293436529,0.3431,4047.8516,1388.8849
293436569,0.3959,4028.3203,1594.8269
293436609,0.3431,4013.6719,1377.1572
293436648,0.4487,4023.4375,1805.2798
293436688,0.4223,4028.3203,1701.1488
293436727,0.3959,4023.4375,1592.8938
293436767,0.3695,4013.6719,1483.0925
293436807,0.3167,4038.0859,1278.9545
293436846,0.5015,4033.2031,2022.5627
293436886,0.4487,4033.2031,1809.6615
293436924,0.3431,4042.9688,1387.2095
293436964,0.4487,4033.2031,1809.6615
293437004,0.3431,3989.2578,1368.7804
293437043,0.3959,4033.2031,1596.7600
293437083,1.8212,3833.0078,6980.5093
293437122,1.6364,3852.5391,6304.3027
293437162,1.8212,3784.1797,6891.5859
293437202,1.5044,3857.4219,5803.2368
293437241,1.5836,3842.7734,6085.4731
293437281,1.4516,3896.4844,5656.3193
293437320,1.5836,3759.7656,5954.0205
293437360,1.5572,3872.0703,6029.6704
293437400,1.3197,3891.6016,5135.6650
293437438,1.6100,3852.5391,6202.6206
293437478,1.2669,3896.4844,4936.4243
293437517,1.5044,3925.7813,5906.0791
293437557,1.3989,3906.2500,5464.2959
293437597,1.4253,3876.9531,5525.6406
