82.0313,1616.0913
3974902,0.3695,4135.7422,1528.1987
3974940,0.3959,4082.0313,1616.0913
3974977,0.4223,4091.7969,1727.9547
3975015,0.3431,4082.0313,1400.6124
3975052,0.3695,4082.0313,1508.3519
3975090,0.3959,4072.2656,1612.2251
3975128,0.3959,4077.1484,1614.1582
3975164,0.3431,4077.1484,1398.9371
3975202,0.3695,4077.1484,1506.5477
3975239,0.3695,4082.0313,1508.3519
3975277,0.4223,4077.1484,1721.7688
3975314,0.3959,4052.7344,1604.4926
3975352,0.3959,4077.1484,1614.1582
3975390,0.3695,4072.2656,1504.7434
3975427,0.3431,4082.0313,1400.6124
3975464,0.3695,4082.0313,1508.3519
3975501,0.3695,4077.1484,1506.5477
3975539,0.3695,4077.1484,1506.5477
3975576,0.3695,3979.4922,1470.4628
3975614,0.3959,4082.0313,1616.0913
3975651,0.3695,4082.0313,1508.3519
3975689,0.5807,4082.0313,2370.2673
3975727,0.4223,4072.2656,1719.7068
3975763,0.4223,4072.2656,1719.7068
3975801,0.4223,4052.7344,1711.4587
3975838,0.5543,4077.1484,2259.8215
3975876,0.3959,4057.6172,1606.4257
3975913,0.5015,4077.1484,2044.6003
3975951,0.5015,4072.2656,2042.1517
3975989,0.4223,4106.4453,1734.1407
3976026,0.4223,4082.0313,1723.8308
3976064,0.4223,4072.2656,1719.7068
3976100,0.3959,4082.0313,1616.0913
3976138,0.5279,4067.3828,2147.0559
3976175,0.3959,4072.2656,1612.2251
3976213,0.3695,4013.6719,1483.0925
3976250,0.3695,4072.2656,1504.7434
3976288,0.3695,4082.0313,1508.3519
3976326,0.3959,4077.1484,1614.1582
3976363,0.5015,4077.1484,2044.6003
3976400,0.3959,4077.1484,1614.1582
3976437,0.5543,4072.2656,2257.1152
3976475,0.3959,4077.1484,1614.1582
3976512,0.3695,4077.1484,1506.5477
3976550,0.3959,4077.1484,1614.1582
3976588,0.3959,4072.2656,1612.2251
3976625,0.3959,4086.9141,1618.0244
3976663,0.3959,4067.3828,1610.2920
3976699,0.3959,4067.3828,1610.2920
3976737,0.3959,4082.0313,1616.0913
3976774,0.4223,4077.1484,1721.7688
3976812,0.3695,4077.1484,1506.5477
3976849,0.3959,4077.1484,1614.1582
3976887,0.5543,4057.6172,2248.9961
3976925,0.4223,4077.1484,1721.7688
3976962,0.4487,4067.3828,1824.9976
3976999,0.4223,4062.5000,1715.5828
3977036,0.4751,4077.1484,1936.9899
3977074,0.3695,4072.2656,1504.7434
3977111,0.3959,4077.1484,1614.1582
3977149,0.3959,4047.8516,1602.5594
3977187,0.4751,4077.1484,1936.9899
3977224,0.3959,4072.2656,1612.2251
3977262,0.4223,4072.2656,1719.7068
3977298,0.4487,4072.2656,1827.1885
3977336,0.3431,4082.0313,1400.6124
3977373,0.4223,4077.1484,1721.7688
3977411,0.4223,4067.3828,1717.6448
3977448,0.4223,4082.0313,1723.8308
3977486,0.4223,4082.0313,1723.8308
3977524,0.3695,4077.1484,1506.5477
3977561,0.3959,4013.6719,1589.0276
3977598,0.3695,4057.6172,1499.3307
3977635,0.4223,4082.0313,1723.8308
3977673,0.3695,4086.9141,1510.1563
3977710,0.4487,4077.1484,1829.3794
3977748,0.4223,4067.3828,1717.6448
3977786,0.3959,4062.5000,1608.3588
3977823,0.3431,4091.7969,1403.9633
3977861,0.3695,4116.2109,1520.9817
3977897,0.5015,4082.0313,2047.0490
3977935,0.4223,4072.2656,1719.7068
3977972,0.3695,4082.0313,1508.3519
3978010,0.5015,4077.1484,2044.6003
3978047,0.3959,4062.5000,1608.3588
3978085,0.5279,4077.1484,2152.2109
3978123,0.3959,4077.1484,1614.1582
3978160,0.3695,4086.9141,1510.1563
3978198,0.3959,4072.2656,1612.2251
3978234,0.3431,4077.1484,1398.9371
3978272,0.4487,4062.5000,1822.8068
3978309,0.4223,4077.1484,1721.7688
3978347,0.4223,4072.2656,1719.7068
3978385,0.3695,4082.0313,1508.3519
3978422,0.4487,4052.7344,1818.4250
3978460,0.4751,4077.1484,1936.9899
3978497,0.4487,4082.0313,1831.5702
3978534,0.3695,4072.2656,1504.7434
3978571,0.3431,4052.7344,1390.5603
3978609,0.3959,4062.5000,1608.3588
3978646,0.4223,4077.1484,1721.7688
3978684,0.3695,4062.5000,1501.1350
3978722,0.3959,4067.3828,1610.2920
3978759,0.5279,4160.1563,2196.0283
3978797,0.5015,4067.3828,2039.7031
3978833,0.3431,4086.9141,1402.2878
3978871,0.3959,4077.1484,1614.1582
3978908,0.3959,4077.1484,1614.1582
3978946,0.4223,4086.9141,1725.8928
3978984,0.3959,4077.1484,1614.1582
3979021,0.3431,4077.1484,1398.9371
3979059,0.3695,4067.3828,1502.9392
3979096,0.4223,4082.0313,1723.8308
3979133,0.4223,4082.0313,1723.8308
3979170,0.3695,4165.0391,1539.0242
3979208,0.4223,4082.0313,1723.8308
3979245,0.3959,4077.1484,1614.1582
3979283,0.4223,4082.0313,1723.8308
3979321,0.3959,4082.0313,1616.0913
3979358,0.3959,4067.3828,1610.2920
3979396,0.3959,4086.9141,1618.0244
3979432,0.3695,4013.6719,1483.0925
3979470,0.5543,4072.2656,2257.1152
3979507,0.3959,4072.2656,1612.2251
3979545,0.3695,4082.0313,1508.3519
3979583,0.3431,4086.9141,1402.2878
3979620,0.4223,4033.2031,1703.2108
3979658,0.3959,4082.0313,1616.0913
3979695,0.3695,4082.0313,1508.3519
3979732,0.3695,4067.3828,1502.9392
3979769,0.3959,4077.1484,1614.1582
3979807,0.3695,4057.6172,1499.3307
3979844,0.3959,4174.8047,1652.8207
3979882,0.3695,4072.2656,1504.7434
3979920,0.3959,4077.1484,1614.1582
3979957,0.3431,4067.3828,1395.5864
3979995,0.3959,4077.1484,1614.1582
3980032,0.5543,4077.1484,2259.8215
3980069,0.3431,4086.9141,1402.2878
3980106,0.3431,4023.4375,1380.5081
3980144,0.3959,4072.2656,1612.2251
3980182,0.3959,4057.6172,1606.4257
3980219,0.3695,4072.2656,1504.7434
3980257,0.5015,4077.1484,2044.6003
3980294,0.3959,4082.0313,1616.0913
3980332,0.4223,4072.2656,1719.7068
3980368,0.3959,4062.5000,1608.3588
3980406,0.3431,4082.0313,1400.6124
3980443,0.3695,4047.8516,1495.7222
3980481,0.3959,4077.1484,1614.1582
