4.6797,1513.764696.6797,1730.0167
36488297,0.3959,4121.0938,1631.5563
36488336,0.4223,4096.6797,1730.0167
36488374,0.4223,4101.5625,1732.0787
36488413,0.4751,4096.6797,1946.2688
36488451,0.4223,4106.4453,1734.1407
36488489,0.4751,4106.4453,1950.9083
36488527,0.4223,4096.6797,1730.0167
36488566,0.4223,4096.6797,1730.0167
36488605,0.3695,4086.9141,1510.1563
36488643,0.4223,4091.7969,1727.9547
36488682,0.3695,4096.6797,1513.7646
36488720,0.4487,4101.5625,1840.3337
36488759,0.4223,4101.5625,1732.0787
36488797,0.3959,4121.0938,1631.5563
36488836,0.3959,4101.5625,1623.8239
36488875,0.3695,4106.4453,1517.3732
36488912,0.5807,4091.7969,2375.9377
36488951,0.4223,4091.7969,1727.9547
36488989,0.3959,4086.9141,1618.0244
36489028,0.5015,4101.5625,2056.8435
36489067,0.4487,4096.6797,1838.1428
36489105,0.4223,4101.5625,1732.0787
36489144,0.3695,4106.4453,1517.3732
36489182,0.4487,4091.7969,1835.9520
36489221,0.4223,4101.5625,1732.0787
36489259,0.3959,4111.3281,1627.6901
36489297,0.3959,4096.6797,1621.8906
36489336,0.4487,4091.7969,1835.9520
36489374,0.3959,4091.7969,1619.9575
36489413,0.4223,4082.0313,1723.8308
36489451,0.4223,4096.6797,1730.0167
36489490,0.4223,4082.0313,1723.8308
36489528,0.4223,4101.5625,1732.0787
36489567,0.3959,4091.7969,1619.9575
36489606,0.4223,4101.5625,1732.0787
36489644,0.3695,4096.6797,1513.7646
36489682,0.4751,4096.6797,1946.2688
36489720,0.4223,4091.7969,1727.9547
36489759,0.4223,4096.6797,1730.0167
36489798,0.4223,4096.6797,1730.0167
36489836,0.3959,4096.6797,1621.8906
36489875,0.4487,4096.6797,1838.1428
36489913,2.6130,3803.7109,9938.9619
36489952,3.3520,3754.8828,12586.3100
36489991,3.2728,3715.8203,12161.1510
36490031,2.8769,3818.3594,10985.0400
36490071,2.4282,3847.6563,9342.9160
36490108,2.1379,3886.7188,8309.3389
36490147,2.2435,3862.3047,8664.9043
36490185,2.0323,3886.7188,7899.0010
36490224,2.1643,3852.5391,8337.9492
36490262,2.0059,3876.9531,7776.8271
36490301,2.0323,3891.6016,7908.9243
36490340,1.7156,3916.0156,6718.2485
36490378,2.0323,3906.2500,7938.6943
36490417,2.1115,3876.9531,8186.1338
