3423514,0.3167,4111.3281,1302.1520
3423552,0.4223,4096.6797,1730.0167
3423589,0.5543,4062.5000,2251.7024
3423627,0.4487,4101.5625,1840.3337
3423664,0.3695,4091.7969,1511.9604
3423702,0.4223,4096.6797,1730.0167
3423739,0.4223,4101.5625,1732.0787
3423776,0.3167,4199.2188,1329.9890
3423814,0.3695,4101.5625,1515.5690
3423851,0.4223,4096.6797,1730.0167
3423889,0.3959,4091.7969,1619.9575
3423926,0.3959,4096.6797,1621.8906
3423964,0.3695,4096.6797,1513.7646
3424001,0.4487,4101.5625,1840.3337
3424038,0.3695,4101.5625,1515.5690
3424076,0.3695,4106.4453,1517.3732
3424113,0.4487,4096.6797,1838.1428
3424151,0.3431,4086.9141,1402.2878
3424188,0.3959,4077.1484,1614.1582
3424226,0.3695,4101.5625,1515.5690
3424263,0.5279,4086.9141,2157.3660
3424301,0.3695,4101.5625,1515.5690
3424338,0.4487,4101.5625,1840.3337
3424375,0.4751,4101.5625,1948.5886
3424413,0.4223,4101.5625,1732.0787
3424450,0.4223,4091.7969,1727.9547
3424488,0.4223,4096.6797,1730.0167
3424525,0.3959,4106.4453,1625.7570
3424563,0.4223,4101.5625,1732.0787
3424600,0.4487,4101.5625,1840.3337
3424637,0.3695,4101.5625,1515.5690
3424675,0.4223,4272.4609,1804.2487
3424712,0.4223,4096.6797,1730.0167
3424750,1.6100,3920.8984,6312.6797
3424787,1.7420,3935.5469,6855.6299
3424825,1.6628,3969.7266,6600.8442
3424862,1.4780,3979.4922,5881.8511
3424900,1.4253,3955.0781,5636.9883
3424937,1.4253,3940.4297,5616.1108
3424974,1.3989,3969.7266,5553.0908
3425012,1.5572,3989.2578,6212.1572
3425049,1.5044,3999.0234,6016.2671
3425087,1.3197,3984.3750,5258.0962
3425124,1.5572,3950.1953,6151.3281
3425162,1.3461,3989.2578,5369.8311
3425199,1.3725,3979.4922,5461.7188
3425236,1.2933,4008.7891,5184.5088
3425274,1.3197,3974.6094,5245.2085
3425311,1.3725,3964.8438,5441.6143
3425349,1.3725,4038.0859,5542.1367
3425386,1.3725,3974.6094,5455.0171
3425424,1.3989,4003.9063,5600.9033
3425461,1.5044,3984.3750,5994.2295
3425499,1.6364,3950.1953,6464.1074
3425537,1.4253,3935.5469,5609.1514
3425573,1.5308,3969.7266,6076.9678
3425611,1.5572,3979.4922,6196.9502
3425648,1.7684,3945.3125,6976.7720
3425686,1.6364,3945.3125,6456.1172
3425723,1.9531,3881.8359,7581.7109
3425761,1.7948,3930.6641,7054.6128
3425798,1.8739,3930.6641,7365.8452
3425836,1.9267,3906.2500,7526.2949
3425873,2.0587,3872.0703,7971.4287
3425910,1.9795,3872.0703,7664.8350
3425948,1.9267,3891.6016,7498.0713
3425985,1.9531,3911.1328,7638.9312
3426023,1.6628,3955.0781,6576.4868
3426060,1.7420,3945.3125,6872.6411
3426098,1.7684,3876.9531,6855.8872
3426136,1.6892,3911.1328,6606.6431
3426172,1.7684,3935.5469,6959.5024
3426210,1.6364,3945.3125,6456.1172
3426247,1.7156,4082.0313,7003.0625
3426285,1.9267,3876.9531,7469.8477
3426322,1.8212,3925.7813,7149.4644
3426360,1.8739,3925.7813,7356.6953
3426397,1.7948,3925.7813,7045.8491
3426435,2.0059,3896.4844,7816.0049
3426472,1.9267,3881.8359,7479.2554
3426509,2.0323,3891.6016,7908.9243
3426547,1.9267,3925.7813,7563.9263
3426584,1.9795,3911.1328,7742.1597
3426622,2.0851,3872.0703,8073.6270
3426659,2.1379,3876.9531,8288.4609
3426697,1.9795,3862.3047,7645.5039
3426735,1.9267,3916.0156,7545.1104
3426771,2.0323,3906.2500,7938.6943
3426809,1.9003,3881.8359,7376.7998
3426846,1.9795,3872.0703,7664.8350
3426884,1.7948,3916.0156,7028.3223
3426921,1.9531,3872.0703,7562.6372
3426959,1.9267,3930.6641,7573.3340
3426996,2.0323,3881.8359,7889.0771
3427034,1.9267,3901.3672,7516.8867
3427072,1.9267,3901.3672,7516.8867
3427108,1.9531,3916.0156,7648.4678
3427146,2.0851,3911.1328,8155.0757
3427183,2.1115,3857.4219,8144.8940
3427221,1.8212,3906.2500,7113.8950
3427258,2.2962,3891.6016,8936.0566
3427296,2.0323,3901.3672,7928.7710
3427334,2.2962,3857.4219,8857.5723
3427371,2.0851,3857.4219,8043.0835
3427408,2.0587,3872.0703,7971.4287
3427445,1.9795,3901.3672,7722.8286
3427483,2.1907,3896.4844,8535.9004
3427520,2.1379,3857.4219,8246.7051
3427558,1.9267,3886.7188,7488.6631
3427595,2.1643,3867.1875,8369.6523
3427633,2.0323,3886.7188,7899.0010
3427671,2.0851,3906.2500,8144.8945
3427707,2.0059,3891.6016,7806.2104
3427745,1.7684,3906.2500,6907.6948
3427782,1.9267,3857.4219,7432.2163
3427820,1.9531,3774.4141,7371.9023
3427857,2.0851,3862.3047,8053.2646
3427895,1.8476,3901.3672,7207.9736
3427933,2.0587,3872.0703,7971.4287
3427970,1.9795,3872.0703,7664.8350
3428007,2.1907,3886.7188,8514.5068
3428044,2.1643,4028.3203,8718.3877
3428082,2.1643,3881.8359,8401.3555
3428119,2.4810,3828.1250,9497.5654
3428157,2.2698,3837.8906,8711.4277
3428194,2.4018,3867.1875,9288.2725
3428232,2.1643,3876.9531,8390.7881
3428270,2.3754,3842.7734,9128.2100
3428306,2.1115,3852.5391,8134.5840
3428344,2.1907,3862.3047,8461.0244
3428381,2.0851,3896.4844,8124.5322
3428419,2.0851,3896.4844,8124.5322
3428456,2.0059,3876.9531,7776.8271
3428494,2.0851,3964.8438,8267.0684
3428532,1.9795,3920.8984,7761.4912
3428569,1.9003,3916.0156,7441.7524
