6370695L	)??8,052.7344,748.7632
263713319,0.3431,4057.6172,1392.2356
263713358,0.2639,4018.5547,1060.6405
263713398,0.3959,4052.7344,1604.4926
263713438,0.2639,4047.8516,1068.3729
263713477,3.2728,3588.8672,11745.6590
263713518,3.6159,3510.7422,12694.5640
263713558,3.2464,3593.7500,11666.7870
263713599,2.4546,3745.1172,9192.7754
263713639,2.0323,3793.9453,7710.4565
263713678,1.9003,3828.1250,7274.7305
263713718,1.7156,3828.1250,6567.4653
263713757,1.7420,3828.1250,6668.5034
263713797,1.9003,3808.5938,7237.6147
263713837,1.8739,3837.8906,7191.9932
263713875,1.9795,3793.9453,7510.1851
263713915,1.9795,3803.7109,7529.5161
263713954,2.0059,3803.7109,7629.9097
263713994,2.0851,3930.6641,8195.7998
263714034,2.0323,3823.2422,7769.9971
263714073,2.0323,3784.1797,7690.6099
263714113,2.0059,3833.0078,7688.6768
263714152,1.8212,3818.3594,6953.8325
263714192,1.8476,3837.8906,7090.6973
263714232,1.7948,3833.0078,6879.3428
263714271,1.8212,3818.3594,6953.8325
263714311,1.8476,3833.0078,7081.6758
263714350,1.9795,3784.1797,7490.8540
263714390,2.0323,3813.4766,7750.1504
263714428,1.9531,3798.8281,7419.5859
263714468,1.9531,3789.0625,7400.5127
263714508,1.9267,3823.2422,7366.3608
263714547,1.9531,3798.8281,7419.5859
263714587,1.8476,3847.6563,7108.7397
263714626,1.8739,3818.3594,7155.3926
263714666,1.9267,3808.5938,7338.1372
263714706,1.9003,3837.8906,7293.2886
263714745,1.8476,3808.5938,7036.5698
263714785,1.8476,3823.2422,7063.6333
263714824,1.8739,3808.5938,7137.0923
263714864,1.8739,3818.3594,7155.3926
263714904,1.8739,3837.8906,7191.9932
263714942,1.7420,3798.8281,6617.4688
263714982,1.8476,3837.8906,7090.6973
263715021,1.8212,3847.6563,7007.1865
263715061,1.8212,3828.1250,6971.6172
263715101,1.7684,3847.6563,6804.0796
263715140,1.8212,3808.5938,6936.0474
263715180,1.7948,3833.0078,6879.3428
263715219,1.8476,3833.0078,7081.6758
263715259,1.7684,3833.0078,6778.1758
263715299,1.8212,3852.5391,7016.0791
263715338,1.8212,3803.7109,6927.1553
263715378,1.8212,3842.7734,6998.2939
263715417,1.8476,3837.8906,7090.6973
263715457,1.7684,3808.5938,6735.0024
263715496,1.7420,3798.8281,6617.4688
263715535,1.7420,3828.1250,6668.5034
263715575,1.7156,3847.6563,6600.9727
263715614,1.7420,3833.0078,6677.0093
263715654,1.7684,3823.2422,6760.9063
263715693,1.7948,3857.4219,6923.1602
263715733,1.6892,3813.4766,6441.6836
263715773,1.7156,3774.4141,6475.3193
263715812,1.6892,3852.5391,6507.6675
263715852,1.8212,3828.1250,6971.6172
263715891,1.7156,3857.4219,6617.7266
263715931,1.7420,3818.3594,6651.4917
263715971,1.7420,3847.6563,6702.5264
263716009,1.7684,3852.5391,6812.7144
263716049,1.7156,3808.5938,6533.9575
263716088,1.6364,3867.1875,6328.2734
263716128,1.8739,3798.8281,7118.7925
263716168,1.7156,3857.4219,6617.7266
263716207,1.7156,3852.5391,6609.3496
263716247,1.6892,3803.7109,6425.1875
263716286,1.8212,3818.3594,6953.8325
263716326,1.8476,3818.3594,7054.6123
263716366,1.7948,3852.5391,6914.3970
263716405,1.7420,3837.8906,6685.5146
263716445,1.6892,3823.2422,6458.1792
263716484,1.6364,3867.1875,6328.2734
263716524,1.6628,3828.1250,6365.3896
263716563,1.6364,3857.4219,6312.2930
263716602,1.6628,3847.6563,6397.8662
263716642,1.6100,3818.3594,6147.5908
263716681,1.6892,3862.3047,6524.1636
263716721,1.6892,3828.1250,6466.4272
263716761,1.6364,3828.1250,6264.3516
263716800,1.7948,3828.1250,6870.5791
263716840,1.6364,3842.7734,6288.3223
263716879,1.5836,3872.0703,6131.8682
263716919,1.6892,3833.0078,6474.6753
263716958,1.7420,3862.3047,6728.0435
263716998,1.5308,3852.5391,5897.5737
263717038,1.6628,3828.1250,6365.3896
263717076,1.6364,3857.4219,6312.2930
263717116,1.6628,3808.5938,6332.9131
263717155,1.6100,3867.1875,6226.2046
263717195,1.5836,3837.8906,6077.7407
263717235,1.6364,3847.6563,6296.3125
263717274,1.6628,3872.0703,6438.4619
263717314,1.7684,3828.1250,6769.5410
263717353,1.6364,3867.1875,6328.2734
263717393,1.6364,3842.7734,6288.3223
263717433,1.6100,3847.6563,6194.7593
263717472,1.5572,3867.1875,6022.0669
263717512,1.6628,3837.8906,6381.6279
263717551,1.5836,3837.8906,6077.7407
263717591,1.5308,3852.5391,5897.5737
263717630,1.5044,3872.0703,5825.2744
263717669,1.4780,3872.0703,5723.0771
263717709,1.5044,3857.4219,5803.2368
263717748,1.5044,3886.7188,5847.3125
263717788,1.5308,3852.5391,5897.5737
263717828,1.5572,3876.9531,6037.2739
263717867,1.5836,3867.1875,6124.1353
263717907,1.6100,3813.4766,6139.7295
263717946,1.7420,3847.6563,6702.5264
263717986,1.8739,3789.0625,7100.4922
263718026,1.8212,3789.0625,6900.4780
263718065,1.9267,3798.8281,7319.3218
263718105,1.8476,3813.4766,7045.5908
263718144,1.5836,3862.3047,6116.4028
263718183,1.6100,3823.2422,6155.4521
263718222,1.6628,3857.4219,6414.1045
263718262,1.7948,3833.0078,6879.3428
263718302,1.8212,3823.2422,6962.7246
263718341,1.8212,3828.1250,6971.6172
263718381,1.9267,3803.7109,7328.7295
263718420,1.9795,3818.3594,7558.5132
263718460,2.0851,3784.1797,7890.3667
263718500,2.1115,3774.4141,7969.6240
263718539,2.0851,3813.4766,7951.4531
263718579,1.8476,3857.4219,7126.7822
263718618,1.7156,3852.5391,6609.3496
263718658,1.6100,3837.8906,6179.0366
263718697,1.5836,3857.4219,6108.6704
263718736,1.6100,3842.7734,6186.8979
