6370695L	)??8,052.7344,748.7632
263733240,2.0587,3754.8828,7730.1748
263733280,2.1115,3759.7656,7938.6943
263733319,2.1379,3784.1797,8090.1226
263733359,2.1379,3759.7656,8037.9282
263733398,2.0323,3813.4766,7750.1504
263733438,2.0851,3754.8828,7829.2798
263733478,2.1907,3769.5313,8257.7881
263733517,2.2962,3750.0000,8610.9053
263733557,2.2698,3740.2344,8489.7627
263733596,2.3490,3759.7656,8831.7979
263733636,2.2171,3745.1172,8303.1523
263733676,2.2698,3774.4141,8567.3457
263733714,2.1379,3750.0000,8017.0503
263733754,2.1907,3779.2969,8279.1816
263733793,2.1643,3740.2344,8094.8911
263733833,2.0851,3764.6484,7849.6421
263733873,2.1115,3779.2969,7979.9341
263733912,2.0323,3779.2969,7680.6865
263733952,2.0587,3798.8281,7820.6450
263733991,2.1643,3789.0625,8200.5684
263734031,2.1379,3774.4141,8069.2446
263734071,2.1643,3735.3516,8084.3232
263734110,2.2435,3740.2344,8391.0459
263734150,2.2171,3764.6484,8346.4541
263734189,2.2698,3759.7656,8534.0957
263734228,2.2435,3774.4141,8467.7256
263734268,2.1643,3740.2344,8094.8911
263734307,2.1379,3774.4141,8069.2446
263734347,2.1643,3730.4688,8073.7554
263734386,2.2698,3774.4141,8567.3457
263734426,2.2698,3793.9453,8611.6787
263734466,2.1115,3745.1172,7907.7642
263734505,2.1907,3769.5313,8257.7881
263734545,2.0587,3754.8828,7730.1748
263734584,2.0059,3808.5938,7639.7041
263734624,2.0059,3745.1172,7512.3760
263734663,2.2698,3764.6484,8545.1797
263734703,2.2171,3750.0000,8313.9775
263734743,2.3226,3764.6484,8743.9053
263734781,2.2698,3740.2344,8489.7627
263734821,2.2171,3754.8828,8324.8037
263734860,2.1643,3779.2969,8179.4331
263734900,2.2698,3750.0000,8511.9297
263734940,2.2171,3764.6484,8346.4541
263734979,2.1907,3730.4688,8172.2153
263735019,2.2435,3769.5313,8456.7715
263735058,2.1907,3745.1172,8204.3057
263735098,2.1379,3774.4141,8069.2446
263735138,2.1115,3769.5313,7959.3140
263735177,2.2171,3774.4141,8368.1055
263735217,2.1907,3759.7656,8236.3955
263735256,2.2435,3735.3516,8380.0908
263735296,2.2962,3754.8828,8622.1182
263735335,2.1643,3720.7031,8052.6201
263735374,2.2435,3803.7109,8533.4521
263735414,2.2698,3740.2344,8489.7627
263735453,2.1643,3774.4141,8168.8652
263735493,2.2171,3764.6484,8346.4541
263735533,2.1115,3784.1797,7990.2441
263735572,2.1379,3774.4141,8069.2446
263735612,2.2171,3750.0000,8313.9775
263735651,2.2435,3750.0000,8412.9541
263735691,2.2962,3735.3516,8577.2695
263735731,2.3754,3706.0547,8803.4443
263735770,2.3754,3715.8203,8826.6426
263735810,2.4018,3754.8828,9018.5371
263735848,2.2171,3735.3516,8281.5020
263735888,2.1643,3745.1172,8105.4590
263735927,2.2698,3745.1172,8500.8467
263735967,2.2435,3789.0625,8500.5889
263736007,2.1115,3750.0000,7918.0742
263736046,2.0851,3779.2969,7880.1855
263736086,2.1115,3774.4141,7969.6240
263736125,2.0851,3745.1172,7808.9175
263736165,2.1379,3769.5313,8058.8057
263736205,2.3226,3750.0000,8709.8818
263736244,2.1907,3754.8828,8225.6982
263736284,2.2435,3745.1172,8402.0000
263736323,2.2435,3750.0000,8412.9541
263736363,2.4018,3735.3516,8971.6270
263736402,2.2962,3769.5313,8655.7539
263736441,2.3754,3750.0000,8907.8330
263736481,2.1907,3730.4688,8172.2153
263736520,2.1379,3789.0625,8100.5610
263736560,2.1115,3750.0000,7918.0742
263736600,2.2698,3774.4141,8567.3457
263736639,2.1907,3730.4688,8172.2153
263736679,2.1379,3779.2969,8079.6836
263736718,2.1643,3750.0000,8116.0264
263736758,2.1115,3779.2969,7979.9341
263736798,2.1907,3754.8828,8225.6982
263736837,2.1643,3745.1172,8105.4590
263736877,2.2962,3759.7656,8633.3301
263736915,2.2435,3740.2344,8391.0459
263736955,2.2962,3759.7656,8633.3301
263736995,2.2435,3740.2344,8391.0459
263737034,2.3490,3750.0000,8808.8584
263737074,2.2962,3715.8203,8532.4209
263737113,2.2435,3779.2969,8478.6807
263737153,2.0587,3754.8828,7730.1748
263737192,2.1379,3779.2969,8079.6836
263737232,2.1643,3837.8906,8306.2461
263737272,2.1643,3750.0000,8116.0264
263737311,2.1907,3759.7656,8236.3955
263737351,2.2698,3735.3516,8478.6797
263737390,2.2435,3750.0000,8412.9541
263737430,2.1907,3715.8203,8140.1255
263737469,2.2171,3759.7656,8335.6289
263737508,2.1907,3740.2344,8193.6084
263737548,2.2962,3759.7656,8633.3301
263737587,2.2962,3735.3516,8577.2695
263737627,2.3226,3725.5859,8653.1768
263737667,2.3226,3754.8828,8721.2227
263737706,2.2171,3730.4688,8270.6758
263737746,2.2435,3872.0703,8686.8135
263737785,2.1643,3769.5313,8158.2974
263737825,2.2171,3779.2969,8378.9307
263737865,2.1907,3764.6484,8247.0918
263737904,2.1379,3769.5313,8058.8057
263737944,2.2435,3754.8828,8423.9082
263737982,2.2171,3759.7656,8335.6289
263738022,2.2698,3764.6484,8545.1797
263738062,2.3490,3735.3516,8774.4482
263738101,2.2962,3759.7656,8633.3301
263738141,2.2698,3730.4688,8467.5967
263738180,2.1643,3779.2969,8179.4331
263738220,2.1907,3735.3516,8182.9121
263738260,2.2435,3745.1172,8402.0000
263738299,2.2171,3745.1172,8303.1523
263738339,2.2962,3759.7656,8633.3301
263738378,2.2171,3774.4141,8368.1055
263738418,2.1643,3745.1172,8105.4590
263738457,2.2171,3759.7656,8335.6289
263738497,2.2171,3735.3516,8281.5020
263738536,2.1643,3750.0000,8116.0264
263738575,2.2435,3730.4688,8369.1367
263738615,2.4282,3754.8828,9117.6426
263738654,2.3226,3706.0547,8607.8125
263738694,2.2698,3745.1172,8500.8467
263738734,2.1115,3764.6484,7949.0039
263738773,2.1379,3793.9453,8111.0000
263738813,2.0851,3769.5313,7859.8232
263738852,2.0587,3754.8828,7730.1748
263738892,2.1379,3759.7656,8037.9282
263738932,2.1907,3740.2344,8193.6084
263738971,2.2171,3779.2969,8378.9307
263739011,2.2962,3730.4688,8566.0576
263739049,2.3226,3740.2344,8687.2002
263739089,2.2435,3745.1172,8402.0000
263739129,2.2698,3735.3516,8478.6797
263739168,2.3754,3730.4688,8861.4385
263739208,2.3226,3715.8203,8630.4951
263739247,2.3490,3740.2344,8785.9180
263739287,2.2962,3735.3516,8577.2695
263739327,2.1379,3789.0625,8100.5610
263739366,2.1379,3750.0000,8017.0503
263739406,2.1379,3774.4141,8069.2446
263739445,2.0323,3774.4141,7670.7632
263739485,2.0323,3793.9453,7710.4565
263739525,2.0323,3779.2969,7680.6865
263739564,1.9795,3774.4141,7471.5225
263739603,2.1379,3784.1797,8090.1226
263739642,2.1907,3754.8828,8225.6982
263739682,2.2435,3774.4141,8467.7256
263739721,2.2171,3735.3516,8281.5020
263739761,2.2962,3769.5313,8655.7539
263739801,2.2698,3735.3516,8478.6797
263739840,2.2962,3745.1172,8599.6934
263739880,2.2435,3740.2344,8391.0459
263739919,2.3754,3745.1172,8896.2344
263739959,2.3226,3750.0000,8709.8818
263739999,2.2962,3735.3516,8577.2695
263740038,2.2435,3642.5781,8171.9580
263740078,2.0851,3745.1172,7808.9175
263740116,2.0587,3764.6484,7750.2793
263740156,2.2698,3750.0000,8511.9297
263740196,2.1907,3774.4141,8268.4854
263740235,2.0851,3754.8828,7829.2798
263740275,2.2435,3764.6484,8445.8174
263740314,2.0851,3789.0625,7900.5479
263740354,2.0587,3750.0000,7720.1226
263740394,2.1379,3774.4141,8069.2446
263740433,2.2171,3745.1172,8303.1523
263740473,2.2435,3764.6484,8445.8174
263740512,2.3226,3730.4688,8664.5176
263740552,2.2962,3764.6484,8644.5420
263740592,2.4546,3715.8203,9120.8633
263740631,2.3490,3740.2344,8785.9180
263740670,2.2171,3740.2344,8292.3271
263740709,2.2698,3764.6484,8545.1797
263740749,2.1379,3759.7656,8037.9282
263740789,2.1115,3750.0000,7918.0742
263740828,2.0851,3779.2969,7880.1855
263740868,2.0587,3754.8828,7730.1748
263740907,2.1643,3789.0625,8200.5684
263740947,2.0851,3750.0000,7819.0986
263740986,2.0059,3789.0625,7600.5264
263741026,2.0587,3764.6484,7750.2793
263741066,2.0851,3925.7813,8185.6191
263741105,2.1379,3754.8828,8027.4893
263741145,2.2435,3735.3516,8380.0908
263741184,2.2435,3759.7656,8434.8633
263741223,2.2171,3740.2344,8292.3271
263741263,2.1643,3769.5313,8158.2974
263741302,2.2435,3759.7656,8434.8633
263741342,2.2171,3774.4141,8368.1055
263741381,2.1907,3750.0000,8215.0020
263741421,2.2698,3750.0000,8511.9297
263741461,2.2171,3740.2344,8292.3271
263741500,2.2962,3740.2344,8588.4814
263741540,2.1379,3764.6484,8048.3667
263741579,2.1379,3759.7656,8037.9282
263741619,2.1643,3774.4141,8168.8652
263741659,2.1379,3750.0000,8017.0503
263741698,2.2435,3764.6484,8445.8174
263741737,2.3226,3720.7031,8641.8359
263741776,2.2698,3769.5313,8556.2627
263741816,2.2435,3671.8750,8237.6846
263741856,2.1643,3759.7656,8137.1621
263741895,2.1907,3759.7656,8236.3955
263741935,2.0323,3740.2344,7601.2998
263741974,2.0851,3774.4141,7870.0044
263742014,2.0851,3750.0000,7819.0986
263742054,2.1643,3750.0000,8116.0264
263742093,2.1643,3725.5859,8063.1880
263742133,2.2698,3759.7656,8534.0957
263742172,2.4282,3725.5859,9046.5029
263742212,2.3754,3754.8828,8919.4326
263742251,2.2171,3730.4688,8270.6758
263742290,2.1907,3754.8828,8225.6982
263742330,2.1379,3911.1328,8361.5332
263742369,2.1115,3735.3516,7887.1440
263742409,2.1115,3784.1797,7990.2441
263742448,2.1379,3745.1172,8006.6113
263742488,2.0587,3789.0625,7800.5405
263742528,2.0851,3745.1172,7808.9175
263742567,2.1379,3774.4141,8069.2446
263742607,2.1379,3759.7656,8037.9282
263742646,2.2698,3740.2344,8489.7627
263742686,2.2698,3740.2344,8489.7627
263742726,2.2698,3710.9375,8423.2637
263742765,2.3226,3745.1172,8698.5410
263742804,2.2962,3715.8203,8532.4209
263742843,2.1379,3754.8828,8027.4893
263742883,2.1643,3735.3516,8084.3232
263742923,2.2962,3769.5313,8655.7539
263742962,2.2698,3754.8828,8523.0127
263743002,2.1643,3754.8828,8126.5942
263743041,2.2698,3735.3516,8478.6797
263743081,2.2962,3740.2344,8588.4814
263743121,2.2698,3759.7656,8534.0957
263743160,2.1379,3750.0000,8017.0503
263743200,2.0851,3789.0625,7900.5479
263743239,2.1379,3754.8828,8027.4893
263743279,2.1643,3774.4141,8168.8652
263743319,2.0851,3764.6484,7849.6421
263743357,2.2435,3764.6484,8445.8174
263743397,2.1379,3764.6484,8048.3667
263743436,2.0851,3759.7656,7839.4609
263743476,2.2698,3774.4141,8567.3457
263743515,2.1379,3725.5859,7964.8560
263743555,2.1379,3779.2969,8079.6836
263743595,2.1907,3754.8828,8225.6982
263743634,2.2171,3750.0000,8313.9775
263743674,2.3226,3745.1172,8698.5410
263743713,2.1907,3759.7656,8236.3955
263743753,2.2698,3750.0000,8511.9297
263743793,2.2435,3740.2344,8391.0459
263743832,2.2698,3764.6484,8545.1797
263743872,2.3490,3720.7031,8740.0391
263743910,2.2435,3754.8828,8423.9082
263743950,2.3226,3735.3516,8675.8594
263743990,2.2435,3769.5313,8456.7715
263744029,2.2698,3740.2344,8489.7627
263744069,2.1379,3784.1797,8090.1226
263744108,2.1907,3789.0625,8300.5752
263744148,2.1115,3764.6484,7949.0039
263744188,2.2435,3774.4141,8467.7256
263744227,2.1643,3735.3516,8084.3232
263744267,2.1907,3769.5313,8257.7881
263744306,2.1643,3735.3516,8084.3232
263744346,2.2171,3750.0000,8313.9775
263744386,2.1379,3735.3516,7985.7339
263744424,2.1643,3774.4141,8168.8652
263744464,2.2435,3764.6484,8445.8174
263744503,2.2171,3769.5313,8357.2803
263744543,2.1643,3774.4141,8168.8652
263744583,2.2435,3745.1172,8402.0000
263744622,2.1643,3920.8984,8485.8975
263744662,2.2962,3730.4688,8566.0576
263744701,2.2435,3745.1172,8402.0000
263744741,2.2435,3725.5859,8358.1826
263744780,2.2962,3769.5313,8655.7539
263744820,2.1115,3740.2344,7897.4541
263744860,2.1379,3779.2969,8079.6836
263744899,2.1115,3720.7031,7856.2144
263744939,2.1115,3764.6484,7949.0039
263744977,2.1115,3769.5313,7959.3140
263745017,2.1643,3750.0000,8116.0264
263745057,2.1379,3774.4141,8069.2446
263745096,2.1643,3750.0000,8116.0264
263745136,2.2435,3715.8203,8336.2734
263745175,2.2171,3745.1172,8303.1523
263745215,2.2698,3754.8828,8523.0127
263745255,2.2171,3759.7656,8335.6289
263745294,2.1907,3745.1172,8204.3057
263745334,2.1643,3764.6484,8147.7300
263745373,2.1379,3798.8281,8121.4390
263745413,2.1379,3784.1797,8090.1226
263745453,2.0851,3750.0000,7819.0986
263745491,2.1907,3769.5313,8257.7881
263745531,2.2698,3740.2344,8489.7627
263745570,2.3754,3730.4688,8861.4385
263745610,2.3490,3740.2344,8785.9180
263745650,2.2698,3740.2344,8489.7627
263745689,2.2435,3754.8828,8423.9082
263745729,2.2435,3730.4688,8369.1367
263745768,2.0059,3789.0625,7600.5264
263745808,2.0059,3754.8828,7531.9648
263745848,2.1643,3735.3516,8084.3232
263745887,2.2435,3720.7031,8347.2275
263745927,2.1643,3759.7656,8137.1621
263745966,2.2171,3759.7656,8335.6289
263746006,2.1643,3750.0000,8116.0264
263746044,2.2698,3764.6484,8545.1797
263746084,2.0587,3750.0000,7720.1226
263746124,2.1379,3789.0625,8100.5610
263746163,2.2435,3750.0000,8412.9541
263746203,2.0851,3779.2969,7880.1855
263746242,2.1115,3754.8828,7928.3843
263746282,2.0323,3764.6484,7650.9165
263746322,2.1379,3769.5313,8058.8057
263746361,2.1379,3740.2344,7996.1724
263746401,2.1907,3706.0547,8118.7324
263746440,2.2435,3745.1172,8402.0000
263746480,2.1643,3769.5313,8158.2974
263746520,2.1643,3740.2344,8094.8911
263746558,2.2171,3750.0000,8313.9775
263746598,2.4282,3740.2344,9082.0732
263746637,2.3754,3735.3516,8873.0371
263746677,2.2435,3730.4688,8369.1367
263746717,2.1907,3730.4688,8172.2153
263746756,2.1643,3774.4141,8168.8652
263746796,2.1643,3745.1172,8105.4590
263746835,2.0323,3784.1797,7690.6099
263746875,2.2698,3750.0000,8511.9297
263746915,2.2171,3750.0000,8313.9775
263746954,2.2962,3740.2344,8588.4814
263746994,2.2171,3754.8828,8324.8037
263747033,2.3226,3754.8828,8721.2227
263747073,2.1907,3730.4688,8172.2153
263747112,2.2435,3725.5859,8358.1826
263747151,2.3226,3745.1172,8698.5410
263747191,2.2962,3769.5313,8655.7539
263747230,2.1907,3745.1172,8204.3057
263747270,2.1115,3774.4141,7969.6240
263747309,2.2698,3735.3516,8478.6797
263747349,2.2435,3740.2344,8391.0459
263747389,2.3490,3745.1172,8797.3887
263747428,2.2435,3798.8281,8522.4980
263747468,2.1907,3764.6484,8247.0918
263747507,2.1115,3740.2344,7897.4541
263747547,2.2171,3774.4141,8368.1055
263747587,2.2435,3740.2344,8391.0459
263747625,2.2962,3759.7656,8633.3301
263747665,2.2435,3735.3516,8380.0908
263747704,2.2435,3754.8828,8423.9082
263747744,2.2962,3730.4688,8566.0576
263747784,2.2698,3754.8828,8523.0127
263747823,2.1643,3769.5313,8158.2974
263747863,2.0059,3759.7656,7541.7593
263747902,2.0059,3774.4141,7571.1426
263747942,2.0059,3754.8828,7531.9648
263747982,2.1379,3769.5313,8058.8057
263748021,2.1907,3754.8828,8225.6982
263748061,2.1907,3759.7656,8236.3955
263748100,2.3226,3730.4688,8664.5176
263748140,2.2962,3725.5859,8554.8447
263748179,2.3226,3750.0000,8709.8818
263748218,2.3754,3720.7031,8838.2412
263748258,2.3754,3720.7031,8838.2412
263748297,2.2698,3715.8203,8434.3467
263748337,2.2698,3750.0000,8511.9297
263748377,2.2171,3740.2344,8292.3271
263748416,2.1643,3769.5313,8158.2974
263748456,2.2962,3735.3516,8577.2695
263748495,2.1643,3774.4141,8168.8652
263748535,2.2171,3730.4688,8270.6758
263748574,2.1115,3774.4141,7969.6240
263748614,2.1115,3769.5313,7959.3140
263748654,2.1379,3759.7656,8037.9282
263748692,2.1643,3823.2422,8274.5430
263748732,2.2435,3740.2344,8391.0459
263748771,2.1379,3779.2969,8079.6836
263748811,2.0851,3735.3516,7788.5557
263748851,2.1643,3784.1797,8190.0005
263748890,2.2435,3769.5313,8456.7715
263748930,2.0587,3764.6484,7750.2793
263748969,2.0587,3784.1797,7790.4883
263749009,2.1643,3750.0000,8116.0264
263749049,2.1907,3764.6484,8247.0918
263749088,2.3226,3730.4688,8664.5176
263749128,2.2171,3764.6484,8346.4541
263749167,2.2698,3774.4141,8567.3457
263749207,2.1643,3647.4609,7894.1040
263749246,2.1907,3735.3516,8182.9121
263749285,2.3754,3710.9375,8815.0439
263749325,2.2962,3720.7031,8543.6328
263749364,2.2962,3725.5859,8554.8447
263749404,2.2698,3754.8828,8523.0127
263749444,2.2171,3710.9375,8227.3740
263749483,2.1907,3764.6484,8247.0918
263749523,2.1379,3750.0000,8017.0503
263749562,2.1379,3784.1797,8090.1226
263749602,2.1379,3764.6484,8048.3667
263749642,2.1643,3745.1172,8105.4590
263749681,2.1115,3769.5313,7959.3140
263749721,2.2698,3735.3516,8478.6797
263749760,2.1643,3784.1797,8190.0005
263749799,2.1115,3745.1172,7907.7642
263749838,2.1379,3774.4141,8069.2446
263749878,2.1907,3754.8828,8225.6982
263749918,2.1643,3789.0625,8200.5684
263749957,2.1115,3779.2969,7979.9341
263749997,2.0851,3754.8828,7829.2798
263750036,2.0587,3793.9453,7810.5928
263750076,2.2435,3754.8828,8423.9082
263750116,2.2171,3774.4141,8368.1055
263750155,2.1907,3730.4688,8172.2153
263750195,2.3490,3759.7656,8831.7979
263750234,2.4018,3725.5859,8948.1719
263750274,2.2962,3735.3516,8577.2695
263750313,2.2698,3730.4688,8467.5967
263750352,2.2962,3754.8828,8622.1182
263750392,2.2435,3754.8828,8423.9082
263750431,2.1643,3759.7656,8137.1621
263750471,2.2171,3784.1797,8389.7568
263750511,2.0851,3759.7656,7839.4609
263750550,2.0851,3798.8281,7920.9102
263750590,2.1379,3745.1172,8006.6113
263750629,2.1643,3784.1797,8190.0005
263750669,2.0059,3769.5313,7561.3481
263750709,2.1115,3754.8828,7928.3843
263750748,2.1379,3779.2969,8079.6836
263750788,2.1907,3730.4688,8172.2153
263750827,2.2698,3759.7656,8534.0957
263750866,2.3490,3715.8203,8728.5693
263750906,2.3226,3725.5859,8653.1768
263750945,2.2435,3740.2344,8391.0459
263750985,2.2698,3813.4766,8656.0117
263751024,2.2962,3735.3516,8577.2695
263751064,2.1907,3754.8828,8225.6982
263751103,2.2171,3769.5313,8357.2803
263751143,2.0851,3745.1172,7808.9175
263751183,2.1379,3784.1797,8090.1226
263751222,2.1115,3754.8828,7928.3843
263751262,2.0059,3784.1797,7590.7319
263751301,2.0323,3774.4141,7670.7632
263751341,2.0587,3774.4141,7770.3838
263751380,2.1379,3764.6484,8048.3667
263751419,2.1643,3745.1172,8105.4590
263751459,2.2435,3759.7656,8434.8633
263751498,2.3490,3701.1719,8694.1592
263751538,2.2962,3750.0000,8610.9053
263751578,2.2435,3740.2344,8391.0459
263751617,2.1643,3754.8828,8126.5942
263751657,2.2435,3735.3516,8380.0908
263751696,2.1379,3735.3516,7985.7339
263751736,2.1115,3769.5313,7959.3140
263751776,2.0323,3759.7656,7640.9932
263751815,2.0587,3784.1797,7790.4883
263751855,2.1907,3740.2344,8193.6084
263751894,2.0851,3784.1797,7890.3667
263751933,2.1643,3754.8828,8126.5942
263751973,2.1379,3964.8438,8476.3604
263752012,2.0059,3750.0000,7522.1704
263752052,2.0587,3759.7656,7740.2271
263752091,2.2698,3764.6484,8545.1797
263752131,2.1643,3715.8203,8042.0522
263752171,2.2435,3735.3516,8380.0908
263752210,2.3490,3730.4688,8762.9785
263752250,2.3490,3750.0000,8808.8584
263752289,2.3490,3720.7031,8740.0391
263752329,2.2698,3764.6484,8545.1797
263752368,2.2435,3730.4688,8369.1367
263752408,2.0851,3769.5313,7859.8232
263752448,2.0587,3759.7656,7740.2271
263752486,2.1643,3750.0000,8116.0264
263752526,2.1643,3750.0000,8116.0264
263752565,2.2698,3735.3516,8478.6797
263752605,2.1379,3769.5313,8058.8057
263752645,2.2435,3730.4688,8369.1367
263752684,2.2171,3769.5313,8357.2803
263752724,2.1379,3745.1172,8006.6113
263752763,2.1907,3764.6484,8247.0918
263752803,2.1379,3750.0000,8017.0503
263752843,2.2171,3750.0000,8313.9775
263752882,2.2171,3745.1172,8303.1523
263752922,2.3754,3730.4688,8861.4385
263752961,2.1643,3730.4688,8073.7554
263753000,2.1907,3740.2344,8193.6084
263753040,2.1643,3769.5313,8158.2974
263753079,2.1115,3745.1172,7907.7642
263753119,2.2698,3769.5313,8556.2627
263753158,2.1379,3750.0000,8017.0503
263753198,2.1643,3750.0000,8116.0264
263753238,2.1643,3764.6484,8147.7300
263753277,2.1907,3725.5859,8161.5186
263753317,2.2698,3759.7656,8534.0957
263753356,2.1907,3745.1172,8204.3057
263753396,2.2171,3754.8828,8324.8037
263753436,2.3490,3759.7656,8831.7979
263753475,2.1907,3754.8828,8225.6982
263753515,2.2435,3735.3516,8380.0908
263753553,2.1907,3759.7656,8236.3955
263753593,2.3754,3740.2344,8884.6357
263753632,2.2962,3735.3516,8577.2695
263753672,2.2962,3750.0000,8610.9053
263753712,2.1115,3745.1172,7907.7642
263753751,2.2171,3769.5313,8357.2803
263753791,2.1643,3754.8828,8126.5942
263753830,2.0323,3779.2969,7680.6865
263753870,2.1115,3769.5313,7959.3140
263753910,2.1379,3754.8828,8027.4893
263753949,2.1643,3750.0000,8116.0264
263753989,2.3226,3740.2344,8687.2002
263754028,2.1643,3769.5313,8158.2974
263754067,2.2962,3745.1172,8599.6934
263754107,2.1379,3779.2969,8079.6836
263754146,2.2171,3735.3516,8281.5020
263754186,2.1907,3754.8828,8225.6982
263754225,2.3226,3740.2344,8687.2002
263754265,2.2962,3852.5391,8846.3604
263754305,2.2435,3754.8828,8423.9082
263754344,2.1907,3759.7656,8236.3955
263754384,2.1115,3764.6484,7949.0039
263754423,2.2698,3745.1172,8500.8467
263754463,2.2435,3769.5313,8456.7715
263754503,2.2171,3735.3516,8281.5020
263754542,2.2698,3754.8828,8523.0127
263754582,2.3490,3730.4688,8762.9785
263754620,2.2962,3735.3516,8577.2695
263754660,2.2962,3730.4688,8566.0576
263754700,2.1643,3745.1172,8105.4590
263754739,2.1643,3735.3516,8084.3232
263754779,2.1379,3754.8828,8027.4893
263754818,2.1115,3774.4141,7969.6240
263754858,1.9531,3764.6484,7352.8291
263754897,2.0323,3789.0625,7700.5332
263754937,1.9795,3774.4141,7471.5225
263754977,2.1115,3774.4141,7969.6240
263755016,2.1379,3764.6484,8048.3667
263755056,2.2698,3740.2344,8489.7627
263755095,2.2698,3735.3516,8478.6797
263755134,2.3490,3706.0547,8705.6289
263755174,2.3490,3730.4688,8762.9785
263755213,2.2698,3706.0547,8412.1807
263755253,2.2435,3764.6484,8445.8174
263755292,2.1643,3715.8203,8042.0522
263755332,2.2435,3774.4141,8467.7256
263755372,2.0851,3745.1172,7808.9175
263755411,2.1115,3774.4141,7969.6240
263755451,2.1907,3769.5313,8257.7881
263755490,2.1643,3735.3516,8084.3232
263755530,2.1115,3759.7656,7938.6943
263755570,2.1379,3779.2969,8079.6836
263755609,2.2171,3764.6484,8346.4541
263755649,2.0587,3750.0000,7720.1226
263755687,2.1115,3793.9453,8010.8643
263755727,2.1643,3750.0000,8116.0264
263755767,2.2698,3750.0000,8511.9297
263755806,2.2698,3750.0000,8511.9297
263755846,2.2435,3706.0547,8314.3652
263755885,2.3226,3745.1172,8698.5410
263755925,2.2171,3735.3516,8281.5020
263755965,2.2435,3730.4688,8369.1367
263756004,2.1379,3730.4688,7975.2949
263756044,2.1115,3774.4141,7969.6240
263756083,2.0587,3759.7656,7740.2271
263756123,2.1907,3759.7656,8236.3955
263756162,2.1643,3735.3516,8084.3232
263756201,2.3226,3754.8828,8721.2227
263756241,2.2962,3750.0000,8610.9053
263756280,2.2171,3730.4688,8270.6758
263756320,2.2435,3754.8828,8423.9082
263756359,2.2171,3730.4688,8270.6758
263756399,2.1379,3769.5313,8058.8057
263756439,2.2171,3745.1172,8303.1523
263756478,2.1643,3774.4141,8168.8652
263756518,2.1643,3750.0000,8116.0264
263756557,2.1907,3652.3438,8001.0693
263756597,2.0851,3764.6484,7849.6421
263756637,2.1115,3735.3516,7887.1440
263756676,2.1643,3774.4141,8168.8652
263756716,2.1907,3740.2344,8193.6084
263756754,2.2171,3725.5859,8259.8506
263756794,2.2962,3725.5859,8554.8447
263756834,2.2171,3779.2969,8378.9307
263756873,2.1643,3745.1172,8105.4590
263756913,2.0587,3759.7656,7740.2271
263756952,2.1907,3774.4141,8268.4854
263756992,2.0059,3754.8828,7531.9648
263757032,2.0851,3774.4141,7870.0044
263757071,2.2171,3720.7031,8249.0254
263757111,2.2171,3745.1172,8303.1523
263757150,2.3490,3725.5859,8751.5088
263757190,2.3754,3735.3516,8873.0371
263757230,2.3490,3745.1172,8797.3887
263757268,2.3226,3759.7656,8732.5635
263757308,2.2962,3745.1172,8599.6934
263757347,2.1115,3784.1797,7990.2441
263757387,2.0587,3750.0000,7720.1226
263757426,2.1115,3745.1172,7907.7642
263757466,2.0851,3784.1797,7890.3667
263757506,2.0851,3745.1172,7808.9175
263757545,2.1643,3779.2969,8179.4331
263757585,2.1115,3750.0000,7918.0742
263757624,2.1907,3774.4141,8268.4854
263757664,2.1379,3745.1172,8006.6113
263757704,2.2698,3750.0000,8511.9297
263757743,2.1379,3759.7656,8037.9282
263757783,2.2435,3710.9375,8325.3193
263757821,2.3226,3730.4688,8664.5176
263757861,2.4018,3671.8750,8819.1680
263757901,2.3754,3750.0000,8907.8330
263757940,2.2435,3730.4688,8369.1367
263757980,2.1115,3769.5313,7959.3140
263758019,2.1643,3779.2969,8179.4331
263758059,2.1643,3769.5313,8158.2974
263758099,2.1907,3754.8828,8225.6982
263758138,2.1115,3759.7656,7938.6943
263758178,2.2698,3740.2344,8489.7627
263758217,2.2171,3735.3516,8281.5020
263758257,2.2698,3764.6484,8545.1797
263758297,2.1907,3759.7656,8236.3955
263758336,2.1379,3720.7031,7954.4170
263758375,2.1115,3735.3516,7887.1440
263758414,2.2962,3769.5313,8655.7539
263758454,2.2962,3735.3516,8577.2695
263758494,2.3226,3725.5859,8653.1768
263758533,2.1643,3750.0000,8116.0264
263758573,2.2435,3745.1172,8402.0000
263758612,2.1643,3774.4141,8168.8652
263758652,2.2435,3745.1172,8402.0000
263758691,2.1643,3754.8828,8126.5942
263758731,2.1379,3730.4688,7975.2949
263758771,2.1379,3793.9453,8111.0000
263758810,2.2171,3730.4688,8270.6758
263758850,2.1115,3666.9922,7742.8042
263758888,2.2435,3784.1797,8489.6348
263758928,2.2171,3740.2344,8292.3271
263758968,2.2171,3769.5313,8357.2803
263759007,2.2171,3745.1172,8303.1523
263759047,2.1379,3774.4141,8069.2446
263759086,2.2171,3735.3516,8281.5020
263759126,2.2171,3754.8828,8324.8037
263759166,2.2171,3745.1172,8303.1523
263759205,2.2698,3745.1172,8500.8467
263759245,2.2171,3750.0000,8313.9775
263759284,2.1907,3745.1172,8204.3057
263759324,2.1643,3798.8281,8221.7041
263759364,2.2698,3735.3516,8478.6797
263759403,2.1907,3769.5313,8257.7881
263759442,2.1643,3735.3516,8084.3232
263759481,2.1907,3769.5313,8257.7881
