5,4077.1484,968.4949
274667762,0.2111,4082.0313,861.9154
274667801,0.3695,4072.2656,1504.7434
274667840,0.3167,4082.0313,1292.8730
274667880,0.2375,4077.1484,968.4949
274667919,0.2111,4082.0313,861.9154
274667957,0.2639,4150.3906,1095.4366
274667997,0.2639,4077.1484,1076.1055
274668036,0.3695,4077.1484,1506.5477
274668076,0.2111,4086.9141,862.9464
274668114,0.2639,4077.1484,1076.1055
274668153,0.2375,4082.0313,969.6548
274668192,0.2375,4082.0313,969.6548
274668230,0.2375,4082.0313,969.6548
274668269,0.3167,4062.5000,1286.6870
274668309,0.2111,4077.1484,860.8844
274668347,0.2375,4082.0313,969.6548
274668386,0.2111,4077.1484,860.8844
274668424,0.2903,4077.1484,1183.7161
274668464,0.2903,4072.2656,1182.2985
274668503,0.2375,4052.7344,962.6956
274668541,0.1584,4057.6172,642.5703
274668580,0.1848,4082.0313,754.1760
274668618,0.1848,4067.3828,751.4696
274668657,0.2903,4130.8594,1199.3099
274668696,0.2639,4091.7969,1079.9717
274668736,0.2375,4082.0313,969.6548
274668775,0.3959,4052.7344,1604.4926
274668814,0.2375,4082.0313,969.6548
274668853,0.2639,4062.5000,1072.2393
274668892,0.2639,4082.0313,1077.3942
274668932,0.2903,4082.0313,1185.1337
274668971,0.2375,4077.1484,968.4949
274669009,1.6892,3906.2500,6598.3955
274669049,1.8212,3857.4219,7024.9712
274669088,1.7684,3872.0703,6847.2524
274669128,1.7948,3886.7188,6975.7412
274669167,1.4253,3886.7188,5539.5591
274669207,1.4516,3911.1328,5677.5840
274669247,1.3989,3916.0156,5477.9565
274669286,1.3989,3876.9531,5423.3135
274669326,1.2933,3940.4297,5096.1006
274669365,1.3989,3911.1328,5471.1265
274669405,1.4253,3920.8984,5588.2739
274669445,1.2669,3935.5469,4985.9121
274669484,1.3197,3901.3672,5148.5522
274669523,1.3197,3930.6641,5187.2148
274669562,1.2669,3955.0781,5010.6563
274669602,1.2669,3930.6641,4979.7261
274669642,1.4516,3920.8984,5691.7603
274669681,1.4253,3920.8984,5588.2739
274669721,1.5308,3886.7188,5949.8970
274669760,1.4780,3891.6016,5751.9448
274669800,1.5044,3891.6016,5854.6582
274669840,1.6892,3886.7188,6565.4033
274669879,1.7420,3891.6016,6779.0781
274669919,1.7948,3876.9531,6958.2144
274669958,1.8212,3828.1250,6971.6172
274669998,1.7684,3876.9531,6855.8872
274670036,1.7948,3847.6563,6905.6333
274670076,1.8739,3837.8906,7191.9932
274670116,1.8212,3872.0703,7051.6484
274670155,1.6892,3842.7734,6491.1714
274670195,1.7156,3862.3047,6626.1030
274670234,1.6628,3891.6016,6470.9380
274670274,1.6100,3862.3047,6218.3433
274670314,1.6100,3891.6016,6265.5117
274670353,1.7948,3837.8906,6888.1064
274670393,1.7684,3852.5391,6812.7144
274670432,1.7156,3852.5391,6609.3496
274670472,1.8212,3891.6016,7087.2178
274670512,1.8739,3813.4766,7146.2427
274670551,1.9003,3837.8906,7293.2886
274670590,1.9003,3862.3047,7339.6836
274670629,1.9795,3823.2422,7568.1787
274670669,1.8739,3833.0078,7182.8433
274670709,1.9531,3857.4219,7534.0273
274670748,1.8476,3852.5391,7117.7607
274670788,1.8212,3862.3047,7033.8638
274670827,1.7948,3881.8359,6966.9775
274670867,1.6628,3896.4844,6479.0571
274670907,1.6892,3872.0703,6540.6592
274670946,1.7684,3886.7188,6873.1567
274670986,1.7156,3867.1875,6634.4800
274671025,1.7420,3857.4219,6719.5376
274671065,1.7684,3867.1875,6838.6182
274671105,1.7684,3852.5391,6812.7144
274671143,1.7948,3857.4219,6923.1602
274671183,1.8212,3842.7734,6998.2939
274671222,1.9003,3828.1250,7274.7305
274671262,1.9267,3857.4219,7432.2163
274671301,1.7684,3857.4219,6821.3486
274671341,1.7948,3837.8906,6888.1064
274671381,1.7156,3818.3594,6550.7114
274671420,1.7684,3872.0703,6847.2524
274671460,1.6628,3842.7734,6389.7471
274671499,1.7420,3867.1875,6736.5493
274671539,1.7684,3872.0703,6847.2524
274671579,1.8212,3837.8906,6989.4019
274671618,1.8212,3852.5391,7016.0791
274671657,1.8476,3876.9531,7162.8672
274671696,1.7156,3842.7734,6592.5957
274671736,1.7948,3857.4219,6923.1602
274671776,1.8476,3867.1875,7144.8247
274671815,1.8476,3828.1250,7072.6548
274671855,1.8212,3823.2422,6962.7246
274671894,1.9267,3862.3047,7441.6240
274671934,1.9531,3842.7734,7505.4170
274671974,1.8476,3852.5391,7117.7607
274672013,1.9267,3881.8359,7479.2554
274672053,1.8476,3833.0078,7081.6758
274672092,1.8212,3833.0078,6980.5093
274672132,1.8212,3872.0703,7051.6484
274672172,1.8739,3842.7734,7201.1436
274672210,1.8739,3847.6563,7210.2935
274672250,1.7948,3828.1250,6870.5791
274672289,1.7420,3852.5391,6711.0322
274672329,1.8212,3852.5391,7016.0791
274672369,1.7156,3837.8906,6584.2188
274672408,1.8739,3833.0078,7182.8433
274672448,1.9003,3833.0078,7284.0098
274672487,1.9531,3935.5469,7686.6152
274672527,1.9795,3823.2422,7568.1787
274672566,1.8739,3823.2422,7164.5430
274672606,1.8476,3847.6563,7108.7397
274672646,1.9267,3833.0078,7385.1768
274672685,1.9531,3828.1250,7476.8066
274672724,1.8212,3872.0703,7051.6484
274672763,1.7948,3852.5391,6914.3970
274672803,1.8476,3847.6563,7108.7397
274672843,1.8212,3867.1875,7042.7559
274672882,2.0059,3833.0078,7688.6768
274672922,1.9795,3813.4766,7548.8477
274672961,2.0323,3862.3047,7849.3838
274673001,1.8212,3842.7734,6998.2939
274673041,1.9003,3823.2422,7265.4517
274673080,1.8212,3862.3047,7033.8638
274673120,1.7948,3842.7734,6896.8696
274673159,1.8212,3842.7734,6998.2939
274673199,1.8212,3862.3047,7033.8638
274673239,1.9003,3833.0078,7284.0098
274673277,1.9531,3828.1250,7476.8066
274673317,1.9531,3828.1250,7476.8066
274673356,1.9531,3808.5938,7438.6597
274673396,1.9531,3813.4766,7448.1963
274673436,1.9003,3847.6563,7311.8467
274673475,2.0059,3818.3594,7659.2930
274673515,2.0323,3813.4766,7750.1504
274673554,1.8739,3867.1875,7246.8940
274673594,1.8739,3837.8906,7191.9932
274673634,1.8212,3837.8906,6989.4019
274673673,1.8476,3852.5391,7117.7607
274673713,1.7684,3828.1250,6769.5410
274673752,1.8739,3872.0703,7256.0439
274673792,1.9267,3862.3047,7441.6240
274673830,1.9531,3803.7109,7429.1230
274673870,1.9267,3823.2422,7366.3608
274673910,1.9267,3837.8906,7394.5845
274673949,1.8739,3813.4766,7146.2427
274673989,2.0587,3818.3594,7860.8540
274674028,1.9003,3852.5391,7321.1255
274674068,1.9267,3828.1250,7375.7690
274674108,1.9531,3828.1250,7476.8066
274674147,1.7948,3862.3047,6931.9238
274674187,1.8212,3823.2422,6962.7246
274674226,1.8476,3847.6563,7108.7397
