,3935.5469,1454.2245
35009641,0.4223,4091.7969,1727.9547
35009679,0.4223,4101.5625,1732.0787
35009718,0.5279,4101.5625,2165.0984
35009756,0.3695,4096.6797,1513.7646
35009795,0.4487,4096.6797,1838.1428
35009832,0.5015,4091.7969,2051.9463
35009871,0.3959,4101.5625,1623.8239
35009910,0.3959,4072.2656,1612.2251
35009948,0.3959,4091.7969,1619.9575
35009987,0.3959,4091.7969,1619.9575
35010025,0.4487,4106.4453,1842.5247
35010064,0.3959,4096.6797,1621.8906
35010103,0.5279,4096.6797,2162.5210
35010141,0.3959,4096.6797,1621.8906
35010180,0.3695,4101.5625,1515.5690
35010217,0.5279,4096.6797,2162.5210
35010256,0.3959,4077.1484,1614.1582
35010294,0.4751,4111.3281,1953.2280
35010333,0.4487,4096.6797,1838.1428
35010372,0.4223,4101.5625,1732.0787
35010410,0.3431,4096.6797,1405.6385
35010449,0.3959,4101.5625,1623.8239
35010487,0.4223,4091.7969,1727.9547
35010526,0.4223,4101.5625,1732.0787
35010564,0.5015,4096.6797,2054.3948
35010603,0.3959,4091.7969,1619.9575
35010641,0.3959,4096.6797,1621.8906
35010679,0.3695,4101.5625,1515.5690
35010718,0.4487,4096.6797,1838.1428
35010756,0.4751,4101.5625,1948.5886
35010795,0.4223,4101.5625,1732.0787
35010833,0.3959,4096.6797,1621.8906
35010872,0.3695,4140.6250,1530.0029
35010911,0.4223,4096.6797,1730.0167
35010949,0.4223,4101.5625,1732.0787
35010988,0.3959,4101.5625,1623.8239
35011025,0.4223,4096.6797,1730.0167
35011064,0.3695,4101.5625,1515.5690
35011103,0.3695,4082.0313,1508.3519
35011141,0.4223,4106.4453,1734.1407
35011180,0.4487,4096.6797,1838.1428
35011218,0.3695,4077.1484,1506.5477
35011257,0.3959,4096.6797,1621.8906
35011295,0.5015,4101.5625,2056.8435
35011334,0.5015,4106.4453,2059.2920
35011373,0.3959,4106.4453,1625.7570
35011410,0.5807,4096.6797,2378.7732
35011449,0.4223,4096.6797,1730.0167
35011487,0.5279,4101.5625,2165.0984
35011526,0.3959,4101.5625,1623.8239
35011564,0.4223,4091.7969,1727.9547
35011603,0.3695,4096.6797,1513.7646
35011642,0.3695,4096.6797,1513.7646
35011680,0.4223,4096.6797,1730.0167
35011719,0.4487,4096.6797,1838.1428
35011757,0.4223,4096.6797,1730.0167
35011795,0.3959,4091.7969,1619.9575
35011834,0.3695,4086.9141,1510.1563
35011872,0.3959,4096.6797,1621.8906
35011911,0.4223,4077.1484,1721.7688
35011949,0.3695,4096.6797,1513.7646
35011988,0.4487,4091.7969,1835.9520
35012026,0.3695,4101.5625,1515.5690
35012065,0.5015,4096.6797,2054.3948
35012104,0.3959,4091.7969,1619.9575
35012142,0.4487,4086.9141,1833.7611
35012180,0.4223,4096.6797,1730.0167
35012218,0.3695,4091.7969,1511.9604
35012257,0.4487,4096.6797,1838.1428
35012295,0.3695,4091.7969,1511.9604
35012334,0.4223,4101.5625,1732.0787
35012373,0.4487,4096.6797,1838.1428
35012411,1.8476,3940.4297,7280.1436
35012450,1.7156,3964.8438,6802.0176
35012488,1.9003,3940.4297,7488.1475
35012527,1.5572,3974.6094,6189.3462
35012566,1.4780,3974.6094,5874.6338
35012603,1.5044,3964.8438,5964.8462
35012642,1.3725,3964.8438,5441.6143
35012680,1.5044,3959.9609,5957.5005
35012719,1.3197,3964.8438,5232.3213
35012757,1.3725,3984.3750,5468.4199
35012796,1.3725,3984.3750,5468.4199
35012835,1.5572,3964.8438,6174.1392
35012873,1.3197,3989.2578,5264.5400
35012912,1.4516,3989.2578,5790.9937
35012950,1.5044,3969.7266,5972.1919
35012988,1.2669,3984.3750,5047.7720
35013026,1.4780,3994.1406,5903.5020
35013065,1.3725,3964.8438,5441.6143
35013104,1.3725,3945.3125,5414.8081
35013142,1.3461,3955.0781,5323.8228
35013181,1.3461,3989.2578,5369.8311
35013219,1.3989,3964.8438,5546.2603
35013258,1.2933,3989.2578,5159.2490
35013296,1.5572,3955.0781,6158.9316
35013335,1.3461,3959.9609,5330.3950
35013373,1.2933,3999.0234,5171.8789
35013411,1.3989,3984.3750,5573.5815
35013450,1.3197,3984.3750,5258.0962
35013488,1.4780,3955.0781,5845.7661
35013527,1.3725,3959.9609,5434.9126
35013566,1.5836,3935.5469,6232.3901
35013604,1.4516,4003.9063,5812.2583
35013643,1.5044,3955.0781,5950.1543
35013681,1.2669,3989.2578,5053.9580
35013720,1.3461,3984.3750,5363.2583
35013757,1.3461,3994.1406,5376.4033
35013796,1.4253,4003.9063,5706.5811
35013835,1.3725,3999.0234,5488.5244
35013873,1.2669,3974.6094,5035.4004
35013912,1.2669,3989.2578,5053.9580
35013950,1.3461,3974.6094,5350.1133
35013989,1.2933,4003.9063,5178.1938
35014027,1.2933,3955.0781,5115.0449
35014066,1.4253,3950.1953,5630.0293
35014105,1.4253,3920.8984,5588.2739
35014142,1.3725,3950.1953,5421.5098
35014181,1.4516,3969.7266,5762.6411
35014219,1.4516,3979.4922,5776.8174
35014258,1.4780,3979.4922,5881.8511
35014297,1.5836,3964.8438,6278.7852
35014335,1.4516,3979.4922,5776.8174
35014374,1.5044,3959.9609,5957.5005
35014412,1.5308,3959.9609,6062.0181
35014451,1.4253,3955.0781,5636.9883
35014489,1.6100,3935.5469,6336.2637
35014528,1.4780,3959.9609,5852.9829
35014566,1.5308,3935.5469,6024.6445
35014604,1.5572,3935.5469,6128.5176
35014643,1.6364,3945.3125,6456.1172
35014681,1.5044,3969.7266,5972.1919
35014720,1.5044,3979.4922,5986.8838
35014758,1.6628,3950.1953,6568.3677
35014797,1.6364,3950.1953,6464.1074
35014836,1.8739,3901.3672,7310.9448
35014874,1.7684,3940.4297,6968.1372
35014913,1.7684,3901.3672,6899.0605
35014950,1.6364,3935.5469,6440.1367
35014989,1.6892,3916.0156,6614.8911
35015028,1.6364,3945.3125,6456.1172
35015066,1.8212,3901.3672,7105.0024
35015105,1.7948,3901.3672,7002.0317
35015143,1.9267,3964.8438,7639.1895
35015182,1.5836,3955.0781,6263.3203
35015220,1.6892,3945.3125,6664.3794
35015259,1.6100,3959.9609,6375.5708
35015298,1.7156,3935.5469,6751.7563
35015335,1.5836,3950.1953,6255.5879
35015374,1.6364,3940.4297,6448.1270
35015412,1.5308,3950.1953,6047.0688
35015451,1.5836,3930.6641,6224.6577
35015489,1.6100,3925.7813,6320.5410
35015528,1.5044,3935.5469,5920.7710
35015567,1.7156,3911.1328,6709.8721
35015605,1.6364,3916.0156,6408.1758
35015644,1.9267,3906.2500,7526.2949
35015682,1.7156,3959.9609,6793.6406
35015720,1.7948,3891.6016,6984.5049
35015758,1.7156,3940.4297,6760.1333
35015797,1.8476,3916.0156,7235.0371
35015836,1.6892,3930.6641,6639.6353
35015874,1.8212,3911.1328,7122.7871
35015913,1.7948,3906.2500,7010.7954
35015951,1.9003,3886.7188,7386.0786
35015990,1.8212,3872.0703,7051.6484
35016029,1.9531,3896.4844,7610.3213
35016067,1.9003,3881.8359,7376.7998
35016105,1.9267,3896.4844,7507.4790
35016143,2.0323,3881.8359,7889.0771
35016182,1.7684,3935.5469,6959.5024
35016220,1.9795,3906.2500,7732.4941
35016259,1.8212,3935.5469,7167.2490
35016298,1.9531,3911.1328,7638.9312
35016336,1.8476,3916.0156,7235.0371
35016375,2.1643,3896.4844,8433.0586
35016413,2.0851,3872.0703,8073.6270
35016452,1.9531,3876.9531,7572.1738
35016489,2.1379,3862.3047,8257.1445
35016528,2.0059,3872.0703,7767.0327
35016567,1.9267,3881.8359,7479.2554
35016605,1.8212,3906.2500,7113.8950
35016644,2.0851,3867.1875,8063.4458
35016682,1.9531,3916.0156,7648.4678
35016721,1.8476,3930.6641,7262.1011
35016760,1.9795,3906.2500,7732.4941
35016798,1.9003,3930.6641,7469.5894
35016837,2.0851,3876.9531,8083.8081
35016875,2.0851,3901.3672,8134.7134
35016913,1.9795,3867.1875,7655.1694
35016951,1.9003,3891.6016,7395.3574
35016990,2.1643,3852.5391,8337.9492
35017029,2.1907,3842.7734,8418.2373
35017067,2.0587,3867.1875,7961.3765
35017106,1.9003,3916.0156,7441.7524
35017144,1.9531,3916.0156,7648.4678
35017183,2.0851,3891.6016,8114.3511
35017221,2.1643,3896.4844,8433.0586
35017260,2.1379,3886.7188,8309.3389
35017298,1.9003,3906.2500,7423.1948
35017336,2.1643,3872.0703,8380.2197
35017375,2.1643,3852.5391,8337.9492
35017413,2.2171,3857.4219,8552.1387
35017452,2.0323,3881.8359,7889.0771
35017491,2.0323,3876.9531,7879.1538
35017529,2.3226,3842.7734,8925.3604
35017568,2.1907,3872.0703,8482.4170
35017606,2.1379,3896.4844,8330.2168
35017645,2.0059,3920.8984,7864.9775
35017682,2.2171,3872.0703,8584.6152
35017721,2.1907,3886.7188,8514.5068
35017760,2.2171,3872.0703,8584.6152
35017798,2.0059,3886.7188,7796.4160
35017837,2.1379,3857.4219,8246.7051
35017875,2.2171,3823.2422,8476.3604
35017914,2.3226,3833.0078,8902.6787
35017952,2.2435,3862.3047,8664.9043
35017991,2.2435,3857.4219,8653.9502
35018030,2.4546,3837.8906,9420.4980
35018067,2.3490,3862.3047,9072.6650
35018106,2.2962,3867.1875,8879.9961
35018144,2.0587,3896.4844,8021.6899
35018183,2.2698,3847.6563,8733.5947
35018221,2.4282,3837.8906,9319.2031
35018260,2.3754,3852.5391,9151.4072
35018299,1.9795,3876.9531,7674.5005
35018337,2.1643,3872.0703,8380.2197
35018376,2.1643,3852.5391,8337.9492
35018414,2.2171,3852.5391,8541.3135
35018452,2.1379,3852.5391,8236.2666
35018491,2.1907,3872.0703,8482.4170
35018529,2.5074,3828.1250,9598.6035
35018568,2.4810,3852.5391,9558.1367
35018606,2.4018,3808.5938,9147.5410
35018645,2.2435,3872.0703,8686.8135
35018683,2.4810,3833.0078,9509.6797
35018722,2.4282,3818.3594,9271.7764
35018761,2.3754,3837.8906,9116.6104
35018799,2.1643,3852.5391,8337.9492
35018838,2.1643,3833.0078,8295.6777
35018875,2.1643,3837.8906,8306.2461
35018914,2.2962,3833.0078,8801.5117
35018952,2.0851,3886.7188,8104.1699
35018991,2.0587,3876.9531,7981.4810
35019030,2.2435,3881.8359,8708.7217
35019068,2.2698,3867.1875,8777.9277
35019107,2.4282,3847.6563,9342.9160
35019145,2.2698,3857.4219,8755.7607
35019184,2.4546,3828.1250,9396.5273
35019223,2.4546,3828.1250,9396.5273
35019260,2.5338,3808.5938,9650.1523
35019299,2.2962,3823.2422,8779.0879
35019337,2.4810,3808.5938,9449.1084
35019376,2.4546,3842.7734,9432.4834
35019414,2.5074,3818.3594,9574.1172
35019453,2.3490,3842.7734,9026.7852
35019492,2.3226,3876.9531,9004.7480
35019530,2.2698,3872.0703,8789.0107
35019569,2.2698,3852.5391,8744.6777
35019607,2.2698,3842.7734,8722.5107
35019645,2.3226,3833.0078,8902.6787
35019683,2.4546,3823.2422,9384.5420
35019722,2.4018,3793.9453,9112.3584
35019761,2.5338,3818.3594,9674.8965
35019799,2.4018,3828.1250,9194.4512
35019838,2.5602,3837.8906,9825.6807
35019876,2.4546,3837.8906,9420.4980
35019915,2.4810,3837.8906,9521.7939
35019954,2.4546,3847.6563,9444.4688
35019992,2.2698,3862.3047,8766.8438
35020030,2.3754,3823.2422,9081.8145
35020068,2.5074,3823.2422,9586.3604
35020107,2.4018,3803.7109,9135.8135
35020145,2.3226,3813.4766,8857.3145
35020184,2.4018,3837.8906,9217.9063
35020223,2.4810,3837.8906,9521.7939
35020261,2.4810,3842.7734,9533.9082
35020300,2.5338,3837.8906,9724.3848
35020338,2.4810,3842.7734,9533.9082
35020377,2.5074,3813.4766,9561.8740
35020414,2.6130,3789.0625,9900.6865
35020453,2.5074,3798.8281,9525.1445
35020492,2.4282,3808.5938,9248.0635
35020530,2.3226,3823.2422,8879.9971
35020569,2.3754,3847.6563,9139.8086
35020607,2.5338,3833.0078,9712.0127
35020646,2.5602,3833.0078,9813.1797
35020684,2.6394,3813.4766,10065.1300
35020724,2.3754,3886.7188,9232.5986
35020763,2.5074,3818.3594,9574.1172
35020801,2.4810,3818.3594,9473.3369
35020839,2.5866,3798.8281,9825.9385
35020877,2.5338,3803.7109,9637.7803
35020916,2.5602,3808.5938,9750.6758
35020955,2.6394,3813.4766,10065.1300
35020994,2.6130,3813.4766,9964.4795
35021033,2.5074,3842.7734,9635.3330
35021071,2.4810,3808.5938,9449.1084
35021110,2.4018,3803.7109,9135.8135
35021148,2.5074,3803.7109,9537.3877
35021187,2.5602,3808.5938,9750.6758
35021225,2.4546,3803.7109,9336.6006
35021263,2.3754,3842.7734,9128.2100
35021302,2.4810,3833.0078,9509.6797
35021340,2.6394,3808.5938,10052.2420
35021380,2.5074,3862.3047,9684.3047
