timestamp,kalman.stateZ,gyro.x,gyro.xRaw,gyro.xVariance,gyro.y,gyro.yRaw,gyro.yVariance
0,0.28222066164016724,0.008897388353943825,2,5871.0,-0.13957639038562775,-4,9957.0
10,0.28228050470352173,0.07523158192634583,-6,5871.0,-0.17831699550151825,1,9957.0
20,0.28234240412712097,0.06366629153490067,-3,5871.0,-0.3573620915412903,-7,9957.0
30,0.28224122524261475,-0.1306038647890091,-2,5871.0,-0.5066688060760498,-9,9957.0
40,0.2822624146938324,-0.07787596434354782,-1,5871.0,-0.6960238814353943,-4,9957.0
50,0.2823125720024109,-0.2911244332790375,-5,5871.0,-0.7765946984291077,-17,9957.0
60,0.282451868057251,0.2051888406276703,-6,5871.0,-1.1047550439834595,-19,9957.0
70,0.2824869453907013,-0.043341293931007385,-1,5871.0,-1.3295873403549194,-17,9957.0
80,0.28268203139305115,0.14454838633537292,6,5871.0,-1.3121240139007568,-20,9957.0
90,0.28277692198753357,-0.17019988596439362,7,5871.0,-1.124275803565979,-22,9957.0
100,0.28284600377082825,0.24099767208099365,-4,5871.0,-1.4331226348876953,-20,9957.0
110,0.2829096019268036,0.29107505083084106,1,5871.0,-1.4723880290985107,-18,9957.0
120,0.2817502021789551,0.1622210443019867,-4,5871.0,-1.2617628574371338,-18,9957.0
130,0.2817287743091583,-0.027287635952234268,2,5871.0,-1.391449213027954,-18,9957.0
140,0.2817066013813019,0.04056795686483383,8,5871.0,-1.4331763982772827,-20,9957.0
150,0.28168144822120667,0.2683105766773224,4,5871.0,-1.218200445175171,-23,9957.0
160,0.2816544473171234,-0.15563927590847015,9,5871.0,-1.0641813278198242,-21,9957.0
170,0.28256163001060486,0.13825637102127075,-5,5871.0,-0.9996492266654968,-22,9957.0
180,0.28258293867111206,-0.38857951760292053,-7,5871.0,-0.813431978225708,-10,9957.0
190,0.2826067805290222,0.5835950970649719,27,5871.0,-0.614617645740509,-19,9957.0
200,0.28263959288597107,0.5169938206672668,-8,5871.0,-2.4247238636016846,-8,9957.0
210,0.28239402174949646,2.701157331466675,75,5871.0,-1.038812279701233,-54,9957.0
220,0.28244903683662415,3.0294315814971924,130,5871.0,-0.653384268283844,-53,9957.0
230,0.28252941370010376,7.050442695617676,195,5871.0,-1.2245733737945557,-94,9957.0
240,0.28265103697776794,10.823320388793945,208,5871.0,-4.694402694702148,-88,9957.0
250,0.2801932394504547,13.014363288879395,153,5871.0,2.30462646484375,-5,9957.0
260,0.2802434265613556,12.087154388427734,212,5871.0,-0.22638864815235138,63,9957.0
270,0.28030672669410706,10.855462074279785,238,5871.0,2.9950828552246094,-125,9957.0
280,0.28039467334747314,8.877406120300293,218,5871.0,4.3667683601379395,-132,9957.0
290,0.2805335223674774,7.15346097946167,215,5871.0,4.851797103881836,-131,9957.0
300,0.2816409766674042,6.021247863769531,118,5871.0,4.333423137664795,-136,9957.0
310,0.2818872630596161,3.941089391708374,-20,5871.0,2.872967004776001,15,9957.0
320,0.2822304368019104,1.6961132287979126,39,5871.0,1.192893147468567,75,9957.0
330,0.2826305627822876,0.47496652603149414,-75,5871.0,-0.13663582503795624,67,9957.0
340,0.28261250257492065,-2.2078399658203125,67,5871.0,0.7671704292297363,-143,9957.0
350,0.28297650814056396,-1.4788339138031006,-136,5871.0,-1.249497413635254,126,9957.0
360,0.28340473771095276,-2.3302907943725586,42,5871.0,2.0376908779144287,-107,9957.0
370,0.2839023172855377,-0.7472250461578369,-30,5871.0,0.1270039975643158,98,9957.0
380,0.28539031744003296,-0.4188808500766754,-33,5871.0,1.6557896137237549,30,9957.0
390,0.28597474098205566,0.47753891348838806,52,5871.0,2.4344165325164795,-73,9957.0
