944,r???b???r??47,1166.7046
261175188,2.2435,3735.3516,8380.0908
261175227,2.1115,3764.6484,7949.0039
261175267,2.1643,3740.2344,8094.8911
261175307,2.0587,3774.4141,7770.3838
261175346,2.2435,3750.0000,8412.9541
261175386,2.1907,3764.6484,8247.0918
261175425,2.2698,3754.8828,8523.0127
261175464,2.2435,3876.9531,8697.7676
261175504,2.2698,3730.4688,8467.5967
261175543,2.2435,3706.0547,8314.3652
261175583,2.3754,3745.1172,8896.2344
261175622,2.2435,3715.8203,8336.2734
261175662,2.1643,3754.8828,8126.5942
261175702,2.2435,3730.4688,8369.1367
261175741,2.1643,3750.0000,8116.0264
261175781,2.1643,3745.1172,8105.4590
261175820,2.1643,3740.2344,8094.8911
261175860,2.1643,3754.8828,8126.5942
261175900,2.1643,3735.3516,8084.3232
261175939,2.1643,3759.7656,8137.1621
261175979,2.0851,3720.7031,7758.0122
261176017,2.1379,3754.8828,8027.4893
261176057,2.1907,3745.1172,8204.3057
261176096,2.1643,3735.3516,8084.3232
261176136,2.1643,3754.8828,8126.5942
261176176,2.0851,3730.4688,7778.3745
261176215,2.1907,3754.8828,8225.6982
261176255,2.2962,3730.4688,8566.0576
261176294,2.1643,3750.0000,8116.0264
261176334,2.2171,3735.3516,8281.5020
261176374,2.1643,3725.5859,8063.1880
261176413,2.2435,3730.4688,8369.1367
261176453,2.3490,3720.7031,8740.0391
261176492,2.1643,3735.3516,8084.3232
261176531,2.1643,3696.2891,7999.7813
261176571,2.1643,3740.2344,8094.8911
261176610,2.2698,3730.4688,8467.5967
261176650,2.2698,3754.8828,8523.0127
261176689,2.1379,3784.1797,8090.1226
261176729,2.1643,3730.4688,8073.7554
261176769,2.2435,3720.7031,8347.2275
261176808,2.2435,3725.5859,8358.1826
261176848,2.3226,3750.0000,8709.8818
261176887,2.1379,3730.4688,7975.2949
261176927,2.1907,3754.8828,8225.6982
261176967,2.1907,3740.2344,8193.6084
261177006,2.1907,3750.0000,8215.0020
261177046,2.1643,3754.8828,8126.5942
261177084,2.1643,3725.5859,8063.1880
261177124,2.1643,3745.1172,8105.4590
261177164,2.2962,3754.8828,8622.1182
261177203,2.1643,3754.8828,8126.5942
261177243,2.1907,3774.4141,8268.4854
261177282,2.2698,3725.5859,8456.5137
261177322,2.2171,3735.3516,8281.5020
261177361,2.3490,3730.4688,8762.9785
261177401,2.1907,3754.8828,8225.6982
261177441,2.1115,3715.8203,7845.9043
261177480,2.0851,3759.7656,7839.4609
261177520,2.1115,3720.7031,7856.2144
261177559,2.1379,3750.0000,8017.0503
261177598,2.0587,3754.8828,7730.1748
261177638,2.0851,3750.0000,7819.0986
261177677,2.1643,3754.8828,8126.5942
261177717,2.1379,3725.5859,7964.8560
261177756,2.2171,3759.7656,8335.6289
261177796,2.1907,3735.3516,8182.9121
261177836,2.3226,3740.2344,8687.2002
261177875,2.2435,3730.4688,8369.1367
261177915,2.2435,3720.7031,8347.2275
261177954,2.3226,3730.4688,8664.5176
261177994,2.2962,3715.8203,8532.4209
261178034,2.2171,3750.0000,8313.9775
261178073,2.4018,3691.4063,8866.0781
261178113,2.3754,3735.3516,8873.0371
261178151,2.2962,3710.9375,8521.2090
261178191,2.2962,3759.7656,8633.3301
261178231,2.1379,3740.2344,7996.1724
261178270,2.1115,3769.5313,7959.3140
261178310,2.1907,3740.2344,8193.6084
261178349,2.0851,3730.4688,7778.3745
261178389,2.0851,3764.6484,7849.6421
261178429,2.0851,3754.8828,7829.2798
261178468,2.1115,3779.2969,7979.9341
261178508,2.1643,3735.3516,8084.3232
261178547,2.1379,3793.9453,8111.0000
261178587,2.1379,3740.2344,7996.1724
261178626,2.2171,3735.3516,8281.5020
261178665,2.1379,3735.3516,7985.7339
261178705,2.1643,3730.4688,8073.7554
261178744,2.2171,3740.2344,8292.3271
261178784,2.1907,3710.9375,8129.4287
261178823,2.2435,3735.3516,8380.0908
261178863,2.2698,3720.7031,8445.4297
261178903,2.1643,3740.2344,8094.8911
261178942,2.2698,3745.1172,8500.8467
261178982,2.2435,3720.7031,8347.2275
261179021,2.1907,3745.1172,8204.3057
261179061,2.3226,3696.2891,8585.1309
261179101,2.3490,3725.5859,8751.5088
261179140,2.2435,3710.9375,8325.3193
261179180,2.1643,3740.2344,8094.8911
261179218,2.1379,3759.7656,8037.9282
261179258,2.2171,3769.5313,8357.2803
261179298,2.0851,3750.0000,7819.0986
261179337,2.0851,3745.1172,7808.9175
261179377,2.0851,3769.5313,7859.8232
261179416,2.1115,3720.7031,7856.2144
261179456,2.0851,3769.5313,7859.8232
261179496,2.1907,3735.3516,8182.9121
261179535,2.2171,3745.1172,8303.1523
261179575,2.2698,3730.4688,8467.5967
261179614,2.1907,3740.2344,8193.6084
261179654,2.0851,3730.4688,7778.3745
261179694,2.1379,3735.3516,7985.7339
261179732,2.1379,3754.8828,8027.4893
261179772,2.0851,3725.5859,7768.1934
261179811,2.3226,3750.0000,8709.8818
261179851,2.2962,3715.8203,8532.4209
261179890,2.3754,3750.0000,8907.8330
261179930,2.2171,3730.4688,8270.6758
261179970,2.1907,3735.3516,8182.9121
261180009,2.2698,3720.7031,8445.4297
261180049,2.2435,3720.7031,8347.2275
261180088,2.1907,3745.1172,8204.3057
261180128,2.2435,3691.4063,8281.5020
261180168,2.2435,3745.1172,8402.0000
261180207,2.2435,3725.5859,8358.1826
261180247,2.1379,3769.5313,8058.8057
261180285,2.1643,3735.3516,8084.3232
261180325,2.1115,3725.5859,7866.5239
261180365,2.1907,3759.7656,8236.3955
261180404,2.2698,3710.9375,8423.2637
261180444,2.1643,3764.6484,8147.7300
261180483,2.1907,3764.6484,8247.0918
261180523,2.1115,3745.1172,7907.7642
261180563,2.0851,3740.2344,7798.7368
261180602,2.2698,3740.2344,8489.7627
261180642,2.2962,3745.1172,8599.6934
261180681,2.3226,3720.7031,8641.8359
261180721,2.2171,3750.0000,8313.9775
261180761,2.2435,3720.7031,8347.2275
261180800,2.2435,3754.8828,8423.9082
261180839,2.2698,3613.2813,8201.5986
261180878,2.2171,3720.7031,8249.0254
261180918,2.2171,3730.4688,8270.6758
261180958,2.2698,3730.4688,8467.5967
261180997,2.2435,3745.1172,8402.0000
261181037,2.1907,3740.2344,8193.6084
261181076,2.1643,3740.2344,8094.8911
261181116,2.1907,3715.8203,8140.1255
261181155,2.1643,3745.1172,8105.4590
261181195,2.2171,3730.4688,8270.6758
261181235,2.1379,3750.0000,8017.0503
261181274,2.2435,3745.1172,8402.0000
261181314,2.2171,3725.5859,8259.8506
261181352,2.2435,3764.6484,8445.8174
261181392,2.1907,3706.0547,8118.7324
261181432,2.2435,3754.8828,8423.9082
261181471,2.2435,3730.4688,8369.1367
261181511,2.0851,3750.0000,7819.0986
261181550,2.2171,3725.5859,8259.8506
261181590,2.2171,3715.8203,8238.1992
261181630,2.2435,3745.1172,8402.0000
261181669,2.2698,3715.8203,8434.3467
261181709,2.1907,3735.3516,8182.9121
261181748,2.1643,3745.1172,8105.4590
261181788,2.0587,3754.8828,7730.1748
261181828,2.1379,3730.4688,7975.2949
261181867,2.2171,3759.7656,8335.6289
261181906,2.2171,3764.6484,8346.4541
261181945,2.1379,3740.2344,7996.1724
261181985,2.1907,3754.8828,8225.6982
261182025,2.1907,3730.4688,8172.2153
261182064,2.1643,3759.7656,8137.1621
261182104,2.1379,3774.4141,8069.2446
261182143,2.1907,3745.1172,8204.3057
261182183,2.2435,3725.5859,8358.1826
261182223,2.2171,3706.0547,8216.5488
261182262,2.2962,3735.3516,8577.2695
261182302,2.3226,3710.9375,8619.1543
261182341,2.2962,3730.4688,8566.0576
261182381,2.1907,3691.4063,8086.6426
261182419,2.1907,3764.6484,8247.0918
261182459,2.0323,3745.1172,7611.2231
261182499,2.0587,3745.1172,7710.0703
261182538,2.2171,3750.0000,8313.9775
261182578,1.9795,3735.3516,7394.1978
261182617,2.1379,3833.0078,8194.5107
261182657,2.1643,3725.5859,8063.1880
261182697,2.2698,3754.8828,8523.0127
261182736,2.2435,3725.5859,8358.1826
261182776,2.2698,3735.3516,8478.6797
261182815,2.1643,3715.8203,8042.0522
261182855,2.1907,3735.3516,8182.9121
261182895,2.2435,3740.2344,8391.0459
261182934,2.2171,3715.8203,8238.1992
261182973,2.1115,3759.7656,7938.6943
261183012,2.1115,3754.8828,7928.3843
261183052,2.1115,3759.7656,7938.6943
261183092,2.0323,3745.1172,7611.2231
261183131,2.0587,3706.0547,7629.6523
261183171,2.1643,3750.0000,8116.0264
261183210,2.2435,3730.4688,8369.1367
261183250,2.2698,3745.1172,8500.8467
261183290,2.3226,3720.7031,8641.8359
261183329,2.2698,3735.3516,8478.6797
261183369,2.3490,3706.0547,8705.6289
261183408,2.2435,3745.1172,8402.0000
261183448,2.2698,3701.1719,8401.0967
261183488,2.2962,3706.0547,8509.9971
261183526,2.2698,3701.1719,8401.0967
261183566,2.3490,3720.7031,8740.0391
261183605,2.2962,3740.2344,8588.4814
261183645,2.2435,3730.4688,8369.1367
261183684,2.1115,3764.6484,7949.0039
261183724,2.1379,3735.3516,7985.7339
261183764,2.0323,3779.2969,7680.6865
261183803,2.0059,3735.3516,7492.7866
261183843,1.9531,3764.6484,7352.8291
261183882,2.0323,3754.8828,7631.0698
261183922,2.0851,3740.2344,7798.7368
261183962,2.0587,3740.2344,7700.0181
261184001,2.1115,3725.5859,7866.5239
261184040,2.1379,3745.1172,8006.6113
261184079,2.1643,3725.5859,8063.1880
261184119,2.2171,3740.2344,8292.3271
261184159,2.1907,3720.7031,8150.8223
261184198,2.3226,3725.5859,8653.1768
261184238,2.2962,3730.4688,8566.0576
261184277,2.2435,3725.5859,8358.1826
261184317,2.1379,3740.2344,7996.1724
261184357,2.1907,3720.7031,8150.8223
261184396,2.1643,3862.3047,8359.0850
261184436,2.1643,3725.5859,8063.1880
261184475,2.1643,3740.2344,8094.8911
261184515,2.1115,3745.1172,7907.7642
261184555,2.0851,3745.1172,7808.9175
261184593,2.0851,3764.6484,7849.6421
261184633,2.0587,3745.1172,7710.0703
261184672,2.2435,3769.5313,8456.7715
261184712,2.2698,3730.4688,8467.5967
261184752,2.2171,3710.9375,8227.3740
261184791,2.2435,3710.9375,8325.3193
261184831,2.1115,3745.1172,7907.7642
261184870,2.1115,3730.4688,7876.8340
261184910,2.1643,3754.8828,8126.5942
261184949,2.1907,3735.3516,8182.9121
261184989,2.2698,3720.7031,8445.4297
261185029,2.1907,3745.1172,8204.3057
261185068,2.1907,3710.9375,8129.4287
261185107,2.1379,3745.1172,8006.6113
261185146,2.1115,3735.3516,7887.1440
261185186,2.0851,3735.3516,7788.5557
261185226,2.0323,3759.7656,7640.9932
261185265,2.2435,3730.4688,8369.1367
261185305,2.1907,3745.1172,8204.3057
261185344,2.3490,3720.7031,8740.0391
261185384,2.3490,3740.2344,8785.9180
261185424,2.3226,3715.8203,8630.4951
261185463,2.2962,3720.7031,8543.6328
261185503,2.3490,3735.3516,8774.4482
261185542,2.2435,3710.9375,8325.3193
261185582,2.1379,3740.2344,7996.1724
261185622,2.2435,3725.5859,8358.1826
261185660,2.1115,3793.9453,8010.8643
261185700,2.1115,3730.4688,7876.8340
261185739,2.1379,3750.0000,8017.0503
261185779,2.0851,3725.5859,7768.1934
261185819,2.1115,3730.4688,7876.8340
261185858,2.1643,3745.1172,8105.4590
261185898,2.2435,3730.4688,8369.1367
261185937,2.1115,3764.6484,7949.0039
261185977,2.1379,3735.3516,7985.7339
261186017,2.2171,3710.9375,8227.3740
261186056,2.1643,3725.5859,8063.1880
261186096,2.1379,3730.4688,7975.2949
261186135,2.1379,3750.0000,8017.0503
261186174,2.2435,3710.9375,8325.3193
261186213,2.2698,3745.1172,8500.8467
261186253,2.2435,3720.7031,8347.2275
261186293,2.3226,3750.0000,8709.8818
261186332,2.1379,3725.5859,7964.8560
261186372,2.2698,3735.3516,8478.6797
261186411,2.4282,3710.9375,9010.9336
261186451,2.2435,3735.3516,8380.0908
261186491,2.2171,3735.3516,8281.5020
261186530,2.1379,3730.4688,7975.2949
261186570,2.1643,3754.8828,8126.5942
261186609,2.0587,3735.3516,7689.9658
261186649,2.0851,3769.5313,7859.8232
261186689,2.1115,3681.6406,7773.7344
261186727,2.1379,3764.6484,8048.3667
261186767,2.1115,3750.0000,7918.0742
261186806,2.1907,3745.1172,8204.3057
261186846,2.2435,3735.3516,8380.0908
261186886,2.3490,3720.7031,8740.0391
261186925,2.3490,3730.4688,8762.9785
261186965,2.2962,3715.8203,8532.4209
261187004,2.2435,3745.1172,8402.0000
261187044,2.2435,3715.8203,8336.2734
261187084,2.2698,3730.4688,8467.5967
261187123,2.2698,3740.2344,8489.7627
261187163,2.1379,3725.5859,7964.8560
261187202,2.1643,3686.5234,7978.6460
261187241,2.0587,3730.4688,7679.9136
261187281,2.0851,3735.3516,7788.5557
261187320,2.1379,3730.4688,7975.2949
261187360,2.0323,3764.6484,7650.9165
261187399,2.2698,3735.3516,8478.6797
261187439,2.4018,3740.2344,8983.3545
261187478,2.2698,3745.1172,8500.8467
261187518,2.2962,3715.8203,8532.4209
261187558,2.1907,3735.3516,8182.9121
261187597,2.1907,3715.8203,8140.1255
261187637,2.1379,3764.6484,8048.3667
261187676,2.0587,3740.2344,7700.0181
261187716,2.1907,3750.0000,8215.0020
261187756,2.1907,3745.1172,8204.3057
261187794,2.1907,3730.4688,8172.2153
261187834,2.2698,3720.7031,8445.4297
261187873,2.0851,3730.4688,7778.3745
261187913,2.1115,3754.8828,7928.3843
261187953,2.0851,3691.4063,7696.9253
261187992,2.1115,3764.6484,7949.0039
261188032,2.1115,3750.0000,7918.0742
261188071,2.2171,3740.2344,8292.3271
261188111,2.2435,3745.1172,8402.0000
261188151,2.2171,3715.8203,8238.1992
261188190,2.1379,3754.8828,8027.4893
261188230,2.2698,3720.7031,8445.4297
261188269,2.1643,3750.0000,8116.0264
261188308,2.1643,3720.7031,8052.6201
261188348,2.1907,3754.8828,8225.6982
261188387,2.2435,3725.5859,8358.1826
261188427,2.3490,3715.8203,8728.5693
261188466,2.2435,3745.1172,8402.0000
261188506,2.3754,3735.3516,8873.0371
261188546,2.2962,3715.8203,8532.4209
261188585,2.2171,3730.4688,8270.6758
261188625,2.1115,3774.4141,7969.6240
261188664,2.1379,3720.7031,7954.4170
261188704,2.0323,3754.8828,7631.0698
261188743,2.0851,3740.2344,7798.7368
261188783,2.0587,3740.2344,7700.0181
261188823,2.0851,3754.8828,7829.2798
261188861,2.2435,3725.5859,8358.1826
261188901,2.1115,3730.4688,7876.8340
261188940,2.1379,3725.5859,7964.8560
261188980,2.2962,3793.9453,8711.8145
261189020,2.2698,3730.4688,8467.5967
261189059,2.1379,3735.3516,7985.7339
261189099,2.2171,3740.2344,8292.3271
261189138,2.2698,3701.1719,8401.0967
261189178,2.2962,3745.1172,8599.6934
261189218,2.2171,3715.8203,8238.1992
261189257,2.2962,3745.1172,8599.6934
261189297,2.1379,3710.9375,7933.5396
261189336,2.1379,3725.5859,7964.8560
261189376,2.1379,3750.0000,8017.0503
261189415,2.1115,3730.4688,7876.8340
261189454,2.2171,3735.3516,8281.5020
261189494,2.1907,3715.8203,8140.1255
261189533,2.1643,3750.0000,8116.0264
261189573,2.2435,3720.7031,8347.2275
261189613,2.2435,3740.2344,8391.0459
261189652,2.2171,3725.5859,8259.8506
261189692,2.4282,3730.4688,9058.3594
261189731,2.3226,3701.1719,8596.4717
261189771,2.2962,3725.5859,8554.8447
261189811,2.3754,3715.8203,8826.6426
261189850,2.2962,3730.4688,8566.0576
261189890,2.1643,3740.2344,8094.8911
261189928,2.1115,3745.1172,7907.7642
261189968,2.0851,3769.5313,7859.8232
261190007,2.2171,3725.5859,8259.8506
261190047,2.1379,3754.8828,8027.4893
261190087,2.1115,3720.7031,7856.2144
261190126,2.1115,3764.6484,7949.0039
261190166,2.1115,3754.8828,7928.3843
261190205,2.1379,3735.3516,7985.7339
261190245,2.1379,3740.2344,7996.1724
261190285,2.1643,3730.4688,8073.7554
261190324,2.1379,3745.1172,8006.6113
261190364,2.2435,3715.8203,8336.2734
261190403,2.2171,3750.0000,8313.9775
261190443,2.2171,3730.4688,8270.6758
261190482,2.2435,3725.5859,8358.1826
261190521,2.2435,3715.8203,8336.2734
261190561,2.1643,3725.5859,8063.1880
261190600,2.1115,3725.5859,7866.5239
261190640,2.2171,3720.7031,8249.0254
261190680,2.2171,3745.1172,8303.1523
261190719,2.2962,3715.8203,8532.4209
261190759,2.2171,3691.4063,8184.0723
261190798,2.3490,3730.4688,8762.9785
261190838,2.1379,3725.5859,7964.8560
261190878,2.1907,3745.1172,8204.3057
261190917,2.2171,3710.9375,8227.3740
261190957,2.3226,3745.1172,8698.5410
261190995,2.3226,3681.6406,8551.1084
261191035,2.2962,3715.8203,8532.4209
261191075,2.3490,3735.3516,8774.4482
261191114,2.2171,3759.7656,8335.6289
261191154,2.1643,3715.8203,8042.0522
261191193,2.2435,3740.2344,8391.0459
261191233,2.2698,3710.9375,8423.2637
261191272,2.3226,3803.7109,8834.6328
261191312,2.3490,3725.5859,8751.5088
261191352,2.2435,3710.9375,8325.3193
261191391,2.1907,3750.0000,8215.0020
261191431,2.0851,3710.9375,7737.6499
261191470,2.0587,3769.5313,7760.3315
261191510,2.0323,3725.5859,7571.5298
261191549,2.0851,3764.6484,7849.6421
261191588,2.1379,3745.1172,8006.6113
261191628,2.1379,3750.0000,8017.0503
261191667,2.0851,3750.0000,7819.0986
261191707,2.1907,3706.0547,8118.7324
261191747,2.2435,3745.1172,8402.0000
261191786,2.3490,3710.9375,8717.0996
261191826,2.3226,3725.5859,8653.1768
261191865,2.2962,3730.4688,8566.0576
261191905,2.2435,3720.7031,8347.2275
261191945,2.2698,3720.7031,8445.4297
261191984,2.2962,3720.7031,8543.6328
261192024,2.3226,3852.5391,8948.0430
261192062,2.1643,3730.4688,8073.7554
261192102,2.1379,3754.8828,8027.4893
261192142,2.1115,3725.5859,7866.5239
261192181,2.1643,3754.8828,8126.5942
261192221,2.0851,3715.8203,7747.8311
261192260,2.2435,3740.2344,8391.0459
261192300,2.1643,3720.7031,8052.6201
261192340,2.2435,3735.3516,8380.0908
261192379,2.2435,3740.2344,8391.0459
261192419,2.1643,3710.9375,8031.4844
261192458,2.1643,3745.1172,8105.4590
261192498,2.1379,3720.7031,7954.4170
261192537,2.0851,3750.0000,7819.0986
261192577,2.1379,3725.5859,7964.8560
261192616,2.1907,3730.4688,8172.2153
261192655,2.2171,3750.0000,8313.9775
261192695,2.2698,3720.7031,8445.4297
261192734,2.1643,3759.7656,8137.1621
261192774,2.1643,3735.3516,8084.3232
261192814,2.0851,3754.8828,7829.2798
261192853,2.2435,3730.4688,8369.1367
261192893,2.1379,3720.7031,7954.4170
261192932,2.1643,3750.0000,8116.0264
261192972,2.2698,3710.9375,8423.2637
261193012,2.2171,3750.0000,8313.9775
261193051,2.3490,3725.5859,8751.5088
261193091,2.3754,3740.2344,8884.6357
261193129,2.2171,3740.2344,8292.3271
261193169,2.2962,3740.2344,8588.4814
261193209,2.1907,3750.0000,8215.0020
261193248,2.2698,3730.4688,8467.5967
261193288,2.1907,3745.1172,8204.3057
261193327,2.2435,3720.7031,8347.2275
261193367,2.1907,3750.0000,8215.0020
261193407,2.2171,3710.9375,8227.3740
261193446,2.2171,3754.8828,8324.8037
261193486,2.0323,3735.3516,7591.3765
261193525,2.1115,3750.0000,7918.0742
261193565,2.1379,3730.4688,7975.2949
261193605,2.1379,3735.3516,7985.7339
261193644,2.1115,3759.7656,7938.6943
261193683,2.1379,3730.4688,7975.2949
261193722,2.1115,3759.7656,7938.6943
261193762,2.1643,3745.1172,8105.4590
261193801,2.2435,3745.1172,8402.0000
261193841,2.2435,3735.3516,8380.0908
261193881,2.2962,3691.4063,8476.3604
261193920,2.2171,3730.4688,8270.6758
261193960,2.3490,3701.1719,8694.1592
261193999,2.3226,3745.1172,8698.5410
261194039,2.3226,3725.5859,8653.1768
261194079,2.2698,3745.1172,8500.8467
261194118,2.2171,3725.5859,8259.8506
261194158,2.1115,3740.2344,7897.4541
261194196,2.0059,3779.2969,7580.9370
261194236,1.9267,3754.8828,7234.6509
261194276,1.9003,3779.2969,7181.9409
261194315,2.1115,3706.0547,7825.2842
261194355,2.1379,3754.8828,8027.4893
261194394,2.1115,3764.6484,7949.0039
261194434,2.1907,3710.9375,8129.4287
261194474,2.2698,3710.9375,8423.2637
261194513,2.2171,3686.5234,8173.2466
261194553,2.2171,3740.2344,8292.3271
261194592,2.2435,3715.8203,8336.2734
261194632,2.1643,3735.3516,8084.3232
261194672,2.3754,3710.9375,8815.0439
261194711,2.2962,3720.7031,8543.6328
261194750,2.2435,3691.4063,8281.5020
261194789,2.1907,3745.1172,8204.3057
261194829,2.1907,3730.4688,8172.2153
261194869,2.1643,3735.3516,8084.3232
261194908,2.2962,3740.2344,8588.4814
261194948,2.2435,3710.9375,8325.3193
261194987,2.2171,3740.2344,8292.3271
261195027,2.1907,3725.5859,8161.5186
261195066,2.1115,3774.4141,7969.6240
261195106,2.1643,3745.1172,8105.4590
261195146,2.0587,3759.7656,7740.2271
261195185,2.1115,3745.1172,7907.7642
261195225,2.0587,3720.7031,7659.8091
261195264,2.1115,3759.7656,7938.6943
261195303,2.1379,3730.4688,7975.2949
261195343,2.0587,3754.8828,7730.1748
261195382,2.1907,3725.5859,8161.5186
261195422,2.2435,3740.2344,8391.0459
261195461,2.3490,3745.1172,8797.3887
261195501,2.1643,3730.4688,8073.7554
261195541,2.2698,3750.0000,8511.9297
261195580,2.2698,3754.8828,8523.0127
261195620,2.2698,3750.0000,8511.9297
261195659,2.3490,3730.4688,8762.9785
261195699,2.2698,3750.0000,8511.9297
261195739,2.1907,3720.7031,8150.8223
261195778,2.1115,3740.2344,7897.4541
261195817,2.1643,3740.2344,8094.8911
261195856,2.2435,3735.3516,8380.0908
261195896,2.1379,3750.0000,8017.0503
261195936,2.2171,3715.8203,8238.1992
261195975,2.1643,3750.0000,8116.0264
261196015,2.2435,3725.5859,8358.1826
261196054,2.3226,3745.1172,8698.5410
261196094,2.3226,3637.6953,8449.0391
261196134,2.2962,3710.9375,8521.2090
261196173,2.1643,3730.4688,8073.7554
261196213,2.1643,3715.8203,8042.0522
261196252,2.0851,3759.7656,7839.4609
261196292,2.1379,3754.8828,8027.4893
261196331,2.0587,3769.5313,7760.3315
261196370,2.1907,3735.3516,8182.9121
261196410,2.1907,3759.7656,8236.3955
261196449,2.2962,3735.3516,8577.2695
261196489,2.1643,3710.9375,8031.4844
261196528,2.1643,3759.7656,8137.1621
261196568,2.1643,3720.7031,8052.6201
261196608,2.2171,3740.2344,8292.3271
261196647,2.3490,3730.4688,8762.9785
261196687,2.2435,3740.2344,8391.0459
261196726,2.2698,3710.9375,8423.2637
261196766,2.1643,3725.5859,8063.1880
261196806,2.1643,3745.1172,8105.4590
261196845,2.1115,3701.1719,7814.9741
261196884,2.1379,3754.8828,8027.4893
261196923,2.0851,3759.7656,7839.4609
261196963,2.0851,3759.7656,7839.4609
261197003,2.1379,3730.4688,7975.2949
261197042,2.0851,3691.4063,7696.9253
261197082,2.1907,3745.1172,8204.3057
261197121,2.2435,3715.8203,8336.2734
261197161,2.3226,3750.0000,8709.8818
261197201,2.3226,3691.4063,8573.7900
261197240,2.3490,3745.1172,8797.3887
261197280,2.2962,3701.1719,8498.7842
261197319,2.2698,3745.1172,8500.8467
261197359,2.0587,3652.3438,7519.0776
261197399,2.1379,3735.3516,7985.7339
261197437,2.1379,3745.1172,8006.6113
261197477,2.0587,3745.1172,7710.0703
261197516,2.0851,3754.8828,7829.2798
261197556,2.0587,3715.8203,7649.7568
261197595,2.0587,3750.0000,7720.1226
261197635,2.2698,3715.8203,8434.3467
261197675,2.2171,3735.3516,8281.5020
261197714,2.4018,3715.8203,8924.7158
261197754,2.1379,3710.9375,7933.5396
261197793,2.3226,3735.3516,8675.8594
261197833,2.2435,3706.0547,8314.3652
261197873,2.2435,3779.2969,8478.6807
261197912,2.1907,3715.8203,8140.1255
261197952,2.3490,3735.3516,8774.4482
261197990,2.1907,3696.2891,8097.3389
261198030,2.2962,3750.0000,8610.9053
261198070,2.2435,3735.3516,8380.0908
261198109,2.1379,3745.1172,8006.6113
261198149,2.2171,3740.2344,8292.3271
261198188,2.1643,3750.0000,8116.0264
261198228,2.1115,3745.1172,7907.7642
261198268,2.0851,3730.4688,7778.3745
261198307,2.2171,3769.5313,8357.2803
261198347,2.0587,3735.3516,7689.9658
261198386,2.2435,3745.1172,8402.0000
261198426,2.0851,3745.1172,7808.9175
261198466,2.1907,3730.4688,8172.2153
261198504,2.1115,3740.2344,7897.4541
261198544,2.1643,3720.7031,8052.6201
261198583,2.2698,3740.2344,8489.7627
261198623,2.2962,3730.4688,8566.0576
261198663,2.2698,3706.0547,8412.1807
261198702,2.2698,3725.5859,8456.5137
261198742,2.3226,3720.7031,8641.8359
261198781,2.3226,3720.7031,8641.8359
261198821,2.2171,3686.5234,8173.2466
261198860,2.2171,3745.1172,8303.1523
261198900,2.1907,3730.4688,8172.2153
261198940,2.1907,3745.1172,8204.3057
261198979,2.2435,3725.5859,8358.1826
261199019,2.1907,3754.8828,8225.6982
261199057,2.0851,3735.3516,7788.5557
261199097,2.1115,3759.7656,7938.6943
261199137,2.1907,3759.7656,8236.3955
261199176,2.1115,3725.5859,7866.5239
261199216,2.0851,3745.1172,7808.9175
261199255,2.1643,3710.9375,8031.4844
261199295,2.2698,3745.1172,8500.8467
261199335,2.1379,3686.5234,7881.3452
261199374,2.2698,3750.0000,8511.9297
261199414,2.2962,3735.3516,8577.2695
261199453,2.2698,3706.0547,8412.1807
261199493,2.3490,3730.4688,8762.9785
261199533,2.2962,3720.7031,8543.6328
261199571,2.2962,3725.5859,8554.8447
261199611,2.2435,3696.2891,8292.4561
261199650,2.2698,3652.3438,8290.2646
261199690,2.3490,3706.0547,8705.6289
261199730,2.2698,3754.8828,8523.0127
261199769,2.1643,3730.4688,8073.7554
261199809,2.2171,3745.1172,8303.1523
261199848,2.2171,3759.7656,8335.6289
261199888,2.1643,3715.8203,8042.0522
261199928,2.1643,3735.3516,8084.3232
261199967,2.2171,3730.4688,8270.6758
261200007,2.1115,3750.0000,7918.0742
261200046,2.2171,3735.3516,8281.5020
261200086,2.2435,3730.4688,8369.1367
261200124,2.3226,3745.1172,8698.5410
261200164,2.2435,3701.1719,8303.4102
261200204,2.4018,3720.7031,8936.4443
261200243,2.2962,3696.2891,8487.5723
261200283,2.3754,3715.8203,8826.6426
261200322,2.3754,3706.0547,8803.4443
261200362,2.2435,3735.3516,8380.0908
261200402,2.2171,3715.8203,8238.1992
261200441,2.2962,3725.5859,8554.8447
261200481,2.1907,3701.1719,8108.0356
261200520,2.1379,3740.2344,7996.1724
261200560,2.1379,3735.3516,7985.7339
261200600,2.1115,3735.3516,7887.1440
261200638,2.0587,3754.8828,7730.1748
261200678,2.1643,3745.1172,8105.4590
261200717,2.0587,3725.5859,7669.8613
261200757,2.1907,3735.3516,8182.9121
261200797,2.1115,3750.0000,7918.0742
261200836,2.1907,3750.0000,8215.0020
261200876,2.1643,3715.8203,8042.0522
261200915,2.2171,3710.9375,8227.3740
261200955,2.1379,3701.1719,7912.6616
261200995,2.1907,3754.8828,8225.6982
261201034,2.2435,3720.7031,8347.2275
261201074,2.2698,3740.2344,8489.7627
261201113,2.2962,3740.2344,8588.4814
261201153,2.1643,3740.2344,8094.8911
261201192,2.1907,3715.8203,8140.1255
261201231,2.1643,3701.1719,8010.3491
261201271,2.2171,3754.8828,8324.8037
261201310,2.0851,3730.4688,7778.3745
261201350,2.2698,3764.6484,8545.1797
261201389,2.1379,3745.1172,8006.6113
261201429,2.2698,3657.2266,8301.3477
