944,r???b???r??47,1166.7046
261155312,0.2375,4028.3203,956.8962
261155351,0.2639,4033.2031,1064.5067
261155390,0.2903,4028.3203,1169.5398
261155430,0.2639,4033.2031,1064.5067
261155470,0.2639,4033.2031,1064.5067
261155509,0.2639,4028.3203,1063.2180
261155549,0.3959,4062.5000,1608.3588
261155588,0.2111,4033.2031,851.6054
261155627,0.2639,4038.0859,1065.7954
261155666,0.2375,4023.4375,955.7363
261155704,0.2639,4028.3203,1063.2180
261155744,0.4223,4028.3203,1701.1488
261155783,0.2903,4038.0859,1172.3750
261155823,0.2903,4042.9688,1173.7927
261155862,0.2903,4033.2031,1170.9574
261155902,2.6130,3701.1719,9671.0313
261155942,2.6130,3735.3516,9760.3418
261155981,2.1907,3750.0000,8215.0020
261156021,1.7684,3837.8906,6786.8105
261156060,1.5308,3823.2422,5852.7251
261156100,1.5836,3842.7734,6085.4731
261156140,1.5836,3876.9531,6139.6006
261156178,1.5308,3837.8906,5875.1494
261156218,1.5572,3862.3047,6014.4629
261156257,1.6364,3813.4766,6240.3809
261156297,1.6364,3833.0078,6272.3418
261156337,1.6100,3808.5938,6131.8682
261156376,1.7156,3833.0078,6575.8418
261156416,1.6628,3833.0078,6373.5088
261156455,1.7684,3828.1250,6769.5410
261156495,1.6100,3833.0078,6171.1753
261156535,1.5836,3818.3594,6046.8105
261156574,1.6100,3862.3047,6218.3433
261156614,1.6628,3833.0078,6373.5088
261156653,1.6100,3759.7656,6053.2544
261156692,1.6100,3842.7734,6186.8979
261156732,1.7684,3808.5938,6735.0024
261156771,1.7156,3823.2422,6559.0884
261156811,1.6892,3798.8281,6416.9395
261156850,1.6628,3837.8906,6381.6279
261156890,1.7156,3833.0078,6575.8418
261156930,1.6628,3818.3594,6349.1514
261156969,1.6892,3867.1875,6532.4111
261157009,1.6628,3813.4766,6341.0322
261157048,1.6892,3813.4766,6441.6836
261157088,1.7156,3818.3594,6550.7114
261157127,1.6892,3798.8281,6416.9395
261157167,1.7420,3837.8906,6685.5146
261157207,1.6364,3789.0625,6200.4297
261157245,1.8212,3823.2422,6962.7246
261157285,1.7684,3813.4766,6743.6372
261157324,1.7684,3798.8281,6717.7334
261157364,1.7420,3842.7734,6694.0205
261157404,1.6364,3833.0078,6272.3418
261157443,1.7156,3828.1250,6567.4653
261157483,1.6892,3828.1250,6466.4272
261157522,1.7684,3837.8906,6786.8105
261157562,1.7420,3823.2422,6659.9976
261157602,1.7684,3784.1797,6691.8296
261157641,1.7684,3818.3594,6752.2720
261157681,1.7156,3818.3594,6550.7114
261157720,1.6892,3818.3594,6449.9316
261157760,1.7156,3842.7734,6592.5957
261157799,1.6892,3803.7109,6425.1875
261157838,1.6892,3837.8906,6482.9233
261157878,1.6100,3852.5391,6202.6206
261157917,1.5308,3769.5313,5770.5029
261157957,1.7156,3852.5391,6609.3496
261157997,1.6628,3818.3594,6349.1514
261158036,1.5836,3828.1250,6062.2754
261158076,1.7684,3833.0078,6778.1758
261158115,1.8212,3789.0625,6900.4780
261158155,1.6364,3842.7734,6288.3223
261158195,1.6628,3837.8906,6381.6279
261158234,1.5836,3784.1797,5992.6831
261158274,1.5836,3862.3047,6116.4028
261158312,1.6100,3823.2422,6155.4521
261158352,1.6364,3857.4219,6312.2930
261158391,1.5572,3837.8906,5976.4448
