4,4125.9766,653.3958
438755460,0.1584,4130.8594,654.1690
438755497,0.1584,4130.8594,654.1690
438755536,0.1848,4125.9766,762.2951
438755574,0.1848,4125.9766,762.2951
438755613,0.2375,4125.9766,980.0937
438755652,0.2375,4125.9766,980.0937
438755690,0.1848,4121.0938,761.3929
438755729,0.2111,4121.0938,870.1634
438755767,0.1584,4130.8594,654.1690
438755806,0.1584,4116.2109,651.8492
438755844,0.1320,4125.9766,544.4965
438755883,0.2111,4116.2109,869.1324
438755921,0.1848,4130.8594,763.1972
438755959,0.1320,4125.9766,544.4965
438755998,0.1848,4111.3281,759.5887
438756036,0.1320,4116.2109,543.2077
438756075,0.1584,4116.2109,651.8492
438756114,0.1320,4106.4453,541.9189
438756152,0.1848,4125.9766,762.2951
438756191,0.1584,4106.4453,650.3027
438756229,0.2903,4082.0313,1185.1337
438756269,0.1584,4106.4453,650.3027
438756306,0.1584,4130.8594,654.1690
438756345,0.1848,4125.9766,762.2951
438756384,0.1584,4125.9766,653.3958
438756422,0.1848,4106.4453,758.6866
438756461,0.2111,4130.8594,872.2254
438756499,0.1848,4121.0938,761.3929
438756538,0.1320,4111.3281,542.5634
438756576,0.2375,4130.8594,981.2535
438756615,0.1848,4121.0938,761.3929
438756654,0.1584,4130.8594,654.1690
438756691,0.2903,4125.9766,1197.8923
438756731,0.1320,4130.8594,545.1409
438756769,0.1848,4125.9766,762.2951
438756808,0.2903,4140.6250,1202.1451
438756848,0.2375,4125.9766,980.0937
438756886,0.1848,4121.0938,761.3929
438756925,0.1848,4125.9766,762.2951
438756963,0.1848,4130.8594,763.1972
438757002,2.9561,3735.3516,11042.0020
438757042,3.1936,3759.7656,12007.2750
438757083,2.8769,3769.5313,10844.5660
438757124,2.3226,3872.0703,8993.4063
438757163,2.0323,3916.0156,7958.5410
438757202,1.9003,3920.8984,7451.0317
438757241,1.9795,3911.1328,7742.1597
438757281,1.8739,3916.0156,7338.3950
438757321,1.7948,3920.8984,7037.0854
438757360,1.7156,3901.3672,6693.1182
438757400,1.7684,3906.2500,6907.6948
438757439,1.8212,3911.1328,7122.7871
438757479,1.7156,3906.2500,6701.4951
438757519,1.7156,3911.1328,6709.8721
438757558,1.6364,3901.3672,6384.2051
438757598,1.8212,3906.2500,7113.8950
438757637,1.9003,3906.2500,7423.1948
438757677,1.7948,3916.0156,7028.3223
438757716,1.8212,3901.3672,7105.0024
438757755,1.8476,3901.3672,7207.9736
438757795,1.9267,3891.6016,7498.0713
438757834,1.9003,3881.8359,7376.7998
438757874,1.8739,3896.4844,7301.7944
438757914,1.7948,3901.3672,7002.0317
438757953,1.7684,3906.2500,6907.6948
438757993,1.8212,3916.0156,7131.6797
438758032,1.8212,3911.1328,7122.7871
438758072,1.7684,3911.1328,6916.3296
438758112,1.8212,3911.1328,7122.7871
438758151,1.8476,3920.8984,7244.0586
438758191,1.7948,3920.8984,7037.0854
438758230,1.8476,3920.8984,7244.0586
438758269,1.9267,3916.0156,7545.1104
438758309,1.9531,3867.1875,7553.1006
438758348,1.8476,3916.0156,7235.0371
438758388,1.9267,3906.2500,7526.2949
438758427,1.9267,3911.1328,7535.7026
438758467,1.8739,3911.1328,7329.2451
438758506,1.9267,3906.2500,7526.2949
438758546,1.9531,3886.7188,7591.2476
438758586,1.8739,3920.8984,7347.5454
438758625,1.9267,3925.7813,7563.9263
438758665,1.9531,3930.6641,7677.0781
438758704,1.9003,3925.7813,7460.3105
438758744,1.8476,3925.7813,7253.0796
438758784,1.9531,3920.8984,7658.0049
438758822,1.7948,3920.8984,7037.0854
438758862,1.8739,3930.6641,7365.8452
438758901,1.8739,3925.7813,7356.6953
438758941,1.9531,3920.8984,7658.0049
438758981,1.9795,3916.0156,7751.8257
438759020,1.9795,3906.2500,7732.4941
438759060,1.9795,3911.1328,7742.1597
438759099,1.9267,3881.8359,7479.2554
438759139,2.0323,3911.1328,7948.6177
438759179,1.8739,3911.1328,7329.2451
438759218,1.8739,3916.0156,7338.3950
438759258,1.8739,3911.1328,7329.2451
438759297,1.9795,3911.1328,7742.1597
438759336,1.8212,3906.2500,7113.8950
438759376,1.9267,3901.3672,7516.8867
438759415,2.0059,3906.2500,7835.5942
438759455,1.9795,3901.3672,7722.8286
438759494,1.9003,3906.2500,7423.1948
438759534,1.8476,3862.3047,7135.8032
438759574,1.9531,3911.1328,7638.9312
438759613,1.9531,3916.0156,7648.4678
438759653,1.9267,3896.4844,7507.4790
438759692,1.9531,3906.2500,7629.3945
438759732,1.9267,3901.3672,7516.8867
438759771,1.9795,3911.1328,7742.1597
438759811,2.0587,3896.4844,8021.6899
438759851,1.9267,3901.3672,7516.8867
438759889,1.9267,3901.3672,7516.8867
438759929,1.9531,3896.4844,7610.3213
438759968,1.9267,3891.6016,7498.0713
438760008,2.0059,3886.7188,7796.4160
438760048,1.9267,3886.7188,7488.6631
438760087,1.9795,3881.8359,7684.1660
438760127,1.9795,3886.7188,7693.8320
438760166,1.9531,3886.7188,7591.2476
438760206,1.9531,3857.4219,7534.0273
438760246,2.0323,3872.0703,7869.2305
438760285,2.0059,3881.8359,7786.6216
438760325,1.9267,3862.3047,7441.6240
438760364,1.9003,3911.1328,7432.4736
438760403,1.9795,3872.0703,7664.8350
438760443,1.9531,3857.4219,7534.0273
438760482,1.9795,3872.0703,7664.8350
438760522,2.0059,3857.4219,7737.6489
438760561,1.9531,3867.1875,7553.1006
438760601,2.0587,3857.4219,7941.2720
438760641,2.0587,3847.6563,7921.1675
438760680,2.0059,3862.3047,7747.4434
438760720,2.1115,3862.3047,8155.2041
438760759,2.0323,3862.3047,7849.3838
438760799,2.0059,3872.0703,7767.0327
438760839,1.9531,3867.1875,7553.1006
438760878,2.0851,3872.0703,8073.6270
438760918,2.0323,3867.1875,7859.3071
438760956,2.0323,3857.4219,7839.4604
438760996,2.0323,3867.1875,7859.3071
438761035,1.9795,3876.9531,7674.5005
438761075,2.0059,3872.0703,7767.0327
438761115,2.0587,3876.9531,7981.4810
438761154,1.9795,3872.0703,7664.8350
438761194,2.0587,3925.7813,8082.0034
438761233,2.0323,3891.6016,7908.9243
438761273,2.0323,3896.4844,7918.8477
438761313,2.0323,3891.6016,7908.9243
438761352,2.1379,3891.6016,8319.7773
438761392,2.1379,3881.8359,8298.8994
438761431,2.0587,3896.4844,8021.6899
438761470,2.1379,3881.8359,8298.8994
438761510,2.0851,3886.7188,8104.1699
438761549,2.0587,3886.7188,8001.5854
438761589,2.1115,3872.0703,8175.8237
438761628,2.1643,3862.3047,8359.0850
438761668,2.0587,3886.7188,8001.5854
438761708,2.1115,3881.8359,8196.4443
438761747,2.0851,3886.7188,8104.1699
438761787,2.1379,3872.0703,8278.0225
438761826,2.2171,3891.6016,8627.9170
438761866,2.2171,3886.7188,8617.0918
438761906,2.1379,3876.9531,8288.4609
438761945,2.2171,3876.9531,8595.4404
438761985,2.1907,3867.1875,8471.7207
438762023,2.1115,3847.6563,8124.2739
438762063,2.0851,3881.8359,8093.9893
438762103,2.0587,3881.8359,7991.5332
438762142,2.1379,3881.8359,8298.8994
438762182,2.1379,3862.3047,8257.1445
438762221,2.0851,3867.1875,8063.4458
438762261,2.0851,3872.0703,8073.6270
438762300,2.1643,3857.4219,8348.5166
438762340,2.0851,3872.0703,8073.6270
438762380,2.1379,3852.5391,8236.2666
438762419,2.2698,3837.8906,8711.4277
438762459,1.9003,3876.9531,7367.5205
438762498,1.9795,3857.4219,7635.8379
438762537,2.0323,3862.3047,7849.3838
438762577,1.9795,3862.3047,7645.5039
438762616,2.1643,3847.6563,8327.3818
438762656,2.2962,3837.8906,8812.7236
438762695,2.2962,3842.7734,8823.9355
438762735,2.2171,3828.1250,8487.1855
438762775,2.2171,3837.8906,8508.8369
438762814,2.3490,3828.1250,8992.3760
438762854,2.2698,3823.2422,8678.1777
438762893,2.4018,3842.7734,9229.6348
438762933,2.3754,3823.2422,9081.8145
438762973,2.3490,3808.5938,8946.4961
438763012,2.3226,3833.0078,8902.6787
438763052,2.3226,3837.8906,8914.0195
438763090,2.3226,3852.5391,8948.0430
438763130,2.2698,3867.1875,8777.9277
438763170,2.2435,3881.8359,8708.7217
438763209,2.2171,3852.5391,8541.3135
438763249,2.1907,3876.9531,8493.1143
438763288,2.1643,3862.3047,8359.0850
438763328,2.2435,3867.1875,8675.8594
438763368,2.2435,3833.0078,8599.1787
438763407,2.1115,3876.9531,8186.1338
438763447,2.2171,3876.9531,8595.4404
438763486,2.1907,3876.9531,8493.1143
438763526,2.2435,3881.8359,8708.7217
438763565,2.2962,3872.0703,8891.2090
438763604,2.2698,3852.5391,8744.6777
438763644,2.2962,3867.1875,8879.9961
438763683,2.3490,3881.8359,9118.5449
438763723,2.2698,3862.3047,8766.8438
438763762,2.2698,3862.3047,8766.8438
438763802,2.2698,3852.5391,8744.6777
438763842,2.2698,3872.0703,8789.0107
438763881,2.2171,3857.4219,8552.1387
438763921,2.2435,3881.8359,8708.7217
438763960,2.2435,3842.7734,8621.0869
438764000,2.2171,3852.5391,8541.3135
438764040,2.2435,3852.5391,8642.9961
438764079,2.2698,3862.3047,8766.8438
438764119,2.2171,3847.6563,8530.4883
438764157,2.2962,3847.6563,8835.1484
438764197,2.3226,3852.5391,8948.0430
438764237,2.3226,3847.6563,8936.7021
438764276,2.1907,3852.5391,8439.6309
438764316,2.2171,3852.5391,8541.3135
438764355,2.2962,3837.8906,8812.7236
438764395,2.2698,3818.3594,8667.0947
438764435,2.2962,3833.0078,8801.5117
438764474,2.2698,3833.0078,8700.3447
438764514,2.3226,3837.8906,8914.0195
438764553,2.2962,3833.0078,8801.5117
438764593,2.3490,3828.1250,8992.3760
438764633,2.2962,3857.4219,8857.5723
438764672,2.3226,3823.2422,8879.9971
438764711,2.2171,3823.2422,8476.3604
438764750,2.2435,3823.2422,8577.2695
438764790,2.2962,3828.1250,8790.2998
438764829,2.2435,3823.2422,8577.2695
438764869,2.2698,3828.1250,8689.2617
438764909,2.3226,3823.2422,8879.9971
438764948,2.2435,3813.4766,8555.3613
438764988,2.3226,3823.2422,8879.9971
438765027,2.3226,3813.4766,8857.3145
438765067,2.3754,3837.8906,9116.6104
438765107,2.3490,3833.0078,9003.8457
438765146,2.2698,3823.2422,8678.1777
438765186,2.1643,3828.1250,8285.1104
438765224,2.2698,3847.6563,8733.5947
438765264,2.2171,3823.2422,8476.3604
438765304,2.2171,3818.3594,8465.5352
438765343,2.2962,3828.1250,8790.2998
438765383,2.3754,3823.2422,9081.8145
438765422,2.2962,3862.3047,8868.7842
438765462,2.3754,3842.7734,9128.2100
438765502,2.4546,3833.0078,9408.5127
438765541,2.4018,3833.0078,9206.1787
438765581,2.4018,3837.8906,9217.9063
438765620,2.4018,3842.7734,9229.6348
438765660,2.2962,3842.7734,8823.9355
438765700,2.2962,3847.6563,8835.1484
438765739,2.3490,3852.5391,9049.7256
438765778,2.2962,3847.6563,8835.1484
438765817,2.2962,3852.5391,8846.3604
438765857,2.2698,3847.6563,8733.5947
438765897,2.3490,3828.1250,8992.3760
438765936,2.2962,3852.5391,8846.3604
438765976,2.3226,3842.7734,8925.3604
438766015,2.3226,3862.3047,8970.7246
438766055,2.4018,3847.6563,9241.3623
438766094,2.4546,3857.4219,9468.4395
438766134,2.4018,3842.7734,9229.6348
438766174,2.3754,3842.7734,9128.2100
438766213,2.3490,3857.4219,9061.1953
438766253,2.3490,3872.0703,9095.6045
438766291,2.3754,3857.4219,9163.0059
438766331,2.3226,3852.5391,8948.0430
438766371,2.3490,3857.4219,9061.1953
438766410,2.4018,3852.5391,9253.0898
438766450,2.2962,3876.9531,8902.4209
438766489,2.2962,3842.7734,8823.9355
438766529,2.3490,3862.3047,9072.6650
438766569,2.2435,3847.6563,8632.0420
438766608,2.3226,3847.6563,8936.7021
438766648,2.2698,3852.5391,8744.6777
438766687,2.2698,3842.7734,8722.5107
438766727,2.2698,3857.4219,8755.7607
438766767,2.2435,3852.5391,8642.9961
438766806,2.1907,3842.7734,8418.2373
438766845,2.2698,3857.4219,8755.7607
438766884,2.2435,3847.6563,8632.0420
438766924,2.2435,3862.3047,8664.9043
438766964,2.3226,3842.7734,8925.3604
438767003,2.2698,3837.8906,8711.4277
438767043,2.3490,3852.5391,9049.7256
438767082,2.2962,3837.8906,8812.7236
438767122,2.2962,3833.0078,8801.5117
438767162,2.3754,3862.3047,9174.6045
438767201,2.4018,3852.5391,9253.0898
438767241,2.4018,3818.3594,9170.9961
438767280,2.4018,3828.1250,9194.4512
438767320,2.3226,3823.2422,8879.9971
438767358,2.2962,3837.8906,8812.7236
438767398,2.2962,3847.6563,8835.1484
438767438,2.3226,3828.1250,8891.3379
438767477,2.2698,3833.0078,8700.3447
438767517,2.2962,3833.0078,8801.5117
438767556,2.2435,3847.6563,8632.0420
438767596,2.3490,3847.6563,9038.2559
438767636,2.2698,3857.4219,8755.7607
438767675,2.3490,3842.7734,9026.7852
438767715,2.3226,3847.6563,8936.7021
438767754,2.3490,3857.4219,9061.1953
438767794,2.3490,3842.7734,9026.7852
438767834,2.4018,3842.7734,9229.6348
438767873,2.3754,3842.7734,9128.2100
438767912,2.2962,3837.8906,8812.7236
438767951,2.3226,3828.1250,8891.3379
438767991,2.3226,3847.6563,8936.7021
438768031,2.3490,3828.1250,8992.3760
438768070,2.3490,3847.6563,9038.2559
438768110,2.4282,3842.7734,9331.0596
438768149,2.2698,3857.4219,8755.7607
438768189,2.2698,3862.3047,8766.8438
438768229,2.2962,3857.4219,8857.5723
438768268,2.3226,3867.1875,8982.0654
438768308,2.2962,3867.1875,8879.9961
438768347,2.3226,3857.4219,8959.3838
438768387,2.2171,3857.4219,8552.1387
438768427,2.1643,3818.3594,8263.9746
438768465,2.2698,3857.4219,8755.7607
438768505,2.3226,3813.4766,8857.3145
438768544,2.2698,3833.0078,8700.3447
438768584,2.3490,3842.7734,9026.7852
438768623,2.3226,3833.0078,8902.6787
438768663,2.3490,3833.0078,9003.8457
438768703,2.3490,3823.2422,8980.9063
438768742,2.3226,3808.5938,8845.9736
438768782,2.2171,3823.2422,8476.3604
438768821,2.2962,3813.4766,8756.6631
438768861,2.2435,3813.4766,8555.3613
438768901,2.2435,3808.5938,8544.4063
438768940,2.3754,3828.1250,9093.4131
438768979,2.3226,3833.0078,8902.6787
438769018,2.3490,3842.7734,9026.7852
438769058,2.2962,3837.8906,8812.7236
438769098,2.2435,3847.6563,8632.0420
438769137,2.4018,3837.8906,9217.9063
438769177,2.2435,3852.5391,8642.9961
438769216,2.2698,3847.6563,8733.5947
438769256,2.2698,3842.7734,8722.5107
438769296,2.2962,3842.7734,8823.9355
438769335,2.3226,3852.5391,8948.0430
438769375,2.3754,3852.5391,9151.4072
438769414,2.4018,3847.6563,9241.3623
438769454,2.3226,3847.6563,8936.7021
438769494,2.3226,3852.5391,8948.0430
438769532,2.2962,3852.5391,8846.3604
438769572,2.1907,3862.3047,8461.0244
438769611,2.2171,3862.3047,8562.9639
438769651,2.1115,3847.6563,8124.2739
438769691,2.1643,3867.1875,8369.6523
438769730,2.2171,3842.7734,8519.6621
438769770,2.2171,3813.4766,8454.7090
438769809,2.2962,3852.5391,8846.3604
438769849,2.2435,3828.1250,8588.2236
438769888,2.2698,3823.2422,8678.1777
438769928,2.3490,3842.7734,9026.7852
438769968,2.2698,3847.6563,8733.5947
438770007,2.2435,3847.6563,8632.0420
438770046,2.2698,3842.7734,8722.5107
438770085,2.3490,3833.0078,9003.8457
438770125,2.2698,3940.4297,8944.1758
438770165,2.2171,3857.4219,8552.1387
438770204,2.2435,3867.1875,8675.8594
438770244,2.2962,3867.1875,8879.9961
438770283,2.1907,3857.4219,8450.3271
438770323,2.2171,3847.6563,8530.4883
438770363,2.3226,3842.7734,8925.3604
438770402,2.2171,3852.5391,8541.3135
438770442,2.2171,3847.6563,8530.4883
438770481,2.2171,3842.7734,8519.6621
438770521,2.1643,3833.0078,8295.6777
438770561,2.2698,3833.0078,8700.3447
438770599,2.2435,3828.1250,8588.2236
438770639,2.2698,3828.1250,8689.2617
438770678,2.4018,3891.6016,9346.9102
438770718,2.2435,3833.0078,8599.1787
438770758,2.3226,3833.0078,8902.6787
438770797,2.2962,3828.1250,8790.2998
438770837,2.2698,3833.0078,8700.3447
438770876,2.2962,3837.8906,8812.7236
438770916,2.2698,3847.6563,8733.5947
438770956,2.2698,3833.0078,8700.3447
438770995,2.2171,3862.3047,8562.9639
438771035,2.1379,3872.0703,8278.0225
438771074,2.1643,3876.9531,8390.7881
438771113,2.2435,3862.3047,8664.9043
438771152,2.2698,3872.0703,8789.0107
438771192,2.2962,3872.0703,8891.2090
438771232,2.2435,3857.4219,8653.9502
438771271,2.2962,3852.5391,8846.3604
438771311,2.1907,3842.7734,8418.2373
438771350,2.3754,3862.3047,9174.6045
438771390,2.2435,3833.0078,8599.1787
438771430,2.1907,3823.2422,8375.4512
438771469,2.2698,3828.1250,8689.2617
438771509,2.2171,3828.1250,8487.1855
438771548,2.2698,3842.7734,8722.5107
438771588,2.2435,3837.8906,8610.1328
438771628,2.3226,3828.1250,8891.3379
438771666,2.2171,3818.3594,8465.5352
438771706,2.3490,3842.7734,9026.7852
438771745,2.2962,3886.7188,8924.8447
438771785,2.1907,3876.9531,8493.1143
438771825,2.1907,3867.1875,8471.7207
438771864,2.1379,3862.3047,8257.1445
438771904,2.2962,3867.1875,8879.9961
438771943,2.2962,3862.3047,8868.7842
438771983,2.2171,3872.0703,8584.6152
438772023,2.2698,3867.1875,8777.9277
438772062,2.3226,3852.5391,8948.0430
438772102,2.2171,3852.5391,8541.3135
438772141,2.2435,3842.7734,8621.0869
438772180,2.2435,3847.6563,8632.0420
438772220,2.1115,3852.5391,8134.5840
438772259,2.1643,3837.8906,8306.2461
438772299,2.1643,3828.1250,8285.1104
438772338,2.1379,3837.8906,8204.9502
438772378,2.2171,3823.2422,8476.3604
438772417,2.1643,3842.7734,8316.8135
438772457,2.1643,3823.2422,8274.5430
438772497,2.3490,3837.8906,9015.3154
438772536,2.2435,3837.8906,8610.1328
438772576,2.2171,3852.5391,8541.3135
438772615,2.2435,3852.5391,8642.9961
438772655,2.1907,3872.0703,8482.4170
438772695,2.1379,3862.3047,8257.1445
438772733,2.1643,3862.3047,8359.0850
438772773,2.1907,3862.3047,8461.0244
438772812,2.1379,3862.3047,8257.1445
438772852,2.2171,3872.0703,8584.6152
438772892,2.2171,3867.1875,8573.7900
438772931,2.2698,3857.4219,8755.7607
438772971,2.2698,3823.2422,8678.1777
438773010,2.2171,3857.4219,8552.1387
438773050,2.2435,3823.2422,8577.2695
438773090,2.1643,3828.1250,8285.1104
438773129,2.1115,3833.0078,8093.3442
438773169,2.1115,3837.8906,8103.6538
438773208,2.1643,3842.7734,8316.8135
438773248,2.2962,3837.8906,8812.7236
438773287,2.3226,3833.0078,8902.6787
438773326,2.3226,3847.6563,8936.7021
438773366,2.3226,3833.0078,8902.6787
438773405,2.3754,3847.6563,9139.8086
438773445,2.2435,3867.1875,8675.8594
438773485,2.2698,3833.0078,8700.3447
438773524,2.1379,3867.1875,8267.5830
438773564,2.2171,3872.0703,8584.6152
438773603,2.1643,3862.3047,8359.0850
438773643,2.2171,3852.5391,8541.3135
438773682,2.2698,3828.1250,8689.2617
438773722,2.2962,3837.8906,8812.7236
438773762,2.2435,3823.2422,8577.2695
438773800,2.2698,3808.5938,8644.9287
438773840,2.1907,3828.1250,8386.1475
438773879,2.2962,3828.1250,8790.2998
438773919,2.2698,3842.7734,8722.5107
438773959,2.3226,3842.7734,8925.3604
438773998,2.1907,3872.0703,8482.4170
438774038,2.2435,3857.4219,8653.9502
438774077,2.2171,3847.6563,8530.4883
438774117,2.2435,3862.3047,8664.9043
438774157,2.2962,3891.6016,8936.0566
438774196,2.3226,3837.8906,8914.0195
438774236,2.2698,3842.7734,8722.5107
438774275,2.1907,3842.7734,8418.2373
438774315,2.2435,3828.1250,8588.2236
438774354,2.1379,3818.3594,8163.1943
438774393,2.1379,3833.0078,8194.5107
438774433,2.1643,3857.4219,8348.5166
438774472,2.2171,3842.7734,8519.6621
438774512,2.1643,3857.4219,8348.5166
438774552,2.1907,3852.5391,8439.6309
438774591,2.2435,3857.4219,8653.9502
438774631,2.1907,3847.6563,8428.9346
438774670,2.2435,3857.4219,8653.9502
438774710,2.2435,3857.4219,8653.9502
438774750,2.2171,3813.4766,8454.7090
438774789,2.2435,3833.0078,8599.1787
438774829,2.2698,3837.8906,8711.4277
438774867,2.1907,3837.8906,8407.5410
438774907,2.1643,3828.1250,8285.1104
438774946,2.2435,3823.2422,8577.2695
438774986,2.1643,3828.1250,8285.1104
438775026,2.1907,3833.0078,8396.8447
438775065,2.2171,3828.1250,8487.1855
438775105,2.2171,3837.8906,8508.8369
438775144,2.3490,3842.7734,9026.7852
438775184,2.2435,3842.7734,8621.0869
438775224,2.1907,3852.5391,8439.6309
438775263,2.2435,3867.1875,8675.8594
438775303,2.1643,3857.4219,8348.5166
438775342,2.2435,3867.1875,8675.8594
438775382,2.2962,3842.7734,8823.9355
438775421,2.1907,3823.2422,8375.4512
438775460,2.3226,3818.3594,8868.6563
438775500,2.4282,3857.4219,9366.6289
438775539,2.2435,3847.6563,8632.0420
438775579,2.2962,3823.2422,8779.0879
438775619,2.2171,3833.0078,8498.0117
438775658,2.1379,3847.6563,8225.8281
438775698,2.2435,3852.5391,8642.9961
438775737,2.1907,3862.3047,8461.0244
438775777,2.1643,3867.1875,8369.6523
438775817,2.1907,3842.7734,8418.2373
438775856,2.2171,3857.4219,8552.1387
438775896,2.2698,3867.1875,8777.9277
438775934,2.2698,3862.3047,8766.8438
438775974,2.3226,3852.5391,8948.0430
438776014,2.2698,3833.0078,8700.3447
438776053,2.1907,3842.7734,8418.2373
438776093,2.2962,3833.0078,8801.5117
438776132,2.1643,3823.2422,8274.5430
438776172,2.2435,3818.3594,8566.3154
438776211,2.2962,3823.2422,8779.0879
