5,4042.9688,960.3758
264239144,0.2903,4003.9063,1162.4517
264239183,0.2639,4038.0859,1065.7954
264239223,0.2111,4038.0859,852.6364
264239262,0.2111,4033.2031,851.6054
264239300,0.2375,4023.4375,955.7363
264239339,0.2375,4038.0859,959.2159
264239377,0.2639,4047.8516,1068.3729
264239417,0.2903,4028.3203,1169.5398
264239457,0.2639,4042.9688,1067.0842
264239496,0.2903,4042.9688,1173.7927
264239536,0.2375,4047.8516,961.5356
264239574,0.2111,4023.4375,849.5434
264239612,0.2903,4038.0859,1172.3750
264239651,0.2639,4047.8516,1068.3729
264239691,0.2903,4033.2031,1170.9574
264239731,0.2375,4038.0859,959.2159
264239769,0.2375,4042.9688,960.3758
264239808,0.3431,4038.0859,1385.5342
264239847,0.2639,4033.2031,1064.5067
264239887,0.3167,4052.7344,1283.5940
264239927,0.2639,4023.4375,1061.9292
264239966,0.2639,4062.5000,1072.2393
264240006,0.3431,4033.2031,1383.8588
264240045,0.2639,4042.9688,1067.0842
264240084,0.2639,4028.3203,1063.2180
264240124,0.2375,4047.8516,961.5356
264240162,0.2111,4042.9688,853.6674
264240201,0.2375,4042.9688,960.3758
264240239,0.2111,4038.0859,852.6364
264240278,2.6921,3715.8203,10003.5280
264240318,3.4840,3525.3906,12282.2940
264240359,3.5103,3476.5625,12203.9380
264240400,3.0880,3574.2188,11037.3620
264240440,2.4282,3745.1172,9093.9297
264240480,1.8476,3745.1172,6919.2935
264240519,1.7948,3847.6563,6905.6333
264240559,1.7684,3818.3594,6752.2720
264240599,1.7156,3862.3047,6626.1030
264240637,1.6892,3833.0078,6474.6753
264240677,1.7156,3847.6563,6600.9727
264240716,1.8212,3847.6563,7007.1865
264240756,1.8476,3813.4766,7045.5908
264240796,1.9531,3803.7109,7429.1230
264240835,2.1115,3769.5313,7959.3140
264240875,2.1643,3789.0625,8200.5684
264240914,2.1115,3793.9453,8010.8643
264240954,2.0587,3774.4141,7770.3838
264240994,2.0059,3671.8750,7365.4585
264241033,1.8476,3793.9453,7009.5059
264241073,1.7948,3828.1250,6870.5791
264241112,1.7684,3823.2422,6760.9063
264241152,1.7420,3813.4766,6642.9863
264241191,1.7420,3833.0078,6677.0093
264241230,1.7684,3813.4766,6743.6372
264241270,1.8739,3847.6563,7210.2935
264241309,1.9003,3808.5938,7237.6147
264241349,1.9531,3798.8281,7419.5859
264241389,1.9267,3823.2422,7366.3608
264241428,1.9531,3769.5313,7362.3657
264241468,1.9003,3808.5938,7237.6147
264241507,1.9003,3764.6484,7154.1040
264241547,1.8212,3789.0625,6900.4780
264241587,1.8739,3808.5938,7137.0923
264241626,1.7948,3798.8281,6817.9985
264241666,1.7948,3813.4766,6844.2886
264241704,1.7420,3828.1250,6668.5034
264241744,1.7420,3808.5938,6634.4805
264241783,1.8476,3833.0078,7081.6758
264241823,1.8476,3798.8281,7018.5273
264241863,1.8476,3808.5938,7036.5698
264241902,1.9003,3828.1250,7274.7305
264241942,1.8739,3779.2969,7082.1919
264241981,1.8739,3823.2422,7164.5430
264242021,1.7948,3823.2422,6861.8159
264242061,1.8476,3798.8281,7018.5273
264242100,1.8212,3837.8906,6989.4019
264242140,1.7156,3813.4766,6542.3345
264242179,1.7948,3833.0078,6879.3428
264242219,1.7948,3837.8906,6888.1064
264242258,1.9267,3808.5938,7338.1372
264242297,1.7684,3828.1250,6769.5410
264242337,1.8476,3818.3594,7054.6123
264242376,1.7684,3813.4766,6743.6372
264242416,1.8476,3828.1250,7072.6548
264242456,1.7948,3803.7109,6826.7617
264242495,1.8476,3803.7109,7027.5483
264242535,1.7156,3823.2422,6559.0884
264242574,1.8476,3779.2969,6982.4424
264242614,1.8212,3833.0078,6980.5093
264242654,1.7420,3813.4766,6642.9863
264242693,1.7684,3789.0625,6700.4644
264242733,1.8212,3847.6563,7007.1865
264242771,1.7420,3793.9453,6608.9629
264242811,1.7684,3823.2422,6760.9063
264242851,1.6892,3842.7734,6491.1714
264242890,1.6628,3818.3594,6349.1514
264242930,1.6628,3842.7734,6389.7471
264242969,1.7420,3818.3594,6651.4917
264243009,1.6892,3833.0078,6474.6753
264243048,1.7156,3857.4219,6617.7266
264243088,1.7156,3823.2422,6559.0884
264243128,1.7420,3852.5391,6711.0322
264243167,1.7948,3833.0078,6879.3428
264243207,1.6628,3813.4766,6341.0322
264243246,1.6364,3847.6563,6296.3125
264243286,1.7156,3833.0078,6575.8418
264243325,1.7156,3837.8906,6584.2188
264243364,1.7420,3833.0078,6677.0093
264243404,1.7420,3808.5938,6634.4805
264243443,1.6364,3847.6563,6296.3125
264243483,1.7156,3828.1250,6567.4653
264243523,1.7420,3818.3594,6651.4917
264243562,1.7420,3828.1250,6668.5034
264243602,1.6628,3813.4766,6341.0322
264243641,1.7420,3808.5938,6634.4805
264243681,1.6628,3828.1250,6365.3896
264243721,1.5572,3847.6563,5991.6523
264243760,1.6364,3872.0703,6336.2637
264243800,1.6892,3818.3594,6449.9316
264243838,1.6628,3837.8906,6381.6279
264243878,1.8739,3823.2422,7164.5430
264243918,1.9531,3764.6484,7352.8291
264243957,2.0587,3808.5938,7840.7495
264243997,2.0851,3789.0625,7900.5479
264244036,2.1115,3759.7656,7938.6943
264244076,2.1115,3813.4766,8052.1040
264244116,1.7684,3828.1250,6769.5410
264244155,1.7420,3842.7734,6694.0205
264244195,1.7948,3813.4766,6844.2886
264244234,1.7156,3823.2422,6559.0884
264244274,1.7684,3837.8906,6786.8105
264244313,1.8476,3774.4141,6973.4209
264244353,2.0059,3798.8281,7620.1152
264244392,2.0323,3784.1797,7690.6099
264244431,1.9795,3784.1797,7490.8540
264244471,1.8212,3847.6563,7007.1865
264244510,1.8212,3808.5938,6936.0474
264244550,1.7156,3862.3047,6626.1030
264244590,1.8739,3793.9453,7109.6421
264244629,2.1907,3750.0000,8215.0020
264244669,2.1115,3784.1797,7990.2441
264244708,2.1643,3764.6484,8147.7300
264244748,2.1379,3789.0625,8100.5610
264244788,1.9003,3818.3594,7256.1729
264244827,1.8476,3793.9453,7009.5059
264244867,1.8212,3808.5938,6936.0474
264244905,1.9003,3823.2422,7265.4517
264244945,1.9531,3798.8281,7419.5859
264244985,1.8739,3813.4766,7146.2427
264245024,1.7948,3798.8281,6817.9985
264245064,1.8739,3842.7734,7201.1436
264245103,1.9795,3769.5313,7461.8569
264245143,2.1115,3793.9453,8010.8643
264245183,2.0851,3789.0625,7900.5479
264245222,2.1115,3750.0000,7918.0742
264245262,2.1907,3784.1797,8289.8779
264245301,2.0851,3740.2344,7798.7368
264245341,2.1643,3774.4141,8168.8652
264245381,2.0323,3793.9453,7710.4565
264245420,2.0323,3774.4141,7670.7632
264245459,2.0059,3798.8281,7620.1152
264245498,1.9795,3779.2969,7481.1880
264245538,1.9531,3808.5938,7438.6597
264245577,1.9267,3789.0625,7300.5059
264245617,1.9003,3784.1797,7191.2197
264245657,2.0059,3808.5938,7639.7041
264245696,2.0851,3774.4141,7870.0044
264245736,2.0323,3803.7109,7730.3037
264245775,2.0059,3769.5313,7561.3481
264245815,1.9531,3779.2969,7381.4395
264245855,2.0059,3798.8281,7620.1152
264245894,2.0059,3759.7656,7541.7593
264245934,2.0323,3808.5938,7740.2271
264245972,1.9795,3759.7656,7442.5259
264246012,2.1115,3798.8281,8021.1738
264246052,2.1115,3784.1797,7990.2441
264246091,2.1643,3754.8828,8126.5942
264246131,2.1643,3759.7656,8137.1621
264246170,2.1907,3774.4141,8268.4854
264246210,2.2171,3793.9453,8411.4072
264246250,2.0059,3764.6484,7551.5537
264246289,2.0587,3779.2969,7780.4360
264246329,2.0059,3759.7656,7541.7593
264246368,2.0059,3750.0000,7522.1704
264246408,2.2962,3774.4141,8666.9658
264246448,2.2698,3740.2344,8489.7627
264246487,2.2698,3774.4141,8567.3457
264246526,2.1379,3754.8828,8027.4893
264246565,2.1379,3769.5313,8058.8057
264246605,2.0587,3803.7109,7830.6973
264246645,2.1379,3657.2266,7818.7119
264246684,2.0587,3789.0625,7800.5405
264246724,2.0851,3779.2969,7880.1855
264246763,1.8476,3803.7109,7027.5483
264246803,1.9795,3789.0625,7500.5195
264246842,1.9795,3789.0625,7500.5195
264246882,2.1379,3779.2969,8079.6836
264246922,2.1379,3750.0000,8017.0503
264246961,2.1907,3784.1797,8289.8779
264247001,2.1379,3774.4141,8069.2446
264247040,2.1643,3774.4141,8168.8652
264247079,2.1379,3764.6484,8048.3667
264247119,2.1115,3764.6484,7949.0039
264247158,2.1379,3793.9453,8111.0000
