54,0.??b??2&4375,743.3505
84816270,1.9003,3833.0078,7284.0098
84816309,1.8739,3847.6563,7210.2935
84816347,1.9267,3847.6563,7413.4004
84816386,1.8476,3847.6563,7108.7397
84816423,1.8212,3847.6563,7007.1865
84816462,1.9795,3837.8906,7597.1758
84816500,1.9267,3852.5391,7422.8081
84816539,1.9267,3818.3594,7356.9531
84816578,1.8739,3867.1875,7246.8940
84816616,2.0323,3818.3594,7760.0737
84816655,1.9531,3862.3047,7543.5640
84816693,1.8476,3833.0078,7081.6758
84816732,1.9795,3852.5391,7626.1724
84816771,2.0323,3837.8906,7799.7671
84816808,1.9795,3837.8906,7597.1758
84816847,2.0323,3837.8906,7799.7671
84816885,1.9267,3833.0078,7385.1768
84816924,1.9531,3837.8906,7495.8799
84816962,1.9531,3808.5938,7438.6597
84817001,2.0851,3852.5391,8032.9023
84817040,2.0323,3803.7109,7730.3037
84817078,2.0059,3847.6563,7718.0601
84817117,1.9531,3803.7109,7429.1230
84817155,2.0059,3842.7734,7708.2656
84817193,2.0059,3818.3594,7659.2930
84817231,2.0059,3837.8906,7698.4712
84817270,2.0059,3833.0078,7688.6768
84817309,2.1115,3823.2422,8072.7241
84817347,2.0587,3837.8906,7901.0630
84817386,2.0587,3828.1250,7880.9585
84817424,1.9531,3847.6563,7514.9536
84817463,2.0323,3808.5938,7740.2271
84817501,2.1115,3828.1250,8083.0342
84817540,2.1115,3793.9453,8010.8643
84817579,2.1907,3808.5938,8343.3613
84817616,2.2435,3789.0625,8500.5889
84817655,2.3226,3808.5938,8845.9736
84817693,2.3754,3774.4141,8965.8271
84817732,2.3490,3789.0625,8900.6172
84817771,2.3226,3813.4766,8857.3145
84817809,2.3754,3774.4141,8965.8271
84817848,2.2171,3823.2422,8476.3604
84817886,2.1907,3774.4141,8268.4854
84817925,2.1907,3823.2422,8375.4512
84817963,2.1907,3798.8281,8321.9678
84818001,2.0851,3823.2422,7971.8154
84818040,2.1643,3818.3594,8263.9746
84818078,2.1907,3789.0625,8300.5752
84818117,2.1643,3813.4766,8253.4072
84818155,2.1907,3793.9453,8311.2715
84818194,2.1379,3823.2422,8173.6333
84818232,2.2171,3779.2969,8378.9307
84818271,2.2171,3818.3594,8465.5352
84818310,2.2698,3774.4141,8567.3457
84818348,2.2435,3813.4766,8555.3613
84818386,2.2435,3793.9453,8511.5439
84818424,2.2171,3808.5938,8443.8838
84818463,2.2435,3808.5938,8544.4063
84818502,2.3490,3784.1797,8889.1475
84818540,2.2962,3808.5938,8745.4512
84818579,2.2962,3774.4141,8666.9658
84818617,2.2698,3808.5938,8644.9287
84818656,2.2171,3769.5313,8357.2803
84818694,2.2435,3808.5938,8544.4063
84818733,2.4018,3784.1797,9088.9033
84818771,2.2962,3803.7109,8734.2393
84818809,2.2962,3793.9453,8711.8145
84818848,2.2962,3779.2969,8678.1787
84818886,2.2171,3813.4766,8454.7090
84818925,2.2962,3798.8281,8723.0273
84818963,2.2171,3818.3594,8465.5352
84819002,2.3226,3764.6484,8743.9053
84819041,2.2435,3813.4766,8555.3613
84819079,2.2962,3759.7656,8633.3301
84819118,2.3490,3808.5938,8946.4961
84819155,2.4546,3784.1797,9288.6582
84819194,2.4282,3779.2969,9176.9248
84819233,2.4018,3784.1797,9088.9033
84819271,2.3754,3784.1797,8989.0244
84819310,2.4018,3808.5938,9147.5410
84819348,2.2171,3779.2969,8378.9307
84819387,2.1907,3828.1250,8386.1475
84819425,2.2435,3784.1797,8489.6348
84819464,2.2435,3813.4766,8555.3613
84819503,2.2435,3769.5313,8456.7715
84819540,2.2698,3793.9453,8611.6787
84819579,2.2171,3793.9453,8411.4072
84819617,2.2698,3784.1797,8589.5117
84819656,2.2698,3803.7109,8633.8447
84819694,2.2171,3779.2969,8378.9307
84819733,2.2171,3798.8281,8422.2334
84819772,2.2698,3769.5313,8556.2627
84819810,2.1907,3813.4766,8354.0576
84819849,2.2698,3779.2969,8578.4287
84819887,2.2962,3808.5938,8745.4512
84819926,2.2962,3769.5313,8655.7539
84819963,2.2962,3798.8281,8723.0273
84820002,2.3490,3784.1797,8889.1475
84820041,2.2962,3798.8281,8723.0273
84820079,2.3226,3784.1797,8789.2686
84820118,2.3226,3784.1797,8789.2686
84820156,2.3226,3764.6484,8743.9053
84820195,2.2435,3769.5313,8456.7715
84820234,2.2698,3818.3594,8667.0947
84820272,2.2698,3784.1797,8589.5117
84820311,2.1643,3823.2422,8274.5430
84820348,2.2435,3774.4141,8467.7256
84820387,2.1907,3798.8281,8321.9678
84820425,2.1907,3789.0625,8300.5752
84820464,2.1907,3798.8281,8321.9678
84820503,2.3226,3798.8281,8823.2920
84820541,2.2698,3779.2969,8578.4287
84820580,2.3226,3803.7109,8834.6328
84820618,2.2962,3774.4141,8666.9658
84820657,2.3754,3808.5938,9047.0186
84820695,2.3490,3764.6484,8843.2676
84820733,2.2698,3798.8281,8622.7617
84820772,2.3754,3769.5313,8954.2285
84820810,2.3226,3779.2969,8777.9277
84820849,2.2435,3798.8281,8522.4980
84820887,2.1907,3779.2969,8279.1816
84820926,2.2962,3808.5938,8745.4512
84820965,2.1115,3798.8281,8021.1738
84821003,2.1907,3828.1250,8386.1475
84821042,2.2962,3774.4141,8666.9658
84821080,2.2962,3813.4766,8756.6631
84821118,2.4546,3759.7656,9228.7314
84821156,2.3490,3789.0625,8900.6172
84821195,2.2962,3784.1797,8689.3906
84821234,2.3490,3759.7656,8831.7979
84821272,2.3754,3789.0625,9000.6230
84821311,2.4018,3779.2969,9077.1748
84821349,2.2435,3789.0625,8500.5889
84821388,2.3226,3750.0000,8709.8818
84821426,2.3490,3798.8281,8923.5566
84821465,2.3226,3769.5313,8755.2461
84821504,2.2698,3798.8281,8622.7617
84821541,2.2171,3789.0625,8400.5820
84821580,2.2171,3784.1797,8389.7568
84821618,2.2171,3803.7109,8433.0586
84821657,2.1907,3784.1797,8289.8779
84821696,2.2171,3808.5938,8443.8838
84821734,2.2171,3784.1797,8389.7568
84821773,2.1907,3813.4766,8354.0576
84821811,2.2171,3789.0625,8400.5820
84821850,2.2435,3793.9453,8511.5439
84821888,2.4546,3784.1797,9288.6582
84821926,2.2698,3779.2969,8578.4287
84821965,2.3490,3798.8281,8923.5566
84822003,2.3226,3779.2969,8777.9277
84822042,2.2698,3789.0625,8600.5957
84822080,2.2962,3774.4141,8666.9658
84822119,2.1907,3798.8281,8321.9678
84822157,2.2435,3779.2969,8478.6807
84822196,2.2962,3789.0625,8700.6025
84822235,2.2171,3813.4766,8454.7090
84822273,2.2962,3793.9453,8711.8145
84822311,2.2171,3808.5938,8443.8838
84822349,2.2962,3774.4141,8666.9658
84822388,2.3226,3813.4766,8857.3145
84822426,2.4018,3774.4141,9065.4473
84822465,2.3226,3793.9453,8811.9512
84822504,2.2962,3764.6484,8644.5420
84822542,2.3490,3784.1797,8889.1475
84822581,2.2698,3789.0625,8600.5957
84822619,2.2435,3803.7109,8533.4521
84822658,2.2962,3813.4766,8756.6631
84822696,2.2962,3789.0625,8700.6025
84822734,2.2962,3803.7109,8734.2393
84822773,2.2962,3769.5313,8655.7539
84822811,2.2171,3803.7109,8433.0586
84822850,2.1907,3779.2969,8279.1816
84822888,2.1907,3793.9453,8311.2715
84822927,2.1643,3789.0625,8200.5684
84822966,2.1643,3793.9453,8211.1357
84823004,2.1907,3793.9453,8311.2715
84823043,2.1907,3779.2969,8279.1816
84823080,2.2698,3803.7109,8633.8447
84823119,2.2171,3764.6484,8346.4541
84823157,2.2962,3808.5938,8745.4512
84823196,2.1907,3779.2969,8279.1816
84823235,2.1907,3798.8281,8321.9678
84823273,2.3226,3784.1797,8789.2686
84823312,2.2171,3793.9453,8411.4072
84823350,2.2698,3798.8281,8622.7617
84823389,2.2435,3779.2969,8478.6807
84823428,2.3226,3803.7109,8834.6328
84823465,2.2962,3769.5313,8655.7539
84823504,2.3754,3798.8281,9023.8213
84823542,2.4018,3769.5313,9053.7197
84823581,2.4282,3798.8281,9224.3506
84823619,2.3490,3789.0625,8900.6172
84823658,2.2698,3784.1797,8589.5117
84823697,2.2962,3808.5938,8745.4512
84823735,2.2962,3769.5313,8655.7539
84823774,2.1907,3813.4766,8354.0576
84823812,2.1379,3784.1797,8090.1226
84823851,2.2435,3808.5938,8544.4063
84823888,2.1907,3779.2969,8279.1816
84823927,2.1643,3808.5938,8242.8398
84823966,2.2698,3798.8281,8622.7617
84824004,2.3226,3784.1797,8789.2686
84824043,2.2962,3793.9453,8711.8145
84824081,2.3490,3745.1172,8797.3887
84824120,2.4810,3793.9453,9412.7656
84824159,2.2962,3759.7656,8633.3301
84824197,2.3226,3793.9453,8811.9512
84824236,2.2962,3779.2969,8678.1787
84824273,2.2962,3798.8281,8723.0273
84824312,2.2171,3789.0625,8400.5820
84824350,2.2698,3784.1797,8589.5117
84824389,2.2171,3793.9453,8411.4072
84824428,2.2698,3774.4141,8567.3457
84824466,2.3226,3803.7109,8834.6328
84824505,2.3226,3764.6484,8743.9053
84824543,2.2698,3789.0625,8600.5957
84824582,2.2698,3779.2969,8578.4287
84824620,2.2698,3789.0625,8600.5957
84824658,2.2698,3779.2969,8578.4287
84824697,2.3490,3789.0625,8900.6172
84824735,2.2435,3813.4766,8555.3613
84824774,2.3226,3774.4141,8766.5869
84824812,2.2171,3813.4766,8454.7090
84824851,2.2698,3779.2969,8578.4287
84824889,2.2698,3793.9453,8611.6787
84824928,2.1643,3779.2969,8179.4331
84824967,2.2435,3798.8281,8522.4980
84825005,2.2962,3784.1797,8689.3906
84825043,2.2435,3779.2969,8478.6807
84825081,2.2435,3769.5313,8456.7715
84825120,2.2435,3784.1797,8489.6348
84825159,2.2698,3808.5938,8644.9287
84825197,2.3490,3754.8828,8820.3281
84825236,2.2962,3784.1797,8689.3906
84825274,2.3490,3735.3516,8774.4482
84825313,2.3226,3774.4141,8766.5869
84825351,2.2962,3779.2969,8678.1787
84825390,2.3226,3793.9453,8811.9512
84825428,2.2962,3803.7109,8734.2393
84825466,2.3226,3779.2969,8777.9277
84825505,2.2171,3803.7109,8433.0586
84825543,2.1643,3764.6484,8147.7300
84825582,2.1907,3808.5938,8343.3613
84825620,2.1643,3774.4141,8168.8652
84825659,2.2171,3813.4766,8454.7090
84825698,2.2171,3774.4141,8368.1055
84825736,2.2698,3803.7109,8633.8447
84825775,2.2698,3789.0625,8600.5957
84825812,2.3226,3774.4141,8766.5869
84825851,2.3754,3793.9453,9012.2217
84825890,2.2962,3774.4141,8666.9658
84825928,2.2962,3789.0625,8700.6025
84825967,2.2698,3769.5313,8556.2627
84826005,2.3226,3793.9453,8811.9512
84826044,2.4282,3764.6484,9141.3555
84826082,2.3490,3793.9453,8912.0869
84826121,2.2962,3774.4141,8666.9658
84826160,2.2698,3798.8281,8622.7617
84826198,2.1907,3793.9453,8311.2715
84826236,2.4018,3779.2969,9077.1748
84826274,2.3226,3803.7109,8834.6328
84826313,2.4282,3769.5313,9153.2119
84826351,2.3226,3793.9453,8811.9512
84826390,2.3226,3759.7656,8732.5635
84826429,2.3490,3784.1797,8889.1475
84826467,2.2435,3779.2969,8478.6807
84826506,2.2962,3779.2969,8678.1787
84826544,2.2698,3798.8281,8622.7617
84826583,2.2698,3769.5313,8556.2627
84826621,2.2698,3803.7109,8633.8447
84826659,2.2962,3779.2969,8678.1787
84826698,2.2171,3813.4766,8454.7090
84826736,2.3490,3779.2969,8877.6777
84826775,2.2698,3789.0625,8600.5957
84826813,2.3226,3764.6484,8743.9053
84826852,2.3754,3784.1797,8989.0244
84826891,2.3754,3784.1797,8989.0244
84826929,2.2171,3774.4141,8368.1055
84826968,2.3490,3798.8281,8923.5566
84827005,2.2435,3774.4141,8467.7256
84827044,2.1907,3818.3594,8364.7549
84827082,2.3226,3769.5313,8755.2461
84827121,2.2962,3813.4766,8756.6631
84827160,2.2171,3784.1797,8389.7568
84827198,2.2435,3803.7109,8533.4521
84827237,2.2171,3793.9453,8411.4072
84827275,2.2435,3784.1797,8489.6348
84827314,2.4018,3803.7109,9135.8135
84827352,2.2962,3774.4141,8666.9658
84827390,2.3490,3793.9453,8912.0869
84827429,2.2698,3754.8828,8523.0127
84827467,2.2698,3803.7109,8633.8447
84827506,2.3226,3759.7656,8732.5635
84827544,2.3226,3789.0625,8800.6094
84827583,2.3226,3784.1797,8789.2686
84827622,2.3490,3784.1797,8889.1475
84827660,2.2962,3774.4141,8666.9658
84827699,2.3226,3769.5313,8755.2461
84827737,2.2435,3798.8281,8522.4980
84827776,2.2962,3759.7656,8633.3301
84827813,2.2171,3798.8281,8422.2334
84827852,2.3226,3769.5313,8755.2461
84827891,2.4546,3798.8281,9324.6152
84827929,2.2171,3774.4141,8368.1055
84827968,2.2171,3803.7109,8433.0586
84828006,2.2698,3793.9453,8611.6787
84828045,2.2698,3789.0625,8600.5957
84828083,2.2435,3808.5938,8544.4063
84828122,2.3490,3779.2969,8877.6777
84828161,2.2435,3818.3594,8566.3154
84828198,2.1907,3769.5313,8257.7881
84828237,2.1907,3808.5938,8343.3613
84828275,2.2962,3750.0000,8610.9053
84828314,2.3490,3789.0625,8900.6172
84828353,2.3490,3769.5313,8854.7373
84828391,2.2962,3789.0625,8700.6025
84828430,2.2698,3803.7109,8633.8447
84828468,2.2171,3784.1797,8389.7568
84828507,2.2171,3808.5938,8443.8838
84828545,2.1643,3774.4141,8168.8652
84828583,2.2171,3803.7109,8433.0586
84828622,2.1643,3784.1797,8190.0005
84828660,2.2171,3793.9453,8411.4072
84828699,2.1115,3779.2969,7979.9341
84828737,2.1379,3789.0625,8100.5610
84828776,2.4018,3789.0625,9100.6309
84828814,2.3226,3779.2969,8777.9277
84828853,2.2435,3808.5938,8544.4063
84828892,2.2962,3779.2969,8678.1787
84828930,2.3490,3803.7109,8935.0264
84828968,2.2962,3769.5313,8655.7539
84829006,2.3754,3793.9453,9012.2217
84829045,2.2698,3750.0000,8511.9297
84829084,2.2435,3793.9453,8511.5439
84829122,2.2171,3803.7109,8433.0586
84829161,2.2171,3779.2969,8378.9307
84829199,2.1907,3803.7109,8332.6650
84829238,2.3490,3774.4141,8866.2070
84829276,2.2698,3803.7109,8633.8447
84829315,2.2698,3759.7656,8534.0957
84829353,2.2435,3793.9453,8511.5439
84829391,2.3226,3764.6484,8743.9053
84829430,2.2435,3793.9453,8511.5439
84829468,2.2698,3779.2969,8578.4287
84829507,2.2698,3789.0625,8600.5957
84829545,2.2962,3793.9453,8711.8145
84829584,2.2962,3784.1797,8689.3906
84829623,2.2962,3803.7109,8734.2393
