6872	r??S,438.0859,959.2159
33503131,0.2111,4028.3203,850.5744
33503169,0.2111,4018.5547,848.5124
33503207,0.2111,4033.2031,851.6054
33503244,0.2375,4038.0859,959.2159
33503282,0.1584,4042.9688,640.2505
33503319,0.2375,4018.5547,954.5764
33503356,0.1584,4033.2031,638.7040
33503393,0.2903,4042.9688,1173.7927
33503432,0.2375,4038.0859,959.2159
33503470,0.1848,4042.9688,746.9590
33503507,0.1848,4042.9688,746.9590
33503545,0.2111,4033.2031,851.6054
33503582,0.1848,4042.9688,746.9590
33503620,0.1848,4033.2031,745.1547
33503656,0.2111,4042.9688,853.6674
33503694,0.3695,4042.9688,1493.9180
33503732,0.2375,4042.9688,960.3758
33503770,0.1848,4042.9688,746.9590
33503808,0.3167,4033.2031,1277.4081
33503846,1.7420,3847.6563,6702.5264
33503885,1.8739,3862.3047,7237.7437
33503923,1.6100,3862.3047,6218.3433
33503962,1.7156,3881.8359,6659.6108
33504000,1.5044,3901.3672,5869.3501
33504038,1.4780,3876.9531,5730.2939
33504077,1.5044,3911.1328,5884.0415
33504115,1.4780,3886.7188,5744.7280
33504154,1.4253,3906.2500,5567.3960
33504192,1.4780,3906.2500,5773.5962
33504231,1.4780,3872.0703,5723.0771
33504270,1.4780,3906.2500,5773.5962
33504308,1.6892,3862.3047,6524.1636
33504347,1.5836,3891.6016,6162.7979
33504385,1.6100,3872.0703,6234.0659
33504423,1.4780,3881.8359,5737.5112
33504461,1.6100,3881.8359,6249.7886
33504500,1.5572,3837.8906,5976.4448
33504539,1.6628,3891.6016,6470.9380
33504577,1.6892,3857.4219,6515.9155
33504616,1.6628,3872.0703,6438.4619
33504654,1.7156,3886.7188,6667.9878
33504693,1.7684,3837.8906,6786.8105
33504731,1.8212,3872.0703,7051.6484
33504770,1.8739,3833.0078,7182.8433
33504808,2.0851,3828.1250,7981.9966
33504846,2.0059,3823.2422,7669.0874
33504885,1.9795,3818.3594,7558.5132
33504923,2.1643,3823.2422,8274.5430
33504962,2.2171,3784.1797,8389.7568
33505001,2.1379,3828.1250,8184.0723
33505039,2.0587,3798.8281,7820.6450
33505078,2.0587,3813.4766,7850.8018
33505116,2.0587,3837.8906,7901.0630
33505155,2.0323,3813.4766,7750.1504
33505192,1.9267,3847.6563,7413.4004
33505231,2.1115,3793.9453,8010.8643
33505270,2.0323,3818.3594,7760.0737
33505308,2.0851,3803.7109,7931.0913
33505347,2.1907,3813.4766,8354.0576
33505385,2.1643,3803.7109,8232.2715
33505424,2.2698,3803.7109,8633.8447
33505462,2.1115,3818.3594,8062.4141
33505501,2.1907,3798.8281,8321.9678
33505540,2.1115,3828.1250,8083.0342
33505577,2.1115,3798.8281,8021.1738
33505616,2.1379,3813.4766,8152.7554
33505654,2.1115,3823.2422,8072.7241
33505693,2.0587,3793.9453,7810.5928
33505731,2.1115,3828.1250,8083.0342
33505770,2.2171,3774.4141,8368.1055
33505809,2.1643,3808.5938,8242.8398
33505847,2.1643,3789.0625,8200.5684
33505886,2.1379,3798.8281,8121.4390
33505924,2.1643,3774.4141,8168.8652
33505963,2.1643,3784.1797,8190.0005
33506001,2.1379,3813.4766,8152.7554
33506039,2.1379,3784.1797,8090.1226
33506078,2.2171,3808.5938,8443.8838
33506116,2.1907,3803.7109,8332.6650
33506155,2.1907,3779.2969,8279.1816
33506193,2.1907,3813.4766,8354.0576
33506232,2.1379,3793.9453,8111.0000
33506271,2.1115,3828.1250,8083.0342
33506309,2.1115,3789.0625,8000.5542
33506348,2.1907,3813.4766,8354.0576
33506385,2.1907,3818.3594,8364.7549
33506424,2.1643,3798.8281,8221.7041
33506462,2.1643,3828.1250,8285.1104
33506501,2.1907,3769.5313,8257.7881
33506540,2.2171,3818.3594,8465.5352
33506578,2.1379,3784.1797,8090.1226
33506617,2.2171,3808.5938,8443.8838
33506655,2.2962,3803.7109,8734.2393
33506694,2.3754,3784.1797,8989.0244
33506733,2.3226,3813.4766,8857.3145
33506770,2.2698,3769.5313,8556.2627
33506809,2.2698,3789.0625,8600.5957
33506847,2.2962,3774.4141,8666.9658
