75,4038.85,95r??59
33912161,0.2111,4033.2031,851.6054
33912198,0.2111,4042.9688,853.6674
33912236,0.3167,4033.2031,1277.4081
33912273,0.2375,4033.2031,958.0560
33912311,0.3431,4042.9688,1387.2095
33912350,0.1056,4042.9688,426.8337
33912387,0.2111,4028.3203,850.5744
33912425,0.2111,4028.3203,850.5744
33912462,0.3167,4033.2031,1277.4081
33912501,0.2111,4038.0859,852.6364
33912538,0.2111,4033.2031,851.6054
33912576,0.2111,4033.2031,851.6054
33912612,0.2375,4033.2031,958.0560
33912650,0.3167,4038.0859,1278.9545
33912689,0.2375,4038.0859,959.2159
33912726,0.1848,4023.4375,743.3505
33912764,0.1848,4038.0859,746.0569
33912801,0.2111,4038.0859,852.6364
33912839,0.2375,4038.0859,959.2159
33912876,0.2375,4038.0859,959.2159
33912913,1.9531,3818.3594,7457.7334
33912952,1.6628,3881.8359,6454.7002
33912990,1.3989,3876.9531,5423.3135
33913029,1.5308,3886.7188,5949.8970
33913067,1.3461,3886.7188,5231.8057
33913106,1.3989,3881.8359,5430.1440
33913144,1.3725,3916.0156,5374.5991
33913183,1.3461,3886.7188,5231.8057
33913222,1.2933,3920.8984,5070.8408
33913260,1.3725,3891.6016,5341.0918
33913298,1.3197,3896.4844,5142.1089
33913336,1.4780,3891.6016,5751.9448
33913375,1.4253,3867.1875,5511.7222
33913414,1.4516,3911.1328,5677.5840
33913452,1.3461,3886.7188,5231.8057
33913491,1.5044,3876.9531,5832.6206
33913529,1.3725,3886.7188,5334.3901
33913568,1.4516,3867.1875,5613.7910
33913606,1.6100,3886.7188,6257.6499
33913645,1.5572,3857.4219,6006.8594
33913683,1.5836,3886.7188,6155.0654
33913721,1.6628,3847.6563,6397.8662
33913760,1.7156,3862.3047,6626.1030
33913798,1.6364,3872.0703,6336.2637
33913837,1.7420,3847.6563,6702.5264
33913875,1.8212,3847.6563,7007.1865
33913914,1.7948,3823.2422,6861.8159
33913953,2.0851,3842.7734,8012.5400
33913991,2.1115,3798.8281,8021.1738
33914030,2.0587,3823.2422,7870.9063
33914067,2.0323,3818.3594,7760.0737
33914106,2.0059,3818.3594,7659.2930
33914145,1.9795,3837.8906,7597.1758
33914183,1.9531,3808.5938,7438.6597
33914222,1.9267,3842.7734,7403.9927
33914260,1.8739,3813.4766,7146.2427
33914299,1.9267,3833.0078,7385.1768
33914337,1.9795,3833.0078,7587.5098
33914376,2.1379,3808.5938,8142.3169
33914415,2.0323,3833.0078,7789.8438
33914452,2.0059,3813.4766,7649.4985
33914491,1.9003,3847.6563,7311.8467
33914529,1.9003,3818.3594,7256.1729
33914568,1.9267,3833.0078,7385.1768
33914606,2.0323,3818.3594,7760.0737
33914645,2.0323,3818.3594,7760.0737
33914684,2.1115,3837.8906,8103.6538
33914722,2.0323,3779.2969,7680.6865
33914761,2.0851,3837.8906,8002.3589
33914799,1.9267,3803.7109,7328.7295
33914838,1.9795,3818.3594,7558.5132
33914875,2.0323,3818.3594,7760.0737
33914914,2.0059,3808.5938,7639.7041
33914953,2.1115,3842.7734,8113.9639
33914991,2.0587,3784.1797,7790.4883
33915030,2.1907,3823.2422,8375.4512
33915068,2.1115,3813.4766,8052.1040
33915107,2.1115,3808.5938,8041.7939
33915146,2.1643,3813.4766,8253.4072
33915184,2.1907,3798.8281,8321.9678
33915223,2.0059,3828.1250,7678.8823
33915260,2.1379,3793.9453,8111.0000
33915299,2.0587,3818.3594,7860.8540
33915337,2.0851,3813.4766,7951.4531
33915376,2.0587,3803.7109,7830.6973
33915415,2.0323,3833.0078,7789.8438
33915453,2.0323,3779.2969,7680.6865
33915492,2.0323,3823.2422,7769.9971
33915530,2.0851,3779.2969,7880.1855
33915569,2.1115,3808.5938,8041.7939
33915607,2.1115,3803.7109,8031.4839
33915645,2.1379,3798.8281,8121.4390
33915684,2.1643,3823.2422,8274.5430
33915722,2.0587,3769.5313,7760.3315
33915761,2.1643,3808.5938,8242.8398
33915799,2.0587,3813.4766,7850.8018
33915838,1.9795,3818.3594,7558.5132
33915877,2.2435,3823.2422,8577.2695
33915915,2.2962,3774.4141,8666.9658
33915954,2.2171,3808.5938,8443.8838
33915992,2.1907,3774.4141,8268.4854
33916030,2.2698,3798.8281,8622.7617
33916068,2.3226,3779.2969,8777.9277
33916107,2.2962,3769.5313,8655.7539
33916146,2.2962,3793.9453,8711.8145
33916184,2.2962,3769.5313,8655.7539
33916223,2.2435,3789.0625,8500.5889
33916261,2.2698,3754.8828,8523.0127
33916300,2.2435,3798.8281,8522.4980
33916338,2.1643,3798.8281,8221.7041
33916377,2.1907,3754.8828,8225.6982
33916416,2.3226,3793.9453,8811.9512
33916453,2.2962,3769.5313,8655.7539
33916492,2.2962,3774.4141,8666.9658
33916530,2.2962,3764.6484,8644.5420
33916569,2.3226,3784.1797,8789.2686
33916608,2.2171,3798.8281,8422.2334
33916646,2.2171,3764.6484,8346.4541
