34393??b?r&?1,4067.3828,1395.5864
343939052,0.3695,4082.0313,1508.3519
343939092,0.3695,4072.2656,1504.7434
343939131,0.3959,4072.2656,1612.2251
343939171,0.3695,4057.6172,1499.3307
343939211,0.2903,4077.1484,1183.7161
343939250,0.5015,4077.1484,2044.6003
343939290,0.3959,4052.7344,1604.4926
343939329,0.4487,4106.4453,1842.5247
343939368,0.3431,4067.3828,1395.5864
343939408,0.3695,4072.2656,1504.7434
343939447,0.5015,4067.3828,2039.7031
343939487,0.3959,4062.5000,1608.3588
343939526,0.5015,4072.2656,2042.1517
343939566,0.3167,4082.0313,1292.8730
343939606,0.3959,4077.1484,1614.1582
343939645,0.3695,4082.0313,1508.3519
343939685,0.3695,4072.2656,1504.7434
343939724,0.3431,4067.3828,1395.5864
343939764,0.3695,4077.1484,1506.5477
343939804,0.3695,4077.1484,1506.5477
343939843,0.3431,4062.5000,1393.9110
343939883,0.3695,4072.2656,1504.7434
343939921,0.3695,4072.2656,1504.7434
343939961,0.4223,4082.0313,1723.8308
343940001,0.3431,4077.1484,1398.9371
343940040,0.3431,4018.5547,1378.8326
343940080,0.3431,4077.1484,1398.9371
343940119,0.3695,4072.2656,1504.7434
343940159,0.3431,4072.2656,1397.2617
343940199,0.3959,4057.6172,1606.4257
343940238,0.3959,4067.3828,1610.2920
343940278,0.4751,4072.2656,1934.6700
343940317,0.3695,4077.1484,1506.5477
343940357,0.4487,4077.1484,1829.3794
343940396,0.3695,4072.2656,1504.7434
343940435,0.2903,4052.7344,1176.6279
343940475,0.3959,4072.2656,1612.2251
343940514,0.3695,4062.5000,1501.1350
343940554,1.4253,3911.1328,5574.3555
343940593,1.6628,3867.1875,6430.3428
343940633,1.5572,3916.0156,6098.1030
343940673,1.5044,3901.3672,5869.3501
343940712,1.6628,3920.8984,6519.6528
343940752,1.2933,3896.4844,5039.2666
343940791,1.3461,3930.6641,5290.9595
343940831,1.3461,3911.1328,5264.6689
343940871,1.3197,3964.8438,5232.3213
343940910,1.3725,3911.1328,5367.8975
343940950,1.2669,3950.1953,5004.4702
343940988,1.2669,3925.7813,4973.5400
343941028,1.4253,3959.9609,5643.9478
343941068,1.4516,3901.3672,5663.4077
343941107,1.4516,3867.1875,5613.7910
343941147,1.5044,3901.3672,5869.3501
343941186,1.3989,3935.5469,5505.2778
343941226,1.3725,3920.8984,5381.3008
343941266,1.5044,3930.6641,5913.4253
343941305,1.5572,3881.8359,6044.8774
343941345,1.4780,3901.3672,5766.3789
343941384,1.5836,3891.6016,6162.7979
343941424,1.4253,3920.8984,5588.2739
343941464,1.4780,3896.4844,5759.1621
343941502,1.6100,3911.1328,6296.9570
343941542,1.7156,3867.1875,6634.4800
343941581,1.7156,3896.4844,6684.7412
343941621,1.7420,3852.5391,6711.0322
343941660,1.7156,3876.9531,6651.2339
343941700,1.5572,3876.9531,6037.2739
343941740,1.7420,3881.8359,6762.0664
343941779,1.9267,3847.6563,7413.4004
343941819,1.8476,3930.6641,7262.1011
343941858,1.8212,3906.2500,7113.8950
343941898,1.6100,3906.2500,6289.0957
343941938,1.6100,3886.7188,6257.6499
