34393??b?r&?1,4067.3828,1395.5864
343958773,2.1907,3808.5938,8343.3613
343958812,2.3226,3769.5313,8755.2461
343958852,2.2435,3789.0625,8500.5889
343958891,2.4810,3745.1172,9291.6230
343958931,2.4282,3784.1797,9188.7813
343958971,2.4282,3750.0000,9105.7861
343959010,2.2962,3784.1797,8689.3906
343959050,2.2962,3754.8828,8622.1182
343959089,2.3490,3769.5313,8854.7373
343959129,2.4282,3769.5313,9153.2119
343959169,2.3490,3774.4141,8866.2070
343959207,2.4282,3740.2344,9082.0732
343959247,2.2962,3779.2969,8678.1787
343959286,2.2435,3759.7656,8434.8633
343959326,2.2962,3779.2969,8678.1787
343959365,2.2962,3779.2969,8678.1787
343959405,2.3490,3774.4141,8866.2070
343959445,2.2962,3740.2344,8588.4814
343959484,2.3490,3769.5313,8854.7373
343959524,2.3490,3779.2969,8877.6777
343959563,2.2435,3784.1797,8489.6348
343959603,2.2962,3691.4063,8476.3604
343959643,2.4282,3769.5313,9153.2119
343959682,2.4282,3745.1172,9093.9297
343959721,2.3490,3769.5313,8854.7373
343959760,2.2962,3784.1797,8689.3906
343959800,2.4282,3774.4141,9165.0684
343959840,2.4282,3754.8828,9117.6426
343959879,2.3754,3730.4688,8861.4385
343959919,2.4546,3774.4141,9264.6875
343959958,2.2698,3754.8828,8523.0127
343959998,2.2435,3798.8281,8522.4980
343960038,2.2435,3769.5313,8456.7715
343960077,2.1907,3793.9453,8311.2715
343960117,2.2962,3745.1172,8599.6934
343960156,2.4282,3784.1797,9188.7813
343960196,2.4018,3745.1172,8995.0820
343960236,2.2962,3774.4141,8666.9658
343960274,2.3490,3769.5313,8854.7373
343960314,2.4018,3779.2969,9077.1748
343960353,2.4282,3730.4688,9058.3594
343960393,2.4282,3754.8828,9117.6426
343960433,2.3754,3740.2344,8884.6357
343960472,2.2698,3774.4141,8567.3457
343960512,2.3490,3759.7656,8831.7979
343960551,2.3226,3784.1797,8789.2686
343960591,2.2962,3784.1797,8689.3906
343960630,2.5338,3784.1797,9588.2930
343960670,2.3754,3720.7031,8838.2412
343960710,2.4018,3779.2969,9077.1748
343960749,2.2962,3769.5313,8655.7539
343960788,2.2698,3769.5313,8556.2627
343960827,2.2435,3764.6484,8445.8174
343960867,2.3226,3764.6484,8743.9053
343960907,2.4018,3696.2891,8877.8057
343960946,2.3754,3769.5313,8954.2285
343960986,2.2962,3774.4141,8666.9658
343961025,2.2698,3769.5313,8556.2627
343961065,2.3754,3774.4141,8965.8271
343961105,2.4018,3676.7578,8830.8955
343961144,2.4546,3774.4141,9264.6875
343961184,2.4282,3759.7656,9129.4990
343961223,2.2435,3789.0625,8500.5889
343961263,2.1643,3750.0000,8116.0264
343961303,2.2962,3793.9453,8711.8145
343961341,2.3754,3759.7656,8931.0313
343961381,2.4546,3769.5313,9252.7021
343961420,2.3754,3681.6406,8745.4512
343961460,2.5074,3774.4141,9463.9287
343961500,2.2962,3750.0000,8610.9053
343961539,2.2171,3803.7109,8433.0586
343961579,2.3226,3754.8828,8721.2227
343961618,2.2962,3784.1797,8689.3906
343961658,2.3226,3740.2344,8687.2002
343961698,2.2698,3784.1797,8589.5117
343961737,2.2435,3759.7656,8434.8633
343961777,2.3490,3793.9453,8912.0869
343961816,2.4282,3745.1172,9093.9297
343961856,2.4018,3779.2969,9077.1748
343961895,2.2962,3764.6484,8644.5420
343961934,2.2435,3789.0625,8500.5889
343961974,2.2698,3750.0000,8511.9297
343962013,2.3754,3784.1797,8989.0244
343962053,2.2698,3750.0000,8511.9297
343962092,2.4018,3764.6484,9041.9922
343962132,2.4546,3740.2344,9180.7900
343962172,2.4282,3759.7656,9129.4990
343962211,2.5338,3745.1172,9489.3164
343962251,2.4018,3754.8828,9018.5371
343962290,2.4810,3769.5313,9352.1943
343962330,2.2962,3774.4141,8666.9658
343962370,2.2698,3784.1797,8589.5117
343962408,2.2435,3779.2969,8478.6807
343962448,2.1643,3779.2969,8179.4331
343962487,2.2698,3784.1797,8589.5117
343962527,2.3490,3759.7656,8831.7979
343962567,2.5338,3740.2344,9476.9443
343962606,2.4810,3754.8828,9315.8516
343962646,2.3754,3754.8828,8919.4326
343962685,2.3226,3789.0625,8800.6094
343962725,2.2962,3764.6484,8644.5420
343962765,2.2435,3779.2969,8478.6807
343962804,2.4546,3745.1172,9192.7754
343962844,2.3226,3769.5313,8755.2461
343962883,2.3226,3696.2891,8585.1309
343962923,2.1907,3798.8281,8321.9678
343962962,2.2435,3774.4141,8467.7256
343963001,2.3226,3779.2969,8777.9277
343963041,2.3226,3750.0000,8709.8818
343963080,2.3226,3764.6484,8743.9053
343963120,2.2698,3769.5313,8556.2627
343963159,2.3226,3774.4141,8766.5869
343963199,2.2698,3769.5313,8556.2627
343963239,2.3490,3779.2969,8877.6777
343963278,2.3754,3754.8828,8919.4326
343963318,2.4282,3774.4141,9165.0684
343963357,2.4018,3750.0000,9006.8096
343963397,2.3490,3769.5313,8854.7373
343963437,2.3226,3740.2344,8687.2002
343963475,2.3490,3769.5313,8854.7373
343963515,2.2962,3740.2344,8588.4814
343963554,2.3754,3769.5313,8954.2285
343963594,2.3490,3750.0000,8808.8584
343963634,2.2171,3808.5938,8443.8838
343963673,2.2171,3764.6484,8346.4541
343963713,2.2698,3798.8281,8622.7617
343963752,2.4018,3750.0000,9006.8096
343963792,2.2962,3784.1797,8689.3906
343963832,2.2962,3759.7656,8633.3301
343963871,2.3490,3779.2969,8877.6777
343963911,2.2698,3754.8828,8523.0127
343963950,2.3754,3769.5313,8954.2285
343963990,2.4282,3740.2344,9082.0732
343964029,2.5074,3745.1172,9390.4707
343964068,2.5074,3735.3516,9365.9844
343964108,2.3226,3769.5313,8755.2461
343964147,2.3490,3750.0000,8808.8584
343964187,2.1907,3842.7734,8418.2373
343964227,2.2962,3750.0000,8610.9053
343964266,2.3226,3769.5313,8755.2461
343964306,2.3490,3754.8828,8820.3281
343964345,2.3490,3774.4141,8866.2070
343964385,2.1907,3764.6484,8247.0918
343964424,2.2171,3769.5313,8357.2803
343964464,2.4282,3754.8828,9117.6426
343964504,2.3754,3759.7656,8931.0313
343964542,2.3490,3759.7656,8831.7979
343964582,2.3226,3774.4141,8766.5869
343964621,2.2171,3769.5313,8357.2803
343964661,2.2962,3891.6016,8936.0566
343964701,2.3754,3750.0000,8907.8330
343964740,2.4018,3764.6484,9041.9922
343964780,2.3226,3750.0000,8709.8818
343964819,2.2698,3774.4141,8567.3457
343964859,2.2962,3764.6484,8644.5420
343964899,2.3226,3779.2969,8777.9277
343964938,2.2435,3769.5313,8456.7715
343964978,2.3754,3764.6484,8942.6299
343965017,2.3226,3754.8828,8721.2227
343965057,2.2171,3754.8828,8324.8037
343965096,2.3226,3750.0000,8709.8818
343965135,2.4018,3769.5313,9053.7197
343965175,2.4018,3769.5313,9053.7197
343965214,2.4282,3764.6484,9141.3555
343965254,2.4282,3745.1172,9093.9297
343965294,2.5338,3750.0000,9501.6885
343965333,2.4282,3754.8828,9117.6426
343965373,2.4018,3725.5859,8948.1719
343965412,2.3490,3798.8281,8923.5566
343965452,2.4018,3754.8828,9018.5371
343965492,2.4018,3764.6484,9041.9922
343965531,2.4546,3740.2344,9180.7900
343965571,2.3754,3769.5313,8954.2285
343965609,2.3226,3740.2344,8687.2002
343965649,2.3754,3784.1797,8989.0244
343965688,2.3226,3784.1797,8789.2686
343965728,2.2171,3798.8281,8422.2334
343965768,2.1907,3759.7656,8236.3955
343965807,2.3226,3784.1797,8789.2686
343965847,2.2171,3754.8828,8324.8037
343965886,2.2698,3818.3594,8667.0947
343965926,2.1907,3754.8828,8225.6982
343965966,2.2962,3798.8281,8723.0273
343966005,2.4018,3735.3516,8971.6270
343966045,2.3754,3769.5313,8954.2285
343966084,2.5074,3754.8828,9414.9570
343966124,2.2698,3774.4141,8567.3457
343966163,2.3226,3750.0000,8709.8818
343966202,2.4546,3769.5313,9252.7021
343966242,2.5074,3730.4688,9353.7412
343966281,2.3754,3759.7656,8931.0313
343966321,2.3490,3740.2344,8785.9180
343966361,2.3226,3759.7656,8732.5635
343966400,2.4546,3730.4688,9156.8193
343966440,2.2698,3793.9453,8611.6787
343966479,2.3754,3759.7656,8931.0313
343966519,2.4018,3769.5313,9053.7197
343966559,2.2435,3759.7656,8434.8633
343966598,2.3754,3764.6484,8942.6299
343966638,2.2698,3745.1172,8500.8467
343966676,2.3490,3754.8828,8820.3281
343966716,2.3226,3740.2344,8687.2002
343966756,2.4810,3759.7656,9327.9658
343966795,2.4546,3740.2344,9180.7900
343966835,2.3490,3774.4141,8866.2070
343966874,2.2698,3759.7656,8534.0957
343966914,2.2435,3789.0625,8500.5889
343966953,2.4018,3759.7656,9030.2646
343966993,2.3754,3764.6484,8942.6299
343967033,2.2698,3764.6484,8545.1797
343967072,2.3226,3769.5313,8755.2461
343967112,2.4018,3745.1172,8995.0820
343967151,2.3490,3769.5313,8854.7373
343967191,2.4018,3789.0625,9100.6309
343967230,2.4282,3730.4688,9058.3594
343967269,2.3754,3750.0000,8907.8330
343967309,2.3490,3759.7656,8831.7979
343967348,2.3490,3754.8828,8820.3281
343967388,2.2962,3769.5313,8655.7539
343967428,2.3226,3759.7656,8732.5635
343967467,2.4810,3750.0000,9303.7373
343967507,2.5074,3740.2344,9378.2275
343967546,2.4810,3735.3516,9267.3945
343967586,2.4018,3779.2969,9077.1748
343967626,2.3754,3779.2969,8977.4258
343967665,2.4282,3774.4141,9165.0684
343967705,2.4546,3730.4688,9156.8193
343967744,2.3754,3779.2969,8977.4258
343967783,2.4546,3740.2344,9180.7900
343967823,2.3490,3779.2969,8877.6777
343967862,2.3226,3745.1172,8698.5410
343967902,2.2962,3764.6484,8644.5420
343967941,2.2698,3735.3516,8478.6797
343967981,2.3754,3764.6484,8942.6299
343968021,2.3754,3745.1172,8896.2344
343968060,2.2171,3784.1797,8389.7568
343968100,2.2435,3769.5313,8456.7715
343968139,2.3226,3793.9453,8811.9512
343968179,2.4018,3750.0000,9006.8096
343968218,2.3490,3754.8828,8820.3281
343968258,2.4018,3691.4063,8866.0781
343968297,2.4018,3769.5313,9053.7197
343968336,2.4810,3740.2344,9279.5088
343968376,2.4018,3759.7656,9030.2646
343968415,2.4282,3725.5859,9046.5029
343968455,2.3754,3754.8828,8919.4326
343968495,2.2698,3759.7656,8534.0957
343968534,2.2962,3769.5313,8655.7539
343968574,2.3226,3779.2969,8777.9277
343968613,2.2435,3769.5313,8456.7715
343968653,2.2962,3779.2969,8678.1787
343968693,2.3490,3754.8828,8820.3281
343968732,2.3754,3769.5313,8954.2285
343968772,2.2698,3759.7656,8534.0957
343968811,2.2435,3774.4141,8467.7256
343968850,2.3226,3759.7656,8732.5635
343968890,2.3490,3769.5313,8854.7373
343968929,2.3754,3750.0000,8907.8330
343968969,2.3490,3842.7734,9026.7852
343969008,2.5602,3725.5859,9538.1602
343969048,2.3754,3774.4141,8965.8271
343969088,2.2962,3750.0000,8610.9053
343969127,2.2962,3779.2969,8678.1787
343969167,2.4546,3740.2344,9180.7900
343969206,2.4018,3774.4141,9065.4473
343969246,2.3754,3740.2344,8884.6357
343969286,2.3226,3798.8281,8823.2920
343969325,2.2435,3759.7656,8434.8633
343969364,2.2435,3784.1797,8489.6348
343969403,2.4546,3750.0000,9204.7607
343969443,2.3490,3769.5313,8854.7373
343969482,2.2171,3774.4141,8368.1055
343969522,2.2962,3769.5313,8655.7539
343969562,2.3226,3769.5313,8755.2461
343969601,2.2435,3779.2969,8478.6807
343969641,2.4018,3735.3516,8971.6270
343969680,2.4018,3754.8828,9018.5371
343969720,2.4282,3735.3516,9070.2168
343969760,2.3754,3764.6484,8942.6299
343969799,2.3754,3750.0000,8907.8330
343969839,2.3754,3754.8828,8919.4326
343969878,2.4810,3735.3516,9267.3945
343969917,2.3754,3754.8828,8919.4326
343969957,2.2962,3764.6484,8644.5420
343969996,2.2698,3911.1328,8877.6768
343970036,2.2435,3833.0078,8599.1787
343970075,2.3490,3750.0000,8808.8584
343970115,2.3226,3764.6484,8743.9053
343970155,2.5338,3740.2344,9476.9443
343970194,2.4018,3769.5313,9053.7197
343970234,2.4282,3750.0000,9105.7861
343970273,2.2962,3774.4141,8666.9658
343970313,2.2962,3759.7656,8633.3301
343970353,2.3754,3764.6484,8942.6299
343970392,2.4546,3740.2344,9180.7900
343970432,2.3754,3784.1797,8989.0244
343970470,2.4282,3764.6484,9141.3555
343970510,2.3490,3784.1797,8889.1475
343970550,2.2698,3740.2344,8489.7627
343970589,2.4810,3779.2969,9376.4229
343970629,2.4018,3735.3516,8971.6270
343970668,2.4018,3750.0000,9006.8096
343970708,2.3226,3740.2344,8687.2002
343970747,2.4546,3745.1172,9192.7754
343970787,2.2962,3735.3516,8577.2695
343970827,2.1643,3784.1797,8190.0005
343970866,2.2435,3750.0000,8412.9541
343970906,2.3226,3774.4141,8766.5869
343970945,2.1643,3764.6484,8147.7300
343970984,2.2698,3764.6484,8545.1797
343971024,2.2962,3750.0000,8610.9053
343971063,2.4282,3652.3438,8868.6563
343971103,2.5338,3735.3516,9464.5732
343971142,2.4810,3759.7656,9327.9658
343971182,2.4018,3740.2344,8983.3545
343971222,2.3754,3769.5313,8954.2285
343971261,2.1907,3769.5313,8257.7881
343971301,2.3754,3754.8828,8919.4326
343971340,2.3226,3759.7656,8732.5635
343971380,2.3226,3759.7656,8732.5635
343971420,2.3226,3764.6484,8743.9053
343971459,2.3754,3774.4141,8965.8271
343971499,2.1907,3769.5313,8257.7881
343971537,2.2698,3774.4141,8567.3457
343971577,2.3754,3754.8828,8919.4326
343971617,2.3754,3754.8828,8919.4326
343971656,2.4546,3764.6484,9240.7168
343971696,2.3226,3754.8828,8721.2227
343971735,2.2962,3779.2969,8678.1787
343971775,2.4018,3803.7109,9135.8135
343971815,2.4810,3740.2344,9279.5088
343971854,2.5074,3735.3516,9365.9844
343971894,2.4546,3774.4141,9264.6875
343971933,2.4282,3740.2344,9082.0732
343971973,2.3490,3764.6484,8843.2676
343972013,2.4018,3774.4141,9065.4473
343972051,2.5074,3750.0000,9402.7139
343972091,2.4282,3745.1172,9093.9297
343972130,2.3226,3774.4141,8766.5869
343972170,2.2171,3759.7656,8335.6289
343972209,2.4282,3769.5313,9153.2119
343972249,2.3754,3750.0000,8907.8330
343972289,2.4282,3759.7656,9129.4990
343972328,2.3226,3725.5859,8653.1768
343972368,2.4018,3769.5313,9053.7197
343972407,2.3226,3754.8828,8721.2227
343972447,2.2698,3769.5313,8556.2627
343972487,2.3754,3745.1172,8896.2344
343972526,2.3490,3793.9453,8912.0869
343972566,2.3754,3564.4531,8467.0811
343972604,2.4546,3774.4141,9264.6875
343972644,2.4018,3745.1172,8995.0820
343972684,2.3226,3754.8828,8721.2227
343972723,2.2962,3754.8828,8622.1182
343972763,2.4546,3754.8828,9216.7461
343972802,2.4018,3759.7656,9030.2646
343972842,2.3226,3740.2344,8687.2002
343972882,2.2962,3774.4141,8666.9658
343972921,2.3490,3764.6484,8843.2676
343972961,2.3754,3784.1797,8989.0244
343973000,2.3490,3759.7656,8831.7979
343973040,2.3754,3769.5313,8954.2285
343973080,2.4282,3745.1172,9093.9297
343973118,2.2962,3779.2969,8678.1787
343973158,2.2435,3735.3516,8380.0908
343973197,2.3226,3769.5313,8755.2461
343973237,2.3754,3735.3516,8873.0371
343973276,2.5074,3725.5859,9341.4980
343973316,2.5074,3735.3516,9365.9844
343973356,2.4810,3754.8828,9315.8516
343973395,2.4282,3740.2344,9082.0732
343973435,2.3754,3769.5313,8954.2285
343973474,2.4546,3730.4688,9156.8193
343973514,2.5338,3754.8828,9514.0605
343973554,2.4018,3745.1172,8995.0820
343973593,2.2962,3916.0156,8992.1182
343973633,2.2435,3774.4141,8467.7256
343973671,2.4018,3764.6484,9041.9922
343973711,2.4018,3754.8828,9018.5371
343973751,2.4018,3754.8828,9018.5371
343973790,2.3490,3759.7656,8831.7979
343973830,2.3226,3764.6484,8743.9053
343973869,2.2435,3774.4141,8467.7256
343973909,2.2698,3740.2344,8489.7627
343973949,2.3226,3764.6484,8743.9053
343973988,2.3226,3764.6484,8743.9053
343974028,2.4018,3769.5313,9053.7197
343974067,2.3490,3759.7656,8831.7979
343974107,2.3490,3745.1172,8797.3887
343974147,2.3226,3740.2344,8687.2002
343974185,2.2698,3774.4141,8567.3457
343974225,2.5074,3750.0000,9402.7139
343974264,2.3490,3784.1797,8889.1475
343974304,2.2962,3764.6484,8644.5420
343974344,2.3490,3740.2344,8785.9180
343974383,2.3754,3754.8828,8919.4326
343974423,2.4810,3750.0000,9303.7373
343974462,2.6130,3715.8203,9709.3066
343974502,2.5338,3745.1172,9489.3164
343974541,2.4018,3745.1172,8995.0820
343974581,2.3490,3769.5313,8854.7373
343974621,2.2962,3764.6484,8644.5420
343974660,2.4282,3764.6484,9141.3555
343974700,2.3754,3750.0000,8907.8330
343974738,2.4810,3750.0000,9303.7373
343974778,2.2962,3769.5313,8655.7539
343974818,2.2698,3710.9375,8423.2637
343974857,2.3490,3774.4141,8866.2070
343974897,2.4282,3764.6484,9141.3555
343974936,2.2962,3769.5313,8655.7539
343974976,2.2962,3764.6484,8644.5420
343975016,2.2962,3774.4141,8666.9658
343975055,2.3226,3750.0000,8709.8818
343975095,2.2435,3793.9453,8511.5439
343975134,2.3754,3745.1172,8896.2344
343975174,2.4282,3764.6484,9141.3555
343975214,2.4546,3720.7031,9132.8486
343975252,2.4282,3769.5313,9153.2119
343975292,2.3754,3730.4688,8861.4385
343975331,2.5074,3774.4141,9463.9287
343975371,2.3754,3784.1797,8989.0244
343975411,2.4018,3759.7656,9030.2646
343975450,2.4282,3735.3516,9070.2168
343975490,2.3754,3769.5313,8954.2285
343975529,2.2435,3754.8828,8423.9082
343975569,2.2698,3818.3594,8667.0947
343975609,2.3490,3750.0000,8808.8584
343975648,2.3226,3774.4141,8766.5869
343975688,2.2962,3750.0000,8610.9053
343975727,2.3754,3769.5313,8954.2285
343975767,2.4282,3720.7031,9034.6465
343975805,2.4810,3764.6484,9340.0801
343975845,2.5074,3735.3516,9365.9844
343975885,2.5866,3730.4688,9649.1221
343975924,2.5074,3745.1172,9390.4707
343975964,2.4810,3696.2891,9170.4805
343976003,2.3754,3764.6484,8942.6299
343976043,2.3754,3725.5859,8849.8398
343976083,2.2962,3774.4141,8666.9658
343976122,2.3754,3759.7656,8931.0313
343976162,2.2171,3779.2969,8378.9307
343976201,2.1907,3750.0000,8215.0020
343976241,2.3490,3754.8828,8820.3281
343976281,2.3226,3759.7656,8732.5635
343976320,2.2698,3759.7656,8534.0957
343976359,2.2435,3759.7656,8434.8633
343976398,2.3754,3740.2344,8884.6357
343976438,2.4546,3750.0000,9204.7607
343976478,2.5074,3730.4688,9353.7412
343976517,2.4546,3764.6484,9240.7168
343976557,2.3490,3740.2344,8785.9180
343976596,2.4546,3886.7188,9540.3516
343976636,2.5338,3740.2344,9476.9443
343976676,2.4282,3750.0000,9105.7861
343976715,2.4282,3740.2344,9082.0732
343976755,2.4018,3789.0625,9100.6309
343976794,2.3490,3745.1172,8797.3887
343976834,2.4018,3759.7656,9030.2646
343976873,2.6130,3740.2344,9773.1006
343976912,2.5074,3740.2344,9378.2275
343976952,2.2962,3779.2969,8678.1787
343976991,2.1907,3774.4141,8268.4854
343977031,2.2698,3779.2969,8578.4287
343977070,2.1907,3764.6484,8247.0918
343977110,2.2962,3774.4141,8666.9658
343977150,2.4810,3735.3516,9267.3945
343977189,2.3754,3769.5313,8954.2285
343977229,2.3490,3754.8828,8820.3281
343977268,2.3226,3779.2969,8777.9277
343977308,2.3754,3740.2344,8884.6357
343977348,2.3490,3774.4141,8866.2070
343977387,2.4546,3730.4688,9156.8193
343977426,2.4546,3745.1172,9192.7754
343977465,2.3754,3745.1172,8896.2344
343977505,2.2962,3764.6484,8644.5420
343977545,2.3490,3730.4688,8762.9785
343977584,2.4810,3754.8828,9315.8516
343977624,2.4018,3715.8203,8924.7158
343977663,2.5338,3847.6563,9749.1289
343977703,2.4546,3750.0000,9204.7607
343977743,2.3226,3769.5313,8755.2461
343977782,2.2698,3769.5313,8556.2627
343977822,2.3226,3759.7656,8732.5635
343977861,2.4018,3754.8828,9018.5371
343977901,2.3754,3691.4063,8768.6484
343977940,2.3754,3754.8828,8919.4326
343977979,2.2698,3764.6484,8545.1797
343978019,2.2698,3774.4141,8567.3457
343978058,2.2435,3769.5313,8456.7715
343978098,2.4282,3784.1797,9188.7813
343978138,2.4018,3740.2344,8983.3545
343978177,2.3226,3759.7656,8732.5635
343978217,2.3754,3730.4688,8861.4385
343978256,2.3754,3754.8828,8919.4326
343978296,2.4282,3745.1172,9093.9297
343978335,2.4282,3735.3516,9070.2168
343978375,2.4546,3852.5391,9456.4541
343978415,2.4546,3754.8828,9216.7461
343978454,2.4282,3740.2344,9082.0732
343978493,2.2698,3769.5313,8556.2627
343978532,2.2435,3740.2344,8391.0459
343978572,2.2962,3769.5313,8655.7539
343978612,2.3754,3720.7031,8838.2412
343978651,2.4018,3764.6484,9041.9922
343978691,2.3490,3754.8828,8820.3281
343978730,2.3490,3764.6484,8843.2676
343978770,2.2962,3750.0000,8610.9053
343978810,2.3754,3769.5313,8954.2285
343978849,2.4282,3735.3516,9070.2168
343978889,2.4282,3759.7656,9129.4990
343978928,2.4018,3735.3516,8971.6270
343978968,2.3490,3759.7656,8831.7979
343979008,2.2962,3764.6484,8644.5420
343979046,2.4018,3745.1172,8995.0820
343979086,2.5074,3754.8828,9414.9570
343979125,2.4546,3730.4688,9156.8193
343979165,2.4810,3764.6484,9340.0801
343979205,2.3490,3740.2344,8785.9180
343979244,2.4282,3764.6484,9141.3555
343979284,2.3754,3745.1172,8896.2344
343979323,2.4546,3764.6484,9240.7168
343979363,2.4018,3740.2344,8983.3545
343979403,2.2962,3759.7656,8633.3301
343979442,2.1907,3681.6406,8065.2490
343979482,2.2435,3793.9453,8511.5439
343979521,2.2171,3750.0000,8313.9775
343979560,2.4282,3764.6484,9141.3555
343979599,2.4282,3759.7656,9129.4990
343979639,2.3490,3754.8828,8820.3281
343979679,2.5338,3735.3516,9464.5732
343979718,2.4810,3745.1172,9291.6230
343979758,2.5602,3730.4688,9550.6611
343979797,2.4810,3720.7031,9231.0518
343979837,2.4282,3754.8828,9117.6426
343979877,2.3490,3793.9453,8912.0869
343979916,2.3226,3779.2969,8777.9277
343979956,2.2962,3750.0000,8610.9053
343979995,2.2698,3789.0625,8600.5957
343980035,2.4546,3730.4688,9156.8193
343980075,2.3754,3759.7656,8931.0313
343980113,2.2435,3730.4688,8369.1367
343980153,2.4018,3750.0000,9006.8096
343980192,2.3754,3842.7734,9128.2100
343980232,2.3490,3750.0000,8808.8584
343980272,2.4810,3715.8203,9218.9375
343980311,2.4282,3764.6484,9141.3555
343980351,2.5074,3735.3516,9365.9844
343980390,2.4810,3769.5313,9352.1943
343980430,2.3754,3754.8828,8919.4326
343980470,2.2435,3769.5313,8456.7715
343980509,2.2435,3769.5313,8456.7715
343980549,2.3226,3774.4141,8766.5869
343980588,2.2698,3750.0000,8511.9297
343980627,2.2698,3813.4766,8656.0117
343980667,2.3226,3745.1172,8698.5410
343980706,2.3490,3764.6484,8843.2676
343980746,2.5074,3715.8203,9317.0117
343980785,2.6921,3701.1719,9964.0928
343980825,2.7977,3715.8203,10395.8230
343980866,2.6394,3725.5859,9833.1553
343980905,2.4282,3759.7656,9129.4990
343980945,2.3754,3750.0000,8907.8330
343980984,2.4810,3745.1172,9291.6230
343981024,2.3226,3764.6484,8743.9053
343981063,2.2698,3774.4141,8567.3457
343981103,2.4282,3750.0000,9105.7861
343981143,2.4282,3759.7656,9129.4990
343981181,2.2435,3779.2969,8478.6807
343981221,2.2171,3769.5313,8357.2803
343981260,2.2962,3754.8828,8622.1182
343981300,2.3226,3759.7656,8732.5635
343981340,2.3490,3750.0000,8808.8584
343981379,2.6658,3662.1094,9762.2744
343981419,2.5602,3759.7656,9625.6670
343981458,2.4810,3735.3516,9267.3945
343981498,2.4018,3754.8828,9018.5371
343981538,2.2698,3730.4688,8467.5967
343981577,2.4018,3764.6484,9041.9922
343981617,2.3490,3745.1172,8797.3887
343981656,2.4546,3735.3516,9168.8047
343981696,2.4018,3740.2344,8983.3545
343981735,2.4018,3750.0000,9006.8096
343981774,2.2435,3754.8828,8423.9082
343981814,2.2435,3779.2969,8478.6807
343981853,2.3490,3750.0000,8808.8584
343981893,2.3490,3774.4141,8866.2070
343981933,2.4018,3720.7031,8936.4443
343981972,2.3490,3759.7656,8831.7979
343982012,2.4810,3745.1172,9291.6230
343982051,2.2962,3779.2969,8678.1787
343982091,2.2962,3745.1172,8599.6934
343982131,2.5074,3715.8203,9317.0117
343982170,2.4810,3681.6406,9134.1377
343982210,2.5074,3745.1172,9390.4707
343982248,2.5074,3725.5859,9341.4980
343982288,2.3490,3759.7656,8831.7979
343982327,2.2962,3740.2344,8588.4814
343982367,2.3226,3769.5313,8755.2461
343982407,2.3754,3735.3516,8873.0371
343982446,2.4282,3750.0000,9105.7861
343982486,2.4546,3740.2344,9180.7900
343982525,2.3754,3750.0000,8907.8330
343982565,2.4018,3759.7656,9030.2646
343982605,2.3226,3769.5313,8755.2461
343982644,2.4018,3759.7656,9030.2646
343982684,2.3490,3759.7656,8831.7979
343982723,2.3490,3745.1172,8797.3887
343982763,2.2962,3754.8828,8622.1182
343982802,2.2698,3769.5313,8556.2627
343982841,2.2962,3769.5313,8655.7539
343982881,2.3754,3754.8828,8919.4326
343982920,2.4282,3759.7656,9129.4990
343982960,2.4282,3754.8828,9117.6426
343983000,2.4018,3745.1172,8995.0820
343983039,2.4546,3745.1172,9192.7754
343983079,2.4546,3730.4688,9156.8193
343983118,2.4546,3740.2344,9180.7900
343983158,2.5338,3720.7031,9427.4570
343983198,2.4810,3759.7656,9327.9658
343983237,2.4282,3730.4688,9058.3594
343983277,2.3226,3774.4141,8766.5869
343983315,2.3226,3740.2344,8687.2002
343983355,2.2962,3764.6484,8644.5420
343983395,2.2698,3754.8828,8523.0127
343983434,2.2962,3769.5313,8655.7539
343983474,2.2962,3750.0000,8610.9053
343983513,2.3226,3779.2969,8777.9277
343983553,2.3226,3750.0000,8709.8818
343983592,2.3754,3754.8828,8919.4326
343983632,2.4810,3730.4688,9255.2803
343983672,2.4546,3725.5859,9144.8340
343983711,2.4546,3740.2344,9180.7900
343983751,2.3754,3730.4688,8861.4385
343983790,2.5074,3759.7656,9427.2002
343983830,2.4546,3735.3516,9168.8047
343983869,2.4282,3754.8828,9117.6426
343983908,2.2171,3750.0000,8313.9775
343983948,2.2435,3852.5391,8642.9961
343983987,2.3226,3750.0000,8709.8818
343984027,2.2171,3779.2969,8378.9307
343984067,2.3754,3750.0000,8907.8330
343984106,2.4018,3764.6484,9041.9922
343984146,2.4810,3735.3516,9267.3945
343984185,2.4810,3730.4688,9255.2803
343984225,2.4018,3720.7031,8936.4443
343984265,2.3754,3759.7656,8931.0313
343984304,2.5338,3710.9375,9402.7129
343984344,2.5602,3730.4688,9550.6611
343984382,2.4018,3750.0000,9006.8096
343984422,2.4018,3735.3516,8971.6270
343984462,2.2962,3764.6484,8644.5420
343984501,2.3490,3750.0000,8808.8584
343984541,2.4018,3769.5313,9053.7197
343984580,2.3226,3745.1172,8698.5410
343984620,2.2962,3774.4141,8666.9658
343984660,2.2435,3769.5313,8456.7715
343984699,2.1907,3798.8281,8321.9678
343984739,2.1907,3750.0000,8215.0020
343984778,2.4282,3779.2969,9176.9248
343984818,2.4810,3735.3516,9267.3945
343984857,2.3490,3769.5313,8854.7373
343984897,2.5074,3735.3516,9365.9844
343984936,2.3226,3769.5313,8755.2461
343984975,2.4546,3901.3672,9576.3076
343985015,2.5074,3740.2344,9378.2275
