,4062.5000,750.5675
84650939,0.1848,4062.5000,750.5675
84650977,0.2375,4052.7344,962.6956
84651014,0.2375,4067.3828,966.1752
84651052,0.1848,4062.5000,750.5675
84651088,0.2111,4057.6172,856.7604
84651126,0.1584,4047.8516,641.0237
84651163,0.3167,4062.5000,1286.6870
84651202,0.2375,4057.6172,963.8554
84651240,0.2375,4062.5000,965.0153
84651277,0.2111,4067.3828,858.8224
84651315,0.2111,4067.3828,858.8224
84651352,0.2375,4067.3828,966.1752
84651389,0.1056,4067.3828,429.4112
84651426,0.1320,4057.6172,535.4752
84651464,0.1848,4067.3828,751.4696
84651502,0.2111,4067.3828,858.8224
84651539,0.2111,4062.5000,857.7914
84651577,0.1584,4062.5000,643.3435
84651614,0.1848,4057.6172,749.6653
84651652,0.3431,4072.2656,1397.2617
84651689,0.1848,4067.3828,751.4696
84651727,0.1848,4057.6172,749.6653
84651764,0.2375,4062.5000,965.0153
84651802,0.1848,4067.3828,751.4696
84651840,0.1584,4062.5000,643.3435
84651877,0.2903,4057.6172,1178.0455
84651916,0.1848,4062.5000,750.5675
84651953,0.2111,4057.6172,856.7604
84651991,0.2111,4062.5000,857.7914
84652027,0.2111,4062.5000,857.7914
84652065,0.1848,4067.3828,751.4696
84652103,0.1584,4067.3828,644.1168
84652140,0.2111,4062.5000,857.7914
84652178,0.2111,4062.5000,857.7914
84652215,0.2111,4062.5000,857.7914
84652253,0.2639,4077.1484,1076.1055
84652291,0.1584,4067.3828,644.1168
84652328,0.2111,4062.5000,857.7914
84652365,0.1848,4067.3828,751.4696
84652403,0.2111,4062.5000,857.7914
84652441,0.2111,4067.3828,858.8224
84652478,0.2375,4067.3828,966.1752
84652516,0.2639,4052.7344,1069.6617
84652554,0.2375,4057.6172,963.8554
84652592,0.2375,4067.3828,966.1752
84652628,0.1848,4062.5000,750.5675
84652666,0.2375,4057.6172,963.8554
84652704,0.1848,4067.3828,751.4696
84652741,0.2375,4067.3828,966.1752
84652779,0.1848,4052.7344,748.7632
84652816,0.1584,4062.5000,643.3435
84652854,0.2111,4057.6172,856.7604
84652891,0.2111,4062.5000,857.7914
84652929,0.1584,4062.5000,643.3435
84652966,0.3167,4062.5000,1286.6870
84653004,0.1584,4067.3828,644.1168
84653042,0.3167,4062.5000,1286.6870
84653080,0.1848,4062.5000,750.5675
84653118,0.2903,4062.5000,1179.4631
84653156,0.1848,4062.5000,750.5675
84653194,1.5308,3886.7188,5949.8970
84653233,1.4516,3940.4297,5720.1128
84653271,1.3461,3925.7813,5284.3867
84653309,1.1877,3940.4297,4680.0923
84653347,1.2141,3955.0781,4801.8794
84653386,1.3197,3925.7813,5180.7710
84653424,1.2141,3964.8438,4813.7358
84653463,1.1613,3935.5469,4570.4199
84653502,1.1613,3969.7266,4610.1133
84653540,1.1349,3955.0781,4488.7129
84653579,1.0557,3945.3125,4165.2368
84653617,1.1085,3955.0781,4384.3242
84653656,1.1085,3935.5469,4362.6733
84653693,1.2669,3974.6094,5035.4004
84653732,1.1613,3950.1953,4587.4312
84653771,1.1613,3974.6094,4615.7837
84653809,1.0821,3945.3125,4269.3682
84653848,1.1085,3950.1953,4378.9116
84653886,1.2405,3959.9609,4912.3247
84653925,1.2669,3925.7813,4973.5400
84653963,1.2933,3950.1953,5108.7305
84654002,1.3461,3906.2500,5258.0962
84654041,1.2933,3955.0781,5115.0449
84654078,1.4253,3925.7813,5595.2329
84654117,1.3989,3930.6641,5498.4478
84654155,1.4780,3906.2500,5773.5962
84654194,1.4780,3911.1328,5780.8130
84654233,1.4253,3930.6641,5602.1924
84654271,1.3989,3896.4844,5450.6353
84654310,1.4780,3930.6641,5809.6812
84654348,1.3989,3896.4844,5450.6353
84654387,1.4253,3935.5469,5609.1514
84654425,1.4253,3916.0156,5581.3145
84654464,1.4780,3901.3672,5766.3789
84654502,1.5572,3906.2500,6082.8955
84654540,1.5572,3896.4844,6067.6885
84654579,1.6100,3911.1328,6296.9570
84654617,1.5044,3886.7188,5847.3125
84654656,1.4516,3935.5469,5713.0244
84654694,1.5044,3896.4844,5862.0039
84654733,1.4780,3935.5469,5816.8979
84654772,1.5044,3906.2500,5876.6958
84654810,1.5572,3906.2500,6082.8955
84654849,1.5836,3901.3672,6178.2627
84654886,1.5836,3881.8359,6147.3330
84654925,1.6892,3886.7188,6565.4033
84654964,1.6892,3876.9531,6548.9072
84655002,1.6364,3906.2500,6392.1953
84655041,1.7156,3881.8359,6659.6108
84655079,1.6364,3906.2500,6392.1953
84655118,1.6100,3876.9531,6241.9272
