,4003.9063,951.0968
275617031,0.2903,4033.2031,1170.9574
275617071,0.2375,4028.3203,956.8962
275617108,0.2375,4028.3203,956.8962
275617147,0.2903,4038.0859,1172.3750
275617186,1.5308,3823.2422,5852.7251
275617226,1.8212,3837.8906,6989.4019
275617266,1.6100,3823.2422,6155.4521
275617305,1.5836,3818.3594,6046.8105
275617345,1.4780,3872.0703,5723.0771
275617384,1.5044,3847.6563,5788.5454
275617424,1.3989,3872.0703,5416.4834
275617464,1.3725,3881.8359,5327.6885
275617503,1.2933,3872.0703,5007.6924
275617543,1.2141,3906.2500,4742.5967
275617582,1.2141,3925.7813,4766.3096
275617622,1.2405,3891.6016,4827.5249
275617661,1.3197,3847.6563,5077.6714
275617700,1.3461,3857.4219,5192.3701
275617740,1.3461,3847.6563,5179.2251
275617779,1.3989,3847.6563,5382.3315
275617819,1.4516,3828.1250,5557.0859
275617859,1.5044,3852.5391,5795.8911
275617898,1.6100,3862.3047,6218.3433
275617938,1.7156,3828.1250,6567.4653
275617977,1.6100,3852.5391,6202.6206
275618017,1.5044,3847.6563,5788.5454
275618057,1.5572,3813.4766,5938.4268
275618096,1.5572,3857.4219,6006.8594
275618136,1.6100,3828.1250,6163.3135
275618174,1.7420,3759.7656,6549.4229
275618214,1.6364,3842.7734,6288.3223
275618254,1.6892,3852.5391,6507.6675
275618293,1.7420,3813.4766,6642.9863
275618333,1.8212,3828.1250,6971.6172
275618372,1.7420,3798.8281,6617.4688
275618412,1.7420,3813.4766,6642.9863
275618451,1.7948,3828.1250,6870.5791
275618491,1.7684,3808.5938,6735.0024
275618531,1.7156,3818.3594,6550.7114
275618570,1.6892,3813.4766,6441.6836
275618610,1.6892,3784.1797,6392.1953
275618649,1.9531,3808.5938,7438.6597
275618689,1.9003,3867.1875,7348.9624
275618728,1.7948,3774.4141,6774.1807
275618767,1.7948,3818.3594,6853.0522
275618807,1.8476,3818.3594,7054.6123
275618846,1.7156,3793.9453,6508.8271
275618886,1.7420,3823.2422,6659.9976
275618926,1.7948,3833.0078,6879.3428
275618965,1.7420,3798.8281,6617.4688
275619005,1.8476,3828.1250,7072.6548
275619044,1.7948,3813.4766,6844.2886
275619084,1.7684,3769.5313,6665.9258
275619124,1.8212,3813.4766,6944.9399
275619163,1.8212,3813.4766,6944.9399
275619203,1.9003,3774.4141,7172.6616
275619241,1.8739,3823.2422,7164.5430
275619281,1.7684,3808.5938,6735.0024
275619321,1.7156,3774.4141,6475.3193
275619360,1.7156,3823.2422,6559.0884
275619400,1.7948,3803.7109,6826.7617
275619439,1.9267,3793.9453,7309.9141
275619479,1.8476,3813.4766,7045.5908
275619519,1.7948,3764.6484,6756.6538
275619558,1.7948,3789.0625,6800.4712
275619598,1.7684,3837.8906,6786.8105
275619637,1.7684,3808.5938,6735.0024
275619677,1.9267,3779.2969,7281.6904
275619716,1.7948,3823.2422,6861.8159
275619756,1.7684,3759.7656,6648.6563
275619795,1.7684,3784.1797,6691.8296
275619834,1.8739,3823.2422,7164.5430
275619874,1.7948,3813.4766,6844.2886
275619913,1.6892,3789.0625,6400.4434
275619953,1.7420,3789.0625,6600.4575
275619993,1.7156,3823.2422,6559.0884
275620032,1.7420,3779.2969,6583.4458
275620072,1.8212,3818.3594,6953.8325
275620111,1.7684,3813.4766,6743.6372
275620151,1.7156,3789.0625,6500.4502
275620191,1.7684,3823.2422,6760.9063
275620230,1.7684,3823.2422,6760.9063
275620270,1.7684,3852.5391,6812.7144
275620308,1.8476,3769.5313,6964.3999
275620348,1.9003,3798.8281,7219.0566
275620388,1.8212,3769.5313,6864.9087
275620427,1.8212,3803.7109,6927.1553
275620467,1.7684,3803.7109,6726.3682
275620506,1.8212,3784.1797,6891.5859
275620546,1.8212,3808.5938,6936.0474
275620586,1.7948,3798.8281,6817.9985
275620625,1.7420,3784.1797,6591.9517
275620665,1.7948,3813.4766,6844.2886
275620704,1.7948,3813.4766,6844.2886
275620744,1.8212,3774.4141,6873.8008
275620784,1.9003,3813.4766,7246.8936
275620823,1.8739,3803.7109,7127.9424
275620862,1.8739,3774.4141,7073.0415
275620901,2.0587,3803.7109,7830.6973
275620941,1.9267,3808.5938,7338.1372
275620980,1.8739,3779.2969,7082.1919
275621020,1.8476,3808.5938,7036.5698
275621060,1.9003,3637.6953,6912.8501
275621099,1.9003,3779.2969,7181.9409
275621139,1.7948,3808.5938,6835.5254
275621178,1.8739,3813.4766,7146.2427
275621218,1.8212,3774.4141,6873.8008
275621258,1.9267,3808.5938,7338.1372
275621297,1.8476,3798.8281,7018.5273
275621337,1.8476,3789.0625,7000.4849
275621376,1.7948,3803.7109,6826.7617
275621415,1.7684,3818.3594,6752.2720
275621455,1.9003,3774.4141,7172.6616
275621494,1.7948,3803.7109,6826.7617
275621534,1.7948,3823.2422,6861.8159
275621573,1.8212,3798.8281,6918.2627
275621613,1.9003,3798.8281,7219.0566
275621653,1.9531,3798.8281,7419.5859
275621692,1.8476,3774.4141,6973.4209
275621732,1.9267,3789.0625,7300.5059
275621771,1.9267,3803.7109,7328.7295
275621811,1.8739,3754.8828,7036.4414
275621851,1.9003,3808.5938,7237.6147
275621890,1.7684,3798.8281,6717.7334
275621929,1.8212,3774.4141,6873.8008
275621968,1.8212,3808.5938,6936.0474
275622008,1.8212,3803.7109,6927.1553
275622048,1.7948,3798.8281,6817.9985
275622087,1.7684,3798.8281,6717.7334
275622127,1.9531,3803.7109,7429.1230
275622166,1.8739,3764.6484,7054.7412
275622206,1.6892,3818.3594,6449.9316
275622245,1.7420,3798.8281,6617.4688
