timestamp,kalman.stateZ,gyro.x,gyro.xRaw,gyro.xVariance,gyro.y,gyro.yRaw,gyro.yVariance
0,0.30709898471832275,-0.6918836236000061,6,9975.0,-19.247936248779297,-334,9199.0
10,0.3074161410331726,0.566135823726654,20,9975.0,-24.14653205871582,-414,9199.0
20,0.3077295422554016,2.354836940765381,52,9975.0,-29.36357879638672,-502,9199.0
30,0.308091402053833,5.134561538696289,98,9975.0,-34.24384689331055,-566,9199.0
40,0.30563321709632874,3.95913028717041,49,9975.0,-35.01838302612305,-568,9199.0
50,0.30544888973236084,0.9307892918586731,6,9975.0,-30.508520126342773,-466,9199.0
60,0.30561521649360657,-1.8250360488891602,-40,9975.0,-23.758359909057617,-359,9199.0
70,0.3057570457458496,-5.033757209777832,-107,9975.0,-17.998910903930664,-266,9199.0
80,0.3052096664905548,-6.101878643035889,-89,9975.0,-11.67032241821289,-156,9199.0
90,0.3050452768802643,-3.441716194152832,-43,9975.0,-4.5314836502075195,-43,9199.0
100,0.3049662113189697,-1.2497884035110474,-22,9975.0,0.7455006837844849,34,9199.0
110,0.30498644709587097,-0.9442535042762756,10,9975.0,2.912130355834961,56,9199.0
120,0.30509012937545776,1.7221342325210571,29,9975.0,3.6763951778411865,58,9199.0
130,0.30575695633888245,0.8727744817733765,-2,9975.0,2.9043259620666504,40,9199.0
140,0.306000292301178,-0.059536270797252655,10,9975.0,0.68772292137146,6,9199.0
150,0.30624133348464966,0.5139790773391724,20,9975.0,-0.6818754076957703,-19,9199.0
160,0.3065502345561981,1.916324496269226,35,9975.0,-1.8582371473312378,-22,9199.0
170,0.3067396879196167,3.438459873199463,77,9975.0,-2.816169261932373,-47,9199.0
180,0.3069392740726471,5.939601898193359,98,9975.0,-4.246639251708984,-68,9199.0
190,0.3070349097251892,6.069666862487793,116,9975.0,-2.4808998107910156,-42,9199.0
200,0.30709391832351685,6.4251508712768555,83,9975.0,2.4899373054504395,67,9199.0
210,0.3080107569694519,0.03878391534090042,-21,9975.0,10.71458911895752,201,9199.0
220,0.30799081921577454,-3.8065383434295654,-86,9975.0,9.524730682373047,145,9199.0
230,0.30813148617744446,-6.739853382110596,-57,9975.0,3.522033452987671,-51,9199.0
240,0.30835574865341187,-2.8085663318634033,-39,9975.0,-14.311956405639648,-325,9199.0
250,0.30905357003211975,4.512378215789795,39,9975.0,-43.22657775878906,-967,9199.0
