
101784??	r?84,4003.9063,739.7420
101791179,0.2639,4018.5547,1060.6405
101791218,0.1848,4003.9063,739.7420
101791257,0.1848,4018.5547,742.4484
101791295,0.2639,4013.6719,1059.3517
101791335,0.1584,4023.4375,637.1575
101791374,0.2375,4018.5547,954.5764
101791412,0.1848,4008.7891,740.6441
101791451,0.2111,4018.5547,848.5124
101791489,0.1848,4018.5547,742.4484
101791527,0.2375,4018.5547,954.5764
101791565,0.2111,4018.5547,848.5124
101791604,0.1584,4013.6719,635.6110
101791643,0.1848,4023.4375,743.3505
101791681,0.2111,4013.6719,847.4814
101791720,0.1584,4028.3203,637.9308
101791758,0.1848,4018.5547,742.4484
101791797,0.2111,3999.0234,844.3884
101791836,0.2111,4018.5547,848.5124
101791874,0.3167,4013.6719,1271.2220
101791913,0.2375,4013.6719,953.4166
101791951,0.3431,4018.5547,1378.8326
101791991,0.1848,4018.5547,742.4484
101792029,0.1848,4013.6719,741.5463
101792068,0.2375,4013.6719,953.4166
101792107,0.1584,4018.5547,636.3843
101792145,0.1848,4018.5547,742.4484
101792184,0.1848,4013.6719,741.5463
101792222,0.1584,4003.9063,634.0645
101792261,0.1584,4008.7891,634.8378
101792300,0.2375,4018.5547,954.5764
101792337,0.2375,4013.6719,953.4166
101792376,0.2111,4023.4375,849.5434
101792414,1.6628,3867.1875,6430.3428
101792454,1.5308,3842.7734,5882.6240
101792493,1.3989,3852.5391,5389.1616
101792533,1.4253,3886.7188,5539.5591
101792573,1.2405,3901.3672,4839.6392
101792612,1.3197,3886.7188,5129.2212
101792652,1.1877,3876.9531,4604.7002
101792691,1.1613,3911.1328,4542.0674
101792731,1.1349,3916.0156,4444.3799
101792771,1.1349,3881.8359,4405.5884
101792809,1.1349,3891.6016,4416.6719
101792849,1.1349,3925.7813,4455.4629
101792888,1.1085,3906.2500,4330.1968
101792928,1.0821,3881.8359,4200.6777
101792968,1.1613,3896.4844,4525.0557
101793007,1.1349,3925.7813,4455.4629
101793047,1.1877,3906.2500,4639.4966
101793086,1.1085,3881.8359,4303.1333
101793126,1.1613,3896.4844,4525.0557
101793166,1.1613,3920.8984,4553.4082
101793205,1.4780,3862.3047,5708.6431
101793245,1.3461,3857.4219,5192.3701
101793284,1.4253,3886.7188,5539.5591
101793324,1.5836,3842.7734,6085.4731
101793362,1.6628,3828.1250,6365.3896
101793402,1.5836,3837.8906,6077.7407
101793442,1.7948,3828.1250,6870.5791
101793481,1.8476,3808.5938,7036.5698
101793521,1.8476,3793.9453,7009.5059
101793560,1.8212,3828.1250,6971.6172
101793600,1.8212,3833.0078,6980.5093
101793640,1.7684,3798.8281,6717.7334
101793679,1.8212,3823.2422,6962.7246
101793719,1.8212,3833.0078,6980.5093
101793758,1.9003,3808.5938,7237.6147
101793798,1.9267,3789.0625,7300.5059
101793838,1.9531,3818.3594,7457.7334
101793876,1.8739,3833.0078,7182.8433
101793916,1.9267,3789.0625,7300.5059
101793955,1.8212,3793.9453,6909.3706
101793995,2.0059,3828.1250,7678.8823
101794035,1.8212,3818.3594,6953.8325
101794074,1.8476,3798.8281,7018.5273
101794114,1.8476,3803.7109,7027.5483
101794153,1.8212,3833.0078,6980.5093
101794193,1.8212,3813.4766,6944.9399
101794233,1.8739,3793.9453,7109.6421
101794272,1.9003,3823.2422,7265.4517
101794312,1.9003,3823.2422,7265.4517
101794351,1.8739,3789.0625,7100.4922
101794391,1.8739,3774.4141,7073.0415
101794430,1.9003,3808.5938,7237.6147
101794469,1.9531,3808.5938,7438.6597
101794509,1.9267,3774.4141,7272.2822
101794548,1.9531,3798.8281,7419.5859
101794588,1.9003,3833.0078,7284.0098
101794627,1.8476,3784.1797,6991.4634
101794667,1.8739,3779.2969,7082.1919
101794707,1.9531,3798.8281,7419.5859
101794746,2.0323,3793.9453,7710.4565
101794786,2.0851,3764.6484,7849.6421
101794825,1.9531,3793.9453,7410.0493
101794865,1.9531,3818.3594,7457.7334
101794905,1.9795,3784.1797,7490.8540
101794944,2.0059,3779.2969,7580.9370
101794983,1.9795,3798.8281,7519.8506
101795022,2.0059,3808.5938,7639.7041
101795062,2.0059,3774.4141,7571.1426
101795102,2.0059,3789.0625,7600.5264
101795141,1.9795,3808.5938,7539.1821
101795181,1.9795,3803.7109,7529.5161
101795220,2.0059,3769.5313,7561.3481
101795260,2.0059,3793.9453,7610.3208
101795300,2.1115,3808.5938,8041.7939
101795339,2.1115,3764.6484,7949.0039
101795379,2.1115,3774.4141,7969.6240
101795418,2.0851,3803.7109,7931.0913
101795458,2.0323,3798.8281,7720.3799
101795497,2.0323,3764.6484,7650.9165
101795536,2.1115,3789.0625,8000.5542
101795576,2.1115,3808.5938,8041.7939
101795615,2.0323,3774.4141,7670.7632
101795655,2.0851,3764.6484,7849.6421
101795695,2.0851,3793.9453,7910.7290
101795734,2.0587,3803.7109,7830.6973
101795774,2.1379,3764.6484,8048.3667
101795813,2.1907,3759.7656,8236.3955
101795853,2.1907,3779.2969,8279.1816
101795892,2.1115,3798.8281,8021.1738
101795932,2.1115,3764.6484,7949.0039
101795972,2.1379,3769.5313,8058.8057
101796011,2.0587,3798.8281,7820.6450
101796050,2.1643,3779.2969,8179.4331
101796089,2.1643,3759.7656,8137.1621
101796129,2.0851,3784.1797,7890.3667
101796169,2.1115,3793.9453,8010.8643
101796208,2.1907,3769.5313,8257.7881
101796248,2.0851,3759.7656,7839.4609
101796287,2.0851,3774.4141,7870.0044
101796327,2.1643,3793.9453,8211.1357
101796367,2.1643,3779.2969,8179.4331
101796406,2.0851,3754.8828,7829.2798
101796446,2.0587,3789.0625,7800.5405
101796485,2.1115,3784.1797,7990.2441
101796525,2.0851,3759.7656,7839.4609
101796564,2.1115,3759.7656,7938.6943
101796603,2.1379,3779.2969,8079.6836
101796643,2.1379,3789.0625,8100.5610
101796682,2.1907,3750.0000,8215.0020
101796722,2.1379,3764.6484,8048.3667
101796762,2.1379,3784.1797,8090.1226
101796801,2.1907,3784.1797,8289.8779
101796841,2.1379,3759.7656,8037.9282
101796880,2.1379,3774.4141,8069.2446
101796920,2.1115,3784.1797,7990.2441
101796960,2.1379,3769.5313,8058.8057
101796999,2.1907,3735.3516,8182.9121
101797039,2.2698,3774.4141,8567.3457
101797078,2.2698,3779.2969,8578.4287
101797117,2.2171,3759.7656,8335.6289
101797156,2.0851,3735.3516,7788.5557
101797196,2.1907,3774.4141,8268.4854
101797236,2.1115,3789.0625,8000.5542
101797275,2.1115,3759.7656,7938.6943
101797315,2.1643,3750.0000,8116.0264
101797354,2.1379,3764.6484,8048.3667
101797394,2.1643,3789.0625,8200.5684
101797434,2.1115,3764.6484,7949.0039
101797473,2.1643,3764.6484,8147.7300
101797513,2.1379,3789.0625,8100.5610
101797552,2.0587,3784.1797,7790.4883
101797592,2.1379,3754.8828,8027.4893
101797632,2.1907,3750.0000,8215.0020
101797670,2.2698,3764.6484,8545.1797
101797710,2.2171,3774.4141,8368.1055
