0.1848,4111.3281,759.5887
100277390,0.1848,4111.3281,759.5887
100277429,0.2375,4106.4453,975.4542
100277468,0.1320,4101.5625,541.2746
100277506,0.1848,4101.5625,757.7845
100277544,1.6100,3950.1953,6359.8481
100277583,1.5044,3964.8438,5964.8462
100277623,1.4253,3969.7266,5657.8662
100277663,1.2933,3989.2578,5159.2490
100277702,1.2141,3974.6094,4825.5923
100277742,1.2141,3974.6094,4825.5923
100277781,1.1877,3974.6094,4720.6880
100277821,1.1877,3974.6094,4720.6880
100277861,1.1349,3969.7266,4505.3379
100277900,1.1349,3974.6094,4510.8794
100277940,1.1877,3979.4922,4726.4873
100277979,1.1613,3955.0781,4593.1016
100278019,1.2141,3969.7266,4819.6641
100278057,1.1613,3969.7266,4610.1133
100278097,1.5308,3950.1953,6047.0688
100278137,1.3461,3969.7266,5343.5405
100278176,1.2669,3979.4922,5041.5859
100278216,1.3461,3959.9609,5330.3950
100278255,1.2669,3974.6094,5035.4004
100278295,1.2669,3984.3750,5047.7720
100278335,1.4253,3950.1953,5630.0293
100278374,1.6892,3950.1953,6672.6274
100278414,1.5836,3959.9609,6271.0527
100278453,1.8739,3930.6641,7365.8452
100278493,2.0323,3896.4844,7918.8477
100278533,1.9531,3896.4844,7610.3213
100278572,2.0587,3886.7188,8001.5854
100278611,2.0587,3886.7188,8001.5854
100278650,2.0059,3901.3672,7825.7993
100278690,1.9531,3901.3672,7619.8579
100278730,1.8739,3901.3672,7310.9448
100278769,1.7684,3930.6641,6950.8682
100278809,1.7156,3916.0156,6718.2485
100278848,1.6628,3906.2500,6495.2954
100278888,1.7948,3920.8984,7037.0854
100278928,1.8212,3911.1328,7122.7871
100278967,1.9003,3886.7188,7386.0786
100279007,1.9795,3872.0703,7664.8350
100279046,2.1115,3876.9531,8186.1338
100279086,2.1115,3857.4219,8144.8940
100279126,2.0851,3852.5391,8032.9023
100279164,2.0851,3847.6563,8022.7212
100279204,2.0323,3862.3047,7849.3838
100279243,2.0059,3857.4219,7737.6489
100279283,2.0323,3867.1875,7859.3071
100279322,2.0587,3857.4219,7941.2720
100279362,1.9795,3857.4219,7635.8379
100279402,1.9531,3837.8906,7495.8799
100279441,2.0323,3862.3047,7849.3838
100279481,1.9003,3862.3047,7339.6836
100279520,2.0851,3852.5391,8032.9023
100279560,2.1907,3837.8906,8407.5410
100279600,2.1643,3837.8906,8306.2461
100279639,2.1643,3833.0078,8295.6777
100279678,2.1379,3852.5391,8236.2666
100279717,2.1115,3857.4219,8144.8940
100279757,2.0851,3857.4219,8043.0835
100279797,2.0587,3876.9531,7981.4810
100279836,1.9795,3876.9531,7674.5005
100279876,2.1379,3872.0703,8278.0225
100279915,2.0587,3872.0703,7971.4287
100279955,2.1907,3862.3047,8461.0244
100279995,2.1115,3872.0703,8175.8237
100280034,2.0323,3881.8359,7889.0771
100280074,2.0323,3881.8359,7889.0771
100280113,2.0587,3886.7188,8001.5854
100280153,2.0323,3886.7188,7899.0010
100280193,2.2171,3881.8359,8606.2666
100280231,2.0851,3876.9531,8083.8081
100280271,2.1643,3876.9531,8390.7881
100280310,2.0587,3867.1875,7961.3765
100280350,2.1907,3872.0703,8482.4170
100280390,2.1643,3872.0703,8380.2197
100280429,2.1907,3872.0703,8482.4170
100280469,2.2171,3867.1875,8573.7900
100280508,2.1643,3867.1875,8369.6523
100280548,2.2171,3867.1875,8573.7900
100280587,2.1379,3886.7188,8309.3389
100280627,2.1379,3852.5391,8236.2666
100280667,2.1115,3867.1875,8165.5142
100280706,2.1115,3852.5391,8134.5840
100280745,2.1115,3867.1875,8165.5142
100280784,2.1643,3862.3047,8359.0850
100280824,2.1379,3857.4219,8246.7051
100280864,2.2171,3857.4219,8552.1387
100280903,2.2698,3857.4219,8755.7607
100280943,2.1643,3867.1875,8369.6523
100280982,2.1115,3857.4219,8144.8940
100281022,2.0851,3852.5391,8032.9023
100281062,2.0851,3862.3047,8053.2646
100281101,2.1115,3867.1875,8165.5142
100281141,2.1379,3862.3047,8257.1445
100281180,2.1115,3862.3047,8155.2041
100281220,2.1115,3857.4219,8144.8940
100281260,2.1379,3852.5391,8236.2666
100281298,2.1643,3847.6563,8327.3818
100281338,2.2698,3847.6563,8733.5947
100281377,2.1907,3833.0078,8396.8447
100281417,2.0587,3837.8906,7901.0630
100281457,2.1643,3833.0078,8295.6777
100281496,2.2171,3828.1250,8487.1855
100281536,2.2171,3818.3594,8465.5352
100281575,2.2962,3818.3594,8767.8750
100281615,2.2435,3823.2422,8577.2695
100281655,2.2698,3833.0078,8700.3447
100281694,2.1907,3828.1250,8386.1475
100281734,2.1643,3808.5938,8242.8398
100281773,2.2171,3828.1250,8487.1855
100281812,2.3226,3823.2422,8879.9971
100281851,2.2435,3818.3594,8566.3154
100281891,2.2171,3823.2422,8476.3604
100281931,2.1379,3823.2422,8173.6333
100281970,2.1379,3803.7109,8131.8779
100282010,2.0851,3828.1250,7981.9966
100282049,2.2171,3818.3594,8465.5352
100282089,2.1115,3833.0078,8093.3442
100282129,2.1115,3823.2422,8072.7241
100282168,2.1115,3833.0078,8093.3442
100282208,2.1379,3828.1250,8184.0723
100282247,2.1379,3847.6563,8225.8281
100282287,2.1115,3833.0078,8093.3442
100282327,2.1379,3847.6563,8225.8281
100282365,2.1907,3837.8906,8407.5410
100282405,2.2435,3823.2422,8577.2695
100282444,2.2962,3833.0078,8801.5117
100282484,2.1643,3833.0078,8295.6777
100282524,2.1907,3828.1250,8386.1475
100282563,2.2962,3813.4766,8756.6631
100282603,2.3226,3828.1250,8891.3379
100282642,2.2435,3823.2422,8577.2695
100282682,2.2962,3837.8906,8812.7236
100282722,2.1907,3842.7734,8418.2373
100282761,2.2171,3847.6563,8530.4883
100282801,2.1643,3852.5391,8337.9492
100282840,2.1379,3867.1875,8267.5830
100282880,2.1115,3862.3047,8155.2041
100282919,2.1379,3852.5391,8236.2666
100282958,2.0587,3867.1875,7961.3765
100282998,2.1115,3852.5391,8134.5840
100283037,2.1379,3867.1875,8267.5830
100283077,2.2171,3847.6563,8530.4883
100283116,2.2962,3847.6563,8835.1484
100283156,2.2171,3857.4219,8552.1387
100283196,2.2962,3847.6563,8835.1484
100283235,2.3490,3837.8906,9015.3154
100283275,2.3490,3847.6563,9038.2559
100283314,2.2698,3847.6563,8733.5947
100283354,2.2435,3833.0078,8599.1787
100283394,2.2171,3857.4219,8552.1387
100283432,2.0587,3872.0703,7971.4287
100283472,2.1643,3872.0703,8380.2197
100283511,1.9795,3867.1875,7655.1694
100283551,2.0059,3881.8359,7786.6216
100283591,2.1115,3881.8359,8196.4443
100283630,2.0587,3886.7188,8001.5854
100283670,2.2171,3867.1875,8573.7900
100283709,2.2171,3857.4219,8552.1387
100283749,2.2435,3852.5391,8642.9961
100283789,2.3490,3842.7734,9026.7852
100283828,2.3226,3847.6563,8936.7021
100283868,2.1907,3862.3047,8461.0244
100283907,2.2962,3862.3047,8868.7842
100283947,2.2698,3833.0078,8700.3447
100283986,2.3490,3852.5391,9049.7256
100284025,2.2698,3852.5391,8744.6777
100284065,2.2698,3857.4219,8755.7607
100284104,2.1643,3857.4219,8348.5166
100284144,2.1115,3876.9531,8186.1338
100284184,2.1643,3852.5391,8337.9492
100284223,2.1643,3862.3047,8359.0850
100284263,2.2698,3862.3047,8766.8438
100284302,2.1115,3862.3047,8155.2041
100284342,2.0851,3867.1875,8063.4458
100284381,2.1379,3891.6016,8319.7773
100284421,2.1379,3867.1875,8267.5830
100284461,2.2698,3857.4219,8755.7607
100284499,2.2962,3852.5391,8846.3604
100284539,2.3490,3847.6563,9038.2559
100284578,2.2962,3847.6563,8835.1484
100284618,2.2962,3828.1250,8790.2998
100284658,2.2698,3852.5391,8744.6777
100284697,2.1907,3847.6563,8428.9346
100284737,2.2171,3852.5391,8541.3135
100284776,2.1907,3857.4219,8450.3271
100284816,2.2698,3862.3047,8766.8438
100284856,2.2171,3857.4219,8552.1387
100284895,2.1643,3847.6563,8327.3818
100284935,2.1115,3852.5391,8134.5840
100284974,2.2698,3872.0703,8789.0107
100285014,2.2171,3862.3047,8562.9639
100285053,2.1907,3828.1250,8386.1475
100285092,2.2435,3852.5391,8642.9961
100285132,2.1907,3842.7734,8418.2373
100285171,2.2698,3847.6563,8733.5947
100285211,2.2435,3852.5391,8642.9961
100285251,2.1907,3842.7734,8418.2373
100285290,2.2435,3862.3047,8664.9043
100285330,2.2171,3852.5391,8541.3135
100285369,2.1907,3867.1875,8471.7207
100285409,2.1379,3862.3047,8257.1445
100285449,2.2171,3857.4219,8552.1387
100285488,2.2962,3857.4219,8857.5723
100285528,2.3226,3833.0078,8902.6787
100285566,2.2698,3823.2422,8678.1777
100285606,2.3754,3823.2422,9081.8145
100285645,2.3490,3823.2422,8980.9063
100285685,2.2698,3837.8906,8711.4277
100285725,2.3490,3842.7734,9026.7852
100285764,2.2435,3837.8906,8610.1328
100285804,2.1115,3852.5391,8134.5840
100285843,2.1379,3852.5391,8236.2666
100285883,1.9795,3852.5391,7626.1724
100285923,2.0587,3862.3047,7951.3242
100285962,2.1115,3842.7734,8113.9639
100286002,2.1643,3837.8906,8306.2461
100286041,2.2698,3837.8906,8711.4277
100286081,2.2171,3828.1250,8487.1855
100286120,2.3490,3818.3594,8969.4365
100286159,2.2435,3837.8906,8610.1328
100286199,2.2435,3828.1250,8588.2236
100286238,2.3490,3833.0078,9003.8457
100286278,2.2435,3828.1250,8588.2236
100286318,2.1643,3837.8906,8306.2461
100286357,2.0587,3823.2422,7870.9063
100286397,2.0323,3837.8906,7799.7671
100286436,2.1907,3847.6563,8428.9346
100286476,2.2171,3833.0078,8498.0117
100286516,2.2698,3828.1250,8689.2617
100286555,2.2171,3828.1250,8487.1855
100286595,2.2962,3837.8906,8812.7236
100286633,2.1379,3828.1250,8184.0723
100286673,2.2435,3828.1250,8588.2236
100286713,2.2435,3823.2422,8577.2695
100286752,2.2171,3823.2422,8476.3604
100286792,2.2435,3837.8906,8610.1328
100286831,2.2171,3833.0078,8498.0117
100286871,2.1907,3818.3594,8364.7549
100286910,2.2962,3823.2422,8779.0879
100286950,2.1907,3828.1250,8386.1475
100286990,2.1907,3833.0078,8396.8447
100287029,2.1379,3828.1250,8184.0723
100287069,2.1643,3828.1250,8285.1104
100287108,2.1379,3833.0078,8194.5107
100287148,2.1643,3837.8906,8306.2461
100287187,2.2171,3837.8906,8508.8369
100287226,2.1907,3833.0078,8396.8447
100287266,2.1115,3837.8906,8103.6538
100287305,2.1643,3828.1250,8285.1104
100287345,2.2962,3837.8906,8812.7236
100287385,2.2171,3828.1250,8487.1855
100287424,2.1907,3828.1250,8386.1475
100287464,2.2435,3818.3594,8566.3154
100287503,2.2698,3818.3594,8667.0947
100287543,2.2435,3823.2422,8577.2695
100287583,2.1907,3833.0078,8396.8447
100287622,2.2171,3828.1250,8487.1855
100287662,2.3226,3828.1250,8891.3379
100287700,2.2171,3823.2422,8476.3604
100287740,2.2171,3828.1250,8487.1855
100287780,2.1115,3837.8906,8103.6538
100287819,2.2171,3833.0078,8498.0117
100287859,2.1115,3833.0078,8093.3442
100287898,2.1115,3828.1250,8083.0342
100287938,2.2171,3837.8906,8508.8369
100287978,2.2171,3837.8906,8508.8369
100288017,2.2435,3818.3594,8566.3154
100288057,2.2698,3833.0078,8700.3447
100288096,2.2698,3818.3594,8667.0947
100288136,2.2171,3833.0078,8498.0117
100288175,2.2435,3833.0078,8599.1787
100288215,2.2435,3833.0078,8599.1787
100288254,2.1643,3823.2422,8274.5430
100288293,2.1907,3837.8906,8407.5410
100288333,2.1379,3828.1250,8184.0723
100288372,2.1379,3837.8906,8204.9502
100288412,2.1907,3847.6563,8428.9346
100288452,2.0851,3847.6563,8022.7212
100288491,2.1643,3833.0078,8295.6777
100288531,2.2435,3837.8906,8610.1328
100288570,2.1643,3833.0078,8295.6777
100288610,2.2171,3842.7734,8519.6621
100288650,2.2171,3828.1250,8487.1855
100288689,2.2435,3833.0078,8599.1787
100288729,2.1379,3847.6563,8225.8281
100288768,2.2435,3808.5938,8544.4063
100288807,2.2698,3842.7734,8722.5107
100288847,2.2435,3847.6563,8632.0420
100288886,2.1907,3852.5391,8439.6309
100288926,2.1907,3842.7734,8418.2373
100288965,2.1115,3862.3047,8155.2041
100289005,2.1643,3857.4219,8348.5166
100289045,2.1907,3847.6563,8428.9346
100289084,2.0323,3852.5391,7829.5371
100289124,2.0323,3872.0703,7869.2305
100289163,2.1379,3876.9531,8288.4609
100289203,2.0851,3857.4219,8043.0835
100289243,2.1643,3857.4219,8348.5166
100289282,2.1379,3852.5391,8236.2666
100289321,2.1907,3862.3047,8461.0244
100289360,2.1907,3833.0078,8396.8447
100289400,2.1907,3833.0078,8396.8447
100289439,2.3226,3823.2422,8879.9971
100289479,2.3754,3808.5938,9047.0186
100289519,2.3226,3808.5938,8845.9736
100289558,2.2435,3818.3594,8566.3154
100289598,2.4018,3808.5938,9147.5410
100289637,2.1379,3828.1250,8184.0723
100289677,2.0587,3833.0078,7891.0107
100289717,2.0587,3813.4766,7850.8018
100289756,2.0059,3828.1250,7678.8823
100289796,2.0587,3837.8906,7901.0630
100289835,2.0851,3818.3594,7961.6343
100289874,2.1115,3833.0078,8093.3442
100289914,2.2962,3828.1250,8790.2998
100289953,2.3226,3818.3594,8868.6563
100289993,2.2171,3808.5938,8443.8838
100290032,2.2171,3823.2422,8476.3604
100290072,2.4018,3808.5938,9147.5410
100290112,2.2962,3823.2422,8779.0879
100290151,2.2698,3828.1250,8689.2617
100290191,2.3226,3833.0078,8902.6787
100290230,2.2435,3818.3594,8566.3154
100290270,2.2435,3842.7734,8621.0869
100290310,2.1379,3847.6563,8225.8281
100290349,2.1379,3852.5391,8236.2666
100290388,2.1115,3862.3047,8155.2041
100290427,2.1115,3857.4219,8144.8940
100290467,2.1643,3842.7734,8316.8135
100290507,2.2171,3852.5391,8541.3135
100290546,2.1643,3857.4219,8348.5166
100290586,2.1907,3857.4219,8450.3271
100290625,2.2435,3847.6563,8632.0420
100290665,2.2435,3847.6563,8632.0420
100290704,2.1907,3833.0078,8396.8447
100290744,2.1379,3808.5938,8142.3169
100290784,2.2171,3828.1250,8487.1855
100290823,2.1907,3823.2422,8375.4512
100290863,2.2698,3823.2422,8678.1777
100290902,2.1379,3813.4766,8152.7554
100290941,2.2435,3813.4766,8555.3613
100290981,2.1643,3813.4766,8253.4072
100291020,2.1379,3823.2422,8173.6333
100291060,2.0851,3823.2422,7971.8154
100291099,2.2435,3818.3594,8566.3154
100291139,2.2435,3828.1250,8588.2236
100291179,2.2698,3828.1250,8689.2617
100291218,2.1643,3813.4766,8253.4072
100291258,2.2171,3833.0078,8498.0117
100291297,2.2962,3828.1250,8790.2998
100291337,2.2171,3833.0078,8498.0117
100291377,2.2962,3847.6563,8835.1484
100291416,2.1907,3837.8906,8407.5410
100291456,2.1907,3833.0078,8396.8447
100291494,2.2171,3847.6563,8530.4883
100291534,2.2435,3852.5391,8642.9961
100291574,2.2171,3847.6563,8530.4883
100291613,2.1643,3852.5391,8337.9492
100291653,2.2171,3862.3047,8562.9639
100291692,2.2171,3842.7734,8519.6621
100291732,2.1643,3833.0078,8295.6777
100291772,2.1907,3833.0078,8396.8447
100291811,2.1907,3828.1250,8386.1475
100291851,2.2171,3828.1250,8487.1855
100291890,2.1379,3818.3594,8163.1943
100291930,2.2435,3808.5938,8544.4063
100291969,2.2171,3803.7109,8433.0586
100292008,2.2435,3818.3594,8566.3154
100292048,2.1643,3818.3594,8263.9746
100292087,2.1643,3818.3594,8263.9746
100292127,2.1115,3833.0078,8093.3442
100292166,2.1379,3842.7734,8215.3887
100292206,2.1115,3828.1250,8083.0342
100292246,2.1115,3842.7734,8113.9639
100292285,2.1379,3847.6563,8225.8281
100292325,2.0851,3857.4219,8043.0835
100292364,2.3226,3842.7734,8925.3604
100292404,2.1907,3847.6563,8428.9346
100292444,2.3490,3837.8906,9015.3154
100292483,2.3754,3837.8906,9116.6104
100292523,2.3490,3842.7734,9026.7852
100292561,2.2435,3837.8906,8610.1328
100292601,2.3490,3833.0078,9003.8457
100292641,2.2698,3833.0078,8700.3447
100292680,2.2698,3847.6563,8733.5947
100292720,2.3226,3847.6563,8936.7021
100292759,2.2435,3837.8906,8610.1328
100292799,2.1643,3847.6563,8327.3818
100292839,2.0851,3847.6563,8022.7212
100292878,2.1115,3852.5391,8134.5840
100292918,2.1643,3828.1250,8285.1104
100292957,2.1379,3842.7734,8215.3887
100292997,2.1643,3803.7109,8232.2715
100293037,2.1115,3833.0078,8093.3442
100293075,2.1115,3818.3594,8062.4141
100293115,2.1115,3813.4766,8052.1040
100293154,2.1379,3813.4766,8152.7554
100293194,2.2435,3808.5938,8544.4063
100293233,2.2962,3813.4766,8756.6631
100293273,2.2962,3808.5938,8745.4512
100293313,2.2698,3813.4766,8656.0117
100293352,2.2698,3813.4766,8656.0117
100293392,2.2698,3818.3594,8667.0947
100293431,2.1643,3823.2422,8274.5430
100293471,2.1379,3823.2422,8173.6333
100293511,2.1643,3842.7734,8316.8135
100293550,2.1643,3847.6563,8327.3818
100293590,2.2698,3837.8906,8711.4277
100293628,2.2171,3847.6563,8530.4883
100293668,2.1115,3852.5391,8134.5840
100293708,2.1907,3847.6563,8428.9346
100293747,2.2435,3837.8906,8610.1328
100293787,2.2962,3837.8906,8812.7236
100293826,2.2171,3852.5391,8541.3135
100293866,2.2962,3842.7734,8823.9355
100293906,2.2962,3837.8906,8812.7236
100293945,2.2435,3833.0078,8599.1787
100293985,2.2698,3842.7734,8722.5107
100294024,2.2171,3828.1250,8487.1855
100294064,2.1115,3862.3047,8155.2041
100294104,2.1907,3842.7734,8418.2373
100294142,2.1907,3842.7734,8418.2373
100294182,2.1643,3833.0078,8295.6777
100294221,2.1379,3828.1250,8184.0723
100294261,2.1379,3828.1250,8184.0723
100294301,2.0851,3818.3594,7961.6343
