,4082.0313,969.6548
355333645,0.2639,4086.9141,1078.6830
355333685,0.3431,4091.7969,1403.9633
355333724,0.2639,4082.0313,1077.3942
355333764,0.2639,4101.5625,1082.5492
355333803,0.3167,4091.7969,1295.9661
355333842,0.2111,4091.7969,863.9774
355333881,0.2111,4091.7969,863.9774
355333919,0.2903,4086.9141,1186.5513
355333959,0.3167,4077.1484,1291.3265
355333998,0.2639,4091.7969,1079.9717
355334038,0.2639,4072.2656,1074.8167
355334078,0.2375,4091.7969,971.9745
355334116,0.2903,4082.0313,1185.1337
355334156,0.2639,4082.0313,1077.3942
355334195,0.2639,4082.0313,1077.3942
355334235,0.3431,4082.0313,1400.6124
355334275,0.2903,4082.0313,1185.1337
355334313,1.6892,3891.6016,6573.6514
355334353,1.6628,3916.0156,6511.5337
355334392,1.4253,3979.4922,5671.7847
355334432,1.7420,3867.1875,6736.5493
355334472,1.2933,3955.0781,5115.0449
355334511,1.6628,3876.9531,6446.5811
355334551,1.3725,3916.0156,5374.5991
355334590,1.3725,3935.5469,5401.4053
355334630,1.3989,3920.8984,5484.7871
355334669,1.2405,3955.0781,4906.2676
355334709,1.3461,3930.6641,5290.9595
355334749,1.1085,3945.3125,4373.4990
355334788,1.3989,3916.0156,5477.9565
355334828,1.1877,3950.1953,4691.6909
355334866,1.5044,3925.7813,5906.0791
355334906,1.4780,3886.7188,5744.7280
355334946,1.2669,3935.5469,4985.9121
355334985,1.6892,3916.0156,6614.8911
355335025,1.5836,3886.7188,6155.0654
355335064,1.4780,3876.9531,5730.2939
355335104,1.4253,3935.5469,5609.1514
355335144,1.6892,3876.9531,6548.9072
355335183,1.6364,3876.9531,6344.2539
355335223,1.6892,3911.1328,6606.6431
355335262,1.6100,3896.4844,6273.3730
355335302,1.5044,3886.7188,5847.3125
355335342,1.7948,3886.7188,6975.7412
355335380,1.6100,3911.1328,6296.9570
355335420,1.6892,3862.3047,6524.1636
355335459,1.6100,3896.4844,6273.3730
355335499,1.8476,3876.9531,7162.8672
355335539,1.6364,3862.3047,6320.2832
355335578,1.7684,3852.5391,6812.7144
355335618,1.8476,3867.1875,7144.8247
355335657,1.5836,3872.0703,6131.8682
355335697,1.8739,3828.1250,7173.6929
355335737,1.9003,3857.4219,7330.4048
355335776,1.9531,3837.8906,7495.8799
355335816,1.6892,3867.1875,6532.4111
355335855,1.9531,3847.6563,7514.9536
355335895,1.7156,3862.3047,6626.1030
355335934,1.7684,3872.0703,6847.2524
355335973,1.5572,3896.4844,6067.6885
355336013,1.7156,3886.7188,6667.9878
355336052,1.6892,3876.9531,6548.9072
355336092,1.7156,3867.1875,6634.4800
355336131,1.6892,3896.4844,6581.8994
355336171,1.7156,3886.7188,6667.9878
355336211,1.9531,3837.8906,7495.8799
355336250,1.7684,3862.3047,6829.9834
355336290,2.0059,3847.6563,7718.0601
