969,0.2?????L?969,863.9774
288225287,2.1115,3818.3594,8062.4141
288225327,2.1379,3808.5938,8142.3169
288225366,2.1907,3808.5938,8343.3613
288225405,2.1379,3769.5313,8058.8057
288225444,2.2962,3798.8281,8723.0273
288225484,2.2962,3779.2969,8678.1787
288225524,2.2171,3789.0625,8400.5820
288225563,2.2171,3793.9453,8411.4072
288225603,2.2171,3784.1797,8389.7568
288225642,2.2698,3813.4766,8656.0117
288225682,2.0587,3793.9453,7810.5928
288225722,2.1379,3828.1250,8184.0723
288225761,2.2171,3789.0625,8400.5820
288225801,2.1379,3881.8359,8298.8994
288225840,2.1379,3779.2969,8079.6836
288225880,2.1379,3803.7109,8131.8779
288225920,2.1907,3784.1797,8289.8779
288225958,2.1907,3798.8281,8321.9678
288225998,2.1907,3808.5938,8343.3613
288226037,2.0587,3803.7109,7830.6973
288226077,2.0851,3808.5938,7941.2725
288226117,2.0587,3798.8281,7820.6450
288226156,2.1115,3833.0078,8093.3442
288226196,2.2435,3779.2969,8478.6807
288226235,2.1907,3803.7109,8332.6650
288226275,2.2962,3774.4141,8666.9658
288226315,2.3226,3774.4141,8766.5869
288226354,2.3490,3764.6484,8843.2676
288226394,2.3226,3779.2969,8777.9277
288226433,2.2171,3759.7656,8335.6289
288226472,2.1643,3808.5938,8242.8398
288226511,2.0323,3808.5938,7740.2271
288226551,2.0851,3828.1250,7981.9966
288226591,2.0323,3813.4766,7750.1504
288226630,2.0587,3813.4766,7850.8018
288226670,2.0851,3808.5938,7941.2725
288226709,2.1379,3784.1797,8090.1226
288226749,2.1379,3813.4766,8152.7554
288226789,2.1379,3789.0625,8100.5610
288226828,2.2698,3803.7109,8633.8447
288226868,2.1379,3769.5313,8058.8057
288226907,2.0851,3652.3438,7615.4766
288226947,2.1115,3793.9453,8010.8643
288226987,2.0851,3808.5938,7941.2725
288227025,2.1379,3784.1797,8090.1226
288227065,2.2171,3798.8281,8422.2334
288227104,2.2171,3774.4141,8368.1055
288227144,2.2962,3779.2969,8678.1787
288227184,2.4282,3784.1797,9188.7813
288227223,2.1907,3779.2969,8279.1816
288227263,2.1643,3803.7109,8232.2715
288227302,2.0587,3784.1797,7790.4883
288227342,2.0851,3808.5938,7941.2725
288227382,2.0323,3798.8281,7720.3799
288227421,2.0587,3779.2969,7780.4360
288227461,2.0323,3813.4766,7750.1504
288227500,2.0851,3842.7734,8012.5400
288227539,2.0587,3793.9453,7810.5928
288227579,2.2698,3784.1797,8589.5117
288227618,2.1907,3764.6484,8247.0918
288227658,2.1115,3813.4766,8052.1040
288227697,2.1115,3784.1797,7990.2441
288227737,2.1115,3798.8281,8021.1738
288227776,2.2962,3774.4141,8666.9658
288227816,2.4282,3784.1797,9188.7813
288227856,2.2698,3793.9453,8611.6787
288227895,2.3490,3779.2969,8877.6777
288227935,2.3226,3789.0625,8800.6094
288227974,2.2698,3774.4141,8567.3457
288228014,2.1379,3813.4766,8152.7554
288228054,2.1379,3774.4141,8069.2446
288228092,2.0587,3818.3594,7860.8540
288228132,2.2171,3793.9453,8411.4072
288228171,1.9795,3828.1250,7577.8442
288228211,2.0851,3793.9453,7910.7290
288228251,2.1643,3828.1250,8285.1104
288228290,2.1907,3779.2969,8279.1816
288228330,2.1643,3789.0625,8200.5684
288228369,2.3226,3750.0000,8709.8818
288228409,2.2171,3784.1797,8389.7568
288228449,2.1907,3808.5938,8343.3613
288228488,2.2435,3750.0000,8412.9541
288228528,2.3226,3793.9453,8811.9512
288228567,2.2435,3789.0625,8500.5889
288228606,2.0851,3828.1250,7981.9966
288228646,2.1115,3793.9453,8010.8643
288228685,2.0059,3798.8281,7620.1152
288228725,2.1643,3803.7109,8232.2715
288228764,2.0851,3828.1250,7981.9966
288228804,2.0587,3793.9453,7810.5928
288228844,1.9795,3818.3594,7558.5132
288228883,2.0851,3803.7109,7931.0913
288228923,2.1379,3793.9453,8111.0000
288228962,2.3226,3798.8281,8823.2920
288229002,2.2171,3784.1797,8389.7568
288229041,2.2435,3789.0625,8500.5889
288229081,2.3490,3769.5313,8854.7373
288229121,2.2698,3793.9453,8611.6787
288229159,2.3226,3774.4141,8766.5869
288229199,2.2962,3793.9453,8711.8145
288229238,2.2962,3779.2969,8678.1787
288229278,2.1643,3916.0156,8475.3301
288229318,2.0851,3789.0625,7900.5479
288229357,1.9795,3823.2422,7568.1787
288229397,2.1379,3808.5938,8142.3169
288229436,2.1379,3808.5938,8142.3169
288229476,2.1907,3793.9453,8311.2715
288229516,2.1643,3774.4141,8168.8652
288229555,2.1643,3813.4766,8253.4072
288229595,2.0851,3793.9453,7910.7290
288229634,2.1907,3803.7109,8332.6650
288229673,2.1643,3793.9453,8211.1357
288229713,2.1115,3813.4766,8052.1040
288229752,2.1115,3779.2969,7979.9341
288229792,2.2962,3754.8828,8622.1182
288229831,2.3490,3779.2969,8877.6777
288229871,2.2435,3808.5938,8544.4063
288229911,2.1907,3784.1797,8289.8779
288229950,2.1907,3798.8281,8321.9678
288229990,2.2698,3789.0625,8600.5957
288230029,2.2435,3779.2969,8478.6807
288230069,2.3226,3803.7109,8834.6328
288230109,2.3754,3706.0547,8803.4443
288230148,2.1643,3793.9453,8211.1357
288230188,2.3226,3769.5313,8755.2461
288230226,2.1907,3798.8281,8321.9678
288230266,2.2171,3779.2969,8378.9307
288230305,2.1115,3808.5938,8041.7939
288230345,2.0851,3793.9453,7910.7290
288230385,2.1379,3828.1250,8184.0723
288230424,2.0851,3798.8281,7920.9102
288230464,2.0587,3813.4766,7850.8018
288230503,2.0851,3803.7109,7931.0913
288230543,2.0851,3930.6641,8195.7998
288230583,2.1643,3808.5938,8242.8398
288230622,2.1643,3808.5938,8242.8398
288230662,2.2171,3813.4766,8454.7090
288230701,2.1379,3769.5313,8058.8057
288230740,2.2698,3793.9453,8611.6787
288230780,2.2435,3769.5313,8456.7715
288230819,2.2698,3808.5938,8644.9287
288230859,2.1379,3764.6484,8048.3667
288230898,2.1115,3813.4766,8052.1040
288230938,2.0851,3784.1797,7890.3667
288230978,2.2435,3813.4766,8555.3613
288231017,2.2962,3764.6484,8644.5420
288231057,2.2171,3779.2969,8378.9307
288231096,2.2698,3764.6484,8545.1797
288231136,2.2698,3793.9453,8611.6787
288231176,2.1907,3808.5938,8343.3613
288231215,2.2698,3784.1797,8589.5117
288231255,2.2698,3828.1250,8689.2617
288231293,2.0851,3774.4141,7870.0044
288231333,2.1115,3813.4766,8052.1040
288231373,2.1643,3808.5938,8242.8398
288231412,2.2435,3789.0625,8500.5889
288231452,2.2962,3740.2344,8588.4814
288231491,2.3226,3789.0625,8800.6094
288231531,2.2171,3774.4141,8368.1055
288231570,2.2698,3784.1797,8589.5117
288231610,2.1643,3798.8281,8221.7041
288231650,2.0587,3803.7109,7830.6973
288231689,2.0323,3823.2422,7769.9971
288231729,2.0059,3813.4766,7649.4985
288231768,2.0851,3828.1250,7981.9966
288231808,2.1643,3789.0625,8200.5684
288231847,2.1907,3803.7109,8332.6650
288231886,2.2171,3769.5313,8357.2803
288231926,2.1907,3803.7109,8332.6650
288231965,2.1643,3774.4141,8168.8652
288232005,2.1643,3818.3594,8263.9746
288232045,2.0587,3789.0625,7800.5405
288232084,2.2171,3813.4766,8454.7090
288232124,2.1379,3789.0625,8100.5610
288232163,2.1907,3769.5313,8257.7881
288232203,2.1907,3789.0625,8300.5752
288232243,2.2435,3779.2969,8478.6807
288232282,2.2435,3793.9453,8511.5439
288232322,2.2171,3774.4141,8368.1055
288232360,2.3226,3793.9453,8811.9512
288232400,2.2171,3764.6484,8346.4541
288232440,2.2962,3798.8281,8723.0273
288232479,2.2698,3784.1797,8589.5117
288232519,2.1643,3798.8281,8221.7041
288232558,2.2171,3784.1797,8389.7568
288232598,2.2698,3798.8281,8622.7617
288232638,2.2171,3789.0625,8400.5820
288232677,2.1379,3789.0625,8100.5610
288232717,2.1115,3828.1250,8083.0342
288232756,2.1643,3798.8281,8221.7041
288232796,2.0059,3828.1250,7678.8823
288232835,2.1379,3803.7109,8131.8779
288232875,2.0851,3823.2422,7971.8154
288232914,2.1379,3784.1797,8090.1226
288232953,2.1907,3828.1250,8386.1475
288232993,2.2171,3764.6484,8346.4541
288233032,2.1643,3798.8281,8221.7041
288233072,2.1907,3784.1797,8289.8779
288233112,2.3226,3793.9453,8811.9512
288233151,2.2435,3769.5313,8456.7715
288233191,2.2171,3789.0625,8400.5820
288233230,2.2435,3759.7656,8434.8633
288233270,2.1907,3798.8281,8321.9678
288233310,2.1115,3813.4766,8052.1040
288233349,2.1115,3808.5938,8041.7939
288233389,2.1115,3808.5938,8041.7939
288233427,2.1643,3789.0625,8200.5684
288233467,2.2171,3808.5938,8443.8838
288233507,2.2962,3759.7656,8633.3301
288233546,2.2435,3793.9453,8511.5439
288233586,2.2698,3754.8828,8523.0127
288233625,2.3226,3798.8281,8823.2920
288233665,2.2171,3774.4141,8368.1055
288233705,2.1643,3798.8281,8221.7041
288233744,2.1379,3808.5938,8142.3169
288233784,2.0851,3784.1797,7890.3667
288233823,2.0851,3798.8281,7920.9102
288233863,2.0851,3789.0625,7900.5479
288233903,2.1115,3808.5938,8041.7939
288233942,2.1379,3774.4141,8069.2446
288233981,2.3490,3833.0078,9003.8457
288234020,2.2171,3764.6484,8346.4541
288234060,2.2171,3793.9453,8411.4072
288234099,2.2171,3769.5313,8357.2803
288234139,2.1379,3808.5938,8142.3169
288234179,2.0587,3793.9453,7810.5928
288234218,2.0323,3793.9453,7710.4565
288234258,1.9795,3769.5313,7461.8569
288234297,2.0851,3818.3594,7961.6343
288234337,2.1643,3793.9453,8211.1357
288234377,2.1643,3803.7109,8232.2715
288234416,2.1907,3793.9453,8311.2715
288234456,2.2171,3789.0625,8400.5820
288234494,2.2698,3779.2969,8578.4287
288234534,2.3226,3769.5313,8755.2461
288234574,2.3490,3789.0625,8900.6172
288234613,2.1643,3774.4141,8168.8652
288234653,2.2962,3808.5938,8745.4512
288234692,2.3226,3769.5313,8755.2461
288234732,2.0851,3813.4766,7951.4531
288234772,2.1379,3793.9453,8111.0000
288234811,2.1115,3818.3594,8062.4141
288234851,2.0851,3784.1797,7890.3667
288234890,2.1115,3789.0625,8000.5542
288234930,2.1907,3793.9453,8311.2715
288234970,2.1115,3798.8281,8021.1738
288235009,2.1643,3793.9453,8211.1357
288235048,2.0851,3784.1797,7890.3667
288235087,2.2698,3764.6484,8545.1797
288235127,2.2171,3789.0625,8400.5820
288235167,2.2698,3769.5313,8556.2627
288235206,2.2962,3774.4141,8666.9658
288235246,2.2698,3803.7109,8633.8447
288235285,2.1643,3769.5313,8158.2974
288235325,2.1115,3823.2422,8072.7241
288235364,2.2435,3779.2969,8478.6807
288235404,2.1907,3818.3594,8364.7549
288235444,2.2171,3784.1797,8389.7568
288235483,2.1115,3803.7109,8031.4839
288235523,2.0851,3789.0625,7900.5479
288235561,2.1115,3798.8281,8021.1738
288235601,2.0851,3784.1797,7890.3667
288235641,2.1643,3803.7109,8232.2715
288235680,2.1379,3823.2422,8173.6333
288235720,2.0851,3789.0625,7900.5479
288235759,2.2698,3818.3594,8667.0947
288235799,2.1115,3793.9453,8010.8643
288235839,2.1115,3813.4766,8052.1040
288235878,2.0851,3793.9453,7910.7290
288235918,2.1379,3818.3594,8163.1943
288235957,2.0851,3769.5313,7859.8232
288235997,2.2962,3813.4766,8756.6631
288236037,2.1907,3784.1797,8289.8779
288236076,2.2171,3798.8281,8422.2334
288236115,2.2698,3789.0625,8600.5957
288236154,2.1643,3793.9453,8211.1357
288236194,2.1115,3789.0625,8000.5542
288236234,2.1379,3789.0625,8100.5610
288236273,2.2435,3798.8281,8522.4980
288236313,2.2435,3779.2969,8478.6807
288236352,2.2435,3813.4766,8555.3613
288236392,2.2435,3793.9453,8511.5439
288236432,2.1907,3784.1797,8289.8779
288236471,2.2435,3774.4141,8467.7256
288236511,2.1907,3813.4766,8354.0576
288236550,2.1643,3793.9453,8211.1357
288236590,2.0323,3808.5938,7740.2271
288236628,2.0851,3803.7109,7931.0913
288236668,2.0851,3784.1797,7890.3667
288236708,2.1643,3803.7109,8232.2715
288236747,2.0851,3813.4766,7951.4531
288236787,2.1643,3803.7109,8232.2715
288236826,2.0587,3808.5938,7840.7495
288236866,2.1115,3808.5938,8041.7939
288236906,2.1379,3793.9453,8111.0000
288236945,2.2435,3793.9453,8511.5439
288236985,2.2962,3754.8828,8622.1182
288237024,2.2171,3803.7109,8433.0586
288237064,2.1379,3779.2969,8079.6836
288237104,2.2171,3803.7109,8433.0586
288237143,2.2171,3769.5313,8357.2803
288237182,2.1907,3803.7109,8332.6650
288237221,2.2435,3745.1172,8402.0000
288237261,2.3226,3784.1797,8789.2686
288237301,2.1907,3774.4141,8268.4854
288237340,2.2171,3793.9453,8411.4072
288237380,2.1115,3808.5938,8041.7939
288237419,2.0851,3808.5938,7941.2725
288237459,2.1115,3745.1172,7907.7642
288237499,2.1379,3793.9453,8111.0000
288237538,2.1379,3784.1797,8090.1226
288237578,2.2698,3774.4141,8567.3457
288237617,2.2435,3813.4766,8555.3613
288237657,2.2962,3764.6484,8644.5420
288237697,2.3754,3774.4141,8965.8271
288237735,2.1379,3769.5313,8058.8057
288237775,2.1643,3808.5938,8242.8398
288237814,2.1115,3793.9453,8010.8643
288237854,2.0587,3813.4766,7850.8018
288237893,2.1643,3808.5938,8242.8398
288237933,2.0851,3808.5938,7941.2725
288237973,2.1115,3837.8906,8103.6538
288238012,2.1643,3793.9453,8211.1357
288238052,2.0851,3803.7109,7931.0913
288238091,2.0587,3779.2969,7780.4360
288238131,2.1379,3813.4766,8152.7554
288238171,2.1379,3789.0625,8100.5610
288238210,2.1643,3798.8281,8221.7041
288238249,2.2171,3779.2969,8378.9307
288238288,2.2698,3789.0625,8600.5957
288238328,2.2698,3774.4141,8567.3457
288238368,2.2698,3784.1797,8589.5117
288238407,2.3226,3774.4141,8766.5869
288238447,2.2698,3789.0625,8600.5957
288238486,2.1643,3808.5938,8242.8398
288238526,2.0851,3833.0078,7992.1777
288238566,2.1643,3818.3594,8263.9746
288238605,2.0587,3803.7109,7830.6973
288238645,2.1115,3823.2422,8072.7241
288238684,2.1643,3793.9453,8211.1357
288238724,2.1643,3808.5938,8242.8398
288238764,2.2171,3764.6484,8346.4541
288238802,2.2435,3798.8281,8522.4980
288238842,2.3226,3774.4141,8766.5869
288238881,2.2962,3784.1797,8689.3906
288238921,2.4018,3750.0000,9006.8096
288238961,2.2435,3779.2969,8478.6807
288239000,2.2171,3784.1797,8389.7568
288239040,2.2962,3764.6484,8644.5420
288239079,2.2171,3798.8281,8422.2334
288239119,2.0587,3798.8281,7820.6450
288239158,2.0323,3803.7109,7730.3037
288239198,2.0587,3798.8281,7820.6450
288239238,2.0323,3818.3594,7760.0737
288239277,2.0323,3784.1797,7690.6099
288239316,2.0059,3759.7656,7541.7593
288239355,2.0851,3774.4141,7870.0044
288239395,2.2171,3808.5938,8443.8838
288239435,2.1643,3774.4141,8168.8652
288239474,2.2435,3769.5313,8456.7715
288239514,2.2698,3779.2969,8578.4287
288239553,2.3754,3774.4141,8965.8271
288239593,2.2962,3789.0625,8700.6025
288239633,2.2435,3769.5313,8456.7715
288239672,2.1643,3803.7109,8232.2715
288239712,2.1643,3784.1797,8190.0005
288239751,2.1643,3803.7109,8232.2715
288239791,2.1643,3740.2344,8094.8911
288239831,2.2435,3798.8281,8522.4980
288239869,2.2698,3784.1797,8589.5117
288239909,2.2171,3784.1797,8389.7568
288239948,2.1643,3759.7656,8137.1621
288239988,2.1907,3813.4766,8354.0576
288240028,2.1115,3789.0625,8000.5542
288240067,2.0851,3803.7109,7931.0913
288240107,2.0587,3803.7109,7830.6973
288240146,2.0587,3808.5938,7840.7495
288240186,2.0587,3803.7109,7830.6973
288240226,2.1379,3828.1250,8184.0723
288240265,2.1115,3823.2422,8072.7241
288240305,2.1379,3803.7109,8131.8779
288240344,2.1379,3793.9453,8111.0000
288240384,2.1907,3764.6484,8247.0918
288240422,2.1643,3793.9453,8211.1357
288240462,2.2171,3769.5313,8357.2803
288240502,2.2435,3789.0625,8500.5889
288240541,2.2171,3779.2969,8378.9307
288240581,2.1379,3833.0078,8194.5107
288240620,2.0587,3784.1797,7790.4883
288240660,2.1643,3808.5938,8242.8398
288240700,2.1115,3793.9453,8010.8643
288240739,2.0587,3789.0625,7800.5405
288240779,2.1907,3798.8281,8321.9678
288240818,2.1907,3789.0625,8300.5752
288240858,2.2171,3789.0625,8400.5820
288240898,2.3754,3754.8828,8919.4326
288240936,2.1907,3803.7109,8332.6650
288240976,2.1643,3750.0000,8116.0264
288241015,2.2435,3798.8281,8522.4980
288241055,2.2171,3774.4141,8368.1055
288241095,2.1643,3813.4766,8253.4072
288241134,2.0851,3769.5313,7859.8232
288241174,2.1379,3808.5938,8142.3169
288241213,2.1643,3779.2969,8179.4331
288241253,2.1907,3789.0625,8300.5752
288241293,2.4282,3764.6484,9141.3555
288241332,2.1643,3803.7109,8232.2715
288241372,2.0851,3784.1797,7890.3667
288241411,1.9795,3798.8281,7519.8506
288241451,2.0587,3818.3594,7860.8540
288241490,1.9267,3837.8906,7394.5845
288241529,2.1115,3808.5938,8041.7939
288241569,2.1379,3793.9453,8111.0000
288241608,2.1115,3818.3594,8062.4141
288241648,2.2435,3784.1797,8489.6348
288241687,2.1379,3808.5938,8142.3169
288241727,2.1643,3769.5313,8158.2974
288241767,2.2962,3808.5938,8745.4512
288241806,2.1907,3764.6484,8247.0918
288241846,2.1379,3813.4766,8152.7554
288241885,2.1379,3769.5313,8058.8057
288241925,2.0851,3828.1250,7981.9966
288241965,2.1115,3793.9453,8010.8643
288242003,2.2698,3813.4766,8656.0117
288242043,2.0851,3789.0625,7900.5479
288242082,2.1379,3798.8281,8121.4390
288242122,2.1379,3789.0625,8100.5610
288242162,2.1643,3764.6484,8147.7300
288242201,2.1907,3798.8281,8321.9678
288242241,2.1379,3784.1797,8090.1226
288242280,2.0851,3818.3594,7961.6343
288242320,2.1379,3789.0625,8100.5610
288242360,2.1907,3808.5938,8343.3613
288242399,2.1643,3764.6484,8147.7300
288242439,2.1907,3818.3594,8364.7549
288242478,2.0851,3774.4141,7870.0044
288242518,2.1115,3823.2422,8072.7241
288242557,2.1643,3789.0625,8200.5684
288242596,2.1643,3808.5938,8242.8398
288242636,2.1643,3789.0625,8200.5684
288242675,2.1643,3793.9453,8211.1357
288242715,2.1115,3798.8281,8021.1738
288242755,2.1643,3803.7109,8232.2715
288242794,2.2435,3793.9453,8511.5439
288242834,2.2698,3774.4141,8567.3457
288242873,2.3226,3798.8281,8823.2920
288242913,2.2171,3779.2969,8378.9307
288242952,2.2435,3803.7109,8533.4521
288242992,2.0587,3759.7656,7740.2271
288243032,2.1643,3818.3594,8263.9746
288243070,2.1115,3798.8281,8021.1738
288243110,2.0323,3808.5938,7740.2271
288243149,2.1643,3784.1797,8190.0005
288243189,2.1643,3808.5938,8242.8398
288243229,2.2171,3774.4141,8368.1055
288243268,2.1643,3828.1250,8285.1104
288243308,2.1907,3798.8281,8321.9678
288243347,2.1643,3793.9453,8211.1357
288243387,2.1379,3808.5938,8142.3169
288243427,2.0851,3793.9453,7910.7290
288243466,2.1643,3813.4766,8253.4072
288243506,2.0851,3769.5313,7859.8232
288243545,2.2171,3818.3594,8465.5352
288243585,2.2171,3789.0625,8400.5820
288243624,2.1115,3803.7109,8031.4839
288243663,2.0587,3779.2969,7780.4360
288243703,2.2435,3803.7109,8533.4521
288243742,2.1379,3784.1797,8090.1226
288243782,2.1643,3798.8281,8221.7041
288243822,2.1643,3803.7109,8232.2715
288243861,2.1907,3808.5938,8343.3613
288243901,2.1115,3808.5938,8041.7939
288243940,2.2435,3789.0625,8500.5889
288243980,2.2435,3793.9453,8511.5439
288244020,2.1379,3813.4766,8152.7554
288244059,2.1379,3818.3594,8163.1943
288244099,2.1643,3754.8828,8126.5942
288244137,2.2435,3823.2422,8577.2695
288244177,2.2698,3779.2969,8578.4287
288244216,2.1907,3818.3594,8364.7549
288244256,2.1643,3793.9453,8211.1357
288244296,2.1379,3823.2422,8173.6333
288244335,2.1379,3920.8984,8382.4111
288244375,2.1643,3803.7109,8232.2715
288244414,2.1115,3784.1797,7990.2441
288244454,2.1379,3803.7109,8131.8779
288244494,2.1907,3793.9453,8311.2715
288244533,2.2962,3803.7109,8734.2393
288244573,2.3226,3769.5313,8755.2461
288244612,2.1907,3789.0625,8300.5752
288244652,2.2435,3823.2422,8577.2695
288244691,2.2435,3789.0625,8500.5889
288244730,2.1379,3798.8281,8121.4390
288244770,2.0851,3793.9453,7910.7290
288244809,2.2171,3803.7109,8433.0586
288244849,2.1907,3779.2969,8279.1816
288244889,2.2435,3793.9453,8511.5439
288244928,2.2962,3764.6484,8644.5420
288244968,2.4546,3764.6484,9240.7168
288245007,2.2698,3779.2969,8578.4287
288245047,2.1115,3813.4766,8052.1040
288245087,2.0323,3818.3594,7760.0737
288245126,2.1115,3715.8203,7845.9043
288245166,2.0851,3808.5938,7941.2725
288245204,2.1379,3784.1797,8090.1226
288245244,2.0851,3813.4766,7951.4531
288245284,2.1115,3798.8281,8021.1738
288245323,2.1115,3828.1250,8083.0342
288245363,2.1115,3779.2969,7979.9341
288245402,2.1379,3808.5938,8142.3169
288245442,2.2171,3779.2969,8378.9307
288245481,2.1643,3808.5938,8242.8398
288245521,2.1379,3774.4141,8069.2446
288245561,2.1907,3803.7109,8332.6650
288245600,2.1379,3789.0625,8100.5610
288245640,2.1907,3959.9609,8674.9561
288245679,2.2698,3789.0625,8600.5957
288245719,2.2698,3769.5313,8556.2627
288245758,2.3490,3784.1797,8889.1475
288245797,2.1643,3779.2969,8179.4331
288245837,2.1379,3818.3594,8163.1943
288245876,2.0587,3789.0625,7800.5405
288245916,2.0851,3798.8281,7920.9102
288245956,2.1907,3769.5313,8257.7881
288245995,2.0851,3828.1250,7981.9966
288246035,2.1115,3779.2969,7979.9341
288246074,2.1115,3818.3594,8062.4141
288246114,2.0851,3789.0625,7900.5479
288246154,2.1379,3784.1797,8090.1226
288246193,2.2435,3769.5313,8456.7715
288246233,2.2698,3784.1797,8589.5117
288246272,2.2171,3784.1797,8389.7568
288246311,2.1907,3774.4141,8268.4854
288246351,2.2962,3798.8281,8723.0273
288246390,2.2171,3784.1797,8389.7568
288246430,2.1643,3808.5938,8242.8398
288246469,2.2435,3784.1797,8489.6348
288246509,2.1115,3813.4766,8052.1040
288246549,2.1379,3793.9453,8111.0000
288246588,2.0851,3813.4766,7951.4531
288246628,2.0851,3793.9453,7910.7290
288246667,2.0059,3808.5938,7639.7041
288246707,2.0323,3759.7656,7640.9932
288246746,2.1379,3798.8281,8121.4390
288246786,2.1643,3818.3594,8263.9746
288246825,2.1379,3784.1797,8090.1226
288246864,2.1643,3789.0625,8200.5684
288246904,2.2435,3828.1250,8588.2236
288246943,2.3226,3793.9453,8811.9512
288246983,2.1907,3764.6484,8247.0918
288247023,2.1907,3808.5938,8343.3613
288247062,2.2435,3779.2969,8478.6807
288247102,2.0851,3813.4766,7951.4531
288247141,2.2171,3779.2969,8378.9307
288247181,2.2962,3813.4766,8756.6631
288247221,2.1907,3769.5313,8257.7881
288247260,2.1379,3803.7109,8131.8779
288247300,2.1379,3769.5313,8058.8057
288247339,2.1643,3784.1797,8190.0005
288247378,2.2171,3779.2969,8378.9307
288247418,2.2435,3779.2969,8478.6807
288247457,2.2962,3764.6484,8644.5420
288247497,2.3226,3769.5313,8755.2461
288247536,2.2962,3793.9453,8711.8145
288247576,2.2171,3793.9453,8411.4072
288247616,2.0851,3828.1250,7981.9966
288247655,2.1643,3798.8281,8221.7041
288247695,2.0851,3818.3594,7961.6343
288247734,2.1115,3789.0625,8000.5542
288247774,2.1115,3808.5938,8041.7939
288247814,2.1115,3808.5938,8041.7939
288247853,2.2171,3803.7109,8433.0586
288247892,2.1379,3774.4141,8069.2446
288247931,2.2698,3808.5938,8644.9287
288247971,2.1643,3798.8281,8221.7041
288248010,2.3490,3789.0625,8900.6172
288248050,2.2435,3784.1797,8489.6348
288248090,2.1643,3784.1797,8190.0005
288248129,2.2171,3789.0625,8400.5820
288248169,2.3226,3784.1797,8789.2686
288248208,2.2171,3803.7109,8433.0586
288248248,2.1643,3750.0000,8116.0264
288248288,2.2435,3764.6484,8445.8174
288248327,2.2698,3774.4141,8567.3457
288248367,2.1115,3808.5938,8041.7939
288248406,2.1379,3784.1797,8090.1226
288248445,2.2171,3813.4766,8454.7090
288248485,2.0851,3779.2969,7880.1855
288248524,2.1643,3808.5938,8242.8398
288248564,2.1379,3789.0625,8100.5610
288248603,2.1907,3803.7109,8332.6650
288248643,2.0851,3798.8281,7920.9102
288248683,2.0851,3784.1797,7890.3667
288248722,2.0323,3803.7109,7730.3037
288248762,2.1643,3774.4141,8168.8652
288248801,2.2698,3798.8281,8622.7617
288248841,2.2698,3769.5313,8556.2627
288248881,2.2435,3803.7109,8533.4521
288248920,2.2435,3769.5313,8456.7715
288248960,2.1643,3813.4766,8253.4072
288248998,2.2171,3779.2969,8378.9307
288249038,2.2962,3793.9453,8711.8145
288249078,2.2962,3764.6484,8644.5420
288249117,2.2962,3784.1797,8689.3906
288249157,2.2171,3759.7656,8335.6289
288249196,2.2698,3793.9453,8611.6787
288249236,2.2435,3789.0625,8500.5889
288249275,2.0587,3789.0625,7800.5405
288249315,2.0851,3808.5938,7941.2725
288249355,2.0059,3803.7109,7629.9097
288249394,2.0059,3828.1250,7678.8823
288249434,2.0851,3774.4141,7870.0044
288249473,2.1907,3818.3594,8364.7549
288249512,2.0851,3784.1797,7890.3667
288249552,2.1643,3813.4766,8253.4072
288249591,2.2698,3745.1172,8500.8467
288249631,2.3754,3784.1797,8989.0244
288249670,2.2698,3779.2969,8578.4287
288249710,2.2962,3789.0625,8700.6025
288249750,2.2962,3759.7656,8633.3301
288249789,2.3226,3754.8828,8721.2227
288249829,2.3754,3774.4141,8965.8271
288249868,2.3754,3779.2969,8977.4258
288249908,2.3490,3793.9453,8912.0869
288249948,2.1907,3769.5313,8257.7881
288249987,2.0851,3808.5938,7941.2725
288250027,2.0323,3779.2969,7680.6865
288250065,2.1115,3818.3594,8062.4141
288250105,1.9267,3798.8281,7319.3218
288250145,2.0059,3833.0078,7688.6768
288250184,2.0587,3779.2969,7780.4360
288250224,2.0851,3813.4766,7951.4531
288250263,2.2171,3769.5313,8357.2803
288250303,2.2171,3784.1797,8389.7568
288250343,2.2698,3779.2969,8578.4287
288250382,2.1643,3779.2969,8179.4331
288250422,2.2962,3759.7656,8633.3301
288250461,2.3226,3779.2969,8777.9277
288250501,2.2698,3779.2969,8578.4287
288250540,2.2435,3774.4141,8467.7256
288250579,2.1115,3803.7109,8031.4839
288250619,2.1115,3784.1797,7990.2441
288250658,2.1115,3813.4766,8052.1040
288250698,2.0587,3789.0625,7800.5405
288250737,2.1643,3808.5938,8242.8398
288250777,2.0851,3784.1797,7890.3667
288250817,2.1643,3808.5938,8242.8398
288250856,2.1115,3779.2969,7979.9341
288250896,2.1907,3803.7109,8332.6650
288250935,2.1379,3789.0625,8100.5610
288250975,2.1115,3798.8281,8021.1738
288251015,2.2435,3784.1797,8489.6348
288251054,2.2171,3784.1797,8389.7568
288251094,2.1379,3789.0625,8100.5610
288251132,2.0851,3798.8281,7920.9102
288251172,2.2171,3828.1250,8487.1855
288251212,2.1907,3779.2969,8279.1816
288251251,2.2962,3784.1797,8689.3906
288251291,2.3490,3764.6484,8843.2676
288251330,2.2435,3808.5938,8544.4063
288251370,2.1379,3779.2969,8079.6836
288251410,2.2171,3798.8281,8422.2334
288251449,2.2962,3891.6016,8936.0566
288251489,2.2435,3798.8281,8522.4980
288251528,2.2698,3774.4141,8567.3457
