12164b?I??1,411.3281,868.1014
288128041,1.7948,3891.6016,6984.5049
288128081,1.7156,3876.9531,6651.2339
288128120,1.7684,3886.7188,6873.1567
288128160,1.7420,3891.6016,6779.0781
288128199,1.9003,3876.9531,7367.5205
288128239,1.7684,3891.6016,6881.7910
288128279,1.8212,3862.3047,7033.8638
288128318,1.8739,3867.1875,7246.8940
288128358,1.8476,3808.5938,7036.5698
288128397,1.8739,3837.8906,7191.9932
288128437,1.8476,3710.9375,6856.1450
288128477,1.8212,3896.4844,7096.1104
288128516,1.8476,3842.7734,7099.7183
288128556,2.0059,3891.6016,7806.2104
288128594,1.8476,3857.4219,7126.7822
288128634,1.8212,3881.8359,7069.4331
288128674,1.7684,3872.0703,6847.2524
288128713,1.7156,3886.7188,6667.9878
288128753,1.7420,3872.0703,6745.0552
288128792,1.7684,3876.9531,6855.8872
288128832,1.9003,3876.9531,7367.5205
288128872,1.8476,3886.7188,7180.9097
288128911,1.8739,3872.0703,7256.0439
288128951,1.8212,3872.0703,7051.6484
288128990,1.8212,3896.4844,7096.1104
288129030,1.8739,3867.1875,7246.8940
288129069,1.9267,3891.6016,7498.0713
288129108,1.7948,3857.4219,6923.1602
288129148,1.7948,3901.3672,7002.0317
288129187,1.8739,3925.7813,7356.6953
288129227,1.7684,3901.3672,6899.0605
288129266,1.7684,3872.0703,6847.2524
288129306,1.7420,3901.3672,6796.0894
288129346,1.7420,3872.0703,6745.0552
288129385,1.7156,3916.0156,6718.2485
288129425,1.9003,3872.0703,7358.2417
288129464,1.7420,3876.9531,6753.5605
288129504,1.7948,3867.1875,6940.6870
288129544,1.7156,3891.6016,6676.3643
288129583,1.7684,3872.0703,6847.2524
288129623,1.8212,3886.7188,7078.3252
288129661,1.7948,3867.1875,6940.6870
288129701,1.7156,3911.1328,6709.8721
288129741,1.7156,3896.4844,6684.7412
288129780,1.7156,3886.7188,6667.9878
288129820,1.7684,3901.3672,6899.0605
288129859,1.6892,3876.9531,6548.9072
288129899,1.7156,3891.6016,6676.3643
288129939,1.7156,3867.1875,6634.4800
288129978,1.7156,3896.4844,6684.7412
288130018,1.7948,3862.3047,6931.9238
288130057,1.7684,3891.6016,6881.7910
288130097,1.7420,3872.0703,6745.0552
288130137,1.7948,3867.1875,6940.6870
288130176,1.7156,3857.4219,6617.7266
288130215,1.7948,3896.4844,6993.2681
288130254,1.7156,3876.9531,6651.2339
288130294,1.7156,3862.3047,6626.1030
288130333,1.6892,3886.7188,6565.4033
288130373,1.6892,3901.3672,6590.1475
288130413,1.7156,3881.8359,6659.6108
288130452,1.6628,3886.7188,6462.8188
288130492,1.7156,3901.3672,6693.1182
288130531,1.7156,3881.8359,6659.6108
288130571,1.7948,3896.4844,6993.2681
288130611,1.7684,3872.0703,6847.2524
288130650,1.7684,3891.6016,6881.7910
288130690,1.6364,3876.9531,6344.2539
288130728,1.6628,3911.1328,6503.4146
288130768,1.6364,3867.1875,6328.2734
288130808,1.6892,3896.4844,6581.8994
288130847,1.7420,3862.3047,6728.0435
288130887,1.6628,3906.2500,6495.2954
288130926,1.7948,3886.7188,6975.7412
288130966,1.6628,3906.2500,6495.2954
288131006,1.6628,3876.9531,6446.5811
288131045,1.6628,3833.0078,6373.5088
288131085,1.7684,3891.6016,6881.7910
288131124,1.6100,3891.6016,6265.5117
