timestamp,kalman.stateZ,gyro.x,gyro.xRaw,gyro.xVariance,gyro.y,gyro.yRaw,gyro.yVariance
0,0.2978438138961792,2.0582621097564697,38,9981.0,-10.37877368927002,-167,5564.0
10,0.2979268729686737,2.6477906703948975,48,9981.0,-10.132723808288574,-164,5564.0
20,0.2977748513221741,2.950601100921631,44,9981.0,-10.244128227233887,-172,5564.0
30,0.29785409569740295,1.4096752405166626,9,9981.0,-10.512898445129395,-170,5564.0
40,0.2979555130004883,-0.1917090117931366,-4,9981.0,-9.730627059936523,-140,5564.0
50,0.2980555295944214,0.10224302858114243,4,9981.0,-4.628780364990234,-43,5564.0
60,0.29803574085235596,-1.0525764226913452,-30,9981.0,3.3928751945495605,89,5564.0
70,0.29820770025253296,-1.972692608833313,-28,9981.0,10.824838638305664,216,5564.0
80,0.29828861355781555,-0.9137872457504272,-12,9981.0,18.344024658203125,333,5564.0
90,0.2983052730560303,0.30519899725914,11,9981.0,22.945594787597656,409,5564.0
100,0.29788511991500854,0.9286804795265198,21,9981.0,26.76702308654785,444,5564.0
110,0.29773345589637756,1.1082203388214111,20,9981.0,27.527179718017578,448,5564.0
120,0.29798412322998047,-0.32830220460891724,-17,9981.0,26.088674545288086,414,5564.0
130,0.2980550229549408,-3.2345130443573,-65,9981.0,23.13169288635254,366,5564.0
140,0.2979826331138611,-4.911564826965332,-79,9981.0,20.174230575561523,314,5564.0
150,0.29679688811302185,-4.536931991577148,-63,9981.0,16.50273323059082,242,5564.0
160,0.29700446128845215,-3.295391798019409,-46,9981.0,11.654298782348633,164,5564.0
170,0.2972947955131531,-0.945472002029419,21,9981.0,6.2242231369018555,53,5564.0
180,0.2972876727581024,2.9251580238342285,56,9981.0,-0.3422130346298218,-82,5564.0
190,0.29676905274391174,5.545389175415039,122,9981.0,-14.756521224975586,-363,5564.0
200,0.29686596989631653,7.024057865142822,81,9981.0,-34.840911865234375,-689,5564.0
210,0.2972352206707001,8.163534164428711,142,9981.0,-57.015403747558594,-1121,5564.0
220,0.297576904296875,7.100313186645508,57,9981.0,-79.80359649658203,-1363,5564.0
230,0.29777804017066956,6.368930816650391,100,9981.0,-87.0049819946289,-1474,5564.0
240,0.29802778363227844,5.828840732574463,190,9981.0,-75.46992492675781,-1162,5564.0
250,0.29849088191986084,10.982381820678711,140,9981.0,-58.10536575317383,-860,5564.0
260,0.2984241545200348,11.598668098449707,206,9981.0,-47.4550895690918,-594,5564.0
270,0.2983161509037018,9.109309196472168,192,9981.0,-39.20599365234375,-693,5564.0
280,0.29593008756637573,6.709812164306641,157,9981.0,-38.14679718017578,-761,5564.0
290,0.29578784108161926,2.080739736557007,71,9981.0,-36.30010223388672,-628,5564.0
300,0.29529353976249695,3.8001797199249268,33,9981.0,-35.512027740478516,-426,5564.0
310,0.29471784830093384,7.443256855010986,116,9981.0,-27.86030387878418,-492,5564.0
320,0.29775676131248474,10.810495376586914,162,9981.0,-23.059926986694336,-347,5564.0
330,0.29928407073020935,11.50983715057373,98,9981.0,-18.338285446166992,-502,5564.0
340,0.29995131492614746,11.01827335357666,167,9981.0,-19.815448760986328,-321,5564.0
350,0.30111709237098694,6.627392292022705,120,9981.0,-20.093263626098633,-344,5564.0
360,0.3019835650920868,4.274236679077148,147,9981.0,-28.97968292236328,-563,5564.0
370,0.30515041947364807,6.175151824951172,194,9981.0,-50.01468276977539,-726,5564.0
380,0.30597007274627686,7.857488632202148,44,9981.0,-50.881778717041016,-734,5564.0
390,0.30777600407600403,5.333770751953125,23,9981.0,-40.14068603515625,-692,5564.0
400,0.30881041288375854,4.9409990310668945,92,9981.0,-16.078222274780273,-200,5564.0
410,0.31239721179008484,9.356158256530762,112,9981.0,16.66224479675293,301,5564.0
420,0.31419670581817627,1.2374622821807861,79,9981.0,46.1566276550293,893,5564.0
430,0.31588658690452576,-8.365174293518066,-97,9981.0,81.00033569335938,1473,5564.0
440,0.3175196349620819,-14.947516441345215,-222,9981.0,93.3714599609375,1661,5564.0
450,0.31835827231407166,-20.121902465820312,-400,9981.0,86.06197357177734,1271,5564.0
460,0.3179899752140045,-27.70804786682129,-515,9981.0,67.98673248291016,1018,5564.0
