,16,1282.0475
293066806,0.3431,4042.9688,1387.2095
293066845,0.3959,4042.9688,1600.6263
293066885,0.3431,4042.9688,1387.2095
293066924,0.3695,4042.9688,1493.9180
293066963,0.4751,4042.9688,1920.7516
293067003,0.4487,4038.0859,1811.8524
293067042,0.3167,4033.2031,1277.4081
293067082,0.3695,4047.8516,1495.7222
293067121,0.4223,4042.9688,1707.3348
293067161,0.3695,4042.9688,1493.9180
293067201,0.4223,4042.9688,1707.3348
293067240,0.3431,3989.2578,1368.7804
293067280,0.3695,4047.8516,1495.7222
293067319,0.3167,4042.9688,1280.5010
293067359,0.3167,4038.0859,1278.9545
293067399,0.3959,4038.0859,1598.6932
293067438,0.4223,4042.9688,1707.3348
293067478,0.5015,4047.8516,2029.9086
293067516,0.3959,4052.7344,1604.4926
293067556,0.3431,3930.6641,1348.6759
293067596,0.2903,4038.0859,1172.3750
293067635,1.6892,3842.7734,6491.1714
293067675,1.6628,3872.0703,6438.4619
293067714,1.5044,3881.8359,5839.9663
293067754,1.4516,3847.6563,5585.4385
293067794,1.4780,3901.3672,5766.3789
293067833,1.3989,3881.8359,5430.1440
293067873,1.6892,3876.9531,6548.9072
293067912,1.6100,3857.4219,6210.4819
293067952,1.3461,3911.1328,5264.6689
293067992,1.4780,3881.8359,5737.5112
293068030,1.3461,3881.8359,5225.2334
293068070,1.5308,3891.6016,5957.3716
293068109,1.5836,3857.4219,6108.6704
293068149,1.3725,3906.2500,5361.1963
293068188,1.5044,3901.3672,5869.3501
293068228,1.4253,3901.3672,5560.4370
293068268,1.6364,3930.6641,6432.1465
293068307,1.3989,3896.4844,5450.6353
293068347,1.5836,3876.9531,6139.6006
293068386,1.5308,3881.8359,5942.4224
293068426,1.3461,3911.1328,5264.6689
293068466,1.6628,3847.6563,6397.8662
293068505,1.4780,3906.2500,5773.5962
293068545,1.7684,3837.8906,6786.8105
293068583,1.7684,3818.3594,6752.2720
293068623,1.6100,3867.1875,6226.2046
293068663,1.8739,3813.4766,7146.2427
293068702,1.9795,3818.3594,7558.5132
293068742,1.9267,3803.7109,7328.7295
293068781,1.6892,3828.1250,6466.4272
293068821,1.7684,3828.1250,6769.5410
293068861,1.7948,3833.0078,6879.3428
293068900,1.9267,3818.3594,7356.9531
293068940,1.8212,3837.8906,6989.4019
293068979,1.9003,3847.6563,7311.8467
293069019,1.8212,3828.1250,6971.6172
293069059,1.8476,3793.9453,7009.5059
293069097,1.8739,3886.7188,7283.4941
293069137,1.6892,3818.3594,6449.9316
293069176,1.7420,3813.4766,6642.9863
293069216,1.8476,3803.7109,7027.5483
293069256,1.8739,3818.3594,7155.3926
293069295,1.7420,3837.8906,6685.5146
293069335,1.7948,3833.0078,6879.3428
293069374,1.7684,3867.1875,6838.6182
293069414,1.9003,3837.8906,7293.2886
293069453,1.7420,3847.6563,6702.5264
293069493,1.6628,3872.0703,6438.4619
