0.2375,4052.7344,962.6956
258304193,0.2111,4047.8516,854.6984
258304231,0.2639,4047.8516,1068.3729
258304271,0.2639,4052.7344,1069.6617
258304311,0.2375,4057.6172,963.8554
258304349,0.2111,4057.6172,856.7604
258304388,0.2111,4057.6172,856.7604
258304425,0.2375,4042.9688,960.3758
258304464,0.2903,4052.7344,1176.6279
258304504,0.2903,4057.6172,1178.0455
258304543,0.3167,4052.7344,1283.5940
258304583,0.2375,4052.7344,962.6956
258304621,0.2639,4052.7344,1069.6617
258304661,0.4223,4057.6172,1713.5208
258304701,0.2903,4057.6172,1178.0455
258304740,0.2903,4052.7344,1176.6279
258304780,0.2375,4052.7344,962.6956
258304818,0.2639,4052.7344,1069.6617
258304858,1.5044,3920.8984,5898.7334
258304897,1.6892,3837.8906,6482.9233
258304936,1.5572,3881.8359,6044.8774
258304976,1.4780,3862.3047,5708.6431
258305015,1.5044,3911.1328,5884.0415
258305055,1.2933,3881.8359,5020.3223
258305094,1.1877,3930.6641,4668.4937
258305134,1.1877,3906.2500,4639.4966
258305174,1.1613,3930.6641,4564.7495
258305213,1.1613,3901.3672,4530.7266
258305253,1.1877,3920.8984,4656.8945
258305292,1.1613,3911.1328,4542.0674
258305332,1.1349,3930.6641,4461.0049
258305372,1.1613,4018.5547,4666.8184
258305411,1.1877,3930.6641,4668.4937
258305451,1.1877,3920.8984,4656.8945
258305489,1.2405,3916.0156,4857.8105
258305529,1.1613,3930.6641,4564.7495
258305569,1.3197,3886.7188,5129.2212
258305608,1.2933,3896.4844,5039.2666
258305648,1.2405,3891.6016,4827.5249
258305687,1.1877,3935.5469,4674.2930
258305727,1.3725,3886.7188,5334.3901
258305767,1.3725,3891.6016,5341.0918
258305806,1.3725,3886.7188,5334.3901
258305846,1.5572,3862.3047,6014.4629
258305885,1.5572,3852.5391,5999.2559
258305925,1.6364,3881.8359,6352.2441
258305964,1.6892,3852.5391,6507.6675
258306003,1.7156,3847.6563,6600.9727
258306043,1.7684,3837.8906,6786.8105
258306082,1.6364,3847.6563,6296.3125
258306122,1.6892,3842.7734,6491.1714
258306161,1.5572,3857.4219,6006.8594
258306201,1.5572,3872.0703,6029.6704
258306241,1.6628,3857.4219,6414.1045
258306280,1.6100,3872.0703,6234.0659
258306320,1.6364,3833.0078,6272.3418
258306359,1.6892,3852.5391,6507.6675
258306399,1.6892,3823.2422,6458.1792
258306439,1.7420,3857.4219,6719.5376
258306478,1.7156,3808.5938,6533.9575
258306518,1.8212,3857.4219,7024.9712
258306556,1.6892,3837.8906,6482.9233
258306596,1.6628,3862.3047,6422.2236
258306636,1.6628,3852.5391,6405.9854
258306675,1.6364,3852.5391,6304.3027
258306715,1.7420,3852.5391,6711.0322
258306754,1.6892,3847.6563,6499.4194
258306794,1.5836,3852.5391,6100.9380
258306834,1.5836,3837.8906,6077.7407
258306873,1.7420,3872.0703,6745.0552
258306913,1.6100,3852.5391,6202.6206
258306952,1.5572,3862.3047,6014.4629
258306992,1.7684,3833.0078,6778.1758
258307032,1.7156,3847.6563,6600.9727
258307070,1.7948,3833.0078,6879.3428
258307110,1.8212,3818.3594,6953.8325
258307149,1.7420,3891.6016,6779.0781
258307189,1.7948,3823.2422,6861.8159
258307228,1.7420,3842.7734,6694.0205
258307268,1.7156,3823.2422,6559.0884
258307308,1.5836,3876.9531,6139.6006
258307347,1.5836,3837.8906,6077.7407
258307387,1.6100,3862.3047,6218.3433
258307426,1.6364,3857.4219,6312.2930
258307466,1.7684,3857.4219,6821.3486
258307506,1.7420,3857.4219,6719.5376
258307545,1.7684,3837.8906,6786.8105
258307585,1.6628,3857.4219,6414.1045
258307623,1.8212,3813.4766,6944.9399
258307663,1.8739,3852.5391,7219.4434
258307703,1.6892,3823.2422,6458.1792
258307742,1.7420,3862.3047,6728.0435
258307782,1.7156,3828.1250,6567.4653
258307821,1.8212,3852.5391,7016.0791
258307861,1.7156,3837.8906,6584.2188
258307901,1.7156,3847.6563,6600.9727
258307940,1.7948,3847.6563,6905.6333
258307980,1.7420,3823.2422,6659.9976
258308019,1.8212,3847.6563,7007.1865
258308059,1.7948,3833.0078,6879.3428
258308099,1.6364,3857.4219,6312.2930
258308137,1.6628,3662.1094,6089.3394
258308177,1.7684,3852.5391,6812.7144
258308216,1.7156,3828.1250,6567.4653
258308256,1.7948,3828.1250,6870.5791
258308296,1.7948,3842.7734,6896.8696
258308335,1.7684,3823.2422,6760.9063
258308375,1.7420,3847.6563,6702.5264
258308414,1.7156,3828.1250,6567.4653
258308454,1.7156,3847.6563,6600.9727
258308493,1.7948,3852.5391,6914.3970
258308533,1.7156,3867.1875,6634.4800
258308573,1.7684,3823.2422,6760.9063
258308612,1.6628,3862.3047,6422.2236
258308652,1.7420,3823.2422,6659.9976
258308690,1.7156,3847.6563,6600.9727
258308730,1.8212,3857.4219,7024.9712
258308770,1.6892,3828.1250,6466.4272
258308809,1.8476,3842.7734,7099.7183
258308849,1.7684,3813.4766,6743.6372
258308888,1.6892,3862.3047,6524.1636
258308928,1.7420,3813.4766,6642.9863
258308968,1.8212,3847.6563,7007.1865
258309007,1.7948,3808.5938,6835.5254
258309047,1.9003,3842.7734,7302.5679
258309086,1.8476,3818.3594,7054.6123
258309126,1.7156,3828.1250,6567.4653
258309166,1.9003,3833.0078,7284.0098
258309204,1.8212,3823.2422,6962.7246
258309244,1.7684,3837.8906,6786.8105
258309283,1.8476,3828.1250,7072.6548
258309323,1.8212,3852.5391,7016.0791
258309363,1.7684,3808.5938,6735.0024
258309402,1.8739,3852.5391,7219.4434
258309442,1.7420,3847.6563,6702.5264
258309481,1.7156,3852.5391,6609.3496
258309521,1.7684,3813.4766,6743.6372
258309561,1.8212,3847.6563,7007.1865
258309600,1.6892,3833.0078,6474.6753
258309640,1.8212,3818.3594,6953.8325
258309679,1.9531,3808.5938,7438.6597
258309719,1.9795,3789.0625,7500.5195
258309757,1.9795,3803.7109,7529.5161
258309797,1.9795,3793.9453,7510.1851
258309837,1.9003,3813.4766,7246.8936
258309876,1.7684,3803.7109,6726.3682
258309916,1.7420,3803.7109,6625.9746
258309955,1.6892,3833.0078,6474.6753
258309995,1.6100,3872.0703,6234.0659
258310035,1.7420,3852.5391,6711.0322
258310074,1.5572,3857.4219,6006.8594
258310114,1.6892,3833.0078,6474.6753
258310153,1.7420,3789.0625,6600.4575
258310193,1.9003,3813.4766,7246.8936
258310233,1.9795,3793.9453,7510.1851
258310272,2.1379,3808.5938,8142.3169
258310311,1.9267,3784.1797,7291.0981
258310350,1.8212,3842.7734,6998.2939
258310390,1.6892,3828.1250,6466.4272
258310430,1.6364,3852.5391,6304.3027
258310469,1.7156,3813.4766,6542.3345
258310509,1.7684,3842.7734,6795.4448
258310548,1.8476,3813.4766,7045.5908
258310588,2.0323,3818.3594,7760.0737
258310628,1.9003,3818.3594,7256.1729
258310667,1.7684,3798.8281,6717.7334
258310707,1.9531,3808.5938,7438.6597
258310746,2.0587,3784.1797,7790.4883
258310786,2.0587,3803.7109,7830.6973
258310825,2.0851,3769.5313,7859.8232
258310864,2.0323,3793.9453,7710.4565
258310904,1.9531,3774.4141,7371.9023
258310943,2.0059,3818.3594,7659.2930
258310983,1.9795,3798.8281,7519.8506
258311022,2.0059,3750.0000,7522.1704
258311062,1.8739,3803.7109,7127.9424
258311102,1.8739,3823.2422,7164.5430
258311141,1.8739,3823.2422,7164.5430
258311181,1.9267,3793.9453,7309.9141
258311220,1.9531,3837.8906,7495.8799
258311260,2.2171,3759.7656,8335.6289
258311300,2.0587,3813.4766,7850.8018
258311339,2.1115,3769.5313,7959.3140
258311378,2.2698,3769.5313,8556.2627
258311417,2.1643,3750.0000,8116.0264
258311457,2.2962,3779.2969,8678.1787
258311497,2.0587,3764.6484,7750.2793
258311536,2.1379,3803.7109,8131.8779
258311576,2.0587,3798.8281,7820.6450
258311615,1.9531,3803.7109,7429.1230
258311655,2.0851,3808.5938,7941.2725
258311695,2.0851,3769.5313,7859.8232
258311734,2.1379,3789.0625,8100.5610
258311774,2.0323,3750.0000,7621.1465
258311813,2.0059,3813.4766,7649.4985
258311853,2.0587,3784.1797,7790.4883
258311892,2.0851,3793.9453,7910.7290
258311931,2.1115,3745.1172,7907.7642
258311971,2.3226,3779.2969,8777.9277
258312010,2.3490,3745.1172,8797.3887
258312050,2.3754,3769.5313,8954.2285
258312090,2.4018,3740.2344,8983.3545
258312129,2.4282,3754.8828,9117.6426
258312169,2.2435,3740.2344,8391.0459
258312208,2.2698,3828.1250,8689.2617
258312248,2.1379,3759.7656,8037.9282
258312288,2.2171,3750.0000,8313.9775
258312327,2.1643,3774.4141,8168.8652
258312367,2.2171,3789.0625,8400.5820
258312406,1.9531,3774.4141,7371.9023
258312445,2.0059,3818.3594,7659.2930
258312484,1.9003,3793.9453,7209.7778
258312524,2.0059,3793.9453,7610.3208
258312564,2.0851,3803.7109,7931.0913
258312603,2.1379,3774.4141,8069.2446
258312643,2.1379,3779.2969,8079.6836
258312682,2.1379,3759.7656,8037.9282
