timestamp,kalman.stateZ,gyro.x,gyro.xRaw,gyro.xVariance,gyro.y,gyro.yRaw,gyro.yVariance
0,0.2988280653953552,-9.17424201965332,-106,9975.0,14.818121910095215,239,9199.0
10,0.29904577136039734,-2.041156768798828,-10,9975.0,13.057461738586426,207,9199.0
20,0.29922428727149963,3.9496958255767822,92,9975.0,10.065779685974121,154,9199.0
30,0.29923582077026367,11.02318000793457,228,9975.0,7.3137712478637695,130,9199.0
40,0.298580527305603,19.668306350708008,346,9975.0,7.516608715057373,119,9199.0
50,0.29859820008277893,22.271556854248047,354,9975.0,7.241673946380615,115,9199.0
60,0.29863548278808594,18.644332885742188,279,9975.0,4.64677619934082,62,9199.0
70,0.2986924946308136,12.178380012512207,162,9975.0,0.9320489168167114,-2,9199.0
80,0.29814472794532776,2.2061004638671875,-14,9975.0,-2.439409017562866,-48,9199.0
90,0.2982954680919647,-8.423640251159668,-170,9975.0,-5.2407002449035645,-98,9199.0
100,0.29845839738845825,-14.381403923034668,-238,9975.0,-8.371830940246582,-150,9199.0
110,0.29863396286964417,-15.956674575805664,-262,9975.0,-10.941455841064453,-170,9199.0
120,0.2987883687019348,-15.313944816589355,-237,9975.0,-10.802435874938965,-176,9199.0
130,0.2992687225341797,-11.956398963928223,-176,9975.0,-9.856117248535156,-157,9199.0
140,0.2993781566619873,-8.162437438964844,-124,9975.0,-10.243578910827637,-168,9199.0
150,0.2994551360607147,-5.387913703918457,-66,9975.0,-12.344437599182129,-209,9199.0
160,0.2995094656944275,-0.021635020151734352,27,9975.0,-14.872272491455078,-242,9199.0
170,0.2981545627117157,8.63142204284668,187,9975.0,-15.836280822753906,-249,9199.0
180,0.2981056869029999,20.676664352416992,397,9975.0,-17.43012237548828,-303,9199.0
190,0.29805952310562134,29.29005241394043,515,9975.0,-22.603336334228516,-395,9199.0
200,0.29822787642478943,32.18386459350586,500,9975.0,-34.382232666015625,-652,9199.0
210,0.29818880558013916,25.271650314331055,288,9975.0,-57.70543670654297,-938,9199.0
220,0.29832518100738525,10.007730484008789,47,9975.0,-72.18849182128906,-1261,9199.0
230,0.2985936999320984,-6.5017499923706055,-235,9975.0,-99.17544555664062,-1699,9199.0
240,0.29878756403923035,-18.125329971313477,-319,9975.0,-126.31031036376953,-2146,9199.0
250,0.2983093559741974,-22.04784393310547,-351,9975.0,-141.10800170898438,-2427,9199.0
260,0.29715436697006226,-22.713111877441406,-408,9975.0,-151.6365203857422,-2444,9199.0
270,0.30015823245048523,-23.544151306152344,-453,9975.0,-140.46156311035156,-2110,9199.0
280,0.2993330657482147,-17.035980224609375,-260,9975.0,-103.70340728759766,-1315,9199.0
290,0.29896044731140137,-7.580549240112305,-159,9975.0,-44.6809196472168,-603,9199.0
300,0.2997532784938812,12.07870101928711,256,9975.0,8.572664260864258,280,9199.0
310,0.3014032542705536,17.97319984436035,316,9975.0,45.88246536254883,949,9199.0
320,0.30201786756515503,19.100357055664062,297,9975.0,61.7225456237793,1019,9199.0
330,0.3024134039878845,18.832853317260742,434,9975.0,71.31966400146484,1079,9199.0
340,0.3029029369354248,22.73453712463379,374,9975.0,64.01123809814453,983,9199.0
350,0.30295559763908386,18.806743621826172,251,9975.0,43.03657913208008,592,9199.0
360,0.30353057384490967,15.236989974975586,254,9975.0,5.117086887359619,-215,9199.0
370,0.3041512370109558,7.9005045890808105,72,9975.0,-48.02825164794922,-982,9199.0
380,0.30479949712753296,-1.662998080253601,113,9975.0,-79.73916625976562,-1667,9199.0
390,0.3054162561893463,1.1549015045166016,75,9975.0,-109.98534393310547,-1841,9199.0
400,0.30679038166999817,5.147556304931641,77,9975.0,-125.6059341430664,-2013,9199.0
410,0.3065521717071533,-8.824597358703613,-316,9975.0,-122.58850860595703,-1927,9199.0
420,0.30514779686927795,-26.895021438598633,-560,9975.0,-112.17192840576172,-1546,9199.0
430,0.3095240592956543,-30.841838836669922,-486,9975.0,-65.93632507324219,-691,9199.0
440,0.31231871247291565,-21.218050003051758,-283,9975.0,-17.2244873046875,44,9199.0
450,0.31522342562675476,-4.310248851776123,-77,9975.0,38.05047607421875,739,9199.0
460,0.3182744085788727,2.780546188354492,49,9975.0,92.4228286743164,1746,9199.0
470,0.3222073018550873,13.590224266052246,221,9975.0,134.80398559570312,2268,9199.0
480,0.3220100402832031,4.362870216369629,135,9975.0,137.87477111816406,2248,9199.0
490,0.32362738251686096,5.629373073577881,12,9975.0,123.84246826171875,2009,9199.0
500,0.32567545771598816,12.494441986083984,227,9975.0,106.97327423095703,1635,9199.0
510,0.3275589346885681,24.360475540161133,487,9975.0,77.405029296875,834,9199.0
520,0.3241734504699707,24.082704544067383,410,9975.0,40.3270263671875,562,9199.0
