1395,0.2?????&?000,965.0153
361857780,0.2903,4062.5000,1179.4631
361857820,0.2639,4057.6172,1070.9504
361857859,0.2639,4067.3828,1073.5280
361857899,0.2111,4057.6172,856.7604
361857937,2.3226,3754.8828,8721.2227
361857977,2.9825,3696.2891,11024.0880
361858018,3.0880,3686.5234,11384.1650
361858058,2.6658,3730.4688,9944.5029
361858098,2.3490,3774.4141,8866.2070
361858137,2.0587,3769.5313,7760.3315
361858177,1.8476,3847.6563,7108.7397
361858216,1.9267,3833.0078,7385.1768
361858255,2.0851,3808.5938,7941.2725
361858295,1.7420,3842.7734,6694.0205
361858334,1.5308,3901.3672,5972.3213
361858374,1.5572,3852.5391,5999.2559
361858413,1.5308,3872.0703,5927.4727
361858453,1.6364,3876.9531,6344.2539
361858493,1.6364,3852.5391,6304.3027
361858532,1.9795,3808.5938,7539.1821
361858572,1.8739,3774.4141,7073.0415
361858611,1.8739,3818.3594,7155.3926
361858651,1.9795,3793.9453,7510.1851
361858691,2.1643,3789.0625,8200.5684
361858729,1.8739,3823.2422,7164.5430
361858769,1.8212,3833.0078,6980.5093
361858808,1.8212,3823.2422,6962.7246
361858848,1.9795,3828.1250,7577.8442
361858888,1.7420,3837.8906,6685.5146
361858927,1.8212,3808.5938,6936.0474
361858967,1.6628,3857.4219,6414.1045
361859006,1.7156,3857.4219,6617.7266
361859046,1.7420,3842.7734,6694.0205
361859086,1.8212,3808.5938,6936.0474
361859125,1.9795,3813.4766,7548.8477
361859165,1.9267,3818.3594,7356.9531
361859204,2.0059,3789.0625,7600.5264
361859244,1.9795,3803.7109,7529.5161
361859283,2.0587,3813.4766,7850.8018
361859322,1.7948,3847.6563,6905.6333
361859362,1.8476,3803.7109,7027.5483
361859401,1.9003,3828.1250,7274.7305
361859441,1.9003,3833.0078,7284.0098
361859481,1.7420,3876.9531,6753.5605
361859520,1.8212,3803.7109,6927.1553
361859560,1.9267,3842.7734,7403.9927
361859599,1.7948,3842.7734,6896.8696
361859639,1.8476,3818.3594,7054.6123
361859678,2.0851,3793.9453,7910.7290
361859718,2.1115,3818.3594,8062.4141
361859758,1.9267,3813.4766,7347.5454
361859796,1.8739,3808.5938,7137.0923
361859836,1.7684,3847.6563,6804.0796
361859875,2.0059,3681.6406,7385.0474
361859915,1.7156,3828.1250,6567.4653
361859955,1.7948,3808.5938,6835.5254
361859994,1.9003,3837.8906,7293.2886
361860034,1.9531,3823.2422,7467.2700
361860073,1.7684,3813.4766,6743.6372
361860113,2.0059,3930.6641,7884.5664
361860153,2.0323,3813.4766,7750.1504
361860192,1.8476,3833.0078,7081.6758
361860232,1.9267,3818.3594,7356.9531
361860271,1.7420,3837.8906,6685.5146
361860311,1.7948,3833.0078,6879.3428
361860350,1.6364,3828.1250,6264.3516
361860389,1.8212,3837.8906,6989.4019
361860429,1.9267,3852.5391,7422.8081
361860468,1.9267,3823.2422,7366.3608
361860508,1.8739,3808.5938,7137.0923
361860548,2.1907,3789.0625,8300.5752
361860587,2.0851,3808.5938,7941.2725
361860627,2.0323,3813.4766,7750.1504
361860666,1.8212,3818.3594,6953.8325
361860706,1.9267,3828.1250,7375.7690
361860746,1.9003,3842.7734,7302.5679
361860785,1.8476,3798.8281,7018.5273
361860825,1.7948,4008.7891,7194.8286
361860864,1.7684,3862.3047,6829.9834
361860903,1.7684,3842.7734,6795.4448
361860942,1.8212,3833.0078,6980.5093
361860982,1.8476,3837.8906,7090.6973
361861022,2.0059,3813.4766,7649.4985
361861061,1.8476,3735.3516,6901.2510
361861101,1.9003,3818.3594,7256.1729
361861140,1.8212,3857.4219,7024.9712
361861180,1.8739,3823.2422,7164.5430
361861220,1.5836,3847.6563,6093.2056
361861259,1.8212,3842.7734,6998.2939
361861299,1.6628,3876.9531,6446.5811
361861338,1.7948,3823.2422,6861.8159
361861378,1.5572,3862.3047,6014.4629
361861417,1.8476,3818.3594,7054.6123
361861456,1.7684,3847.6563,6804.0796
361861496,1.9531,3793.9453,7410.0493
361861535,1.7420,3828.1250,6668.5034
361861575,1.8212,3837.8906,6989.4019
361861615,1.6628,3823.2422,6357.2705
361861654,1.9003,3828.1250,7274.7305
361861694,1.6364,3857.4219,6312.2930
361861733,1.6892,3842.7734,6491.1714
361861773,1.7156,3818.3594,6550.7114
361861813,1.8476,3818.3594,7054.6123
361861852,1.6628,3881.8359,6454.7002
361861892,1.9267,3808.5938,7338.1372
361861931,1.7684,3813.4766,6743.6372
361861970,1.7684,3818.3594,6752.2720
361862010,1.6628,3842.7734,6389.7471
361862049,1.9531,3813.4766,7448.1963
361862089,1.8739,3789.0625,7100.4922
361862128,1.6892,3857.4219,6515.9155
361862168,1.8739,3837.8906,7191.9932
361862207,1.7948,3798.8281,6817.9985
361862247,1.9531,3798.8281,7419.5859
361862287,1.7948,3857.4219,6923.1602
361862326,1.8476,3828.1250,7072.6548
361862366,1.8739,3823.2422,7164.5430
361862405,1.6892,3876.9531,6548.9072
361862445,1.7948,3837.8906,6888.1064
361862484,1.6628,3818.3594,6349.1514
361862523,1.7948,3818.3594,6853.0522
361862563,1.5572,3896.4844,6067.6885
361862602,1.7948,3833.0078,6879.3428
361862642,1.7684,3798.8281,6717.7334
361862682,1.8212,3852.5391,7016.0791
361862721,1.6892,3872.0703,6540.6592
361862761,1.6892,3828.1250,6466.4272
361862800,1.6364,3837.8906,6280.3320
361862840,1.7948,3837.8906,6888.1064
361862880,1.5836,3857.4219,6108.6704
361862919,1.6628,3833.0078,6373.5088
361862959,1.7156,3847.6563,6600.9727
361862998,1.6892,3857.4219,6515.9155
361863037,1.9267,3808.5938,7338.1372
361863077,1.7948,3847.6563,6905.6333
361863116,1.7684,3837.8906,6786.8105
361863156,1.5836,3852.5391,6100.9380
361863195,1.9003,3823.2422,7265.4517
361863235,1.9003,3857.4219,7330.4048
361863275,1.8739,3842.7734,7201.1436
361863314,1.6100,3862.3047,6218.3433
361863354,1.7684,3847.6563,6804.0796
361863393,1.9267,3823.2422,7366.3608
361863433,1.7684,3837.8906,6786.8105
361863472,1.7420,3828.1250,6668.5034
361863512,1.7948,3857.4219,6923.1602
361863552,1.7420,3833.0078,6677.0093
361863590,1.5836,3837.8906,6077.7407
361863630,1.7156,3842.7734,6592.5957
361863669,1.8212,3842.7734,6998.2939
361863709,1.6100,3847.6563,6194.7593
361863749,1.6628,3867.1875,6430.3428
361863788,1.8476,3842.7734,7099.7183
361863828,1.9003,3808.5938,7237.6147
361863867,1.6892,3808.5938,6433.4355
361863907,1.7684,3857.4219,6821.3486
361863947,1.8739,3837.8906,7191.9932
361863986,1.7420,3823.2422,6659.9976
361864026,1.7420,3847.6563,6702.5264
361864065,1.6100,3847.6563,6194.7593
361864104,1.6364,3916.0156,6408.1758
361864144,1.7156,3837.8906,6584.2188
361864183,1.5308,3881.8359,5942.4224
361864223,1.8212,3818.3594,6953.8325
361864262,1.7156,3857.4219,6617.7266
361864302,1.8476,3852.5391,7117.7607
361864342,1.4253,3886.7188,5539.5591
361864381,1.7156,3847.6563,6600.9727
361864421,1.5572,3872.0703,6029.6704
361864460,1.6892,3852.5391,6507.6675
361864500,1.5572,3857.4219,6006.8594
361864540,1.6892,3842.7734,6491.1714
361864579,1.7420,3872.0703,6745.0552
361864619,1.7156,3852.5391,6609.3496
361864657,1.6628,3823.2422,6357.2705
361864697,1.6892,3867.1875,6532.4111
361864736,1.8212,3837.8906,6989.4019
361864776,1.4780,3857.4219,5701.4263
361864816,1.8212,3842.7734,6998.2939
361864855,1.6100,3862.3047,6218.3433
361864895,1.8739,3818.3594,7155.3926
361864934,1.6892,3833.0078,6474.6753
361864974,1.9267,3828.1250,7375.7690
361865014,1.6364,3847.6563,6296.3125
361865053,1.7420,3852.5391,6711.0322
361865093,1.6628,3862.3047,6422.2236
361865132,1.7420,3842.7734,6694.0205
361865171,2.0323,3803.7109,7730.3037
361865211,1.8476,3798.8281,7018.5273
361865250,1.9795,3798.8281,7519.8506
361865290,1.8739,3818.3594,7155.3926
361865329,1.9795,3789.0625,7500.5195
361865369,1.5308,3911.1328,5987.2705
361865409,1.6100,3852.5391,6202.6206
361865448,1.5836,3837.8906,6077.7407
361865488,1.7420,3833.0078,6677.0093
361865527,1.5836,3886.7188,6155.0654
361865567,1.7420,3808.5938,6634.4805
361865607,1.7156,3842.7734,6592.5957
361865646,1.9267,3847.6563,7413.4004
361865686,1.7684,3823.2422,6760.9063
361865724,1.8476,3823.2422,7063.6333
361865764,1.9003,3823.2422,7265.4517
361865804,1.7420,3842.7734,6694.0205
361865843,1.8476,3823.2422,7063.6333
361865883,1.8476,3833.0078,7081.6758
361865922,2.0059,3789.0625,7600.5264
361865962,1.9795,3818.3594,7558.5132
361866001,2.1115,3789.0625,8000.5542
361866041,2.0323,3833.0078,7789.8438
361866081,2.0851,3793.9453,7910.7290
361866120,1.8476,3935.5469,7271.1221
361866160,1.9267,3837.8906,7394.5845
361866199,1.9795,3808.5938,7539.1821
361866238,2.0851,3798.8281,7920.9102
361866278,1.9267,3837.8906,7394.5845
361866317,1.9267,3828.1250,7375.7690
361866357,1.8476,3930.6641,7262.1011
361866396,1.8739,3823.2422,7164.5430
361866436,1.8212,3823.2422,6962.7246
361866476,2.0059,3784.1797,7590.7319
361866515,1.9531,3789.0625,7400.5127
361866555,1.8739,3823.2422,7164.5430
361866594,2.0851,3833.0078,7992.1777
361866634,1.9795,3774.4141,7471.5225
361866674,2.1115,3789.0625,8000.5542
361866713,2.0323,3793.9453,7710.4565
361866753,1.9795,3784.1797,7490.8540
361866791,1.9795,3823.2422,7568.1787
361866831,2.0851,3808.5938,7941.2725
361866871,1.8476,3793.9453,7009.5059
361866910,1.8739,3813.4766,7146.2427
361866950,2.1115,3808.5938,8041.7939
361866989,2.1379,3750.0000,8017.0503
361867029,2.0059,3784.1797,7590.7319
361867069,2.0323,3779.2969,7680.6865
361867108,2.1115,3774.4141,7969.6240
361867148,2.0323,3774.4141,7670.7632
361867187,1.9267,3798.8281,7319.3218
361867227,2.0587,3813.4766,7850.8018
361867266,2.0587,3774.4141,7770.3838
361867305,2.0587,3715.8203,7649.7568
361867345,2.1379,3798.8281,8121.4390
361867384,2.4282,3740.2344,9082.0732
361867424,2.2698,3745.1172,8500.8467
361867463,2.1379,3803.7109,8131.8779
361867503,2.1379,3784.1797,8090.1226
361867543,2.2962,3774.4141,8666.9658
361867582,2.0851,3793.9453,7910.7290
361867622,1.8739,3828.1250,7173.6929
361867661,1.9003,3808.5938,7237.6147
361867701,2.0059,3789.0625,7600.5264
361867741,2.1115,3813.4766,8052.1040
361867780,1.9795,3803.7109,7529.5161
361867820,2.0851,3798.8281,7920.9102
361867858,2.2698,3759.7656,8534.0957
361867898,2.2698,3740.2344,8489.7627
361867938,2.2435,3754.8828,8423.9082
361867977,2.1643,3779.2969,8179.4331
361868017,2.4282,3759.7656,9129.4990
361868056,2.3226,3730.4688,8664.5176
361868096,2.1379,3774.4141,8069.2446
361868136,2.0851,3793.9453,7910.7290
361868175,2.2435,3769.5313,8456.7715
361868215,2.1643,3759.7656,8137.1621
361868254,1.9531,3813.4766,7448.1963
361868294,2.0323,3793.9453,7710.4565
361868334,2.3490,3774.4141,8866.2070
361868372,2.1907,3793.9453,8311.2715
361868412,2.0851,3793.9453,7910.7290
361868451,2.1907,3769.5313,8257.7881
361868491,2.3490,3745.1172,8797.3887
361868530,2.2171,3774.4141,8368.1055
361868570,2.2435,3740.2344,8391.0459
361868610,2.3754,3764.6484,8942.6299
361868649,2.1907,3769.5313,8257.7881
361868689,2.2962,3759.7656,8633.3301
361868728,2.1907,3769.5313,8257.7881
361868768,2.2962,3750.0000,8610.9053
361868808,2.0851,3779.2969,7880.1855
361868847,2.2962,3764.6484,8644.5420
361868887,2.3490,3769.5313,8854.7373
361868925,2.3226,3759.7656,8732.5635
361868965,2.1115,3769.5313,7959.3140
361869005,2.1379,3784.1797,8090.1226
361869044,2.2435,3774.4141,8467.7256
361869084,1.9795,3789.0625,7500.5195
361869123,2.1907,3764.6484,8247.0918
361869163,2.1907,3769.5313,8257.7881
361869203,2.3226,3759.7656,8732.5635
361869242,2.1379,3798.8281,8121.4390
361869282,2.2171,3759.7656,8335.6289
361869321,2.2962,3750.0000,8610.9053
361869361,2.1907,3774.4141,8268.4854
361869401,2.2962,3754.8828,8622.1182
361869440,2.3490,3750.0000,8808.8584
