timestamp,kalman.stateZ,gyro.x,gyro.xRaw,gyro.xVariance,gyro.y,gyro.yRaw,gyro.yVariance
0,0.30795276165008545,0.5366207957267761,14,6266.0,-0.5400574803352356,-10,9897.0
10,0.3079831600189209,0.7502534985542297,14,6266.0,-0.39777714014053345,4,9897.0
20,0.3080030083656311,1.008478045463562,17,6266.0,-0.17022769153118134,-4,9897.0
30,0.3077699840068817,0.6913959980010986,11,6266.0,-0.08755263686180115,-3,9897.0
40,0.30778276920318604,0.5555289387702942,7,6266.0,-0.1542743593454361,0,9897.0
50,0.3077988922595978,-0.42947423458099365,-11,6266.0,-0.3628714978694916,-1,9897.0
60,0.30781832337379456,-0.4308296740055084,-6,6266.0,-0.19432294368743896,2,9897.0
70,0.3084268867969513,-0.3886340856552124,-8,6266.0,-0.04776669666171074,4,9897.0
80,0.3084796965122223,-0.8554106950759888,-12,6266.0,0.05990097299218178,6,9897.0
90,0.3085305392742157,-1.0283643007278442,-11,6266.0,0.37440377473831177,8,9897.0
100,0.3085797131061554,-0.4094776213169098,-4,6266.0,0.661737322807312,15,9897.0
110,0.3081696033477783,0.04933471977710724,6,6266.0,0.4971490502357483,4,9897.0
120,0.30818092823028564,0.6467443704605103,10,6266.0,0.523493230342865,9,9897.0
130,0.3081979751586914,0.8294566869735718,13,6266.0,1.0803852081298828,15,9897.0
140,0.3082059323787689,0.9515224695205688,13,6266.0,0.6563831567764282,15,9897.0
150,0.30822452902793884,0.7544566988945007,9,6266.0,0.4716792106628418,9,9897.0
160,0.306350976228714,0.1536821573972702,-1,6266.0,0.4612899720668793,13,9897.0
170,0.3062606155872345,-0.5560495853424072,-6,6266.0,0.19469515979290009,-4,9897.0
180,0.30617132782936096,-1.4393620491027832,-30,6266.0,-0.8720073699951172,-21,9897.0
190,0.306083619594574,-2.728588581085205,-32,6266.0,-4.598464012145996,-100,9897.0
200,0.30730506777763367,-0.2505473494529724,-1,6266.0,-9.640376091003418,-215,9897.0
210,0.3072790801525116,0.11895856261253357,21,6266.0,-18.53264617919922,-356,9897.0
220,0.3074713349342346,1.660281777381897,23,6266.0,-30.11939811706543,-532,9897.0
230,0.3075539171695709,6.091695308685303,50,6266.0,-45.90845489501953,-798,9897.0
240,0.30763107538223267,4.255344390869141,85,6266.0,-58.105777740478516,-1008,9897.0
250,0.30710455775260925,2.239420175552368,44,6266.0,-71.04203033447266,-1173,9897.0
260,0.3069818913936615,2.1579787731170654,-6,6266.0,-80.84381866455078,-1277,9897.0
270,0.3067761957645416,1.4524774551391602,12,6266.0,-84.73019409179688,-1333,9897.0
280,0.30725300312042236,2.976269483566284,71,6266.0,-84.02383422851562,-1324,9897.0
290,0.3076432943344116,-1.9481298923492432,-37,6266.0,-79.01499938964844,-1191,9897.0
300,0.3074212372303009,0.5559354424476624,-37,6266.0,-66.14078521728516,-933,9897.0
310,0.3072443902492523,0.7773298025131226,17,6266.0,-50.76520919799805,-667,9897.0
320,0.30782824754714966,2.199403762817383,29,6266.0,-30.906888961791992,-457,9897.0
330,0.3074887990951538,2.116865396499634,46,6266.0,-12.730149269104004,-96,9897.0
340,0.3085460960865021,3.000837564468384,112,6266.0,4.782180309295654,192,9897.0
350,0.30907249450683594,3.869828701019287,113,6266.0,19.482698440551758,350,9897.0
360,0.3093705475330353,4.166598796844482,23,6266.0,31.24786949157715,484,9897.0
370,0.3095386326313019,3.8517141342163086,56,6266.0,38.55788040161133,672,9897.0
380,0.3102962374687195,4.807507038116455,7,6266.0,40.28047561645508,813,9897.0
390,0.31066951155662537,2.9901201725006104,63,6266.0,39.86101531982422,630,9897.0
400,0.3110416531562805,2.8765032291412354,103,6266.0,32.319271087646484,454,9897.0
410,0.3112035393714905,3.3804147243499756,103,6266.0,23.46253776550293,157,9897.0
420,0.3100227415561676,2.2790768146514893,3,6266.0,11.315649032592773,110,9897.0
430,0.31001371145248413,-0.28226399421691895,-11,6266.0,-0.2189186066389084,-29,9897.0
440,0.3099426329135895,-0.4003056585788727,-70,6266.0,-8.589424133300781,-156,9897.0
450,0.3101438581943512,-3.5915029048919678,-76,6266.0,-17.268461227416992,-275,9897.0
460,0.31017711758613586,-6.7315168380737305,-68,6266.0,-20.39762306213379,-501,9897.0
470,0.3109687566757202,-6.64911413192749,-83,6266.0,-21.085481643676758,-429,9897.0
480,0.31098881363868713,-6.378146171569824,-45,6266.0,-21.35358428955078,-411,9897.0
490,0.3110727071762085,-3.9883852005004883,18,6266.0,-18.293956756591797,-457,9897.0
500,0.3112465739250183,-2.512010335922241,50,6266.0,-12.883212089538574,-214,9897.0
510,0.312421053647995,-1.055213451385498,50,6266.0,-8.062499046325684,-75,9897.0
520,0.3125336468219757,3.463817834854126,52,6266.0,2.1826348304748535,16,9897.0
