timestamp,kalman.stateX,kalman.stateY,kalman.stateZ,gyro.x,gyro.xRaw,gyro.xVariance,gyro.y,gyro.yRaw,gyro,yVariance
0,0.0,0.0,0.0,1.0992029905319214,-2,7807.0,-7.805584907531738,-138,9888.0
10,-0.0004995083436369896,-7.677578832954168e-05,-5.811452865600586e-06,-4.172183990478516,-80,7807.0,-11.860276222229004,-205,9888.0
20,0.0010026691015809774,0.0002066363231278956,-3.457069396972656e-05,-8.164656639099121,-153,7807.0,-14.928075790405273,-258,9888.0
30,2.431962639093399e-05,0.0007578320219181478,1.1235475540161133e-05,-10.450421333312988,-171,7807.0,-16.98336410522461,-277,9888.0
40,-0.0011325161904096603,0.0007021425699349493,-0.0001798570156097412,-9.969672203063965,-159,7807.0,-17.826587677001953,-287,9888.0
50,-0.002364844549447298,0.0013863187632523477,-0.00021851062774658203,-9.632186889648438,-154,7807.0,-17.695253372192383,-280,9888.0
60,-0.00048563024029135704,0.0005174166872166097,-2.6017427444458008e-05,-8.438569068908691,-133,7807.0,-16.539770126342773,-251,9888.0
70,-0.0016533429734408855,0.0010898502441705205,-8.362531661987305e-05,-5.417203426361084,-66,7807.0,-12.72368049621582,-178,9888.0
80,-5.304906517267227e-05,0.0006959648744668812,0.001963406801223755,-0.2621801793575287,19,7807.0,-6.49167013168335,-78,9888.0
90,-0.0005355370230972767,-4.4357962906360626e-05,0.0020546317100524902,3.9527411460876465,79,7807.0,-2.300652503967285,-19,9888.0
100,5.0611793994903564e-05,-0.0003143385984003544,0.0021836161613464355,8.107612609863281,144,7807.0,2.055992364883423,51,9888.0
110,0.00016636773943901062,-0.0001042515505105257,0.0023151934146881104,10.050283432006836,163,7807.0,6.008106231689453,118,9888.0
120,0.000561161432415247,-0.0007811415707692504,0.002452760934829712,8.949228286743164,131,7807.0,9.116454124450684,154,9888.0
130,0.0011136571411043406,-0.0006313591729849577,0.0019197165966033936,5.2689008712768555,66,7807.0,9.570965766906738,155,9888.0
140,0.0017677871510386467,-0.0002354669850319624,0.002012014389038086,2.3399195671081543,26,7807.0,7.929340839385986,129,9888.0
150,0.002324409317225218,-0.00039288424886763096,0.002087831497192383,0.5402809381484985,4,7807.0,4.955900192260742,70,9888.0
160,0.0019375050906091928,-0.0004288929048925638,0.002236872911453247,-0.13830778002738953,-20,7807.0,2.1311538219451904,11,9888.0
170,0.001996058039367199,-0.0004033175064250827,0.0008938610553741455,-4.986064910888672,-99,7807.0,-1.5488947629928589,-47,9888.0
180,0.00128187146037817,0.0004115983610972762,0.0009849071502685547,-7.797688007354736,-122,7807.0,-8.33197021484375,-171,9888.0
190,0.0015260721556842327,0.0004557469510473311,0.0009908080101013184,-6.4918599128723145,-119,7807.0,-14.790987014770508,-281,9888.0
200,0.0013294913806021214,0.0001506602275185287,0.0010583698749542236,-5.79475212097168,-108,7807.0,-21.36298370361328,-371,9888.0
210,-0.00011662021279335022,0.0005386846023611724,0.0007342994213104248,-7.306015968322754,-122,7807.0,-24.969249725341797,-397,9888.0
220,-0.00177862960845232,0.0010325314433430322,0.0007313787937164307,-7.651619911193848,-139,7807.0,-26.82551383972168,-435,9888.0
230,-0.0010982765816152096,0.0005530021153390408,0.0007548034191131592,-8.124585151672363,-87,7807.0,-27.895132064819336,-510,9888.0
240,-0.0018717939965426922,0.00048261386109516025,0.0006926059722900391,1.1921907663345337,65,7807.0,-35.686241149902344,-632,9888.0
250,-0.001644133124500513,0.0005216948920860887,0.0006709098815917969,9.683069229125977,228,7807.0,-42.10163879394531,-794,9888.0
260,-0.0013166801072657108,-0.0004155639326199889,0.0014798641204833984,16.368497848510742,333,7807.0,-52.48757553100586,-964,9888.0
270,-0.0025309687480330467,-0.0008591065416112542,0.0013917386531829834,18.49001693725586,320,7807.0,-65.52302551269531,-1157,9888.0
280,-0.002312016673386097,-0.000949908047914505,0.001426994800567627,16.20102310180664,262,7807.0,-73.91863250732422,-1252,9888.0
290,-0.00427305418998003,-0.0006461853627115488,0.0012135505676269531,13.649826049804688,267,7807.0,-78.47162628173828,-1342,9888.0
300,-0.004131009802222252,-0.0007034532027319074,0.002338200807571411,13.4702730178833,127,7807.0,-82.13004302978516,-1311,9888.0
310,-0.002829674631357193,-0.0008578430861234665,0.0027253031730651855,-0.015022382140159607,-41,7807.0,-80.62682342529297,-1268,9888.0
320,-0.003076295368373394,-0.00012818491086363792,0.0028023719787597656,-6.920886993408203,-179,7807.0,-74.11589813232422,-1145,9888.0
330,-0.005121923983097076,0.00031847902573645115,0.0022324025630950928,-15.491676330566406,-278,7807.0,-68.09445190429688,-1094,9888.0
340,-0.006778240203857422,0.0005956703098490834,0.0016057491302490234,-19.567569732666016,-349,7807.0,-59.68501281738281,-924,9888.0
350,-0.006413711234927177,0.0018712406163103878,0.0021982192993164062,-20.496469497680664,-380,7807.0,-40.26280975341797,-505,9888.0
360,-0.007892770692706108,0.0010308011042070575,0.0017925500869750977,-19.43207359313965,-286,7807.0,-11.196560859680176,55,9888.0
370,-0.00819694995880127,0.002288985066115856,0.0017867982387542725,-11.366415023803711,-154,7807.0,21.074649810791016,576,9888.0
380,-0.00629656296223402,0.0015914596151560545,0.003072977066040039,-5.440460681915283,-78,7807.0,61.36753463745117,1172,9888.0
390,-0.006205407902598381,0.0012357937957858667,0.0030242204666137695,-0.5465128421783447,23,7807.0,94.13273620605469,1708,9888.0
400,-0.004589284770190716,0.0012767099251504987,0.003590881824493408,2.060412645339966,77,7807.0,123.1612319946289,1987,9888.0
