8108??	r??5,4033.2031,958.0560
81094517,0.1848,4033.2031,745.1547
81094555,0.2111,4023.4375,849.5434
81094592,0.2639,4033.2031,1064.5067
81094631,0.3431,4033.2031,1383.8588
81094670,0.1848,4033.2031,745.1547
81094707,0.2903,4042.9688,1173.7927
81094746,0.2903,4033.2031,1170.9574
81094784,0.2111,4033.2031,851.6054
81094821,0.2111,4038.0859,852.6364
81094858,0.1584,4018.5547,636.3843
81094896,0.2111,4028.3203,850.5744
81094933,0.2111,4038.0859,852.6364
81094971,0.1584,4038.0859,639.4772
81095009,0.1848,4038.0859,746.0569
81095046,0.1848,4042.9688,746.9590
81095084,0.2111,4033.2031,851.6054
81095120,0.1584,4013.6719,635.6110
81095158,0.2111,4023.4375,849.5434
81095195,0.2375,4028.3203,956.8962
81095233,0.1848,4042.9688,746.9590
81095271,0.2111,4038.0859,852.6364
81095308,0.2111,4038.0859,852.6364
81095346,0.2111,4038.0859,852.6364
81095383,0.2111,4038.0859,852.6364
81095420,0.2639,4042.9688,1067.0842
81095458,0.3695,4033.2031,1490.3094
81095497,1.5836,3837.8906,6077.7407
81095536,1.4780,3896.4844,5759.1621
81095574,1.3461,3881.8359,5225.2334
81095613,1.2669,3920.8984,4967.3540
81095651,1.2141,3901.3672,4736.6685
81095690,1.2405,3916.0156,4857.8105
81095728,1.1613,3901.3672,4530.7266
81095767,1.1877,3930.6641,4668.4937
81095805,1.1085,3906.2500,4330.1968
81095843,1.1613,3925.7813,4559.0786
81095882,1.1349,3920.8984,4449.9214
81095920,1.1613,3925.7813,4559.0786
81095959,1.0821,3920.8984,4242.9487
81095997,1.1349,3930.6641,4461.0049
81096036,1.0821,3925.7813,4248.2324
81096075,1.0821,3925.7813,4248.2324
81096113,1.1085,3935.5469,4362.6733
81096152,1.1085,3925.7813,4351.8477
81096189,1.1085,3930.6641,4357.2607
81096228,1.0821,3925.7813,4248.2324
81096267,1.1349,3920.8984,4449.9214
81096305,1.1613,3920.8984,4553.4082
81096344,1.1613,3940.4297,4576.0903
81096382,1.1085,3920.8984,4346.4351
81096421,1.1877,3945.3125,4685.8916
81096459,1.2669,3920.8984,4967.3540
81096498,1.0557,3935.5469,4154.9268
81096537,1.1349,3911.1328,4438.8384
81096574,1.1349,3935.5469,4466.5464
81096613,1.2405,3906.2500,4845.6963
81096651,1.1877,3935.5469,4674.2930
81096690,1.1613,3906.2500,4536.3970
81096728,1.0557,3935.5469,4154.9268
81096767,1.1085,3911.1328,4335.6099
81096806,1.1349,3935.5469,4466.5464
81096844,1.1877,3911.1328,4645.2959
81096883,1.0821,3930.6641,4253.5166
81096921,1.1085,3901.3672,4324.7842
81096960,1.2405,3930.6641,4875.9819
81096998,1.1085,3906.2500,4330.1968
81097036,1.1085,3920.8984,4346.4351
81097075,1.1085,3930.6641,4357.2607
81097113,1.0821,3925.7813,4248.2324
81097152,1.1085,3925.7813,4351.8477
81097190,1.2669,3920.8984,4967.3540
81097229,1.1085,3940.4297,4368.0859
81097268,1.1349,3916.0156,4444.3799
81097306,1.1613,3935.5469,4570.4199
81097345,1.1877,3901.3672,4633.6973
81097382,1.0821,3940.4297,4264.0845
81097421,1.1085,3911.1328,4335.6099
81097459,1.1349,3940.4297,4472.0879
81097498,1.1085,3911.1328,4335.6099
81097537,1.1349,3935.5469,4466.5464
81097575,1.1085,3886.7188,4308.5459
81097614,1.1349,3925.7813,4455.4629
81097652,1.0821,3916.0156,4237.6650
81097691,1.0821,3920.8984,4242.9487
81097729,1.1613,3916.0156,4547.7378
81097767,1.1085,3930.6641,4357.2607
81097806,1.1349,3920.8984,4449.9214
81097844,1.1085,3920.8984,4346.4351
81097883,1.1349,3930.6641,4461.0049
81097921,1.1085,3901.3672,4324.7842
81097960,1.1085,3930.6641,4357.2607
81097999,1.2669,3911.1328,4954.9824
81098037,1.1613,3930.6641,4564.7495
81098076,1.1613,3906.2500,4536.3970
81098114,1.1349,3925.7813,4455.4629
81098152,1.1085,3911.1328,4335.6099
81098190,1.0557,3930.6641,4149.7720
81098229,1.1613,3920.8984,4553.4082
81098268,1.1613,3940.4297,4576.0903
81098306,1.2405,3916.0156,4857.8105
81098345,1.1613,3935.5469,4570.4199
81098383,1.0821,3901.3672,4221.8135
81098422,1.1085,3940.4297,4368.0859
81098460,1.1613,3911.1328,4542.0674
81098499,1.1613,3935.5469,4570.4199
81098537,1.1613,3901.3672,4530.7266
81098575,1.1349,3930.6641,4461.0049
81098614,1.2405,3906.2500,4845.6963
81098652,1.1877,3920.8984,4656.8945
81098691,1.2669,3916.0156,4961.1685
81098730,1.1613,3920.8984,4553.4082
81098768,1.1349,3920.8984,4449.9214
